date,iv_atm
2021-02-26,0.3125
2021-03-01,0.3125
2021-03-02,0.15625
2021-03-03,0.3125
2021-03-04,0.3125
2021-03-05,44.96826
2021-03-08,0.3125
2021-03-09,0.15625
2021-03-10,0.3125
2021-03-12,0.3125
2021-03-15,0.0390625
2021-03-16,0.625
2021-03-17,0.625
2021-03-18,0.625
2021-03-19,0.3125
2021-03-22,0.625
2021-03-23,0.15625
2021-03-24,0.3125
2021-03-25,0.15625
2021-03-26,0.15625
2021-03-30,0.3125
2021-03-31,0.3125
2021-04-01,0.15625
2021-04-05,0.15625
2021-04-06,0.01953125
2021-04-07,0.3125
2021-04-08,0.15625
2021-04-09,0.3125
2021-04-12,0.009765625
2021-04-13,0.3125
2021-04-15,0.15625
2021-04-16,43.9209
2021-04-19,0.078125
2021-04-20,0.625
2021-04-22,0.625
2021-04-23,0.0048828125
2021-04-26,32.509766
2021-04-27,0.625
2021-04-28,1.25
2021-04-29,0.3125
2021-04-30,0.3125
2021-05-03,0.15625
2021-05-04,0.3125
2021-05-05,0.3125
2021-05-06,0.078125
2021-05-07,47.747154
2021-05-10,0.0024414062
2021-05-11,0.078125
2021-05-12,0.3125
2021-05-14,39.609375
2021-05-17,40.3125
2021-05-18,0.3125
2021-05-19,0.3125
2021-05-20,40.878906
2021-05-21,0.15625
2021-05-24,0.15625
2021-05-25,55.859375
2021-05-26,0.3125
2021-05-27,0.15625
2021-05-28,0.3125
2021-05-31,0.15625
2021-06-01,35.805664
2021-06-02,0.3125
2021-06-03,0.078125
2021-06-04,31.831055
2021-06-07,0.15625
2021-06-08,32.54883
2021-06-09,0.3125
2021-06-10,0.078125
2021-06-11,34.663086
2021-06-14,47.678223
2021-06-15,45.654297
2021-06-16,43.111485
2021-06-17,34.02549
2021-06-18,35.19295
2021-06-21,32.50143
2021-06-22,32.788692
2021-06-23,28.982067
2021-06-24,34.19299
2021-06-25,33.363777
2021-06-28,35.060894
2021-06-29,32.674274
2021-06-30,33.567497
2021-07-01,33.37368
2021-07-02,33.592205
2021-07-05,34.533657
2021-07-06,34.198063
2021-07-07,33.806423
2021-07-08,33.228683
2021-07-09,28.425846
2021-07-12,33.574703
2021-07-13,35.055393
2021-07-14,27.402832
2021-07-15,34.112026
2021-07-16,35.027233
2021-07-19,32.30502
2021-07-20,35.66962
2021-07-22,32.55979
2021-07-23,28.444124
2021-07-26,32.359062
2021-07-27,32.819603
2021-07-28,40.091064
2021-07-29,32.83024
2021-07-30,31.95629
2021-08-02,32.61357
2021-08-03,32.264214
2021-08-04,44.136086
2021-08-05,32.4067
2021-08-06,34.128025
2021-08-09,33.61129
2021-08-10,33.319492
2021-08-11,34.67511
2021-08-12,32.701935
2021-08-13,33.634
2021-08-16,34.10493
2021-08-17,27.889214
2021-08-18,28.465906
2021-08-20,35.02245
2021-08-23,26.600155
2021-08-24,33.813786
2021-08-25,23.025726
2021-08-26,31.938055
2021-08-27,32.795498
2021-08-30,31.655546
2021-08-31,31.694342
2021-09-01,33.71556
2021-09-02,31.431696
2021-09-03,33.29318
2021-09-06,39.562595
2021-09-07,33.512383
2021-09-08,33.358765
2021-09-09,39.846153
2021-09-13,42.96899
2021-09-14,31.583559
2021-09-15,32.181667
2021-09-16,31.113647
2021-09-17,30.940584
2021-09-20,39.58201
2021-09-21,31.05577
2021-09-22,33.777916
2021-09-23,33.401558
2021-09-24,28.926172
2021-09-27,27.97328
2021-09-28,27.328619
2021-09-29,27.607954
2021-09-30,32.642372
2021-10-01,39.94236
2021-10-04,42.63084
2021-10-05,39.47654
2021-10-06,30.91687
2021-10-07,29.92503
2021-10-08,32.17323
2021-10-11,31.14801
2021-10-12,33.02979
2021-10-13,31.167507
2021-10-14,32.033726
2021-10-18,31.143219
2021-10-19,30.839222
2021-10-20,28.087427
2021-10-21,9.169522
2021-10-22,32.478344
2021-10-25,47.963474
2021-10-26,20.084703
2021-10-27,26.428839
2021-10-28,31.046621
2021-10-29,30.450956
2021-11-01,31.550142
2021-11-02,32.498676
2021-11-03,32.1744
2021-11-04,30.505104
2021-11-08,33.638935
2021-11-09,30.44168
2021-11-10,31.133747
2021-11-11,28.893871
2021-11-12,32.68165
2021-11-15,31.427034
2021-11-16,30.686666
2021-11-17,33.366882
2021-11-18,25.20115
2021-11-22,53.933544
2021-11-23,34.415844
2021-11-24,27.03944
2021-11-25,31.573347
2021-11-26,31.234638
2021-11-29,31.320118
2021-11-30,34.507313
2021-12-01,36.89824
2021-12-02,33.88731
2021-12-03,33.54931
2021-12-06,31.785362
2021-12-07,33.543423
2021-12-08,34.662407
2021-12-09,32.63258
2021-12-10,35.54113
2021-12-13,33.513313
2021-12-14,35.035427
2021-12-15,31.683804
2021-12-16,31.622995
2021-12-17,31.616783
2021-12-20,30.935858
2021-12-21,29.310343
2021-12-22,41.07041
2021-12-23,33.98647
2021-12-24,30.580437
2021-12-27,37.408073
2021-12-28,30.628765
2021-12-29,26.086893
2021-12-30,30.107443
2021-12-31,30.653486
2022-01-03,32.070103
2022-01-04,33.349663
2022-01-05,31.51612
2022-01-06,33.221443
2022-01-07,30.638897
2022-01-10,33.216366
2022-01-11,30.00136
2022-01-12,33.86721
2022-01-13,31.432219
2022-01-14,33.261738
2022-01-17,32.03565
2022-01-18,29.789448
2022-01-19,27.063341
2022-01-20,30.93166
2022-01-21,32.81851
2022-01-24,26.084837
2022-01-25,35.702477
2022-01-27,28.78098
2022-01-28,35.760586
2022-01-31,27.021374
2022-02-01,28.747993
2022-02-02,33.704746
2022-02-03,33.595757
2022-02-04,32.07041
2022-02-07,35.80406
2022-02-08,26.954288
2022-02-09,27.47143
2022-02-10,28.377132
2022-02-11,29.67805
2022-02-14,30.43764
2022-02-15,29.946663
2022-02-16,31.412329
2022-02-17,29.023176
2022-02-18,30.355108
2022-02-21,28.774723
2022-02-22,26.569675
2022-02-23,22.373476
2022-02-24,31.323534
2022-02-25,32.6745
2022-02-28,31.267242
2022-03-02,29.385038
2022-03-03,32.534058
2022-03-04,29.12663
2022-03-07,28.917841
2022-03-08,35.129745
2022-03-09,31.950867
2022-03-10,30.163738
2022-03-11,31.851767
2022-03-14,28.925453
2022-03-15,27.297878
2022-03-16,28.874773
2022-03-17,31.926823
2022-03-21,35.07895
2022-03-22,30.942982
2022-03-23,32.885357
2022-03-24,29.068567
2022-03-25,25.367582
2022-03-28,26.635021
2022-03-29,34.71612
2022-03-30,22.701717
2022-03-31,23.561956
2022-04-01,32.764732
2022-04-04,34.699886
2022-04-05,34.922173
2022-04-06,36.625126
2022-04-07,32.1299
2022-04-08,36.184887
2022-04-11,38.00198
2022-04-12,31.566927
2022-04-13,29.890005
2022-04-18,35.083508
2022-04-19,30.45263
2022-04-20,31.339127
2022-04-21,32.976334
2022-04-22,29.714306
2022-04-25,28.55039
2022-04-26,29.332191
2022-04-27,21.034658
2022-04-28,30.769573
2022-04-29,31.05306
2022-05-02,29.379047
2022-05-04,30.70022
2022-05-05,32.555584
2022-05-06,31.245317
2022-05-09,33.665142
2022-05-10,32.40361
2022-05-11,31.128231
2022-05-12,30.979967
2022-05-13,37.372845
2022-05-16,30.56757
2022-05-17,37.41175
2022-05-18,38.649105
2022-05-19,36.543896
2022-05-20,29.436026
2022-05-23,34.724056
2022-05-24,32.62928
2022-05-25,26.209156
2022-05-26,29.932287
2022-05-27,32.147324
2022-05-30,28.074728
2022-05-31,30.756475
2022-06-01,32.950394
2022-06-02,31.804148
2022-06-03,29.434673
2022-06-06,27.779955
2022-06-07,32.401035
2022-06-08,31.484444
2022-06-09,31.135475
2022-06-10,25.524223
2022-06-13,41.710354
2022-06-14,36.899097
2022-06-15,27.912823
2022-06-16,33.355244
2022-06-17,31.965637
2022-06-20,33.168102
2022-06-21,31.71153
2022-06-22,30.009901
2022-06-23,26.963625
2022-06-24,36.748528
2022-06-27,37.10732
2022-06-28,43.512157
2022-06-29,41.693047
2022-06-30,29.556852
2022-07-01,28.626781
2022-07-04,29.837923
2022-07-05,31.127853
2022-07-06,29.144157
2022-07-07,30.021967
2022-07-08,29.688034
2022-07-11,28.40407
2022-07-12,32.920208
2022-07-13,30.87526
2022-07-14,30.213478
2022-07-15,28.899048
2022-07-18,29.64769
2022-07-19,29.286497
2022-07-20,31.059961
2022-07-21,28.508747
2022-07-22,22.313587
2022-07-25,28.523697
2022-07-26,25.077154
2022-07-27,39.232563
2022-07-28,27.20959
2022-07-29,30.988768
2022-08-01,35.211945
2022-08-02,36.82391
2022-08-03,37.06183
2022-08-04,40.640503
2022-08-05,37.35337
2022-08-08,39.891205
2022-08-10,38.34326
2022-08-11,27.636251
2022-08-12,35.340416
2022-08-16,31.898457
2022-08-17,40.774563
2022-08-18,39.756474
2022-08-19,39.372505
2022-08-22,45.170692
2022-08-23,36.894527
2022-08-24,40.57247
2022-08-25,29.164942
2022-08-26,31.610367
2022-08-29,27.940113
2022-08-30,28.21116
2022-09-01,27.568758
2022-09-02,25.171589
2022-09-05,32.3417
2022-09-06,29.811853
2022-09-07,30.340033
2022-09-08,24.843199
2022-09-09,29.896076
2022-09-12,28.902454
2022-09-13,27.222557
2022-09-14,29.906303
2022-09-15,30.433723
2022-09-16,37.042957
2022-09-19,39.58524
2022-09-20,36.02035
2022-09-21,29.469728
2022-09-22,31.859987
2022-09-23,24.870085
2022-09-26,35.8985
2022-09-27,37.213326
2022-09-28,37.534225
2022-09-29,32.50822
2022-09-30,34.120987
2022-10-03,25.805323
2022-10-04,28.360292
2022-10-06,35.2604
2022-10-07,34.32046
2022-10-10,36.931396
2022-10-11,37.277958
2022-10-12,28.621304
2022-10-13,28.463049
2022-10-14,35.457554
2022-10-17,25.698648
2022-10-18,30.195148
2022-10-19,33.99628
2022-10-20,32.739174
2022-10-21,24.549524
2022-10-24,28.677649
2022-10-25,23.768938
2022-10-27,27.137331
2022-10-28,27.615496
2022-10-31,27.41964
2022-11-01,26.624298
2022-11-02,26.872702
2022-11-03,29.410666
2022-11-04,30.882347
2022-11-07,25.669827
2022-11-09,35.403717
2022-11-10,25.434965
2022-11-11,34.59934
2022-11-14,35.09558
2022-11-15,35.725803
2022-11-16,35.321945
2022-11-17,34.1768
2022-11-18,32.560425
2022-11-21,33.07551
2022-11-22,35.19291
2022-11-23,26.086267
2022-11-24,20.660011
2022-11-25,24.656672
2022-11-28,24.416601
2022-11-29,24.526283
2022-11-30,27.63047
2022-12-01,26.709044
2022-12-02,25.121912
2022-12-05,28.804714
2022-12-06,25.224695
2022-12-07,25.39451
2022-12-08,29.064972
2022-12-09,22.504076
2022-12-12,23.964706
2022-12-13,28.309805
2022-12-14,28.36539
2022-12-15,24.73649
2022-12-16,29.267675
2022-12-19,27.327875
2022-12-20,27.826271
2022-12-21,26.354399
2022-12-22,33.21179
2022-12-23,35.571644
2022-12-26,14.920684
2022-12-27,41.70593
2022-12-28,28.287148
2022-12-29,28.108242
2022-12-30,27.491934
2023-01-02,26.21183
2023-01-03,23.32586
2023-01-04,29.903486
2023-01-05,23.524105
2023-01-06,20.037796
2023-01-09,24.267715
2023-01-10,25.950285
2023-01-11,23.940168
2023-01-12,22.450348
2023-01-13,30.235008
2023-01-16,27.246218
2023-01-17,27.369732
2023-01-18,25.617903
2023-01-19,23.629717
2023-01-20,22.690178
2023-01-23,34.07128
2023-01-24,29.834608
2023-01-25,16.698275
2023-01-27,40.417408
2023-01-30,36.144745
2023-01-31,33.41249
2023-02-01,28.438831
2023-02-02,27.943733
2023-02-03,29.719564
2023-02-06,21.05884
2023-02-07,22.337057
2023-02-08,28.623745
2023-02-09,29.50954
2023-02-10,19.721323
2023-02-13,32.23849
2023-02-14,17.76639
2023-02-15,18.28616
2023-02-16,35.450012
2023-02-17,24.76282
2023-02-20,25.779345
2023-02-21,24.610891
2023-02-22,25.620543
2023-02-23,24.268034
2023-02-24,25.661436
2023-02-27,23.839045
2023-02-28,24.164127
2023-03-01,29.851475
2023-03-02,25.74522
2023-03-03,25.477898
2023-03-06,24.978937
2023-03-08,25.313066
2023-03-09,25.839428
2023-03-10,25.080153
2023-03-13,25.973265
2023-03-14,26.66212
2023-03-15,26.784956
2023-03-16,24.916386
2023-03-17,25.313986
2023-03-20,25.961246
2023-03-21,27.23979
2023-03-22,25.440502
2023-03-23,24.085936
2023-03-24,33.7653
2023-03-27,21.437244
2023-03-28,25.866777
2023-03-29,25.580286
2023-03-31,22.700642
2023-04-03,21.315985
2023-04-05,26.83442
2023-04-06,25.924036
2023-04-10,23.518059
2023-04-11,22.159937
2023-04-12,24.011421
2023-04-13,24.471594
2023-04-17,24.018642
2023-04-18,27.269236
2023-04-19,23.163511
2023-04-20,27.393621
2023-04-21,25.295334
2023-04-24,24.78539
2023-04-25,26.718634
2023-04-26,23.195135
2023-04-27,24.476562
2023-04-28,24.23125
2023-05-02,25.205702
2023-05-03,26.150433
2023-05-04,25.777851
2023-05-05,25.439413
2023-05-08,23.492027
2023-05-09,24.785282
2023-05-10,29.183546
2023-05-11,23.77868
2023-05-12,25.806978
2023-05-15,24.656199
2023-05-16,26.578094
2023-05-17,40.896698
2023-05-18,23.725061
2023-05-19,32.105194
2023-05-22,28.975494
2023-05-23,26.321554
2023-05-24,20.580471
2023-05-25,24.512169
2023-05-26,25.119318
2023-05-29,24.327677
2023-05-30,25.516745
2023-05-31,25.898386
2023-06-01,27.146679
2023-06-02,26.580772
2023-06-05,23.914595
2023-06-06,23.545202
2023-06-07,23.124493
2023-06-08,28.321915
2023-06-09,26.85648
2023-06-12,25.88635
2023-06-13,27.458426
2023-06-14,31.889017
2023-06-15,23.12508
2023-06-16,22.687319
2023-06-19,35.998714
2023-06-20,37.47568
2023-06-21,25.916393
2023-06-22,22.560719
2023-06-23,26.256811
2023-06-26,32.31067
2023-06-27,25.144903
2023-06-30,24.115572
2023-07-03,30.909306
2023-07-04,23.998734
