date,iv_atm
2017-07-04,33.095703
2017-07-05,32.79297
2017-07-06,28.59375
2017-07-07,20.152218
2017-07-10,20.625
2017-07-11,25.058594
2017-07-12,21.279297
2017-07-13,26.064453
2017-07-14,22.373047
2017-07-17,34.95117
2017-07-18,25.283203
2017-07-19,25.46875
2017-07-20,27.927477
2017-07-21,15.292969
2017-07-24,99.921875
2017-07-25,32.441406
2017-07-27,70.84961
2017-07-28,24.833984
2017-07-31,11.694336
2017-08-01,12.7734375
2017-08-02,25.954565
2017-08-03,31.811523
2017-08-04,12.480469
2017-08-07,34.00879
2017-08-08,30.561523
2017-08-09,5.6835938
2017-08-10,68.75
2017-08-11,39.433594
2017-08-14,29.121094
2017-08-16,29.980469
2017-08-17,33.046875
2017-08-18,44.89258
2017-08-21,69.49219
2017-08-22,38.632812
2017-08-23,33.82917
2017-08-24,27.519531
2017-08-28,37.285156
2017-08-29,47.929688
2017-08-30,44.765625
2017-08-31,33.378906
2017-09-01,36.49414
2017-09-04,30.126953
2017-09-05,28.183594
2017-09-06,26.289062
2017-09-07,24.794922
2017-09-08,26.103516
2017-09-11,30.410156
2017-09-12,33.828125
2017-09-13,51.416016
2017-09-14,31.875
2017-09-15,24.853516
2017-09-18,31.96289
2017-09-19,29.785156
2017-09-20,28.564453
2017-09-21,29.550781
2017-09-22,498.92578
2017-09-25,38.945312
2017-09-26,30.351562
2017-09-27,42.734375
2017-09-28,31.054688
2017-09-29,21.782227
2017-10-03,25.327148
2017-10-04,25.06836
2017-10-05,26.503906
2017-10-06,28.476562
2017-10-09,25.24414
2017-10-10,26.308594
2017-10-11,24.707031
2017-10-12,24.93164
2017-10-13,28.417969
2017-10-16,26.502623
2017-10-17,27.519531
2017-10-18,22.402344
2017-10-23,36.777344
2017-10-24,46.210938
2017-10-25,36.679688
2017-10-26,24.042969
2017-10-27,91.103516
2017-10-30,93.78906
2017-10-31,29.882812
2017-11-01,32.598015
2017-11-02,32.177734
2017-11-03,29.726562
2017-11-06,36.708984
2017-11-07,40.88867
2017-11-08,31.96289
2017-11-09,37.216797
2017-11-10,38.867653
2017-11-13,42.069523
2017-11-14,36.11328
2017-11-15,37.05078
2017-11-16,33.691406
2017-11-17,29.93693
2017-11-20,31.09375
2017-11-21,35.195312
2017-11-22,37.226562
2017-11-23,32.460938
2017-11-24,27.617188
2017-11-27,35.195312
2017-11-28,40.15625
2017-11-29,59.765625
2017-11-30,30.336914
2017-12-01,30.473633
2017-12-04,31.074219
2017-12-05,32.16797
2017-12-06,29.345703
2017-12-07,40.117188
2017-12-08,27.363281
2017-12-11,27.324219
2017-12-12,29.570312
2017-12-13,27.021484
2017-12-14,26.357422
2017-12-15,25.84961
2017-12-18,24.257812
2017-12-19,30.009766
2017-12-20,31.65039
2017-12-21,29.53125
2017-12-22,15.078125
2017-12-26,55.117188
2017-12-27,66.44531
2017-12-28,26.96289
2017-12-29,31.71875
2018-01-01,27.30957
2018-01-02,32.211914
2018-01-03,15.859375
2018-01-04,20.15625
2018-01-05,33.82663
2018-01-08,156.94046
2018-01-09,19.238281
2018-01-10,21.113281
2018-01-11,19.716797
2018-01-12,33.046875
2018-01-15,200.85439
2018-01-16,28.417969
2018-01-17,36.25
2018-01-18,51.40625
2018-01-19,51.591797
2018-01-22,30.039062
2018-01-23,56.69922
