date,iv_atm
2017-07-04,33.046875
2017-07-05,33.828125
2017-07-06,32.5
2017-07-07,32.34375
2017-07-10,33.4375
2017-07-11,33.28125
2017-07-12,33.90625
2017-07-13,33.59375
2017-07-14,33.349953
2017-07-17,38.28125
2017-07-18,41.71875
2017-07-19,45.0
2017-07-20,46.716785
2017-07-21,32.03125
2017-07-24,36.25
2017-07-25,33.125
2017-07-27,30.3125
2017-07-28,31.015625
2017-07-31,32.421875
2017-08-01,31.71875
2017-08-02,30.625
2017-08-03,30.9375
2017-08-04,29.84375
2017-08-07,31.25
2017-08-08,31.328125
2017-08-09,33.90625
2017-08-10,37.8125
2017-08-11,42.1875
2017-08-14,37.578125
2017-08-16,35.3125
2017-08-17,34.525005
2017-08-18,33.35992
2017-08-21,35.15625
2017-08-22,34.375
2017-08-23,29.0625
2017-08-24,25.935406
2017-08-28,34.375
2017-08-29,39.6875
2017-08-30,41.25
2017-08-31,32.8125
2017-09-01,32.65625
2017-09-04,35.859375
2017-09-05,35.78125
2017-09-06,35.390625
2017-09-07,34.6875
2017-09-08,34.375
2017-09-11,34.140625
2017-09-12,33.203125
2017-09-13,31.796875
2017-09-14,30.546875
2017-09-15,31.367132
2017-09-18,32.1875
2017-09-19,31.796875
2017-09-20,31.40625
2017-09-21,31.25
2017-09-22,30.78125
2017-09-25,36.62584
2017-09-26,36.875
2017-09-27,36.875
2017-09-28,35.078125
2017-09-29,34.609375
2017-10-03,33.828125
2017-10-04,34.296875
2017-10-05,32.109375
2017-10-06,30.703125
2017-10-09,31.640625
2017-10-10,30.078125
2017-10-11,32.1875
2017-10-12,31.484375
2017-10-13,31.5625
2017-10-16,31.484375
2017-10-17,28.59375
2017-10-18,23.90625
2017-10-23,32.8125
2017-10-24,32.5
2017-10-25,39.612736
2017-10-26,32.114704
2017-10-27,32.723274
2017-10-30,34.6875
2017-10-31,34.921875
2017-11-01,36.171875
2017-11-02,35.02874
2017-11-03,37.34375
2017-11-06,41.089565
2017-11-07,43.4375
2017-11-08,36.875
2017-11-09,34.53125
2017-11-10,33.359375
2017-11-13,37.96875
2017-11-14,38.125
2017-11-15,39.21875
2017-11-16,36.25
2017-11-17,33.828125
2017-11-20,37.8125
2017-11-21,38.59375
2017-11-22,37.34375
2017-11-23,35.029915
2017-11-24,35.15625
2017-11-27,43.4375
2017-11-28,39.441334
2017-11-29,37.780224
2017-11-30,36.09375
2017-12-01,35.546875
2017-12-04,37.5
2017-12-05,37.65625
2017-12-06,37.07099
2017-12-07,34.296875
2017-12-08,34.765625
2017-12-11,37.1875
2017-12-12,40.15625
2017-12-13,41.171875
2017-12-14,45.0
2017-12-15,41.09375
2017-12-18,36.175785
2017-12-19,34.375
2017-12-20,34.140625
2017-12-21,32.65625
2017-12-22,32.03125
2017-12-26,44.375
2017-12-27,45.625
2017-12-28,33.515625
2017-12-29,34.84375
2018-01-01,39.375
2018-01-02,37.421875
2018-01-03,36.173622
2018-01-04,34.6875
2018-01-05,33.359375
2018-01-08,33.203125
2018-01-09,34.21875
2018-01-10,33.4375
2018-01-11,33.4375
2018-01-12,32.1875
2018-01-15,33.203125
2018-01-16,33.515625
2018-01-17,31.50029
2018-01-18,35.0
2018-01-19,31.40625
2018-01-22,37.692875
2018-01-23,38.4375
2018-01-24,42.8125
2018-01-25,45.234375
2018-01-29,44.140625
2018-01-30,42.5
2018-01-31,43.70058
2018-02-01,42.282528
2018-02-02,45.056564
2018-02-05,42.708942
2018-02-06,47.03125
2018-02-07,44.716713
2018-02-08,40.15625
2018-02-09,41.40625
2018-02-12,42.03125
2018-02-14,39.21875
2018-02-15,38.28125
2018-02-16,34.949776
2018-02-19,37.65625
2018-02-20,37.96875
2018-02-21,29.0625
2018-02-22,32.565357
2018-02-23,29.445076
2018-02-26,30.546875
2018-02-27,30.859375
2018-02-28,31.328125
2018-03-01,31.132368
2018-03-05,33.74676
