date,iv_atm
2017-07-04,33.554688
2017-07-05,32.8125
2017-07-06,32.264908
2017-07-07,32.08008
2017-07-10,34.71889
2017-07-11,34.941406
2017-07-12,36.68678
2017-07-13,37.01172
2017-07-14,39.04297
2017-07-17,49.160156
2017-07-18,49.941406
2017-07-19,39.472656
2017-07-20,36.42578
2017-07-21,27.089844
2017-07-24,33.867188
2017-07-25,37.65625
2017-07-27,34.804688
2017-07-28,35.820312
2017-07-31,38.242188
2017-08-01,37.910156
2017-08-02,37.265625
2017-08-03,38.027344
2017-08-04,39.101562
2017-08-07,40.664062
2017-08-08,42.16797
2017-08-09,46.82617
2017-08-10,39.414062
2017-08-11,39.95117
2017-08-14,36.297714
2017-08-16,35.185547
2017-08-17,37.382812
2017-08-18,36.875
2017-08-21,38.652344
2017-08-22,38.57422
2017-08-23,33.652344
2017-08-24,24.765625
2017-08-28,27.5
2017-08-29,35.3125
2017-08-30,36.976574
2017-08-31,31.455078
2017-09-01,33.066406
2017-09-04,36.240234
2017-09-05,36.38672
2017-09-06,36.25
2017-09-07,39.140625
2017-09-08,36.689453
2017-09-11,36.61133
2017-09-12,34.21875
2017-09-13,37.871094
2017-09-14,35.946217
2017-09-15,34.767967
2017-09-18,38.148685
2017-09-19,41.328125
2017-09-20,40.742188
2017-09-21,41.914062
2017-09-22,37.265625
2017-09-25,49.648438
2017-09-26,42.34519
2017-09-27,52.34375
2017-09-28,42.8125
2017-09-29,37.890625
2017-10-03,37.51953
2017-10-04,34.960938
2017-10-05,33.38867
2017-10-06,31.484375
2017-10-09,36.642727
2017-10-10,34.375
2017-10-11,33.123077
2017-10-12,30.917969
2017-10-13,32.070312
2017-10-16,30.722656
2017-10-17,31.992188
2017-10-18,29.257812
2017-10-23,37.890625
2017-10-24,38.203125
2017-10-25,41.471107
2017-10-26,33.945312
2017-10-27,36.96289
2017-10-30,38.30078
2017-10-31,36.796875
2017-11-01,38.66211
2017-11-02,40.1573
2017-11-03,42.155495
2017-11-06,45.06836
2017-11-07,47.867554
2017-11-08,47.626953
2017-11-09,45.839844
2017-11-10,39.335938
2017-11-13,44.375
2017-11-14,42.67578
2017-11-15,43.203125
2017-11-16,40.742188
2017-11-17,39.4449
2017-11-20,40.429688
2017-11-21,39.414062
2017-11-22,37.246094
2017-11-23,37.773438
2017-11-24,35.234375
2017-11-27,39.53125
2017-11-28,45.039062
2017-11-29,41.015625
2017-11-30,37.20703
2017-12-01,38.085938
2017-12-04,37.734375
2017-12-05,37.94922
2017-12-06,38.066406
2017-12-07,34.60896
2017-12-08,33.26172
2017-12-11,35.127785
2017-12-12,39.746094
2017-12-13,42.226562
2017-12-14,39.628906
2017-12-15,38.59375
2017-12-18,34.04297
2017-12-19,31.289062
2017-12-20,29.038223
2017-12-21,30.802532
2017-12-22,28.478397
2017-12-26,38.125
2017-12-27,40.3125
2017-12-28,34.453125
2017-12-29,33.808594
2018-01-01,34.277344
2018-01-02,36.640625
2018-01-03,35.996094
2018-01-04,37.734375
2018-01-05,36.867542
2018-01-08,37.910156
2018-01-09,38.122524
2018-01-10,38.999554
2018-01-11,39.70259
2018-01-12,37.597656
2018-01-15,36.38672
2018-01-16,39.179688
2018-01-17,37.34375
2018-01-18,36.18253
2018-01-19,33.125
2018-01-22,37.1875
2018-01-23,44.882812
2018-01-24,41.902832
2018-01-25,39.46289
2018-01-29,42.929688
2018-01-30,42.109375
2018-01-31,43.73047
2018-02-01,44.023438
2018-02-02,47.998047
2018-02-05,50.273438
2018-02-06,50.390625
2018-02-07,51.347656
2018-02-08,41.215446
2018-02-09,41.015625
2018-02-12,36.933594
2018-02-14,36.015625
2018-02-15,39.121094
2018-02-16,33.007812
2018-02-19,42.460938
2018-02-20,53.671875
2018-02-21,65.46875
2018-02-22,33.61328
2018-02-23,31.464844
2018-02-26,29.794922
2018-02-27,30.15625
2018-02-28,29.352459
2018-03-01,29.814865
2018-03-05,33.858757
2018-03-06,30.273438
2018-03-07,32.109375
2018-03-08,32.304688
2018-03-09,31.71875
2018-03-12,32.070312
2018-03-13,30.195312
2018-03-14,31.464844
2018-03-15,33.476562
2018-03-16,34.101562
2018-03-19,36.367188
2018-03-20,35.742188
2018-03-21,32.96875
2018-03-22,30.351562
2018-03-23,28.90625
2018-03-26,45.9375
2018-03-27,40.859375
2018-03-28,29.726562
2018-04-02,31.425781
2018-04-03,31.5625
2018-04-04,30.761719
2018-04-05,29.257812
2018-04-06,29.9165
2018-04-09,31.132812
2018-04-10,30.234375
2018-04-11,32.1875
2018-04-12,31.25
2018-04-13,30.507812
2018-04-16,31.25
2018-04-17,30.214844
2018-04-18,30.957031
2018-04-19,31.035156
2018-04-20,28.28125
