date,iv_atm
2017-07-04,111.35254
2017-07-05,33.271484
2017-07-06,31.450195
2017-07-07,30.27832
2017-07-10,31.245117
2017-07-11,55.58384
2017-07-12,57.834656
2017-07-13,25.830078
2017-07-14,30.342005
2017-07-17,33.027344
2017-07-18,25.078125
2017-07-19,25.742188
2017-07-20,34.960938
2017-07-21,19.414062
2017-07-24,21.386719
2017-07-25,42.578125
2017-07-27,74.140625
2017-07-28,28.183594
2017-07-31,28.38379
2017-08-01,24.389648
2017-08-02,27.56836
2017-08-03,28.62793
2017-08-04,29.770508
2017-08-07,26.987305
2017-08-08,25.742188
2017-08-09,32.70508
2017-08-10,59.58008
2017-08-11,28.03711
2017-08-14,33.691406
2017-08-16,52.124023
2017-08-17,42.54883
2017-08-18,93.59375
2017-08-21,71.97266
2017-08-22,117.01172
2017-08-23,23.710938
2017-08-24,30.605469
2017-08-28,51.07422
2017-08-29,47.79297
2017-08-30,46.367188
2017-08-31,31.796875
2017-09-01,65.5957
2017-09-04,67.36328
2017-09-05,37.98828
2017-09-06,69.53125
2017-09-07,72.53906
2017-09-08,27.675781
2017-09-11,35.722656
2017-09-12,25.201658
2017-09-13,93.28125
2017-09-14,35.06836
2017-09-15,30.283203
2017-09-18,55.1416
2017-09-19,26.381706
2017-09-20,27.560478
2017-09-21,23.050274
2017-09-22,26.640625
2017-09-25,37.558594
2017-09-26,29.53125
2017-09-27,66.015625
2017-09-28,77.041016
2017-09-29,77.97363
2017-10-03,51.259766
2017-10-04,57.563477
2017-10-05,35.69336
2017-10-06,50.874023
2017-10-09,32.089844
2017-10-10,53.100586
2017-10-11,30.273438
2017-10-12,33.02469
2017-10-13,31.884766
2017-10-16,26.152344
2017-10-17,25.488281
2017-10-18,29.892578
2017-10-23,34.08203
2017-10-24,53.59375
2017-10-25,261.42578
2017-10-26,54.248047
2017-10-27,27.739258
2017-10-30,31.694336
2017-10-31,36.254883
2017-11-01,37.001953
2017-11-02,27.001953
2017-11-03,27.124023
2017-11-06,37.0166
2017-11-07,61.445312
2017-11-08,31.967773
2017-11-09,26.191406
2017-11-10,31.674805
2017-11-13,47.123333
2017-11-14,36.63086
2017-11-15,43.59375
2017-11-16,46.279297
2017-11-17,49.341095
2017-11-20,53.449417
2017-11-21,54.792973
2017-11-22,50.532227
2017-11-23,48.38867
2017-11-24,46.45508
2017-11-27,43.378906
2017-11-28,46.796875
2017-11-29,51.347656
2017-11-30,45.61035
2017-12-01,33.789062
2017-12-04,34.38965
2017-12-05,37.32422
2017-12-06,43.657227
2017-12-07,38.6038
2017-12-08,38.05664
2017-12-11,39.23828
2017-12-12,38.291016
2017-12-13,41.784508
2017-12-14,44.577755
2017-12-15,39.902344
2017-12-18,40.195312
2017-12-19,32.65625
2017-12-20,32.728615
2017-12-21,36.69922
2017-12-22,27.34375
2017-12-26,33.28125
2017-12-27,44.609375
2017-12-28,30.214844
2017-12-29,31.35254
2018-01-01,32.76367
2018-01-02,30.488281
2018-01-03,29.84375
2018-01-04,28.017578
2018-01-05,31.103516
2018-01-08,26.445312
2018-01-09,17.539062
2018-01-10,44.44336
2018-01-11,39.873047
2018-01-12,38.466797
2018-01-15,36.69922
2018-01-16,35.625
2018-01-17,52.5
2018-01-18,33.79883
2018-01-19,27.324219
2018-01-22,32.67578
2018-01-23,38.28125
2018-01-24,34.179688
2018-01-25,26.81645
2018-01-29,29.18457
2018-01-30,43.554688
2018-01-31,38.83789
2018-02-01,32.314453
2018-02-02,25.488281
2018-02-05,204.6289
2018-02-06,51.171875
2018-02-07,48.83789
2018-02-08,40.46875
2018-02-09,39.833984
2018-02-12,42.070312
2018-02-14,39.960938
2018-02-15,41.78711
2018-02-16,40.283203
2018-02-19,38.554688
2018-02-20,48.125
2018-02-21,38.984375
2018-02-22,27.998047
2018-02-23,26.80664
2018-02-26,28.886719
2018-02-27,28.798828
2018-02-28,30.175781
2018-03-01,23.808594
2018-03-05,198.21289
2018-03-06,35.3125
2018-03-07,30.302734
2018-03-08,30.778812
2018-03-09,30.302734
2018-03-12,35.029297
2018-03-13,33.691406
2018-03-14,31.972656
2018-03-15,29.785156
2018-03-16,38.59375
2018-03-19,37.617188
2018-03-20,39.257812
2018-03-21,34.433594
2018-03-22,30.820312
2018-03-23,32.597656
2018-03-26,32.148438
2018-03-27,53.966625
2018-03-28,25.898438
2018-04-02,45.273438
2018-04-03,31.33789
2018-04-04,30.488281
2018-04-05,38.21289
2018-04-06,29.960938
2018-04-09,38.36914
2018-04-10,40.76172
2018-04-11,38.007812
2018-04-12,36.464844
2018-04-13,35.689877
2018-04-16,44.24314
2018-04-17,33.45703
2018-04-18,36.435547
2018-04-19,28.867188
2018-04-20,25.703125
2018-04-23,25.175781
2018-04-24,34.82422
2018-04-25,35.039062
2018-04-26,29.926758
2018-04-27,29.335938
2018-04-30,34.00879
2018-05-02,21.123047
2018-05-03,42.86133
2018-05-04,23.105469
2018-05-07,23.867188
2018-05-08,47.39258
2018-05-09,83.61328
2018-05-10,35.493164
2018-05-11,33.740234
2018-05-14,36.65039
2018-05-15,32.773438
2018-05-16,37.783203
2018-05-17,38.57422
2018-05-18,48.19336
2018-05-21,39.589844
2018-05-22,43.75
2018-05-23,16.748047
2018-05-24,69.140625
2018-05-25,41.58203
2018-05-28,49.6875
2018-05-29,102.75391
2018-05-30,151.75781
2018-05-31,43.54492
2018-06-01,83.10547
2018-06-04,28.574219
2018-06-05,43.134766
2018-06-06,34.990234
2018-06-07,34.179688
2018-06-08,34.433594
2018-06-11,34.63867
2018-06-12,34.189453
2018-06-13,36.035156
2018-06-14,33.847656
2018-06-15,34.19922
2018-06-18,37.74414
2018-06-19,40.058594
2018-06-20,38.88672
2018-06-21,32.978516
2018-06-22,29.960938
2018-06-25,49.257812
2018-06-26,24.255238
2018-06-27,90.89844
2018-06-28,33.59375
2018-06-29,44.179688
2018-07-02,36.142456
2018-07-03,36.18164
2018-07-04,36.157475
2018-07-05,32.893543
2018-07-06,33.97461
2018-07-09,36.18882
2018-07-10,39.804688
2018-07-11,38.515625
2018-07-12,42.783203
2018-07-13,42.382812
2018-07-16,46.89453
2018-07-17,45.351562
2018-07-18,47.34375
2018-07-19,46.210938
2018-07-20,40.820312
2018-07-23,56.835938
2018-07-24,59.335938
2018-07-25,71.640625
2018-07-26,33.237305
2018-07-27,33.598633
2018-07-30,32.436523
2018-07-31,38.222656
2018-08-01,39.82422
2018-08-02,40.429688
2018-08-03,41.914062
2018-08-06,42.143555
2018-08-07,31.533203
2018-08-08,36.435547
2018-08-09,38.984375
2018-08-10,34.28711
2018-08-13,35.20508
2018-08-14,37.405624
2018-08-16,39.868164
2018-08-17,41.396484
2018-08-20,41.774567
2018-08-21,41.47762
2018-08-23,38.14453
2018-08-24,37.34375
2018-08-27,40.642494
2018-08-28,47.01172
2018-08-29,56.328125
2018-08-30,36.7334
2018-08-31,37.86133
