date,iv_atm
2020-02-28,62.695312
2020-03-02,54.55078
2020-03-03,53.339844
2020-03-04,53.72395
2020-03-05,47.597656
2020-03-06,52.578125
2020-03-09,83.47656
2020-03-11,74.21875
2020-03-12,91.36719
2020-03-13,122.77344
2020-03-16,1.25
2020-03-17,2.5
2020-03-18,261.09375
2020-03-19,282.96875
2020-03-20,222.5
2020-03-23,193.125
2020-03-24,10.0
2020-03-25,10.0
2020-03-26,0.625
2020-03-27,192.61719
2020-03-30,2.5
2020-03-31,149.375
2020-04-01,139.96094
2020-04-03,145.03906
2020-04-07,202.1875
2020-04-08,167.14844
2020-04-09,162.1875
2020-04-13,145.23438
2020-04-15,157.65625
2020-04-16,134.29688
2020-04-17,88.046875
2020-04-20,135.27422
2020-04-21,124.0625
2020-04-22,104.765625
2020-04-23,104.0625
2020-04-24,86.953125
2020-04-27,117.8125
2020-04-28,64.34602
2020-04-29,90.625
2020-04-30,91.09375
2020-05-04,105.66406
2020-05-05,106.91406
2020-05-06,109.02344
2020-05-07,105.859375
2020-05-08,102.92969
2020-05-11,113.359375
2020-05-12,115.78125
2020-05-13,94.84375
2020-05-14,82.46094
2020-05-15,81.71875
2020-05-18,89.375
2020-05-19,93.90625
2020-05-20,83.125
2020-05-21,72.578125
2020-05-22,67.734375
2020-05-26,88.125
2020-05-27,61.71875
2020-05-28,67.5
2020-05-29,70.19531
2020-06-01,67.8125
2020-06-02,74.96094
2020-06-03,80.89844
2020-06-04,83.78906
2020-06-05,81.26448
2020-06-08,98.828125
2020-06-09,113.75
2020-06-10,127.46094
2020-06-11,120.234375
2020-06-12,120.78125
2020-06-15,122.77344
2020-06-16,119.10769
2020-06-17,110.82031
2020-06-18,95.078125
2020-06-19,86.09375
2020-06-22,94.21875
2020-06-23,125.3125
2020-06-24,61.25
2020-06-25,86.71875
2020-06-26,82.53906
2020-06-29,75.83984
2020-06-30,74.66797
2020-07-01,71.91406
2020-07-02,68.71094
2020-07-03,65.42969
2020-07-06,65.625
2020-07-07,72.40234
2020-07-08,72.92969
2020-07-09,69.80469
2020-07-10,72.38281
2020-07-13,85.83984
2020-07-14,80.68359
2020-07-15,76.5625
2020-07-16,73.15729
2020-07-17,68.71094
2020-07-20,80.859375
2020-07-21,72.1875
2020-07-22,69.49219
2020-07-23,50.898438
2020-07-24,63.867188
2020-07-27,59.453125
2020-07-28,42.03125
2020-07-29,44.375
2020-07-30,67.07031
2020-07-31,65.97656
2020-08-03,57.05078
2020-08-04,55.44922
2020-08-05,54.023438
2020-08-06,54.960938
2020-08-07,54.296875
2020-08-10,57.109375
2020-08-11,55.859375
2020-08-12,59.492188
2020-08-13,54.960938
2020-08-14,51.601562
2020-08-17,57.265625
2020-08-18,63.671875
2020-08-19,64.41406
2020-08-20,56.328064
2020-08-21,39.648438
2020-08-24,52.65625
2020-08-25,38.75
2020-08-26,53.4375
2020-08-27,58.91928
2020-08-28,49.549023
2020-08-31,58.945312
2020-09-01,54.414062
2020-09-02,53.945312
2020-09-03,53.125
2020-09-04,57.51953
2020-09-07,58.710938
2020-09-08,57.734375
2020-09-09,55.273438
2020-09-10,51.5625
2020-09-11,49.6875
2020-09-14,65.0
2020-09-15,63.28125
2020-09-16,59.921875
2020-09-17,60.695896
2020-09-18,54.6875
2020-09-21,64.375
2020-09-22,63.75
2020-09-23,74.375
2020-09-24,58.945312
2020-09-25,49.39453
2020-09-28,47.441406
2020-09-29,49.492188
2020-09-30,47.8125
2020-10-01,44.140625
2020-10-05,47.265625
2020-10-06,49.257812
2020-10-07,50.48828
2020-10-08,52.226562
2020-10-09,52.304688
2020-10-12,54.589844
2020-10-13,55.429688
2020-10-14,56.210938
2020-10-15,58.4375
2020-10-16,52.265625
2020-10-19,56.445312
2020-10-20,59.453125
2020-10-21,60.976562
2020-10-22,47.773438
2020-10-23,39.53125
2020-10-26,41.021782
2020-10-27,46.5625
2020-10-28,45.15625
2020-10-29,60.074326
2020-10-30,57.382812
2020-11-02,56.679688
2020-11-03,53.632812
2020-11-04,47.910156
2020-11-05,43.320312
2020-11-06,45.546875
2020-11-09,47.05078
2020-11-10,47.285156
2020-11-11,47.070312
2020-11-12,47.890625
2020-11-13,46.53501
2020-11-14,48.435177
2020-11-17,49.140625
2020-11-18,48.046875
2020-11-19,50.181343
2020-11-20,40.117188
2020-11-23,54.765625
2020-11-24,54.53125
2020-11-25,48.59375
2020-11-26,46.054688
2020-11-27,47.851562
2020-12-01,49.433594
2020-12-02,48.964844
2020-12-03,48.398438
2020-12-04,48.986843
2020-12-07,51.308594
2020-12-08,51.397198
2020-12-09,53.203125
2020-12-10,52.13732
2020-12-11,52.929688
2020-12-14,54.220753
2020-12-15,48.007812
2020-12-16,52.734375
2020-12-17,51.679688
2020-12-18,49.726562
2020-12-21,59.335938
2020-12-22,49.335938
2020-12-23,46.484375
2020-12-24,40.78125
2020-12-28,49.375
2020-12-29,42.8125
2020-12-30,44.530285
2020-12-31,53.45703
2021-01-01,53.242188
2021-01-04,54.70703
2021-01-05,54.179688
2021-01-06,57.871094
2021-01-07,58.515625
2021-01-08,50.273438
2021-01-11,56.796875
2021-01-12,76.60156
2021-01-13,78.55469
2021-01-14,77.69531
2021-01-15,78.53516
2021-01-18,76.60156
2021-01-19,80.625
2021-01-20,81.36719
2021-01-21,63.671875
2021-01-22,55.15625
2021-01-25,47.09704
2021-01-27,44.952854
2021-01-28,60.664062
2021-01-29,66.21094
2021-02-01,62.997677
2021-02-02,66.640625
2021-02-03,62.71533
2021-02-04,65.278656
2021-02-05,69.6875
2021-02-08,70.31235
2021-02-09,67.421875
2021-02-10,66.06558
2021-02-11,67.1875
2021-02-12,63.242188
2021-02-15,63.671875
2021-02-16,63.632812
2021-02-17,66.40625
2021-02-18,59.15009
2021-02-19,47.265625
2021-02-22,47.96875
2021-02-23,49.375
2021-02-24,53.125
2021-02-25,55.502594
2021-02-26,56.56081
2021-03-01,56.36585
2021-03-02,55.57854
2021-03-03,56.11851
2021-03-04,57.96875
2021-03-05,56.746086
2021-03-08,56.25
2021-03-09,54.140625
2021-03-10,53.41797
2021-03-12,54.765625
2021-03-15,51.210938
2021-03-16,49.221462
2021-03-17,48.75
2021-03-18,45.859375
2021-03-19,41.132812
2021-03-22,48.10516
2021-03-23,63.203125
2021-03-24,43.28125
2021-03-25,49.6875
2021-03-26,45.993164
2021-03-30,46.523438
2021-03-31,46.35989
2021-04-01,93.88672
2021-04-05,46.679688
2021-04-06,49.19922
2021-04-07,46.015625
2021-04-08,43.28125
2021-04-09,45.273438
2021-04-12,54.335938
2021-04-13,49.492188
2021-04-15,50.46875
2021-04-16,58.046875
2021-04-19,55.78125
2021-04-20,46.638435
2021-04-22,47.010864
2021-04-23,35.94284
2021-04-26,48.81186
2021-04-27,39.609375
2021-04-28,40.0
2021-04-29,0.625
2021-04-30,51.32544
2021-05-03,52.851562
2021-05-04,54.21875
2021-05-05,55.370037
2021-05-06,56.523438
2021-05-07,59.84375
2021-05-10,51.5625
2021-05-11,51.757812
2021-05-12,52.1875
2021-05-14,51.419518
2021-05-17,52.070312
2021-05-18,49.53125
2021-05-19,50.093906
2021-05-20,49.609375
2021-05-21,44.296875
2021-05-24,52.34375
2021-05-25,45.9375
2021-05-26,37.34375
2021-05-27,45.898438
2021-05-28,63.085938
2021-05-31,45.976562
2021-06-01,46.71875
2021-06-02,42.617188
2021-06-03,40.742188
