date,iv_atm
2017-07-04,34.84375
2017-07-05,32.65625
2017-07-06,31.664764
2017-07-07,32.06841
2017-07-10,38.861797
2017-07-11,36.171875
2017-07-12,35.625
2017-07-13,35.46875
2017-07-14,34.956696
2017-07-17,38.095394
2017-07-18,39.53125
2017-07-19,39.296875
2017-07-20,38.4375
2017-07-21,33.984375
2017-07-24,42.8125
2017-07-25,43.59375
2017-07-27,36.015625
2017-07-28,35.625
2017-07-31,40.234375
2017-08-01,40.234375
2017-08-02,39.296875
2017-08-03,38.710938
2017-08-04,38.359375
2017-08-07,40.703125
2017-08-08,42.65625
2017-08-09,45.546875
2017-08-10,49.453125
2017-08-11,56.796875
2017-08-14,42.8125
2017-08-16,41.328125
2017-08-17,41.108265
2017-08-18,40.0
2017-08-21,41.484375
2017-08-22,42.8125
2017-08-23,40.625
2017-08-24,35.625
2017-08-28,40.9375
2017-08-29,47.8125
2017-08-30,50.625
2017-08-31,37.734375
2017-09-01,35.46875
2017-09-04,38.203125
2017-09-05,36.796875
2017-09-06,37.343197
2017-09-07,36.21404
2017-09-08,35.625
2017-09-11,37.5
2017-09-12,34.453125
2017-09-13,33.28125
2017-09-14,33.59375
2017-09-15,33.59375
2017-09-18,35.234375
2017-09-19,36.09375
2017-09-20,38.515625
2017-09-21,35.258667
2017-09-22,35.3125
2017-09-25,45.78125
2017-09-26,46.875
2017-09-27,48.125
2017-09-28,36.796875
2017-09-29,35.424007
2017-10-03,36.69333
2017-10-04,33.75
2017-10-05,31.40625
2017-10-06,30.546875
2017-10-09,32.734375
2017-10-10,31.953125
2017-10-11,34.140625
2017-10-12,32.890625
2017-10-13,31.5625
2017-10-16,32.725735
2017-10-17,30.234375
2017-10-18,30.0
2017-10-23,42.1875
2017-10-24,51.5625
2017-10-25,139.40038
2017-10-26,56.757812
2017-10-27,50.742188
2017-10-30,51.666912
2017-10-31,51.015625
2017-11-01,54.184097
2017-11-02,51.47284
2017-11-03,52.070312
2017-11-06,56.897007
2017-11-07,57.96875
2017-11-08,58.867188
2017-11-09,56.5625
