date,iv_atm
2017-07-04,32.79143
2017-07-05,30.07091
2017-07-06,30.039062
2017-07-07,31.09375
2017-07-10,29.511719
2017-07-11,36.171875
2017-07-12,27.949219
2017-07-13,28.828125
2017-07-14,25.097145
2017-07-17,30.410156
2017-07-18,31.738281
2017-07-19,37.421875
2017-07-20,30.117188
2017-07-21,33.438038
2017-07-24,40.3125
2017-07-25,40.507812
2017-07-27,74.25781
2017-07-28,28.447266
2017-07-31,30.234049
2017-08-01,34.58008
2017-08-02,32.646484
2017-08-03,28.720703
2017-08-04,26.77126
2017-08-07,25.654297
2017-08-08,25.742188
2017-08-09,25.390625
2017-08-10,27.050781
2017-08-11,30.859375
2017-08-14,35.880306
2017-08-16,251.33685
2017-08-17,33.90625
2017-08-18,33.320312
2017-08-21,31.894531
2017-08-22,32.01172
2017-08-23,28.535156
2017-08-24,23.925781
2017-08-28,29.804688
2017-08-29,33.085938
2017-08-30,32.734375
2017-08-31,30.458984
2017-09-01,31.132812
2017-09-04,20.40039
2017-09-05,30.585938
2017-09-06,30.351562
2017-09-07,41.992188
2017-09-08,44.277344
2017-09-11,31.302294
2017-09-12,31.69662
2017-09-13,31.784054
2017-09-14,29.570312
2017-09-15,34.39453
2017-09-18,29.824219
2017-09-19,26.796875
2017-09-20,29.238281
2017-09-21,28.87908
2017-09-22,27.8125
2017-09-25,25.703125
2017-09-26,32.890625
2017-09-27,46.328125
2017-09-28,29.541016
2017-09-29,35.791016
2017-10-03,29.295218
2017-10-04,31.308594
2017-10-05,29.804688
2017-10-06,28.90625
2017-10-09,31.015625
2017-10-10,32.295963
2017-10-11,31.708078
2017-10-12,30.126953
2017-10-13,28.75
2017-10-16,30.019531
2017-10-17,30.742188
2017-10-18,25.46875
2017-10-23,34.0625
2017-10-24,37.304688
2017-10-25,34.609375
2017-10-26,32.617188
2017-10-27,33.046875
2017-10-30,32.851562
2017-10-31,34.765625
2017-11-01,34.345703
2017-11-02,35.810547
2017-11-03,35.48828
2017-11-06,38.964844
2017-11-07,38.691406
2017-11-08,38.4375
2017-11-09,41.054688
2017-11-10,36.347656
2017-11-13,37.96875
2017-11-14,36.14258
2017-11-15,36.640625
2017-11-16,31.523438
2017-11-17,31.796875
2017-11-20,36.308594
2017-11-21,39.6875
2017-11-22,41.40625
2017-11-23,37.421875
2017-11-24,35.371094
2017-11-27,28.125
2017-11-28,39.921875
2017-11-29,36.543682
2017-11-30,31.513672
2017-12-01,33.027344
2017-12-04,33.26172
2017-12-05,38.76953
2017-12-06,34.04297
2017-12-07,33.535156
2017-12-08,32.1875
2017-12-11,33.95508
2017-12-12,33.808594
2017-12-13,34.960938
2017-12-14,35.410156
2017-12-15,41.07422
2017-12-18,37.929688
2017-12-19,32.65625
2017-12-20,32.929688
2017-12-21,32.34375
2017-12-22,31.074219
2017-12-26,42.96875
2017-12-27,44.140625
2017-12-28,28.759766
2017-12-29,27.324219
2018-01-01,27.519531
2018-01-02,32.43164
2018-01-03,33.26172
2018-01-04,35.664062
2018-01-05,33.847656
2018-01-08,37.197266
2018-01-09,36.953125
2018-01-10,35.996094
2018-01-11,35.469162
2018-01-12,36.015625
2018-01-15,36.054688
2018-01-16,32.851562
2018-01-17,33.90625
2018-01-18,34.648438
2018-01-19,24.414062
2018-01-22,33.710938
2018-01-23,30.78125
2018-01-24,29.53125
2018-01-25,33.964844
2018-01-29,36.640625
2018-01-30,35.507812
2018-01-31,31.293058
2018-02-01,31.289062
2018-02-02,37.36328
2018-02-05,41.07422
2018-02-06,38.57422
2018-02-07,41.464844
2018-02-08,38.460735
2018-02-09,45.95703
2018-02-12,39.622192
2018-02-14,38.164062
2018-02-15,42.63672
2018-02-16,28.314024
2018-02-19,32.304688
2018-02-20,40.195312
2018-02-21,27.1875
2018-02-22,26.015625
2018-02-23,38.740234
2018-02-26,25.859375
2018-02-27,28.03711
2018-02-28,26.396484
2018-03-01,17.265625
2018-03-05,15.263672
2018-03-06,26.50869
2018-03-07,23.359375
2018-03-08,25.703125
2018-03-09,35.527344
2018-03-12,28.066406
2018-03-13,26.210938
2018-03-14,26.65039
2018-03-15,28.339844
2018-03-16,21.308594
2018-03-19,23.99513
2018-03-20,28.183594
2018-03-21,28.574219
2018-03-22,24.902344
2018-03-23,26.015625
2018-03-26,34.882812
2018-03-27,30.742188
2018-03-28,29.472656
2018-04-02,28.457031
2018-04-03,28.107653
2018-04-04,36.29883
2018-04-05,32.539062
2018-04-06,29.677734
2018-04-09,29.736328
2018-04-10,29.746094
2018-04-11,31.123047
2018-04-12,31.347656
2018-04-13,27.5
2018-04-16,28.085938
2018-04-17,29.238281
2018-04-18,27.304688
2018-04-19,23.652344
2018-04-20,33.28125
2018-04-23,34.570312
2018-04-24,41.914062
2018-04-25,47.578125
2018-04-26,32.27539
2018-04-27,30.185547
2018-04-30,30.878906
2018-05-02,28.68164
2018-05-03,60.214844
2018-05-04,34.472656
2018-05-07,35.634766
2018-05-08,32.98828
2018-05-09,35.04883
2018-05-10,28.886719
2018-05-11,35.3125
2018-05-14,34.55078
2018-05-15,34.560547
2018-05-16,35.96852
2018-05-17,36.660156
2018-05-18,36.503906
2018-05-21,43.535156
2018-05-22,46.171875
2018-05-23,30.3125
2018-05-24,26.503906
2018-05-25,23.476562
2018-05-28,31.600462
2018-05-29,30.3125
2018-05-30,30.390625
2018-05-31,29.326172
2018-06-01,31.660156
2018-06-04,36.816406
2018-06-05,35.146484
2018-06-06,33.4375
2018-06-07,44.658203
2018-06-08,31.78711
2018-06-11,31.572266
2018-06-12,31.099426
2018-06-13,31.09375
2018-06-14,30.608751
2018-06-15,31.464844
2018-06-18,35.292248
2018-06-19,34.70703
2018-06-20,32.36328
2018-06-21,29.84375
2018-06-22,26.84913
2018-06-25,30.097656
2018-06-26,29.546637
2018-06-27,33.828125
2018-06-28,31.816406
2018-06-29,32.177734
2018-07-02,34.335938
2018-07-03,34.433594
2018-07-04,35.253906
2018-07-05,36.71875
2018-07-06,36.845703
2018-07-09,36.689453
