date,iv_atm
2017-07-04,30.382769
2017-07-05,27.93278
2017-07-06,26.796875
2017-07-07,29.373722
2017-07-10,32.1875
2017-07-11,28.203125
2017-07-12,25.3125
2017-07-13,29.609375
2017-07-14,29.21875
2017-07-17,30.78125
2017-07-18,32.03125
2017-07-19,31.71875
2017-07-20,26.71875
2017-07-21,29.53125
2017-07-24,33.44647
2017-07-25,34.53125
2017-07-27,33.789062
2017-07-28,32.070312
2017-07-31,34.453125
2017-08-01,32.96875
2017-08-02,29.492188
2017-08-03,27.773438
2017-08-04,28.710938
2017-08-07,28.38125
2017-08-08,34.140625
2017-08-09,31.875
2017-08-10,32.070312
2017-08-11,34.84375
2017-08-14,30.625
2017-08-16,32.29302
2017-08-17,36.67485
2017-08-18,38.046875
2017-08-21,38.90625
2017-08-22,36.484375
2017-08-23,35.0
2017-08-24,36.171875
2017-08-28,44.53125
2017-08-29,44.53125
2017-08-30,44.38099
2017-08-31,30.820312
2017-09-01,31.484375
2017-09-04,32.96875
2017-09-05,32.34375
2017-09-06,33.828125
2017-09-07,32.34375
2017-09-08,32.460938
2017-09-11,31.953125
2017-09-12,31.295969
2017-09-13,29.0625
2017-09-14,30.078125
2017-09-15,28.90625
2017-09-18,28.203125
2017-09-19,28.90625
2017-09-20,28.515625
2017-09-21,28.359375
2017-09-22,30.96301
2017-09-25,36.875
2017-09-26,38.125
2017-09-27,52.5
2017-09-28,29.765625
2017-09-29,30.859375
2017-10-03,30.334415
2017-10-04,30.493982
2017-10-05,29.53125
2017-10-06,28.28125
2017-10-09,28.359375
2017-10-10,28.359375
2017-10-11,30.15625
2017-10-12,31.328125
2017-10-13,30.625
2017-10-16,32.578125
2017-10-17,29.33658
2017-10-18,22.890625
2017-10-23,39.53125
2017-10-24,39.375
2017-10-25,55.0
2017-10-26,32.34375
2017-10-27,64.765625
2017-10-30,37.460938
2017-10-31,36.953125
2017-11-01,13.125
2017-11-02,12.890625
2017-11-03,31.445312
2017-11-06,38.320312
2017-11-07,35.507812
2017-11-08,33.945312
2017-11-09,48.245735
2017-11-10,33.828125
2017-11-13,35.859375
2017-11-14,31.953125
2017-11-15,31.953125
2017-11-16,30.46875
2017-11-17,31.679688
2017-11-20,34.713852
2017-11-21,28.984375
2017-11-22,34.6875
2017-11-23,37.96875
2017-11-24,35.9375
2017-11-27,42.03125
2017-11-28,47.03125
2017-11-29,46.875
2017-11-30,36.25
2017-12-01,32.1875
2017-12-04,32.34375
2017-12-05,31.796875
2017-12-06,32.65625
2017-12-07,29.0625
2017-12-08,29.946348
2017-12-11,32.070312
2017-12-12,27.8125
2017-12-13,33.273643
2017-12-14,33.30145
2017-12-15,31.445312
2017-12-18,30.3125
2017-12-19,28.28125
2017-12-20,29.375
2017-12-21,26.953125
2017-12-22,31.09375
2017-12-26,48.125
2017-12-27,37.5
2017-12-28,29.765625
2017-12-29,30.0
2018-01-01,32.5
2018-01-02,32.8125
2018-01-03,30.859375
2018-01-04,31.159105
2018-01-05,31.171875
2018-01-08,35.195312
2018-01-09,35.703125
2018-01-10,38.046875
2018-01-11,39.53125
2018-01-12,33.90625
2018-01-15,34.453125
2018-01-16,34.84375
2018-01-17,29.044376
2018-01-18,32.802887
2018-01-19,28.90625
2018-01-22,27.96875
2018-01-23,31.875
2018-01-24,57.5
2018-01-25,42.421875
2018-01-29,44.140625
2018-01-30,44.6875
2018-01-31,37.382812
2018-02-01,34.300526
2018-02-02,39.960938
2018-02-05,49.84375
2018-02-06,48.082825
2018-02-07,39.84375
2018-02-08,35.15625
2018-02-09,34.6875
2018-02-12,33.75
2018-02-14,28.75
2018-02-15,27.8125
2018-02-16,27.5
2018-02-19,32.743202
2018-02-20,35.15625
2018-02-21,44.0625
2018-02-22,30.9375
2018-02-23,27.34375
2018-02-26,24.891169
2018-02-27,26.445312
2018-02-28,24.84375
2018-03-01,26.40625
2018-03-05,31.659792
2018-03-06,32.109375
2018-03-07,34.65505
2018-03-08,36.375927
2018-03-09,33.329796
2018-03-12,35.588406
2018-03-13,33.203125
2018-03-14,29.765625
2018-03-15,27.109375
2018-03-16,33.90625
2018-03-19,39.21875
2018-03-20,31.09375
2018-03-21,33.90625
2018-03-22,35.78125
2018-03-23,31.40625
2018-03-26,36.25
2018-03-27,38.75
2018-03-28,30.625
2018-04-02,29.570312
2018-04-03,29.375
2018-04-04,32.109375
2018-04-05,36.484375
2018-04-06,31.015625
2018-04-09,31.484375
2018-04-10,28.59375
2018-04-11,30.15625
2018-04-12,26.640625
2018-04-13,34.0625
2018-04-16,38.4375
2018-04-17,37.109375
2018-04-18,34.6875
2018-04-19,31.875
2018-04-20,35.78125
2018-04-23,41.877476
2018-04-24,34.0625
2018-04-25,40.0
2018-04-26,29.296875
2018-04-27,32.03125
2018-04-30,32.8125
2018-05-02,32.983646
2018-05-03,31.71875
2018-05-04,32.552322
2018-05-07,32.109375
2018-05-08,31.953125
2018-05-09,31.5625
2018-05-10,31.953125
2018-05-11,32.734375
2018-05-14,35.9375
2018-05-15,36.953125
2018-05-16,38.515625
2018-05-17,35.234375
2018-05-18,37.65625
2018-05-21,42.96875
2018-05-22,46.40625
2018-05-23,47.316055
2018-05-24,43.8635
2018-05-25,47.5
2018-05-28,64.28025
2018-05-29,82.6493
2018-05-30,54.6875
2018-05-31,40.546875
2018-06-01,44.84375
2018-06-04,45.46875
2018-06-05,41.40625
2018-06-06,38.75
2018-06-07,34.6875
2018-06-08,35.703125
2018-06-11,38.75
2018-06-12,36.25
2018-06-13,38.4375
2018-06-14,38.671875
2018-06-15,41.40625
2018-06-18,45.546875
2018-06-19,44.404297
2018-06-20,41.09375
2018-06-21,41.065525
2018-06-22,36.872948
2018-06-25,51.25
2018-06-26,59.375
2018-06-27,58.125
2018-06-28,43.671875
2018-06-29,37.65625
2018-07-02,37.96875
2018-07-03,38.4375
2018-07-04,41.875
2018-07-05,38.75
2018-07-06,41.484375
2018-07-09,36.015625
2018-07-10,39.21875
2018-07-11,41.40625
2018-07-12,47.96875
2018-07-13,52.96875
2018-07-16,56.09375
2018-07-17,55.625
2018-07-18,59.375
2018-07-19,61.40625
2018-07-20,54.24561
2018-07-23,57.8125
2018-07-24,74.59995
2018-07-25,76.27256
2018-07-26,47.8125
2018-07-27,48.046875
2018-07-30,47.265625
2018-07-31,51.5625
2018-08-01,40.78125
2018-08-02,41.288906
2018-08-03,37.505314
2018-08-06,38.203125
2018-08-07,40.0
2018-08-08,40.15625
2018-08-09,39.0625
2018-08-10,38.359375
2018-08-13,44.375
2018-08-14,41.796875
2018-08-16,43.4375
2018-08-17,42.5
2018-08-20,44.6875
2018-08-21,41.015625
2018-08-23,41.315777
2018-08-24,42.8125
2018-08-27,52.906174
2018-08-28,49.375
2018-08-29,47.88231
2018-08-30,37.8125
2018-08-31,37.96875
2018-09-03,35.234375
2018-09-04,42.5
2018-09-05,60.78125
2018-09-06,58.125
2018-09-07,55.703125
2018-09-10,57.34375
2018-09-11,52.34375
2018-09-12,43.75
2018-09-14,39.752316
2018-09-17,44.58771
2018-09-18,40.625
2018-09-19,32.1875
2018-09-21,38.125
2018-09-24,64.375
2018-09-25,62.8125
2018-09-26,67.5
2018-09-27,53.75
2018-09-28,54.84375
2018-10-01,55.15625
2018-10-03,48.359375
2018-10-04,56.470524
2018-10-05,62.349163
2018-10-08,63.90625
2018-10-09,71.09375
2018-10-10,52.1875
2018-10-11,54.6875
2018-10-12,48.59375
2018-10-15,49.53125
2018-10-16,43.125
2018-10-17,35.78125
2018-10-19,40.625
2018-10-22,44.375
2018-10-23,46.25
2018-10-24,48.125
2018-10-25,49.296875
2018-10-26,48.90625
2018-10-29,46.834812
2018-10-30,43.359375
2018-10-31,38.59375
2018-11-01,33.046875
2018-11-02,34.140625
2018-11-05,34.6875
2018-11-06,33.125
2018-11-09,32.41826
2018-11-12,36.71875
2018-11-13,33.739353
2018-11-14,34.0625
2018-11-15,32.1875
2018-11-16,35.625
2018-11-19,34.21875
2018-11-20,37.1875
2018-11-21,29.53125
2018-11-22,26.5625
2018-11-26,29.6875
2018-11-27,38.125
2018-11-28,60.0
2018-11-29,50.946774
2018-11-30,49.484447
2018-12-03,46.015625
2018-12-04,49.0625
2018-12-05,46.875
2018-12-06,48.75
2018-12-07,50.625
2018-12-10,61.25
2018-12-11,46.09375
2018-12-12,41.5625
2018-12-13,40.305202
2018-12-14,40.3125
2018-12-17,45.3125
2018-12-18,43.696205
2018-12-19,41.09375
2018-12-20,53.09283
2018-12-21,55.0
2018-12-24,42.070595
2018-12-26,67.8125
2018-12-27,39.84375
2018-12-28,40.45091
2018-12-31,39.21875
2019-01-01,37.8125
2019-01-02,39.609375
2019-01-03,40.234375
2019-01-04,36.5625
2019-01-07,35.3125
2019-01-08,36.71875
2019-01-09,37.96875
2019-01-10,37.109375
2019-01-11,35.9375
2019-01-14,35.703125
2019-01-15,35.625
2019-01-16,38.203125
2019-01-17,37.8125
2019-01-18,37.049034
2019-01-21,38.75
2019-01-22,41.09375
2019-01-23,45.0
2019-01-24,46.875
2019-01-25,49.6875
2019-01-28,69.375
2019-01-29,76.25
2019-01-30,97.5
2019-01-31,46.71875
2019-02-01,42.1875
2019-02-04,42.8125
2019-02-05,45.0
2019-02-06,41.25
2019-02-07,40.3125
2019-02-08,42.1875
2019-02-11,47.34375
2019-02-12,43.75
2019-02-13,45.0
2019-02-14,47.96875
2019-02-15,45.9375
2019-02-18,48.75
2019-02-19,47.1875
2019-02-20,49.190384
2019-02-21,46.875
2019-02-22,47.96875
2019-02-25,54.576794
2019-02-26,57.5
2019-02-27,72.5
2019-02-28,40.0
2019-03-01,36.40625
2019-03-05,37.8125
2019-03-06,43.125
2019-03-07,44.21875
2019-03-08,43.75
2019-03-11,43.59375
2019-03-12,44.21875
2019-03-13,54.375
2019-03-14,53.75
2019-03-15,54.84375
2019-03-18,58.4375
2019-03-19,51.5625
2019-03-20,53.125
2019-03-22,47.8125
2019-03-25,49.375
2019-03-26,50.625
2019-03-27,53.125
2019-03-28,38.125
2019-03-29,44.84375
2019-04-01,47.109375
2019-04-02,51.59591
2019-04-03,52.8125
2019-04-04,49.44935
2019-04-05,52.5
2019-04-08,48.75
2019-04-09,47.734375
2019-04-10,45.78125
2019-04-11,47.65625
2019-04-12,42.96875
2019-04-15,44.777637
2019-04-16,40.165752
2019-04-18,31.875
2019-04-22,49.0625
2019-04-23,36.875
2019-04-24,43.4375
2019-04-25,42.887264
2019-04-26,33.90625
2019-04-30,44.903778
2019-05-02,46.25
2019-05-03,48.4375
2019-05-06,50.0
2019-05-07,45.46875
2019-05-08,55.0
2019-05-09,54.296875
2019-05-10,52.411594
2019-05-13,39.21875
2019-05-14,69.84375
2019-05-15,55.9375
2019-05-16,60.48856
2019-05-17,71.92343
2019-05-20,63.295486
2019-05-21,53.28125
2019-05-22,80.46875
2019-05-23,57.96875
2019-05-24,48.102283
2019-05-27,84.0625
2019-05-28,62.5
2019-05-29,53.4375
2019-05-30,42.00016
2019-05-31,41.856903
2019-06-03,41.171875
2019-06-04,41.10352
2019-06-06,44.0625
2019-06-07,41.640625
2019-06-10,41.953125
2019-06-11,37.8125
2019-06-12,40.3125
2019-06-13,38.28125
2019-06-14,36.875
2019-06-17,42.65625
2019-06-18,39.096294
2019-06-19,44.84375
2019-06-20,37.34375
2019-06-21,41.15005
2019-06-24,45.15625
2019-06-25,40.9375
2019-06-26,41.25
2019-06-27,36.25
2019-06-28,37.96875
2019-07-01,40.078125
2019-07-02,40.15625
2019-07-03,39.0625
2019-07-04,40.078125
2019-07-05,44.765625
2019-07-08,44.53125
2019-07-09,45.46875
2019-07-10,45.46875
2019-07-11,41.09375
2019-07-12,39.453125
2019-07-15,41.09375
2019-07-16,41.875
2019-07-17,46.875
2019-07-18,46.09375
2019-07-19,40.3125
2019-07-22,41.5625
2019-07-23,32.8125
2019-07-24,40.0
2019-07-25,42.34375
2019-07-26,40.3125
2019-07-29,45.920517
2019-07-30,37.5
2019-07-31,38.75
2019-08-01,40.625
2019-08-02,41.5625
2019-08-05,43.984375
2019-08-06,41.875
2019-08-07,42.890625
2019-08-08,40.859375
2019-08-09,39.21875
2019-08-13,46.09375
2019-08-14,44.375
2019-08-16,42.34375
2019-08-19,46.09375
2019-08-20,53.125
2019-08-21,53.75
2019-08-22,52.8125
2019-08-23,51.11583
2019-08-26,48.125
2019-08-27,46.25
2019-08-28,48.75
2019-08-29,44.765625
2019-08-30,44.965714
2019-09-03,46.498066
2019-09-04,43.359375
2019-09-05,45.74808
2019-09-06,42.65625
2019-09-09,42.03125
2019-09-11,41.40625
2019-09-12,40.9375
2019-09-13,41.015625
2019-09-16,50.78125
2019-09-17,49.21875
2019-09-18,46.25
2019-09-19,43.59375
2019-09-20,47.952824
2019-09-23,44.84375
2019-09-24,49.6875
2019-09-25,56.875
2019-09-26,43.671875
2019-09-27,40.546875
2019-09-30,42.5
2019-10-01,46.484375
2019-10-03,48.125
2019-10-04,43.359375
2019-10-07,44.772312
2019-10-09,46.5625
2019-10-10,43.59375
2019-10-11,43.521248
2019-10-14,45.234375
2019-10-15,46.875
2019-10-16,42.96875
2019-10-17,42.109375
