date,iv_atm
2017-07-04,25.78125
2017-07-05,26.124533
2017-07-06,26.816406
2017-07-07,27.382812
2017-07-10,31.507587
2017-07-11,30.117188
2017-07-12,29.513762
2017-07-13,29.179688
2017-07-14,28.789062
2017-07-17,31.502102
2017-07-18,36.132812
2017-07-19,38.59375
2017-07-20,39.629635
2017-07-21,39.0625
2017-07-24,53.515625
2017-07-25,62.734375
2017-07-27,26.640625
2017-07-28,26.210938
2017-07-31,27.050781
2017-08-01,25.839844
2017-08-02,25.338976
2017-08-03,26.191406
2017-08-04,25.010677
2017-08-07,24.337698
2017-08-08,24.799202
2017-08-09,26.445312
2017-08-10,28.203125
2017-08-11,28.320312
2017-08-14,29.648438
2017-08-16,27.929688
2017-08-17,27.070312
2017-08-18,28.242188
2017-08-21,27.617188
2017-08-22,26.640625
2017-08-23,26.132812
2017-08-24,24.143787
2017-08-28,28.90625
2017-08-29,26.640625
2017-08-30,27.1875
2017-08-31,24.804688
2017-09-01,24.375
2017-09-04,25.429688
2017-09-05,26.25
2017-09-06,25.960712
2017-09-07,26.464844
2017-09-08,25.585938
2017-09-11,26.992188
2017-09-12,26.601562
2017-09-13,27.773438
2017-09-14,27.382812
2017-09-15,27.460938
2017-09-18,27.8125
2017-09-19,27.773438
2017-09-20,30.195312
2017-09-21,26.953125
2017-09-22,27.109375
2017-09-25,27.65625
2017-09-26,33.28125
2017-09-27,32.96875
2017-09-28,26.992188
2017-09-29,25.175781
2017-10-03,24.726562
2017-10-04,25.134615
2017-10-05,24.070978
2017-10-06,23.378906
2017-10-09,25.078125
2017-10-10,25.429688
2017-10-11,29.492188
2017-10-12,26.953125
2017-10-13,31.932487
2017-10-16,33.554688
2017-10-17,33.59375
2017-10-18,33.203125
2017-10-23,48.984375
2017-10-24,48.125
2017-10-25,44.375
2017-10-26,34.433594
2017-10-27,34.746094
2017-10-30,36.328125
2017-10-31,34.726562
2017-11-01,33.59375
2017-11-02,32.01172
2017-11-03,34.129673
2017-11-06,34.804688
2017-11-07,34.319717
2017-11-08,33.554688
2017-11-09,30.664062
2017-11-10,28.320312
2017-11-13,29.472656
2017-11-14,29.121094
2017-11-15,28.398438
2017-11-16,25.855837
2017-11-17,26.71875
2017-11-20,28.28125
2017-11-21,31.640625
2017-11-22,27.96875
2017-11-23,29.6875
2017-11-24,26.992188
2017-11-27,27.1875
2017-11-28,27.5
2017-11-29,33.4375
2017-11-30,28.007812
2017-12-01,28.183594
2017-12-04,27.675781
2017-12-05,26.972656
2017-12-06,27.1875
2017-12-07,29.355469
2017-12-08,29.023438
2017-12-11,30.175781
2017-12-12,31.484375
2017-12-13,34.335938
2017-12-14,34.316406
2017-12-15,32.03125
2017-12-18,30.527344
2017-12-19,28.75
2017-12-20,29.525728
2017-12-21,30.683594
2017-12-22,25.371094
2017-12-26,34.179688
2017-12-27,37.96626
2017-12-28,30.546875
2017-12-29,28.36914
2018-01-01,29.394531
2018-01-02,32.428425
2018-01-03,32.128906
2018-01-04,33.046875
2018-01-05,33.10547
2018-01-08,38.457405
2018-01-09,38.90625
2018-01-10,40.29297
2018-01-11,39.101562
2018-01-12,36.640625
2018-01-15,40.585938
2018-01-16,40.117188
2018-01-17,39.648438
2018-01-18,43.125
2018-01-19,29.726562
2018-01-22,25.117188
2018-01-23,27.5
2018-01-24,51.27865
2018-01-25,38.027344
2018-01-29,38.52002
2018-01-30,37.246094
2018-01-31,37.36328
2018-02-01,33.808594
2018-02-02,37.32422
2018-02-05,39.04297
2018-02-06,42.851562
2018-02-07,47.1875
2018-02-08,43.203125
2018-02-09,49.414062
2018-02-12,43.543236
2018-02-14,38.945312
2018-02-15,33.90625
2018-02-16,27.265625
2018-02-19,35.0
2018-02-20,34.453125
2018-02-21,30.859375
2018-02-22,27.910156
2018-02-23,27.65625
2018-02-26,27.949219
2018-02-27,27.011719
2018-02-28,28.027344
2018-03-01,26.308594
2018-03-05,27.484692
2018-03-06,28.867188
2018-03-07,33.691406
2018-03-08,32.03125
2018-03-09,30.982374
2018-03-12,30.888844
2018-03-13,30.859375
2018-03-14,28.671875
2018-03-15,28.90625
2018-03-16,29.648438
2018-03-19,33.476562
2018-03-20,34.6875
2018-03-21,33.398438
2018-03-22,30.507812
2018-03-23,28.867188
2018-03-26,32.34375
2018-03-27,45.15625
2018-03-28,33.984375
2018-04-02,34.726562
2018-04-03,32.421875
2018-04-04,33.28125
2018-04-05,33.359375
2018-04-06,34.453125
2018-04-09,35.371094
2018-04-10,36.71875
2018-04-11,37.16723
2018-04-12,35.976562
2018-04-13,37.411465
2018-04-16,41.121227
2018-04-17,39.539745
2018-04-18,37.929688
2018-04-19,36.523438
2018-04-20,38.164062
2018-04-23,65.40675
2018-04-24,76.171875
2018-04-25,41.09375
2018-04-26,30.566406
2018-04-27,30.800781
2018-04-30,29.902344
2018-05-02,30.234375
2018-05-03,30.449219
2018-05-04,31.328125
2018-05-07,31.542969
2018-05-08,30.898438
2018-05-09,30.976562
2018-05-10,31.308594
2018-05-11,34.35547
2018-05-14,34.805298
2018-05-15,32.265625
2018-05-16,31.527102
2018-05-17,31.89332
2018-05-18,31.171875
2018-05-21,32.96875
2018-05-22,34.101562
2018-05-23,35.429688
2018-05-24,33.203125
2018-05-25,29.257812
2018-05-28,36.875
2018-05-29,40.234375
2018-05-30,32.1875
2018-05-31,31.679688
2018-06-01,32.96875
2018-06-04,35.91797
2018-06-05,34.414062
2018-06-06,31.835938
2018-06-07,31.835938
2018-06-08,30.51787
2018-06-11,31.894531
2018-06-12,31.523438
2018-06-13,33.426342
2018-06-14,32.1004
2018-06-15,31.70328
2018-06-18,33.125
2018-06-19,32.96875
2018-06-20,31.640625
2018-06-21,31.992188
2018-06-22,27.96875
2018-06-25,32.8125
2018-06-26,34.84375
2018-06-27,40.0
2018-06-28,32.128906
2018-06-29,33.085938
2018-07-02,33.59375
2018-07-03,33.41797
2018-07-04,35.820312
2018-07-05,32.067772
2018-07-06,30.625
2018-07-09,32.420124
2018-07-10,30.273438
2018-07-11,32.148438
2018-07-12,30.234375
2018-07-13,31.015625
2018-07-16,34.726562
2018-07-17,34.765625
2018-07-18,35.117188
2018-07-19,32.578125
2018-07-20,33.984375
2018-07-23,38.137066
2018-07-24,43.359375
2018-07-25,54.375
2018-07-26,35.996094
2018-07-27,30.957031
2018-07-30,28.828125
2018-07-31,29.53125
2018-08-01,29.882812
2018-08-02,28.847656
2018-08-03,28.613281
2018-08-06,29.765625
2018-08-07,29.617916
2018-08-08,29.582752
2018-08-09,32.382812
2018-08-10,32.070312
2018-08-13,32.79297
2018-08-14,32.910156
2018-08-16,31.640625
2018-08-17,29.179688
2018-08-20,31.328125
2018-08-21,28.671875
2018-08-23,29.375
2018-08-24,27.773438
2018-08-27,30.390625
2018-08-28,36.09375
2018-08-29,39.6875
2018-08-30,30.820312
2018-08-31,30.390625
2018-09-03,31.445312
2018-09-04,29.921875
2018-09-05,31.244902
2018-09-06,29.822966
