date,iv_atm
2017-07-04,32.265625
2017-07-05,30.46875
2017-07-06,29.84375
2017-07-07,29.0625
2017-07-10,32.578125
2017-07-11,33.59375
2017-07-12,33.125
2017-07-13,33.90625
2017-07-14,31.5625
2017-07-17,31.725664
2017-07-18,37.8125
2017-07-19,32.192043
2017-07-20,29.6875
2017-07-21,26.640625
2017-07-24,32.1875
2017-07-25,33.75
2017-07-27,33.249065
2017-07-28,33.359375
2017-07-31,36.367188
2017-08-01,37.148438
2017-08-02,39.179688
2017-08-03,39.765625
2017-08-04,39.210182
2017-08-07,42.1875
2017-08-08,43.359375
2017-08-09,45.60696
2017-08-10,39.88827
2017-08-11,40.53707
2017-08-14,35.859375
2017-08-16,35.234375
2017-08-17,32.109375
2017-08-18,33.515625
2017-08-21,34.453125
2017-08-22,31.9381
2017-08-23,30.0
2017-08-24,26.25
2017-08-28,33.4375
2017-08-29,38.75
2017-08-30,41.875
2017-08-31,31.715145
2017-09-01,31.08486
2017-09-04,33.671875
2017-09-05,31.875
2017-09-06,31.71875
2017-09-07,30.625
2017-09-08,30.15625
2017-09-11,29.296875
2017-09-12,29.140625
2017-09-13,30.90727
2017-09-14,36.40625
2017-09-15,35.4485
2017-09-18,33.565952
2017-09-19,33.75
2017-09-20,35.9375
2017-09-21,35.625
2017-09-22,34.21875
2017-09-25,42.5
2017-09-26,45.0
2017-09-27,43.125
2017-09-28,35.625
2017-09-29,32.65625
2017-10-03,30.3125
2017-10-04,29.6875
2017-10-05,28.359375
2017-10-06,26.09375
2017-10-09,28.59375
2017-10-10,28.28125
2017-10-11,29.84375
2017-10-12,28.75
2017-10-13,28.125
2017-10-16,29.0625
2017-10-17,27.65625
2017-10-18,30.46875
2017-10-23,38.903996
2017-10-24,38.4375
2017-10-25,50.308353
2017-10-26,45.15625
2017-10-27,45.14913
2017-10-30,45.703125
2017-10-31,46.09375
2017-11-01,46.875
2017-11-02,49.375
2017-11-03,51.09375
2017-11-06,57.96875
2017-11-07,51.282265
2017-11-08,40.15625
2017-11-09,38.125
2017-11-10,35.625
2017-11-13,38.125
2017-11-14,38.4375
2017-11-15,40.449112
2017-11-16,36.935364
2017-11-17,35.3125
2017-11-20,37.65625
2017-11-21,36.40625
2017-11-22,40.0
2017-11-23,45.591423
2017-11-24,42.8125
2017-11-27,47.1875
2017-11-28,54.0625
2017-11-29,51.25
2017-11-30,35.3125
2017-12-01,39.140625
2017-12-04,36.25
2017-12-05,34.84375
2017-12-06,37.03125
2017-12-07,38.28125
2017-12-08,38.75
2017-12-11,36.875
2017-12-12,36.5625
2017-12-13,39.21875
2017-12-14,41.71875
2017-12-15,37.03125
2017-12-18,34.53125
2017-12-19,31.875
2017-12-20,33.59375
2017-12-21,37.5
2017-12-22,33.4375
2017-12-26,44.375
2017-12-27,58.125
2017-12-28,34.0625
2017-12-29,34.609375
2018-01-01,40.3125
2018-01-02,39.6875
2018-01-03,38.59375
2018-01-04,39.0625
2018-01-05,39.21875
2018-01-08,40.625
2018-01-09,39.140625
2018-01-10,44.21875
2018-01-11,42.1875
2018-01-12,40.0
2018-01-15,42.44672
2018-01-16,42.84796
2018-01-17,42.34375
2018-01-18,42.25811
2018-01-19,39.6875
2018-01-22,67.597206
2018-01-23,67.1875
2018-01-24,67.09341
2018-01-25,54.609375
2018-01-29,54.53125
2018-01-30,53.515625
2018-01-31,55.46875
2018-02-01,50.546875
2018-02-02,54.84375
2018-02-05,60.15625
2018-02-06,64.0625
2018-02-07,66.40625
2018-02-08,51.40625
2018-02-09,50.3125
2018-02-12,46.71875
2018-02-14,46.5625
2018-02-15,39.6875
2018-02-16,37.5
2018-02-19,39.0625
2018-02-20,44.375
2018-02-21,43.125
