date,iv_atm
2017-07-04,29.868689
2017-07-05,34.589844
2017-07-06,30.625
2017-07-07,31.777344
2017-07-10,37.617188
2017-07-11,37.34375
2017-07-12,48.203125
2017-07-13,52.109375
2017-07-14,44.98047
2017-07-17,43.867188
2017-07-18,43.476562
2017-07-19,40.507812
2017-07-20,40.664062
2017-07-21,41.015625
2017-07-24,52.734375
2017-07-25,55.15625
2017-07-27,42.851562
2017-07-28,36.54651
2017-07-31,93.88672
2017-08-01,37.734375
2017-08-02,37.617188
2017-08-03,36.09375
2017-08-04,38.203125
2017-08-07,38.867188
2017-08-08,43.75
2017-08-09,40.546875
2017-08-10,436.40625
2017-08-11,42.03125
2017-08-14,40.351562
2017-08-16,51.992188
2017-08-17,52.265625
2017-08-18,49.179688
2017-08-21,585.3906
2017-08-22,44.901752
2017-08-23,39.921875
2017-08-24,34.21875
2017-08-28,47.208755
2017-08-29,39.21875
2017-08-30,43.78169
2017-08-31,40.546875
2017-09-01,39.785156
2017-09-04,42.460938
2017-09-05,42.246094
2017-09-06,40.976562
2017-09-07,42.070312
2017-09-08,43.984375
2017-09-11,43.88672
2017-09-12,40.195312
2017-09-13,40.429688
2017-09-14,39.179688
2017-09-15,40.625
2017-09-18,40.151657
2017-09-19,42.617188
2017-09-20,39.609375
2017-09-21,37.265625
2017-09-22,38.75
2017-09-25,34.140625
2017-09-26,35.15625
2017-09-27,32.8125
2017-09-28,43.164062
2017-09-29,37.070312
2017-10-03,40.742188
2017-10-04,42.265625
2017-10-05,48.4375
2017-10-06,55.15625
2017-10-09,55.625
2017-10-10,41.69922
2017-10-11,38.959137
2017-10-12,36.21585
2017-10-13,33.65196
2017-10-16,35.625
2017-10-17,30.3125
2017-10-18,27.695312
2017-10-23,41.796875
2017-10-24,39.21875
2017-10-25,85.3125
2017-10-26,40.2069
2017-10-27,39.179688
2017-10-30,36.523438
2017-10-31,35.527344
2017-11-01,35.351562
2017-11-02,36.621094
2017-11-03,45.522915
2017-11-06,44.140625
2017-11-07,45.95703
2017-11-08,42.5
2017-11-09,44.6875
2017-11-10,40.29297
2017-11-13,37.65625
2017-11-14,38.945312
2017-11-15,45.820312
2017-11-16,41.692398
2017-11-17,44.21875
2017-11-20,49.70703
2017-11-21,43.125
2017-11-22,40.15625
2017-11-23,46.210938
2017-11-24,43.359375
2017-11-27,48.828125
2017-11-28,56.71875
2017-11-29,60.0
2017-11-30,59.08203
2017-12-01,62.265625
2017-12-04,43.90625
2017-12-05,40.488613
2017-12-06,39.01346
2017-12-07,37.32514
2017-12-08,35.95703
2017-12-11,35.097656
2017-12-12,35.742188
2017-12-13,36.347656
2017-12-14,33.984375
2017-12-15,32.695312
2017-12-18,32.148438
2017-12-19,31.640625
