date,iv_atm
2017-07-04,35.800476
2017-07-05,32.565002
2017-07-06,52.852783
2017-07-07,50.618896
2017-07-10,61.38794
2017-07-11,36.50818
2017-07-12,63.032837
2017-07-13,66.535034
2017-07-14,34.186024
2017-07-17,65.25452
2017-07-18,39.874077
2017-07-19,42.625378
2017-07-20,50.61035
2017-07-21,55.631104
2017-07-24,151.98486
2017-07-25,179.48932
2017-07-27,47.849426
2017-07-28,49.74121
2017-07-31,48.582764
2017-08-01,39.83144
2017-08-02,28.035889
2017-08-03,58.616333
2017-08-04,60.345154
2017-08-07,71.37451
2017-08-08,57.407227
2017-08-09,64.56207
2017-08-10,58.20984
2017-08-11,104.802345
2017-08-14,18.342285
2017-08-16,111.75598
2017-08-17,54.953003
2017-08-18,19.17453
2017-08-21,64.96033
2017-08-22,75.84839
2017-08-23,77.71362
2017-08-24,16.437988
2017-08-28,29.923096
2017-08-29,31.26709
2017-08-30,190.03418
2017-08-31,24.251099
2017-09-01,25.230103
2017-09-04,30.325317
2017-09-05,85.23743
2017-09-06,21.82312
2017-09-07,57.487793
2017-09-08,26.640015
2017-09-11,66.119064
2017-09-12,33.951553
2017-09-13,31.97998
2017-09-14,78.14575
2017-09-15,29.401245
2017-09-18,36.833958
2017-09-19,100.55176
2017-09-20,111.71692
2017-09-21,135.01648
2017-09-22,119.140236
2017-09-25,52.027588
2017-09-26,81.88965
2017-09-27,336.11084
2017-09-28,17.294617
2017-09-29,58.563023
2017-10-03,11.701965
2017-10-04,19.013367
2017-10-05,75.579834
2017-10-06,29.09729
2017-10-09,36.253662
2017-10-10,97.05536
2017-10-11,106.2262
2017-10-12,109.644775
2017-10-13,35.828247
2017-10-16,55.095215
2017-10-17,113.742065
2017-10-18,50.754395
2017-10-23,228.80127
2017-10-24,267.7588
2017-10-25,146.20914
2017-10-26,27.43927
2017-10-27,30.898438
2017-10-30,31.881714
2017-10-31,25.233765
2017-11-01,25.350342
2017-11-02,80.35736
2017-11-03,26.618652
2017-11-06,35.04669
2017-11-07,35.742798
2017-11-08,89.35913
2017-11-09,89.312744
2017-11-10,22.79541
2017-11-13,78.65784
2017-11-14,93.66211
2017-11-15,12.531128
2017-11-16,14.135742
2017-11-17,9.334685
2017-11-20,25.67566
2017-11-21,16.77246
2017-11-22,12.190511
2017-11-23,11.625366
