date,iv_atm
2017-07-04,33.867188
2017-07-05,32.617188
2017-07-06,31.687452
2017-07-07,31.013477
2017-07-10,36.835938
2017-07-11,33.327923
2017-07-12,36.423454
2017-07-13,34.882812
2017-07-14,36.054688
2017-07-17,40.625
2017-07-18,42.539062
2017-07-19,43.945312
2017-07-20,35.625
2017-07-21,32.695312
2017-07-24,34.84375
2017-07-25,32.34375
2017-07-27,29.296875
2017-07-28,28.4375
2017-07-31,30.625
2017-08-01,29.609375
2017-08-02,30.195312
2017-08-03,28.222656
2017-08-04,27.772764
2017-08-07,27.929688
2017-08-08,28.789062
2017-08-09,30.410156
2017-08-10,35.093052
2017-08-11,39.453125
2017-08-14,36.19927
2017-08-16,35.078125
2017-08-17,36.523438
2017-08-18,34.921875
2017-08-21,36.953125
2017-08-22,32.03125
2017-08-23,30.085356
2017-08-24,24.257812
2017-08-28,28.28125
2017-08-29,37.03125
2017-08-30,27.1875
2017-08-31,29.140625
2017-09-01,28.90625
2017-09-04,32.460938
2017-09-05,30.957031
2017-09-06,30.917969
2017-09-07,31.523438
2017-09-08,29.84375
2017-09-11,28.945312
2017-09-12,28.28125
2017-09-13,27.421875
2017-09-14,26.992188
2017-09-15,29.296875
2017-09-18,30.9375
2017-09-19,29.790808
2017-09-20,29.0625
2017-09-21,25.546875
2017-09-22,30.3125
2017-09-25,37.1875
2017-09-26,32.079975
2017-09-27,41.344234
2017-09-28,34.140625
2017-09-29,33.339844
2017-10-03,35.15625
2017-10-04,33.398438
2017-10-05,32.64388
2017-10-06,30.9375
2017-10-09,32.5
2017-10-10,31.835938
2017-10-11,34.453125
2017-10-12,34.0625
2017-10-13,34.21875
2017-10-16,33.085938
2017-10-17,32.34375
2017-10-18,30.390625
2017-10-23,37.05406
2017-10-24,51.328125
2017-10-25,128.28125
2017-10-26,52.597656
2017-10-27,45.429688
2017-10-30,41.102467
2017-10-31,39.6875
2017-11-01,42.109375
2017-11-02,40.95703
2017-11-03,39.91615
2017-11-06,42.8125
2017-11-07,45.040497
2017-11-08,43.789062
2017-11-09,41.523438
2017-11-10,40.48828
2017-11-13,41.132812
2017-11-14,37.929688
2017-11-15,39.296875
2017-11-16,45.625
2017-11-17,40.429688
2017-11-20,41.757812
2017-11-21,41.757812
2017-11-22,43.90625
2017-11-23,42.8125
2017-11-24,38.632812
2017-11-27,43.984375
2017-11-28,45.3125
2017-11-29,38.828125
2017-11-30,34.492188
2017-12-01,35.95703
2017-12-04,36.445312
2017-12-05,34.66797
2017-12-06,34.882812
2017-12-07,33.242188
2017-12-08,33.789062
2017-12-11,35.33203
2017-12-12,35.625
2017-12-13,39.88977
2017-12-14,40.78125
2017-12-15,36.89453
2017-12-18,33.242188
2017-12-19,30.859375
2017-12-20,32.122196
2017-12-21,29.609375
2017-12-22,30.78125
2017-12-26,39.921875
2017-12-27,38.596817
2017-12-28,32.773438
2017-12-29,31.25
2018-01-01,32.695312
2018-01-02,35.742188
