date,iv_atm
2017-07-04,25.800781
2017-07-05,25.449219
2017-07-06,24.6875
2017-07-07,24.101562
2017-07-10,25.039062
2017-07-11,26.035156
2017-07-12,25.585938
2017-07-13,27.5
2017-07-14,24.824219
2017-07-17,25.898438
2017-07-18,25.664062
2017-07-19,23.105469
2017-07-20,23.515625
2017-07-21,22.201242
2017-07-24,28.828808
2017-07-25,27.65625
2017-07-27,25.878906
2017-07-28,27.081959
2017-07-31,28.496094
2017-08-01,28.75
2017-08-02,27.864254
2017-08-03,28.907597
2017-08-04,28.219051
2017-08-07,30.859375
2017-08-08,32.34891
2017-08-09,34.597576
2017-08-10,37.78191
2017-08-11,40.386707
2017-08-14,35.078125
2017-08-16,30.996094
2017-08-17,33.125
2017-08-18,30.527344
2017-08-21,32.851562
2017-08-22,30.351562
2017-08-23,25.976562
2017-08-24,25.0
2017-08-28,29.84375
2017-08-29,31.171875
2017-08-30,27.65625
2017-08-31,27.089844
2017-09-01,27.460938
2017-09-04,29.570312
2017-09-05,29.492188
2017-09-06,28.964844
2017-09-07,27.441406
2017-09-08,28.300781
2017-09-11,28.027344
2017-09-12,28.535156
2017-09-13,29.824219
2017-09-14,28.886719
2017-09-15,27.128906
2017-09-18,27.53338
2017-09-19,28.90625
2017-09-20,27.773438
2017-09-21,31.129124
2017-09-22,30.859375
2017-09-25,37.8125
2017-09-26,36.914062
2017-09-27,33.828125
2017-09-28,34.882812
2017-09-29,26.80664
2017-10-03,26.591797
2017-10-04,25.566406
2017-10-05,25.351562
2017-10-06,24.472656
2017-10-09,28.339844
2017-10-10,30.429688
2017-10-11,28.242188
2017-10-12,25.761719
2017-10-13,26.621094
2017-10-16,27.890625
2017-10-17,25.800781
2017-10-18,27.815598
2017-10-23,33.242188
2017-10-24,36.25
2017-10-25,36.40625
2017-10-26,30.859375
2017-10-27,33.007812
2017-10-30,35.57617
2017-10-31,32.753906
2017-11-01,34.66797
2017-11-02,35.44922
2017-11-03,33.61328
2017-11-06,38.52539
2017-11-07,46.972656
2017-11-08,34.6875
2017-11-09,32.402344
2017-11-10,29.257812
2017-11-13,29.609375
2017-11-14,29.257812
2017-11-15,30.859375
2017-11-16,28.964844
2017-11-17,27.773438
2017-11-20,30.46875
2017-11-21,31.425781
2017-11-22,30.9375
2017-11-23,28.789062
2017-11-24,28.359375
2017-11-27,32.851562
2017-11-28,27.382812
2017-11-29,28.671875
2017-11-30,28.05664
2017-12-01,26.812046
2017-12-04,27.558594
2017-12-05,26.601562
2017-12-06,28.398438
2017-12-07,27.324219
2017-12-08,26.308594
2017-12-11,27.363281
2017-12-12,29.277344
2017-12-13,30.664062
2017-12-14,30.058594
2017-12-15,30.488281
2017-12-18,28.80892
2017-12-19,27.265625
2017-12-20,25.820312
2017-12-21,27.460938
2017-12-22,22.890625
2017-12-26,31.498722
2017-12-27,33.359375
2017-12-28,26.328125
2017-12-29,24.929611
2018-01-01,24.736328
2018-01-02,25.15625
2018-01-03,26.640625
2018-01-04,25.15625
2018-01-05,26.035156
2018-01-08,30.429688
2018-01-09,27.753906
2018-01-10,27.851562
2018-01-11,27.226562
2018-01-12,28.886719
2018-01-15,26.855469
2018-01-16,29.159464
2018-01-17,27.226562
2018-01-18,27.421875
2018-01-19,23.476562
2018-01-22,34.726562
2018-01-23,33.28125
2018-01-24,32.421875
2018-01-25,32.041016
2018-01-29,32.578125
2018-01-30,32.80624
2018-01-31,33.75
2018-02-01,32.934803
2018-02-02,36.405
2018-02-05,39.433594
2018-02-06,41.793648
2018-02-07,36.68284
2018-02-08,34.6875
2018-02-09,32.695312
2018-02-12,32.910156
2018-02-14,30.859375
2018-02-15,25.371094
2018-02-16,23.085938
2018-02-19,27.851562
2018-02-20,31.328125
2018-02-21,33.515625
2018-02-22,22.636719
2018-02-23,23.535156
2018-02-26,23.535156
2018-02-27,24.140625
2018-02-28,23.75
2018-03-01,23.828125
2018-03-05,24.746094
2018-03-06,24.667969
2018-03-07,25.488281
2018-03-08,23.789062
2018-03-09,25.585938
2018-03-12,24.628906
2018-03-13,22.597656
2018-03-14,25.390625
2018-03-15,24.48347
2018-03-16,26.796875
2018-03-19,30.117188
2018-03-20,31.35709
2018-03-21,33.046875
2018-03-22,29.765625
2018-03-23,25.351562
2018-03-26,32.03125
2018-03-27,34.609375
2018-03-28,27.197266
2018-04-02,26.972656
2018-04-03,25.019531
2018-04-04,26.396484
2018-04-05,28.808594
2018-04-06,26.835938
2018-04-09,28.28125
2018-04-10,28.027344
2018-04-11,29.863281
2018-04-12,29.765625
2018-04-13,27.636719
2018-04-16,27.696043
2018-04-17,28.173643
2018-04-18,28.632812
2018-04-19,27.304688
2018-04-20,25.449219
2018-04-23,30.546875
2018-04-24,28.21112
2018-04-25,31.5625
2018-04-26,22.382812
2018-04-27,25.371094
2018-04-30,25.619675
2018-05-02,27.070312
2018-05-03,37.67578
2018-05-04,27.832031
2018-05-07,28.476562
2018-05-08,29.892578
2018-05-09,31.582031
2018-05-10,36.11328
2018-05-11,39.0625
2018-05-14,37.1875
2018-05-15,44.179688
2018-05-16,39.42603
2018-05-17,38.046875
2018-05-18,46.09375
2018-05-21,52.900684
2018-05-22,55.762806
2018-05-23,33.632812
2018-05-24,31.914062
2018-05-25,27.03125
2018-05-28,30.351562
2018-05-29,40.234375
2018-05-30,32.03125
2018-05-31,29.335938
2018-06-01,28.574219
2018-06-04,30.644531
2018-06-05,31.601562
2018-06-06,27.734375
2018-06-07,26.933594
2018-06-08,28.105469
2018-06-11,28.652344
2018-06-12,28.28125
2018-06-13,29.003906
2018-06-14,29.042969
2018-06-15,29.082031
2018-06-18,30.996094
2018-06-19,30.594105
2018-06-20,34.471874
2018-06-21,29.824219
2018-06-22,27.8125
2018-06-25,35.039062
2018-06-26,32.96875
2018-06-27,35.46875
2018-06-28,28.75
2018-06-29,28.378906
2018-07-02,30.214844
2018-07-03,31.875
2018-07-04,31.953125
2018-07-05,32.24099
2018-07-06,31.40625
2018-07-09,30.429688
2018-07-10,30.820312
2018-07-11,31.40625
2018-07-12,30.878906
2018-07-13,30.839844
2018-07-16,34.023438
2018-07-17,33.515625
2018-07-18,32.578125
2018-07-19,32.578125
2018-07-20,30.46875
2018-07-23,36.640625
2018-07-24,35.234375
2018-07-25,34.470646
2018-07-26,32.8125
2018-07-27,31.16211
2018-07-30,31.884766
2018-07-31,34.08203
2018-08-01,35.039062
2018-08-02,37.304688
2018-08-03,36.54297
2018-08-06,36.23047
2018-08-07,38.085938
2018-08-08,32.734375
2018-08-09,30.742188
2018-08-10,28.046875
2018-08-13,30.3125
2018-08-14,27.617188
2018-08-16,30.488281
2018-08-17,29.765625
2018-08-20,31.152344
2018-08-21,30.410156
2018-08-23,33.066406
2018-08-24,29.878183
2018-08-27,30.78125
2018-08-28,37.421875
2018-08-29,38.359375
2018-08-30,31.777344
2018-08-31,30.589336
2018-09-03,32.817307
2018-09-04,30.371094
2018-09-05,30.722656
2018-09-06,29.76637
2018-09-07,30.722656
2018-09-10,33.984375
2018-09-11,31.914062
2018-09-12,31.035156
2018-09-14,30.097656
2018-09-17,33.085938
2018-09-18,30.664062
2018-09-19,30.546875
2018-09-21,36.660156
2018-09-24,45.742188
2018-09-25,36.09375
2018-09-26,42.65625
2018-09-27,32.597656
2018-09-28,33.125
