date,iv_atm
2017-07-04,22.779232
2017-07-05,21.223701
2017-07-06,19.570312
2017-07-07,19.023438
2017-07-10,19.543509
2017-07-11,20.15625
2017-07-12,19.53125
2017-07-13,20.859375
2017-07-14,19.765625
2017-07-17,22.421875
2017-07-18,24.609375
2017-07-19,23.75
2017-07-20,23.125
2017-07-21,20.859375
2017-07-24,27.34375
2017-07-25,25.9375
2017-07-27,20.390625
2017-07-28,20.546875
2017-07-31,21.25
2017-08-01,22.304688
2017-08-02,21.601562
2017-08-03,23.4375
2017-08-04,22.5
2017-08-07,22.734375
2017-08-08,23.515625
2017-08-09,25.742188
2017-08-10,28.789062
2017-08-11,31.289062
2017-08-14,32.070312
2017-08-16,25.234375
2017-08-17,23.203125
2017-08-18,22.773438
2017-08-21,26.992188
2017-08-22,24.296875
2017-08-23,20.546875
2017-08-24,18.28125
2017-08-28,23.90625
2017-08-29,30.0
2017-08-30,28.4375
2017-08-31,21.289062
2017-09-01,21.914062
2017-09-04,23.320312
2017-09-05,23.515625
2017-09-06,23.4375
2017-09-07,23.671875
2017-09-08,22.070312
2017-09-11,22.265625
2017-09-12,21.601562
2017-09-13,20.585938
2017-09-14,21.171875
2017-09-15,24.726562
2017-09-18,23.75
2017-09-19,24.6875
2017-09-20,23.515625
2017-09-21,22.421875
2017-09-22,26.40625
2017-09-25,36.905647
2017-09-26,33.53371
2017-09-27,33.90625
2017-09-28,24.921875
2017-09-29,24.414062
2017-10-03,24.179688
2017-10-04,22.96875
2017-10-05,21.640625
2017-10-06,19.60356
2017-10-09,21.5625
2017-10-10,22.070312
2017-10-11,21.601562
2017-10-12,19.257812
2017-10-13,19.804688
2017-10-16,19.765625
2017-10-17,19.023438
2017-10-18,16.09375
2017-10-23,22.34375
2017-10-24,24.21875
2017-10-25,30.9375
2017-10-26,23.398438
2017-10-27,25.15625
2017-10-30,23.671875
2017-10-31,25.507812
2017-11-01,27.016283
2017-11-02,27.254412
2017-11-03,27.460938
2017-11-06,31.698511
2017-11-07,32.03125
2017-11-08,34.121094
2017-11-09,33.359375
2017-11-10,29.882812
2017-11-13,22.8125
