date,iv_atm
2017-07-04,21.02539
2017-07-05,23.49121
2017-07-06,71.34766
2017-07-07,61.07422
2017-07-10,19.199219
2017-07-11,20.976562
2017-07-12,22.734375
2017-07-13,31.00586
2017-07-14,18.291016
2017-07-17,21.230469
2017-07-18,15.458176
2017-07-19,24.423828
2017-07-20,57.91992
2017-07-21,25.136719
2017-07-24,35.78125
2017-07-25,5.46875
2017-07-27,19.550781
2017-07-28,19.882812
2017-07-31,20.371094
2017-08-01,25.771484
2017-08-02,70.22703
2017-08-03,95.95703
2017-08-04,24.975586
2017-08-07,17.148438
2017-08-08,16.914062
2017-08-09,19.970703
2017-08-10,24.492188
2017-08-11,42.09961
2017-08-14,25.039062
2017-08-16,21.455078
2017-08-17,19.736328
2017-08-18,25.214844
2017-08-21,23.030918
2017-08-22,27.005398
2017-08-23,23.115234
2017-08-24,27.58789
2017-08-28,25.535675
2017-08-29,26.777344
2017-08-30,47.148438
2017-08-31,18.583984
2017-09-01,53.867188
2017-09-04,25.859375
2017-09-05,20.3125
2017-09-06,55.76172
2017-09-07,21.152344
2017-09-08,79.16992
2017-09-11,22.998047
2017-09-12,89.72656
2017-09-13,22.417496
2017-09-14,22.574625
2017-09-15,22.910156
2017-09-18,29.058668
2017-09-19,33.390396
2017-09-20,20.9375
2017-09-21,24.257812
2017-09-22,25.722656
2017-09-25,17.753906
2017-09-26,54.023438
2017-09-27,155.50781
2017-09-28,41.884766
2017-09-29,23.271484
2017-10-03,24.44336
2017-10-04,23.720703
2017-10-05,21.223463
2017-10-06,21.989342
2017-10-09,24.486788
2017-10-10,25.742933
2017-10-11,22.800442
2017-10-12,22.050781
2017-10-13,29.853516
2017-10-16,29.59064
2017-10-17,25.410156
2017-10-18,22.58789
2017-10-23,31.484375
2017-10-24,29.795725
2017-10-25,46.875
2017-10-26,23.417969
2017-10-27,23.310547
2017-10-30,26.918945
2017-10-31,26.835938
2017-11-01,17.294922
2017-11-02,23.603516
2017-11-03,21.748047
2017-11-06,26.259766
2017-11-07,23.710938
2017-11-08,27.792969
2017-11-09,31.044922
2017-11-10,24.453125
2017-11-13,23.232422
2017-11-14,22.480469
2017-11-15,16.572266
2017-11-16,21.835938
2017-11-17,21.035156
2017-11-20,25.71289
2017-11-21,24.707031
2017-11-22,34.765625
2017-11-23,29.707031
2017-11-24,25.0
2017-11-27,53.14453
2017-11-28,29.414062
2017-11-29,32.265625
2017-11-30,67.43164
2017-12-01,18.21289
2017-12-04,75.81055
2017-12-05,76.47461
2017-12-06,26.00586
2017-12-07,28.671875
2017-12-08,21.76765
2017-12-11,21.561235
2017-12-12,38.19336
2017-12-13,26.679688
2017-12-14,26.40625
2017-12-15,33.808594
2017-12-18,21.845703
2017-12-19,15.883515
2017-12-20,20.498047
2017-12-21,24.726562
2017-12-22,17.109375
2017-12-26,25.742188
2017-12-27,26.953125
2017-12-28,49.82422
2017-12-29,57.666016
2018-01-01,27.324219
2018-01-02,28.007812
2018-01-03,29.84375
2018-01-04,19.960938
2018-01-05,25.742188
2018-01-08,23.647272
2018-01-09,87.14844
2018-01-10,89.70703
2018-01-11,96.61133
2018-01-12,25.732422
2018-01-15,127.12891
2018-01-16,22.617188
2018-01-17,23.945312
2018-01-18,24.414062
2018-01-19,19.160156
2018-01-22,33.554688
2018-01-23,24.648438
2018-01-24,35.78125
2018-01-25,21.015625
2018-01-29,24.30664
2018-01-30,21.708984
2018-01-31,76.640625
2018-02-01,22.353516
2018-02-02,45.38086
2018-02-05,86.38672
2018-02-06,29.013672
2018-02-07,32.314453
2018-02-08,25.703125
2018-02-09,26.816406
2018-02-12,32.96875
2018-02-14,30.15625
2018-02-15,35.80078
2018-02-16,47.910156
2018-02-19,78.78906
2018-02-20,144.6289
2018-02-21,24.038391
2018-02-22,9.667969
2018-02-23,52.32422
2018-02-26,51.308594
2018-02-27,54.208984
2018-02-28,23.55957
2018-03-01,26.132812
2018-03-05,25.585938
2018-03-06,33.154297
2018-03-07,24.873047
2018-03-08,33.320312
2018-03-09,33.59375
2018-03-12,28.408203
2018-03-13,23.99414
2018-03-14,25.009766
2018-03-15,16.865234
2018-03-16,20.976562
2018-03-19,25.351562
2018-03-20,23.222656
2018-03-21,22.148438
2018-03-22,24.296875
2018-03-23,28.90625
2018-03-26,31.523438
2018-03-27,36.445312
2018-03-28,23.378906
2018-04-02,7.1191406
2018-04-03,11.220341
2018-04-04,12.381087
2018-04-05,20.9375
2018-04-06,21.210938
2018-04-09,20.742188
2018-04-10,20.429688
2018-04-11,23.97461
2018-04-12,19.53125
2018-04-13,21.923828
2018-04-16,22.792969
2018-04-17,23.59375
2018-04-18,28.867188
2018-04-19,21.835938
2018-04-20,22.929688
2018-04-23,18.67555
2018-04-24,15.979712
2018-04-25,29.375
2018-04-26,20.239258
2018-04-27,21.308594
2018-04-30,20.517578
2018-05-02,24.360352
2018-05-03,22.978516
2018-05-04,22.421875
2018-05-07,24.296875
2018-05-08,21.699219
2018-05-09,24.589844
2018-05-10,21.767578
2018-05-11,21.701769
2018-05-14,23.19336
2018-05-15,107.5
2018-05-16,26.94336
2018-05-17,30.410156
2018-05-18,28.945312
2018-05-21,34.433594
2018-05-22,28.896484
2018-05-23,26.679688
2018-05-24,24.560547
2018-05-25,24.765625
2018-05-28,34.960938
2018-05-29,35.742188
2018-05-30,43.398438
2018-05-31,22.451172
2018-06-01,22.949219
2018-06-04,31.972656
2018-06-05,25.273438
2018-06-06,23.847656
2018-06-07,29.853516
2018-06-08,28.05664
2018-06-11,22.597656
2018-06-12,21.240234
2018-06-13,22.060547
2018-06-14,23.701172
2018-06-15,21.201172
2018-06-18,24.46289
2018-06-19,22.539062
2018-06-20,21.269531
2018-06-21,21.63086
2018-06-22,30.234375
2018-06-25,40.214844
2018-06-26,32.402344
2018-06-27,34.609375
2018-06-28,18.457031
