date,iv_atm
2021-10-01,40.902084
2021-10-04,38.477795
2021-10-05,62.153236
2021-10-06,58.549538
2021-10-07,40.36202
2021-10-08,39.88993
2021-10-11,55.81765
2021-10-12,41.06763
2021-10-13,39.387512
2021-10-14,56.235527
2021-10-18,55.80804
2021-10-19,39.493935
2021-10-20,37.516758
2021-10-21,47.541294
2021-10-22,74.51584
2021-10-25,53.478256
2021-10-26,58.24574
2021-10-27,41.341095
2021-10-28,44.544308
2021-10-29,38.306667
2021-11-01,40.787815
2021-11-02,41.654865
2021-11-03,38.311127
2021-11-04,39.87295
2021-11-08,38.395523
2021-11-09,38.94025
2021-11-10,32.999775
2021-11-11,39.312733
2021-11-12,29.395247
2021-11-15,41.730736
2021-11-16,36.3829
2021-11-17,35.811535
2021-11-18,37.653145
2021-11-22,24.835367
2021-11-23,42.77348
2021-11-24,16.08892
2021-11-25,27.05172
2021-11-26,40.464775
2021-11-29,37.50832
2021-11-30,32.640694
2021-12-01,39.065594
2021-12-02,35.604538
2021-12-03,37.86229
2021-12-06,33.102043
2021-12-07,39.44744
2021-12-08,39.64496
2021-12-09,35.341515
2021-12-10,33.7533
2021-12-13,33.251583
2021-12-14,36.76538
2021-12-15,39.080475
2021-12-16,34.49632
2021-12-17,30.813961
2021-12-20,49.000465
2021-12-21,38.750065
2021-12-22,34.125343
2021-12-23,36.196407
2021-12-24,40.047436
2021-12-27,39.59883
2021-12-28,46.65922
2021-12-29,37.02819
2021-12-30,37.485806
2021-12-31,34.225037
2022-01-03,39.13796
2022-01-04,33.85424
2022-01-05,40.04948
2022-01-06,37.312893
2022-01-07,39.788937
2022-01-10,42.71715
2022-01-11,41.537075
2022-01-12,44.813442
2022-01-13,42.610977
2022-01-14,45.434555
2022-01-17,47.6655
2022-01-18,45.700672
2022-01-19,40.554848
2022-01-20,34.88716
2022-01-21,39.350513
2022-01-24,30.79677
2022-01-25,44.953094
2022-01-27,37.16872
2022-01-28,38.06836
2022-01-31,36.4786
2022-02-01,38.117928
2022-02-02,37.52767
2022-02-03,37.059772
2022-02-04,37.182175
2022-02-07,36.402294
2022-02-08,36.44497
2022-02-09,37.439648
2022-02-10,38.025497
2022-02-11,37.587227
2022-02-14,38.222107
2022-02-15,37.669083
2022-02-16,44.770107
2022-02-17,47.12611
2022-02-18,38.23303
2022-02-21,36.28534
2022-02-22,38.09882
2022-02-23,58.05939
2022-02-24,43.666435
2022-02-25,38.65186
2022-02-28,38.73076
2022-03-02,41.294926
2022-03-03,43.560944
2022-03-04,39.914165
2022-03-07,44.468674
2022-03-08,41.25868
2022-03-09,37.990536
2022-03-10,39.60003
2022-03-11,39.174004
2022-03-14,42.555645
2022-03-15,48.575
2022-03-16,46.29314
2022-03-17,47.29275
2022-03-21,52.053123
2022-03-22,50.266098
2022-03-23,49.944862
2022-03-24,49.455273
2022-03-25,35.35629
2022-03-28,47.16218
2022-03-29,69.45943
2022-03-30,64.27296
2022-03-31,38.62247
2022-04-01,37.869747
2022-04-04,40.06044
2022-04-05,43.922844
2022-04-06,46.10693
2022-04-07,39.851707
2022-04-08,47.507
2022-04-11,48.504803
2022-04-12,48.337925
2022-04-13,45.04384
2022-04-18,50.442387
2022-04-19,56.573387
2022-04-20,53.84632
2022-04-21,50.225212
2022-04-22,50.584007
2022-04-25,45.29846
2022-04-26,42.79988
2022-04-27,51.672688
2022-04-28,47.35422
2022-04-29,36.87041
2022-05-02,44.40449
2022-05-04,46.765022
2022-05-05,36.67136
2022-05-06,36.813595
2022-05-09,37.6278
2022-05-10,36.916935
2022-05-11,38.485138
2022-05-12,37.68865
2022-05-13,40.22023
2022-05-16,44.522118
2022-05-17,47.01914
2022-05-18,46.840256
2022-05-19,36.945896
2022-05-20,37.787933
2022-05-23,36.023167
2022-05-24,39.22089
2022-05-25,34.09146
2022-05-26,36.963657
2022-05-27,44.204742
2022-05-30,39.640545
2022-05-31,38.883564
2022-06-01,37.75837
2022-06-02,36.058334
2022-06-03,41.281494
2022-06-06,41.039898
2022-06-07,36.644306
2022-06-08,36.205963
2022-06-09,39.684216
2022-06-10,36.981964
2022-06-13,37.669136
2022-06-14,41.291187
2022-06-15,38.511574
2022-06-16,42.846516
2022-06-17,37.40277
2022-06-20,37.186638
2022-06-21,38.988056
2022-06-22,40.18909
2022-06-23,42.58866
2022-06-24,31.599876
2022-06-27,30.562231
2022-06-28,39.085564
2022-06-29,18.006042
2022-06-30,35.124718
2022-07-01,35.53421
2022-07-04,38.461277
2022-07-05,39.56779
2022-07-06,35.670208
2022-07-07,32.908077
2022-07-08,32.99177
2022-07-11,34.546947
2022-07-12,37.888275
2022-07-13,40.512432
2022-07-14,36.927925
2022-07-15,38.025238
2022-07-18,38.498795
2022-07-19,37.68786
2022-07-20,40.373898
2022-07-21,38.08031
2022-07-22,45.176086
2022-07-25,43.96654
2022-07-26,44.256615
2022-07-27,32.152405
2022-07-28,39.249096
2022-07-29,39.927513
2022-08-01,38.256355
2022-08-02,35.275185
2022-08-03,38.096176
2022-08-04,34.231342
2022-08-05,39.5186
2022-08-08,37.23495
2022-08-10,38.713833
2022-08-11,37.490078
