date,iv_atm
2017-07-04,26.191406
2017-07-05,24.21875
2017-07-06,21.875
2017-07-07,19.648438
2017-07-10,31.210938
2017-07-11,26.80664
2017-07-12,31.484375
2017-07-13,26.977856
2017-07-14,29.25636
2017-07-17,32.966255
2017-07-18,32.79297
2017-07-19,27.96875
2017-07-20,29.882812
2017-07-21,37.831173
2017-07-24,43.398438
2017-07-25,258.98056
2017-07-27,18.134766
2017-07-28,25.385742
2017-07-31,27.666016
2017-08-01,27.851562
2017-08-02,32.01172
2017-08-03,23.251953
2017-08-04,34.541016
2017-08-07,40.08789
2017-08-08,31.210938
2017-08-09,33.26172
2017-08-10,32.03125
2017-08-11,32.421875
2017-08-14,33.183594
2017-08-16,40.371094
2017-08-17,36.38672
2017-08-18,29.746094
2017-08-21,30.195312
2017-08-22,30.253906
2017-08-23,36.435547
2017-08-24,29.023438
2017-08-28,37.578125
2017-08-29,29.6875
2017-08-30,39.921875
2017-08-31,26.33789
2017-09-01,28.027344
2017-09-04,29.853516
2017-09-05,28.97461
2017-09-06,31.376953
2017-09-07,42.43164
2017-09-08,30.9375
2017-09-11,31.09375
2017-09-12,31.445312
2017-09-13,31.855469
2017-09-14,30.566406
2017-09-15,31.640625
2017-09-18,39.160156
2017-09-19,36.835938
2017-09-20,35.195312
2017-09-21,23.730469
2017-09-22,25.820312
2017-09-25,40.15625
2017-09-26,50.117188
2017-09-27,15.15625
2017-09-28,25.53711
2017-09-29,40.908203
2017-10-03,32.773438
2017-10-04,31.171875
2017-10-05,29.677734
2017-10-06,27.148438
2017-10-09,29.990234
2017-10-10,31.757812
2017-10-11,36.26953
2017-10-12,28.771093
2017-10-13,27.685547
2017-10-16,27.089844
2017-10-17,22.929688
2017-10-18,23.797438
2017-10-23,28.876907
2017-10-24,35.117188
2017-10-25,45.46875
2017-10-26,28.955078
2017-10-27,29.716797
2017-10-30,27.539062
2017-10-31,26.152344
2017-11-01,50.146484
2017-11-02,24.511719
2017-11-03,27.109375
2017-11-06,30.644531
2017-11-07,34.052734
2017-11-08,21.512402
2017-11-09,39.4856
2017-11-10,30.634766
2017-11-13,23.300781
2017-11-14,62.265625
2017-11-15,27.539062
2017-11-16,28.710938
2017-11-17,29.804688
2017-11-20,33.964844
2017-11-21,25.800781
2017-11-22,45.664062
2017-11-23,19.101162
2017-11-24,23.554688
2017-11-27,32.94922
2017-11-28,43.75
2017-11-29,64.53125
2017-11-30,26.16211
2017-12-01,19.707031
2017-12-04,28.535156
2017-12-05,25.976562
2017-12-06,20.615234
2017-12-07,25.791016
2017-12-08,21.914062
2017-12-11,25.146484
2017-12-12,28.97461
2017-12-13,24.6875
2017-12-14,25.361328
2017-12-15,24.335938
2017-12-18,35.95703
2017-12-19,34.765625
2017-12-20,26.523438
2017-12-21,61.71875
2017-12-22,31.894531
2017-12-26,48.75
2017-12-27,51.71875
2017-12-28,29.199219
2017-12-29,29.052734
2018-01-01,40.594177
2018-01-02,35.009766
2018-01-03,36.933594
2018-01-04,30.703125
2018-01-05,76.63086
2018-01-08,83.70117
2018-01-09,37.67578
2018-01-10,36.054688
2018-01-11,35.195312
2018-01-12,38.564453
2018-01-15,33.41797
2018-01-16,31.09375
2018-01-17,32.148438
2018-01-18,33.046875
2018-01-19,35.351562
2018-01-22,33.652344
2018-01-23,45.195312
2018-01-24,63.28125
2018-01-25,31.94336
2018-01-29,46.58203
2018-01-30,33.97461
2018-01-31,35.91797
2018-02-01,49.53125
2018-02-02,14.186853
2018-02-05,35.26367
2018-02-06,37.32422
2018-02-07,109.64684
2018-02-08,40.009766
2018-02-09,47.34375
2018-02-12,37.753906
2018-02-14,45.859375
2018-02-15,22.226562
2018-02-16,25.820312
2018-02-19,33.554688
2018-02-20,36.09375
2018-02-21,47.578125
2018-02-22,26.416016
2018-02-23,28.05664
2018-02-26,31.074219
2018-02-27,25.238316
2018-02-28,12.96875
2018-03-01,16.923828
2018-03-05,14.404297
2018-03-06,21.347656
2018-03-07,27.480469
2018-03-08,32.148438
2018-03-09,32.48047
2018-03-12,36.152344
2018-03-13,38.408203
2018-03-14,30.124727
2018-03-15,38.828125
2018-03-16,47.32422
2018-03-19,58.203125
2018-03-20,46.679688
2018-03-21,45.46875
2018-03-22,34.023438
2018-03-23,28.496094
2018-03-26,53.203125
2018-03-27,25.15625
2018-03-28,35.53711
2018-04-02,31.679688
2018-04-03,40.507812
2018-04-04,28.945312
2018-04-05,35.17578
2018-04-06,29.84375
2018-04-09,32.041016
2018-04-10,38.085938
2018-04-11,35.839844
2018-04-12,32.773438
2018-04-13,35.36133
2018-04-16,43.027344
2018-04-17,40.273438
2018-04-18,35.996094
2018-04-19,26.9957
2018-04-20,33.45703
2018-04-23,76.894875
2018-04-24,37.109375
2018-04-25,61.640625
2018-04-26,27.265625
2018-04-27,26.02539
2018-04-30,24.0625
2018-05-02,31.376953
2018-05-03,32.871094
2018-05-04,34.257812
2018-05-07,29.6875
2018-05-08,29.716797
2018-05-09,35.91797
2018-05-10,44.697266
2018-05-11,38.01758
2018-05-14,33.320312
