date,iv_atm
2021-10-01,84.55254
2021-10-04,78.94822
2021-10-05,72.1373
2021-10-06,71.5752
2021-10-07,71.930214
2021-10-08,76.01748
2021-10-11,86.84987
2021-10-12,76.13846
2021-10-13,75.32658
2021-10-14,76.677895
2021-10-18,83.553566
2021-10-19,80.8065
2021-10-20,87.81265
2021-10-21,62.35656
2021-10-22,57.436085
2021-10-25,55.53672
2021-10-26,65.40494
2021-10-27,73.42305
2021-10-28,54.592495
2021-10-29,48.32677
2021-11-01,61.253014
2021-11-02,57.952965
2021-11-03,57.977715
2021-11-04,53.71912
2021-11-08,53.785946
2021-11-09,53.57535
2021-11-10,53.47562
2021-11-11,50.98526
2021-11-12,48.767258
2021-11-15,50.402737
2021-11-16,52.592617
2021-11-17,50.971146
2021-11-18,34.745373
2021-11-22,49.62958
2021-11-23,47.829647
2021-11-24,36.092083
2021-11-25,41.207195
2021-11-26,54.902245
2021-11-29,53.18375
2021-11-30,52.71647
2021-12-01,52.429222
2021-12-02,48.25314
2021-12-03,48.747593
2021-12-06,49.381508
2021-12-07,47.49207
2021-12-08,43.22039
2021-12-09,42.849537
2021-12-10,41.60646
2021-12-13,45.930992
2021-12-14,45.865917
2021-12-15,47.292484
2021-12-16,44.03754
2021-12-17,47.35197
2021-12-20,50.801777
2021-12-21,44.246086
2021-12-22,42.817265
2021-12-23,42.93698
2021-12-24,40.711475
2021-12-27,33.18638
2021-12-28,49.52526
2021-12-29,37.57068
2021-12-30,50.999416
2021-12-31,48.765965
2022-01-03,50.99949
2022-01-04,46.82815
2022-01-05,47.22913
2022-01-06,49.228737
2022-01-07,49.1562
2022-01-10,48.066063
2022-01-11,32.322918
2022-01-12,59.271297
2022-01-13,59.097763
2022-01-14,46.398148
2022-01-17,50.191257
2022-01-18,49.915794
2022-01-19,51.704433
2022-01-20,50.121746
2022-01-21,43.109917
2022-01-24,47.9985
2022-01-25,38.693035
2022-01-27,59.326668
2022-01-28,60.935493
2022-01-31,47.410103
2022-02-01,45.114044
2022-02-02,42.851536
2022-02-03,45.73422
2022-02-04,44.338917
2022-02-07,47.356243
2022-02-08,43.64271
2022-02-09,61.266083
2022-02-10,40.189693
2022-02-11,41.29249
2022-02-14,48.190273
2022-02-15,43.773342
2022-02-16,40.932396
2022-02-17,45.240467
2022-02-18,38.75726
2022-02-21,39.372417
2022-02-22,47.237667
2022-02-23,47.75153
2022-02-24,60.296173
2022-02-25,44.067055
2022-02-28,45.147842
2022-03-02,47.786907
2022-03-03,44.74958
2022-03-04,50.482204
2022-03-07,54.750595
2022-03-08,51.788864
2022-03-09,51.628315
2022-03-10,46.448036
2022-03-11,47.2427
2022-03-14,49.455673
2022-03-15,47.964863
2022-03-16,45.283043
2022-03-17,43.909847
2022-03-21,60.072044
2022-03-22,61.918755
2022-03-23,62.23237
2022-03-24,61.54926
2022-03-25,49.587883
2022-03-28,57.672745
2022-03-29,52.709595
2022-03-30,37.51628
2022-03-31,55.950512
2022-04-01,50.798557
2022-04-04,48.791195
2022-04-05,49.807472
2022-04-06,53.177795
2022-04-07,53.158382
2022-04-08,54.74567
2022-04-11,59.571156
2022-04-12,50.505447
2022-04-13,44.42937
2022-04-18,45.697784
2022-04-19,43.61849
2022-04-20,41.478477
2022-04-21,39.18851
2022-04-22,42.16312
2022-04-25,50.244965
2022-04-26,56.52489
2022-04-27,43.271343
2022-04-28,46.010677
2022-04-29,40.036102
2022-05-02,44.082523
2022-05-04,46.473778
2022-05-05,40.043144
2022-05-06,42.13195
2022-05-09,44.148434
2022-05-10,51.286655
2022-05-11,48.403816
2022-05-12,49.933727
2022-05-13,48.956245
2022-05-16,46.266205
2022-05-17,44.217247
2022-05-18,56.42492
2022-05-19,60.857883
2022-05-20,41.402145
2022-05-23,60.061947
2022-05-24,53.824387
2022-05-25,88.37718
2022-05-26,56.549126
2022-05-27,49.97697
2022-05-30,46.895493
2022-05-31,50.39341
2022-06-01,52.51321
2022-06-02,51.343822
2022-06-03,52.291367
2022-06-06,52.12126
2022-06-07,48.521828
2022-06-08,45.389874
2022-06-09,45.408604
2022-06-10,43.571114
2022-06-13,61.854733
2022-06-14,60.97736
2022-06-15,60.12392
2022-06-16,63.379757
2022-06-17,66.96466
2022-06-20,67.3716
2022-06-21,54.38338
2022-06-22,53.995876
2022-06-23,51.2557
2022-06-24,46.32418
2022-06-27,29.667458
2022-06-28,42.127613
2022-06-29,63.207623
2022-06-30,62.779087
2022-07-01,55.23595
2022-07-04,54.62873
2022-07-05,54.04481
2022-07-06,52.213223
2022-07-07,55.17686
2022-07-08,54.91018
2022-07-11,60.90068
2022-07-12,62.391098
2022-07-13,54.019993
2022-07-14,52.931286
2022-07-15,59.480198
2022-07-18,52.397194
2022-07-19,51.41106
2022-07-20,54.337856
2022-07-21,59.127064
2022-07-22,55.057503
2022-07-25,59.06076
2022-07-26,56.185215
2022-07-27,41.498825
2022-07-28,61.23288
2022-07-29,51.778152
2022-08-01,52.00103
2022-08-02,52.5805
2022-08-03,53.109375
2022-08-04,53.861164
2022-08-05,48.206715
2022-08-08,60.455486
2022-08-10,60.865032
2022-08-11,59.88018
2022-08-12,61.37098
2022-08-16,59.534832
2022-08-17,58.66363
2022-08-18,67.576675
2022-08-19,59.11407
2022-08-22,68.894325
2022-08-23,64.90122
2022-08-24,55.91428
2022-08-25,51.17361
2022-08-26,49.5682
2022-08-29,48.00509
2022-08-30,48.857395
2022-09-01,50.167553
