date,iv_atm
2017-07-04,38.359375
2017-07-05,37.34375
2017-07-06,39.726562
2017-07-07,40.9375
2017-07-10,41.445312
2017-07-11,41.09375
2017-07-12,39.765625
2017-07-13,40.3125
2017-07-14,37.396217
2017-07-17,40.859375
2017-07-18,42.109375
2017-07-19,41.640625
2017-07-20,41.171875
2017-07-21,36.015625
2017-07-24,45.78125
2017-07-25,45.625
2017-07-27,38.28125
2017-07-28,38.28125
2017-07-31,38.320312
2017-08-01,39.380013
2017-08-02,38.398438
2017-08-03,38.398438
2017-08-04,38.164062
2017-08-07,41.25
2017-08-08,48.28125
2017-08-09,49.335938
2017-08-10,110.16025
2017-08-11,73.28125
2017-08-14,51.289062
2017-08-16,52.304688
2017-08-17,57.5
2017-08-18,55.78125
2017-08-21,56.875
2017-08-22,51.645897
2017-08-23,48.534874
2017-08-24,50.078125
2017-08-28,52.65625
2017-08-29,70.625
2017-08-30,78.75
2017-08-31,41.29523
2017-09-01,40.585938
2017-09-04,43.203125
2017-09-05,41.171875
2017-09-06,43.046875
2017-09-07,42.96875
2017-09-08,42.65625
2017-09-11,41.015625
2017-09-12,40.078125
2017-09-13,40.859375
2017-09-14,41.015625
2017-09-15,40.390625
2017-09-18,42.7245
2017-09-19,42.392178
2017-09-20,38.67749
2017-09-21,37.8125
2017-09-22,42.265625
2017-09-25,40.78125
2017-09-26,42.8125
2017-09-27,71.861786
2017-09-28,42.617188
2017-09-29,40.820312
2017-10-03,41.953125
2017-10-04,42.03125
2017-10-05,39.609375
2017-10-06,39.375
2017-10-09,40.390625
2017-10-10,42.267372
2017-10-11,42.265625
2017-10-12,39.765625
2017-10-13,38.59375
2017-10-16,39.765625
2017-10-17,39.296875
2017-10-18,36.484375
2017-10-23,48.90625
2017-10-24,50.438557
2017-10-25,61.875
2017-10-26,41.054688
2017-10-27,40.596523
2017-10-30,42.226562
2017-10-31,44.804688
2017-11-01,44.882812
2017-11-02,43.51692
2017-11-03,43.902916
2017-11-06,47.851562
2017-11-07,49.335938
2017-11-08,50.039062
2017-11-09,48.984375
2017-11-10,44.453125
2017-11-13,42.578125
2017-11-14,41.601562
2017-11-15,43.046875
2017-11-16,45.625
2017-11-17,46.875
2017-11-20,43.203125
2017-11-21,36.422718
2017-11-22,37.91209
2017-11-23,38.359375
2017-11-24,39.84375
2017-11-27,48.4375
2017-11-28,48.4375
2017-11-29,50.477905
2017-11-30,43.428837
2017-12-01,44.0625
2017-12-04,45.820312
2017-12-05,45.703125
2017-12-06,42.8125
2017-12-07,42.40666
2017-12-08,40.234375
2017-12-11,43.4375
2017-12-12,44.492188
2017-12-13,46.992188
2017-12-14,47.65625
2017-12-15,45.585938
2017-12-18,40.3125
2017-12-19,41.71875
2017-12-20,37.226562
2017-12-21,34.21875
2017-12-22,31.874962
2017-12-26,37.5
2017-12-27,47.34375
2017-12-28,41.015625
2017-12-29,40.429688
2018-01-01,41.144253
2018-01-02,42.59668
2018-01-03,46.953125
2018-01-04,45.234375
2018-01-05,44.648438
2018-01-08,47.421875
2018-01-09,47.226562
2018-01-10,48.90625
2018-01-11,47.539062
2018-01-12,43.359375
2018-01-15,47.65625
2018-01-16,48.984375
2018-01-17,47.8125
2018-01-18,49.53125
2018-01-19,36.177208
2018-01-22,46.953125
2018-01-23,56.875
2018-01-24,60.78125
2018-01-25,49.21875
2018-01-29,49.53125
2018-01-30,47.022144
2018-01-31,46.914062
2018-02-01,44.453125
2018-02-02,55.434547
2018-02-05,56.210938
2018-02-06,61.277996
2018-02-07,57.34604
2018-02-08,53.56664
2018-02-09,60.546875
2018-02-12,55.859375
2018-02-14,50.390625
2018-02-15,47.734375
2018-02-16,40.9375
2018-02-19,54.375
2018-02-20,54.21875
2018-02-21,47.34375
2018-02-22,39.804672
2018-02-23,37.20436
2018-02-26,36.92351
2018-02-27,38.046875
2018-02-28,36.992188
2018-03-01,36.875
2018-03-05,39.453125
2018-03-06,41.171875
2018-03-07,40.742188
2018-03-08,37.8125
2018-03-09,40.390625
2018-03-12,38.90625
2018-03-13,38.4375
2018-03-14,37.734375
2018-03-15,36.67763
2018-03-16,35.703125
2018-03-19,44.116035
2018-03-20,43.671875
2018-03-21,42.5
2018-03-22,39.21875
2018-03-23,39.6875
2018-03-26,45.625
2018-03-27,51.9785
2018-03-28,39.921875
2018-04-02,42.5
2018-04-03,42.304688
2018-04-04,42.578125
2018-04-05,40.976562
2018-04-06,40.585938
2018-04-09,42.5
2018-04-10,42.265625
2018-04-11,41.40625
2018-04-12,40.3125
2018-04-13,38.125
2018-04-16,41.015625
2018-04-17,38.359375
2018-04-18,36.875
2018-04-19,36.09375
2018-04-20,36.40625
2018-04-23,42.4798
2018-04-24,51.25
2018-04-25,54.375
2018-04-26,36.775997
2018-04-27,36.328125
2018-04-30,36.757812
2018-05-02,38.867188
2018-05-03,40.078125
2018-05-04,41.018795
2018-05-07,43.125
2018-05-08,43.025547
2018-05-09,43.203125
2018-05-10,48.523827
2018-05-11,42.265625
2018-05-14,51.09375
2018-05-15,47.421875
2018-05-16,48.164062
2018-05-17,46.953125
2018-05-18,52.226562
2018-05-21,71.015625
2018-05-22,53.125
2018-05-23,49.609375
2018-05-24,50.078125
2018-05-25,47.34375
2018-05-28,53.59375
2018-05-29,72.96875
2018-05-30,54.21875
2018-05-31,39.138016
2018-06-01,44.179688
2018-06-04,50.952194
2018-06-05,49.09114
2018-06-06,47.45841
2018-06-07,43.671875
2018-06-08,43.671875
2018-06-11,48.125
2018-06-12,45.351562
2018-06-13,44.375
2018-06-14,40.99164
2018-06-15,41.40625
2018-06-18,43.203125
2018-06-19,44.140625
2018-06-20,43.366203
2018-06-21,41.015625
2018-06-22,36.796875
2018-06-25,46.71875
2018-06-26,44.854706
2018-06-27,52.1875
2018-06-28,41.796875
2018-06-29,40.351562
2018-07-02,42.34375
2018-07-03,41.5625
2018-07-04,40.46875
2018-07-05,41.367188
2018-07-06,39.179688
2018-07-09,39.101562
2018-07-10,39.0625
2018-07-11,39.453125
2018-07-12,38.203125
2018-07-13,37.890625
2018-07-16,45.390625
2018-07-17,41.739365
2018-07-18,48.90692
2018-07-19,55.078125
2018-07-20,48.75
2018-07-23,50.739788
2018-07-24,53.45225
2018-07-25,54.375
2018-07-26,42.03125
2018-07-27,43.581734
2018-07-30,44.921875
2018-07-31,44.390694
2018-08-01,45.143112
2018-08-02,45.859375
2018-08-03,45.99593
2018-08-06,49.257812
2018-08-07,48.203125
2018-08-08,46.835938
2018-08-09,46.09375
2018-08-10,44.6875
2018-08-13,44.609375
2018-08-14,42.8125
2018-08-16,43.164062
2018-08-17,39.765625
2018-08-20,40.859375
2018-08-21,39.921875
2018-08-23,39.765625
2018-08-24,37.34375
2018-08-27,43.28125
2018-08-28,49.53125
2018-08-29,42.96875
2018-08-30,40.728268
2018-08-31,39.140625
2018-09-03,42.221252
2018-09-04,44.0625
2018-09-05,40.898438
2018-09-06,40.195312
2018-09-07,39.179688
2018-09-10,43.28125
2018-09-11,43.945312
2018-09-12,39.53125
2018-09-14,40.859375
2018-09-17,41.171875
2018-09-18,42.65625
2018-09-19,39.296875
2018-09-21,47.1875
2018-09-24,87.1875
2018-09-25,89.53125
2018-09-26,85.1365
2018-09-27,51.501568
2018-09-28,57.5
2018-10-01,65.390625
2018-10-03,75.546875
2018-10-04,69.84375
2018-10-05,73.39042
2018-10-08,74.765625
2018-10-09,70.546875
2018-10-10,59.921875
2018-10-11,73.94453
2018-10-12,64.296875
2018-10-15,68.828125
2018-10-16,59.6875
2018-10-17,72.34375
2018-10-19,71.875
2018-10-22,89.375
2018-10-23,79.6875
2018-10-24,74.6875
2018-10-25,55.390625
2018-10-26,55.859375
2018-10-29,57.03125
2018-10-30,56.601562
2018-10-31,55.351562
2018-11-01,50.78125
2018-11-02,46.875
2018-11-05,45.664062
2018-11-06,44.296875
2018-11-09,42.695312
2018-11-12,48.515625
2018-11-13,47.34375
2018-11-14,52.1875
2018-11-15,45.703125
2018-11-16,44.765625
2018-11-19,47.96875
2018-11-20,44.765625
2018-11-21,42.265625
2018-11-22,39.6875
2018-11-26,42.8125
2018-11-27,40.46875
2018-11-28,42.8125
2018-11-29,45.507812
2018-11-30,47.10583
2018-12-03,47.148438
2018-12-04,49.181732
2018-12-05,50.546875
2018-12-06,55.15625
2018-12-07,51.25
2018-12-10,57.734375
2018-12-11,48.515625
2018-12-12,47.8125
2018-12-13,45.390625
2018-12-14,44.765625
2018-12-17,45.021023
2018-12-18,43.4375
2018-12-19,44.276897
2018-12-20,48.293266
2018-12-21,46.328125
2018-12-24,46.40625
2018-12-26,55.9375
2018-12-27,41.827263
2018-12-28,39.90494
2018-12-31,41.5625
2019-01-01,43.709957
2019-01-02,44.335938
2019-01-03,44.84375
2019-01-04,41.914062
2019-01-07,43.515625
2019-01-08,42.421875
2019-01-09,41.835938
2019-01-10,42.34375
2019-01-11,38.59375
2019-01-14,38.818287
2019-01-15,37.96875
2019-01-16,36.25011
2019-01-17,36.171875
2019-01-18,38.088547
2019-01-21,40.46875
2019-01-22,39.21875
2019-01-23,40.234375
2019-01-24,37.65625
2019-01-25,85.390625
2019-01-28,75.3125
2019-01-29,66.25
2019-01-30,63.75
2019-01-31,50.3125
2019-02-01,50.18852
2019-02-04,49.877502
2019-02-05,51.992188
2019-02-06,49.492188
2019-02-07,46.5625
2019-02-08,48.828125
2019-02-11,47.265625
2019-02-12,47.578125
2019-02-13,48.75
2019-02-14,43.08807
