date,iv_atm
2017-07-04,25.527344
2017-07-05,24.887695
2017-07-06,25.283203
2017-07-07,24.93164
2017-07-10,25.090332
2017-07-11,26.63086
2017-07-12,27.475586
2017-07-13,28.198242
2017-07-14,29.79004
2017-07-17,32.250977
2017-07-18,32.836914
2017-07-19,31.767578
2017-07-20,34.731445
2017-07-21,33.046875
2017-07-24,49.853516
2017-07-25,49.277344
2017-07-27,27.194824
2017-07-28,25.628395
2017-07-31,27.617188
2017-08-01,25.686525
2017-08-02,26.535753
2017-08-03,27.277832
2017-08-04,29.711914
2017-08-07,30.942383
2017-08-08,38.41797
2017-08-09,41.030914
2017-08-10,48.823242
2017-08-11,42.094727
2017-08-14,41.19629
2017-08-16,39.84375
2017-08-17,37.680664
2017-08-18,36.972656
2017-08-21,34.648438
2017-08-22,34.58008
2017-08-23,31.103516
2017-08-24,29.91211
2017-08-28,45.234375
2017-08-29,44.51172
2017-08-30,40.351562
2017-08-31,32.304688
2017-09-01,34.34045
2017-09-04,34.25293
2017-09-05,32.719727
2017-09-06,32.36084
2017-09-07,32.456055
2017-09-08,35.161133
2017-09-11,34.98047
2017-09-12,33.867188
2017-09-13,34.66797
2017-09-14,33.203125
2017-09-15,34.814453
2017-09-18,40.67383
2017-09-19,40.947266
2017-09-20,44.770508
2017-09-21,50.512695
2017-09-22,47.333984
2017-09-25,48.88672
2017-09-26,42.802734
2017-09-27,48.085938
2017-09-28,42.30957
2017-09-29,40.302734
2017-10-03,41.61133
2017-10-04,38.876953
2017-10-05,36.674805
2017-10-06,34.673748
2017-10-09,35.595703
2017-10-10,38.129105
2017-10-11,39.340115
2017-10-12,38.28125
2017-10-13,37.333984
2017-10-16,36.523438
2017-10-17,35.458984
2017-10-18,32.90039
2017-10-23,43.046875
2017-10-24,41.02539
2017-10-25,43.164062
2017-10-26,34.291992
2017-10-27,34.904785
2017-10-30,36.376953
2017-10-31,31.699219
2017-11-01,31.881617
2017-11-02,32.141113
2017-11-03,32.79297
2017-11-06,33.657227
2017-11-07,36.333008
2017-11-08,40.180664
2017-11-09,36.79063
2017-11-10,34.6448
2017-11-13,37.88086
2017-11-14,35.927734
2017-11-15,36.191406
2017-11-16,34.023438
2017-11-17,36.37207
2017-11-20,40.131836
2017-11-21,45.880444
2017-11-22,40.78125
2017-11-23,38.125
2017-11-24,34.941177
2017-11-27,37.43164
2017-11-28,40.302734
2017-11-29,44.589844
2017-11-30,31.879883
