date,iv_atm
2017-07-04,57.796936
2017-07-05,55.53833
2017-07-06,44.014893
2017-07-07,45.325317
2017-07-10,47.27661
2017-07-11,73.38928
2017-07-12,65.42847
2017-07-13,78.76373
2017-07-14,76.698
2017-07-17,91.77246
2017-07-18,74.50256
2017-07-19,102.58301
2017-07-20,148.08838
2017-07-21,171.94275
2017-07-24,246.4778
2017-07-25,191.99341
2017-07-27,61.254166
2017-07-28,65.68893
2017-07-31,60.79236
2017-08-01,68.367004
2017-08-02,39.11377
2017-08-03,38.248596
2017-08-04,34.456482
2017-08-07,43.440247
2017-08-08,29.126892
2017-08-09,39.848938
2017-08-10,73.76672
2017-08-11,60.925903
2017-08-14,71.42578
2017-08-16,79.88281
2017-08-17,26.393433
2017-08-18,48.587986
2017-08-21,56.846664
2017-08-22,30.195923
2017-08-23,74.94202
2017-08-24,39.349976
2017-08-28,93.49365
2017-08-29,73.515625
2017-08-30,26.920166
2017-08-31,51.48224
2017-09-01,28.233948
2017-09-04,52.496338
2017-09-05,24.711304
2017-09-06,49.148865
2017-09-07,63.037415
2017-09-08,46.214294
2017-09-11,25.165405
2017-09-12,51.625366
2017-09-13,75.458984
2017-09-14,75.33264
2017-09-15,65.042114
2017-09-18,89.403076
2017-09-19,25.72885
2017-09-20,106.20178
2017-09-21,92.61597
2017-09-22,97.73132
2017-09-25,89.02222
2017-09-26,169.17969
2017-09-27,190.02983
2017-09-28,35.09857
2017-09-29,70.441025
2017-10-03,78.25348
2017-10-04,23.651733
2017-10-05,59.246216
2017-10-06,63.10089
2017-10-09,75.357666
2017-10-10,71.29089
2017-10-11,32.087402
2017-10-12,72.61505
2017-10-13,25.664062
2017-10-16,99.98749
2017-10-17,100.773315
2017-10-18,119.92124
2017-10-23,146.06323
2017-10-24,22.043457
2017-10-25,336.2036
2017-10-26,49.26758
2017-10-27,24.791565
2017-10-30,56.618347
2017-10-31,62.715454
2017-11-01,47.40692
2017-11-02,34.577877
2017-11-03,51.010742
2017-11-06,28.267212
2017-11-07,55.358887
2017-11-08,56.33484
2017-11-09,53.108215
2017-11-10,49.634705
2017-11-13,55.822144
2017-11-14,84.31763
2017-11-15,29.0802
2017-11-16,58.359375
2017-11-17,66.82129
2017-11-20,78.222046
2017-11-21,145.18982
2017-11-22,111.589966
2017-11-23,98.635864
2017-11-24,98.71094
2017-11-27,63.76648
2017-11-28,187.83203
2017-11-29,154.29443
2017-11-30,54.86786
2017-12-01,31.690674
2017-12-04,26.538696
2017-12-05,45.326538
2017-12-06,47.81311
2017-12-07,35.09491
2017-12-08,18.64502
2017-12-11,89.79042
2017-12-12,15.567627
2017-12-13,36.39618
2017-12-14,19.538574
2017-12-15,22.8302
2017-12-18,98.02368
2017-12-19,85.35217
2017-12-20,76.694336
2017-12-21,104.87305
2017-12-22,113.34778
2017-12-26,150.60791
2017-12-27,76.65039
2017-12-28,73.444824
2017-12-29,22.946167
2018-01-01,36.427258
2018-01-02,23.292542
2018-01-03,24.740906
2018-01-04,22.833115
2018-01-05,27.980957
2018-01-08,78.02734
2018-01-09,60.126343
2018-01-10,65.93323
2018-01-11,25.221863
2018-01-12,68.33771
2018-01-15,27.700195
2018-01-16,46.970215
2018-01-17,34.47911
2018-01-18,28.07312
2018-01-19,35.03723
2018-01-22,23.103027
2018-01-23,220.98389
2018-01-24,111.674805
2018-01-25,15.481262
2018-01-29,30.79895
2018-01-30,18.415527
2018-01-31,67.12067
2018-02-01,70.843506
2018-02-02,37.154846
2018-02-05,38.04077
2018-02-06,39.1156
2018-02-07,85.12146
2018-02-08,33.196716
2018-02-09,80.07355
2018-02-12,23.660278
2018-02-14,40.20569
2018-02-15,42.37671
2018-02-16,56.500244
2018-02-19,213.34229
2018-02-20,75.77026
2018-02-21,136.7041
2018-02-22,28.330383
2018-02-23,69.73219
2018-02-26,35.671997
2018-02-27,74.26666
2018-02-28,25.65033
2018-03-01,39.757195
2018-03-05,38.20587
2018-03-06,20.594555
2018-03-07,93.88497
2018-03-08,97.64191
2018-03-09,50.23346
2018-03-12,62.48413
2018-03-13,100.97764
2018-03-14,33.43445
2018-03-15,90.7074
2018-03-16,67.179565
2018-03-19,21.916504
2018-03-20,129.9289
2018-03-21,150.83191
2018-03-22,162.39563
2018-03-23,188.18425
2018-03-26,21.357422
2018-03-27,18.759766
2018-03-28,20.49591
2018-04-02,24.204712
2018-04-03,67.69684
2018-04-04,23.277893
2018-04-05,51.41205
2018-04-06,20.741882
2018-04-09,58.702698
2018-04-10,19.40979
2018-04-11,9.064941
2018-04-12,29.678955
2018-04-13,23.418884
2018-04-16,22.298584
2018-04-17,23.477173
2018-04-18,23.673096
2018-04-19,21.07788
2018-04-20,24.768677
2018-04-23,22.451782
2018-04-24,19.09668
2018-04-25,379.88013
2018-04-26,18.869629
2018-04-27,87.724
2018-04-30,22.156067
2018-05-02,18.15785
2018-05-03,25.183105
2018-05-04,12.066956
2018-05-07,25.774841
2018-05-08,38.09158
2018-05-09,26.776428
2018-05-10,19.643555
2018-05-11,19.388733
2018-05-14,21.663513
2018-05-15,18.878174
2018-05-16,21.812439
2018-05-17,19.33197
2018-05-18,21.44043
2018-05-21,24.812012
2018-05-22,21.99524
2018-05-23,23.138428
2018-05-24,27.645264
2018-05-25,20.614014
2018-05-28,19.34082
2018-05-29,21.749878
2018-05-30,54.484863
2018-05-31,22.791748
2018-06-01,65.439735
2018-06-04,27.184448
2018-06-05,26.140137
2018-06-06,21.31958
2018-06-07,72.80723
2018-06-08,22.172241
2018-06-11,80.88063
2018-06-12,74.625244
2018-06-13,23.115234
2018-06-14,27.400513
2018-06-15,25.12024
2018-06-18,21.429443
2018-06-19,21.812134
2018-06-20,20.875914
2018-06-21,24.891357
2018-06-22,119.45923
2018-06-25,18.619385
2018-06-26,26.983643
2018-06-27,26.89209
2018-06-28,22.234497
2018-06-29,21.858215
2018-07-02,22.12616
2018-07-03,21.262817
2018-07-04,14.887085
2018-07-05,24.67987
2018-07-06,16.333008
2018-07-09,17.74231
2018-07-10,22.510986
2018-07-11,31.11023
2018-07-12,22.338867
2018-07-13,24.186401
2018-07-16,23.728638
2018-07-17,12.164307
2018-07-18,289.96216
2018-07-19,25.253296
2018-07-20,23.587646
2018-07-23,27.376709
2018-07-24,28.377686
2018-07-25,37.6062
2018-07-26,17.490845
2018-07-27,24.852295
2018-07-30,23.319092
2018-07-31,14.17572
2018-08-01,12.721863
2018-08-02,26.373291
2018-08-03,27.340393
2018-08-06,27.380981
2018-08-07,31.642456
2018-08-08,150.11871
2018-08-09,24.441528
2018-08-10,22.376385
2018-08-13,22.085266
2018-08-14,22.453613
2018-08-16,31.364136
2018-08-17,21.89392
2018-08-20,23.409729
2018-08-21,23.435669
2018-08-23,43.00293
2018-08-24,21.128029
2018-08-27,26.262207
2018-08-28,47.23999
2018-08-29,85.076904
2018-08-30,11.793213
2018-08-31,20.585321
2018-09-03,21.694336
2018-09-04,49.536133
2018-09-05,23.389282
2018-09-06,21.787271
2018-09-07,16.972961
2018-09-10,22.021473
2018-09-11,23.683167
2018-09-12,22.57159
2018-09-14,21.691895
2018-09-17,24.055786
2018-09-18,20.997314
2018-09-19,20.375977
2018-09-21,23.518677
2018-09-24,43.59619
2018-09-25,465.01343
2018-09-26,63.979492
2018-09-27,35.60913
2018-09-28,23.087769
2018-10-01,38.69751
2018-10-03,40.635986
2018-10-04,46.96411
2018-10-05,52.12799
2018-10-08,50.010986
2018-10-09,55.025635
2018-10-10,46.992188
2018-10-11,49.001465
2018-10-12,41.603394
2018-10-15,45.04944
2018-10-16,39.49707
2018-10-17,43.33252
2018-10-19,44.886475
2018-10-22,43.292236
2018-10-23,45.14038
2018-10-24,44.525146
2018-10-25,38.754578
2018-10-26,37.320557
2018-10-29,39.891357
2018-10-30,41.44684
2018-10-31,37.974854
2018-11-01,40.598145
2018-11-02,63.56201
2018-11-05,39.47296
2018-11-06,37.27295
2018-11-09,35.78308
2018-11-12,37.21985
2018-11-13,11.396179
2018-11-14,28.050537
2018-11-15,32.393494
2018-11-16,34.840088
2018-11-19,38.029785
2018-11-20,32.958984
2018-11-21,29.889526
2018-11-22,22.195435
2018-11-26,33.137207
2018-11-27,33.239746
2018-11-28,150.31738
2018-11-29,41.00525
2018-11-30,36.06842
2018-12-03,35.512695
2018-12-04,35.24872
2018-12-05,35.01892
2018-12-06,41.306152
2018-12-07,37.04773
2018-12-10,43.046875
2018-12-11,50.273438
2018-12-12,33.811035
2018-12-13,35.37964
2018-12-14,34.069824
2018-12-17,32.875977
2018-12-18,31.171265
2018-12-19,29.060059
2018-12-20,27.680624
2018-12-21,22.654419
2018-12-24,32.13623
2018-12-26,31.391602
2018-12-27,29.781494
2018-12-28,28.973999
2018-12-31,27.613525
2019-01-01,27.816467
2019-01-02,38.513184
2019-01-03,39.801025
2019-01-04,37.990112
2019-01-07,38.449707
2019-01-08,36.068726
2019-01-09,35.500137
2019-01-10,34.112366
2019-01-11,32.207104
2019-01-14,31.607258
2019-01-15,31.067505
2019-01-16,30.830688
2019-01-17,30.335693
2019-01-18,31.26831
2019-01-21,32.764893
2019-01-22,32.48108
2019-01-23,31.21252
2019-01-24,28.167725
2019-01-25,29.401226
2019-01-28,35.239258
2019-01-29,53.015137
2019-01-30,51.05957
2019-01-31,36.37451
2019-02-01,33.411255
2019-02-04,33.939884
2019-02-05,33.23761
2019-02-06,34.475708
2019-02-07,33.63037
2019-02-08,35.010376
2019-02-11,39.699097
2019-02-12,31.064148
2019-02-13,34.683838
2019-02-14,35.810547
2019-02-15,32.01233
2019-02-18,35.998535
2019-02-19,31.45813
2019-02-20,29.953613
2019-02-21,25.982056
2019-02-22,23.773193
2019-02-25,27.260654
2019-02-26,31.774902
2019-02-27,34.02588
2019-02-28,36.12854
2019-03-01,31.210327
2019-03-05,31.792435
2019-03-06,30.698547
2019-03-07,31.188688
2019-03-08,30.65216
2019-03-11,32.03369
2019-03-12,31.039032
2019-03-13,31.02356
2019-03-14,30.442505
2019-03-15,29.954224
2019-03-18,30.963745
2019-03-19,30.4427
2019-03-20,26.296387
2019-03-22,26.602783
2019-03-25,34.140625
2019-03-26,28.73337
2019-03-27,41.069336
2019-03-28,35.484314
2019-03-29,37.739258
2019-04-01,35.166016
2019-04-02,32.85075
2019-04-03,33.927002
2019-04-04,34.0979
2019-04-05,31.001724
2019-04-08,32.911682
2019-04-09,30.934649
2019-04-10,31.050415
2019-04-11,30.142822
2019-04-12,27.731934
2019-04-15,28.410645
2019-04-16,28.459072
2019-04-18,25.859476
2019-04-22,33.28247
2019-04-23,36.88965
2019-04-24,31.901855
2019-04-25,31.697693
2019-04-26,30.55481
2019-04-30,33.3255
2019-05-02,35.563965
2019-05-03,37.608337
2019-05-06,42.39624
2019-05-07,41.712036
2019-05-08,42.62268
2019-05-09,43.031616
2019-05-10,41.89514
2019-05-13,48.110218
2019-05-14,45.907967
2019-05-15,46.40869
2019-05-16,42.65381
2019-05-17,41.626648
2019-05-20,42.7063
2019-05-21,42.34497
2019-05-22,43.64502
2019-05-23,30.143234
2019-05-24,24.729614
2019-05-27,27.358398
2019-05-28,28.513184
2019-05-29,32.504883
2019-05-30,33.18573
2019-05-31,32.37732
2019-06-03,31.11267
2019-06-04,29.80896
2019-06-06,30.03357
2019-06-07,30.383522
2019-06-10,29.84436
2019-06-11,28.754883
2019-06-12,27.926025
2019-06-13,25.662842
2019-06-14,28.095589
2019-06-17,30.102528
2019-06-18,29.813713
2019-06-19,27.306519
2019-06-20,28.569336
2019-06-21,31.473389
2019-06-24,39.631348
2019-06-25,34.543457
2019-06-26,35.246582
2019-06-27,30.531006
2019-06-28,31.727905
2019-07-01,30.993042
2019-07-02,28.369751
2019-07-03,29.442139
2019-07-04,31.611528
2019-07-05,27.432251
2019-07-08,30.454712
2019-07-09,30.240479
2019-07-10,78.03245
2019-07-11,26.71814
2019-07-12,26.97998
2019-07-15,32.93701
2019-07-16,27.07037
2019-07-17,37.965088
2019-07-18,22.329102
2019-07-19,35.63072
2019-07-22,41.831055
2019-07-23,36.818848
2019-07-24,50.439453
2019-07-25,34.42627
2019-07-26,31.25122
2019-07-29,37.53418
2019-07-30,36.271362
2019-07-31,41.796265
2019-08-01,33.208603
2019-08-02,31.089478
2019-08-05,34.99902
2019-08-06,30.68955
2019-08-07,33.94409
2019-08-08,32.316284
2019-08-09,30.257568
2019-08-13,32.805176
2019-08-14,33.813477
2019-08-16,34.920654
2019-08-19,39.80835
2019-08-20,43.238525
2019-08-21,39.371338
2019-08-22,37.50244
2019-08-23,44.472656
2019-08-26,49.331055
2019-08-27,43.564453
2019-08-28,45.17578
2019-08-29,37.13745
2019-08-30,40.304565
2019-09-03,38.647312
2019-09-04,37.34192
2019-09-05,38.00354
2019-09-06,35.35034
2019-09-09,37.1167
2019-09-11,36.090088
2019-09-12,35.74402
2019-09-13,36.166992
2019-09-16,36.306152
