date,iv_atm
2017-07-04,24.755621
2017-07-05,24.0625
2017-07-06,23.90625
2017-07-07,24.375
2017-07-10,25.78125
2017-07-11,25.651722
2017-07-12,25.78125
2017-07-13,29.003687
2017-07-14,28.515625
2017-07-17,29.0625
2017-07-18,26.5625
2017-07-19,27.5
2017-07-20,27.5
2017-07-21,25.78125
2017-07-24,27.65625
2017-07-25,39.6875
2017-07-27,27.148438
2017-07-28,24.101562
2017-07-31,24.0625
2017-08-01,24.804688
2017-08-02,24.179688
2017-08-03,24.21875
2017-08-04,24.101562
2017-08-07,20.273438
2017-08-08,25.234375
2017-08-09,30.117188
2017-08-10,29.414062
2017-08-11,28.828125
2017-08-14,29.765625
2017-08-16,31.875
2017-08-17,26.71875
2017-08-18,30.37525
2017-08-21,42.734375
2017-08-22,43.28125
2017-08-23,31.5625
2017-08-24,25.46875
2017-08-28,30.703125
2017-08-29,48.4375
2017-08-30,43.4375
2017-08-31,27.721636
2017-09-01,28.867188
2017-09-04,29.375
2017-09-05,30.0
2017-09-06,28.359375
2017-09-07,27.603981
2017-09-08,32.148438
2017-09-11,27.929688
2017-09-12,28.638979
2017-09-13,31.272743
2017-09-14,28.217974
2017-09-15,28.554688
2017-09-18,29.140625
2017-09-19,31.5625
2017-09-20,32.34375
2017-09-21,31.328125
2017-09-22,29.84375
2017-09-25,36.875
2017-09-26,41.40625
2017-09-27,45.880585
2017-09-28,29.960938
2017-09-29,26.796875
2017-10-03,30.039062
2017-10-04,30.703125
2017-10-05,31.09375
2017-10-06,29.331121
2017-10-09,35.46875
2017-10-10,34.101562
2017-10-11,38.046875
2017-10-12,40.117188
2017-10-13,34.765625
2017-10-16,42.34375
2017-10-17,40.46875
2017-10-18,39.453125
2017-10-23,57.8125
2017-10-24,70.3125
2017-10-25,85.0
2017-10-26,28.28125
2017-10-27,27.851562
2017-10-30,29.21875
2017-10-31,28.476562
2017-11-01,31.445312
2017-11-02,31.289062
2017-11-03,30.546875
2017-11-06,33.789062
2017-11-07,32.109375
2017-11-08,33.242188
2017-11-09,32.890625
2017-11-10,31.71875
2017-11-13,29.609375
2017-11-14,35.273438
2017-11-15,34.84375
2017-11-16,34.0625
2017-11-17,35.0
2017-11-20,34.6875
2017-11-21,38.90625
2017-11-22,38.515625
2017-11-23,35.78125
2017-11-24,33.4375
2017-11-27,35.3125
2017-11-28,38.4375
2017-11-29,37.5
2017-11-30,29.6875
2017-12-01,27.421875
2017-12-04,30.3125
2017-12-05,29.84375
2017-12-06,31.640625
2017-12-07,30.78125
2017-12-08,28.930387
2017-12-11,29.21875
2017-12-12,29.511415
2017-12-13,28.66436
2017-12-14,33.4375
2017-12-15,30.747503
2017-12-18,28.75
2017-12-19,31.008657
2017-12-20,28.828125
2017-12-21,28.4375
2017-12-22,20.859375
2017-12-26,38.90625
2017-12-27,36.25
2017-12-28,28.085938
2017-12-29,30.039062
2018-01-01,28.671875
2018-01-02,31.015625
2018-01-03,29.101562
2018-01-04,28.973598
2018-01-05,28.385118
2018-01-08,29.368725
2018-01-09,34.335938
2018-01-10,33.515625
2018-01-11,33.59375
2018-01-12,32.5
2018-01-15,33.197914
2018-01-16,36.640625
2018-01-17,36.171875
2018-01-18,40.3125
2018-01-19,25.496336
2018-01-22,31.484375
2018-01-23,38.59375
2018-01-24,69.97636
2018-01-25,40.71331
2018-01-29,43.046875
2018-01-30,41.77474
2018-01-31,33.632812
2018-02-01,30.429688
2018-02-02,25.351562
2018-02-05,35.390625
2018-02-06,39.6875
2018-02-07,39.296875
2018-02-08,32.34375
2018-02-09,30.9375
2018-02-12,32.265625
2018-02-14,32.96875
2018-02-15,30.859375
2018-02-16,38.125
2018-02-19,30.82414
2018-02-20,41.16832
2018-02-21,30.625
2018-02-22,24.296875
2018-02-23,22.34375
2018-02-26,24.726562
2018-02-27,28.28125
2018-02-28,24.960938
2018-03-01,23.75
2018-03-05,27.96875
2018-03-06,25.3125
2018-03-07,24.43502
2018-03-08,25.15625
2018-03-09,27.109375
2018-03-12,24.21875
2018-03-13,24.308294
2018-03-14,25.859375
2018-03-15,23.59375
2018-03-16,25.273438
2018-03-19,27.1875
2018-03-20,25.006094
2018-03-21,24.609375
2018-03-22,23.515625
2018-03-23,21.09375
2018-03-26,40.3125
2018-03-27,35.625
2018-03-28,25.15625
2018-04-02,26.09375
2018-04-03,25.3125
2018-04-04,26.210938
2018-04-05,26.953125
2018-04-06,26.484375
2018-04-09,28.4375
2018-04-10,28.359375
2018-04-11,30.507812
2018-04-12,32.34375
2018-04-13,29.53125
2018-04-16,30.3125
2018-04-17,29.296875
2018-04-18,28.515625
2018-04-19,26.953125
2018-04-20,25.390625
2018-04-23,38.984375
2018-04-24,50.885323
2018-04-25,36.09375
2018-04-26,29.179688
2018-04-27,29.453125
2018-04-30,31.09375
2018-05-02,31.700123
2018-05-03,32.109375
2018-05-04,33.046875
2018-05-07,32.773438
2018-05-08,28.867188
2018-05-09,28.164062
2018-05-10,27.109375
2018-05-11,26.289062
2018-05-14,27.734375
2018-05-15,27.421875
2018-05-16,24.22651
2018-05-17,26.09375
2018-05-18,26.328125
2018-05-21,27.34375
2018-05-22,25.859375
2018-05-23,25.703125
2018-05-24,23.984375
2018-05-25,33.671875
2018-05-28,34.609375
2018-05-29,35.78125
2018-05-30,41.875
2018-05-31,29.042969
2018-06-01,28.476562
2018-06-04,28.90625
2018-06-05,28.125
2018-06-06,25.078125
2018-06-07,26.875
2018-06-08,26.796875
2018-06-11,28.59375
2018-06-12,26.835938
2018-06-13,28.90625
2018-06-14,28.828125
2018-06-15,25.703125
2018-06-18,27.421875
2018-06-19,26.835938
2018-06-20,27.578125
2018-06-21,25.625
2018-06-22,24.002602
