date,iv_atm
2017-07-04,33.59375
2017-07-05,30.625
2017-07-06,30.078125
2017-07-07,30.625
2017-07-10,33.4375
2017-07-11,33.28125
2017-07-12,32.421875
2017-07-13,34.6875
2017-07-14,35.37942
2017-07-17,39.921875
2017-07-18,37.34375
2017-07-19,39.84375
2017-07-20,44.84375
2017-07-21,36.116203
2017-07-24,46.5625
2017-07-25,77.8125
2017-07-27,29.375
2017-07-28,27.734375
2017-07-31,28.515625
2017-08-01,28.984375
2017-08-02,28.75
2017-08-03,26.71875
2017-08-04,25.9375
2017-08-07,27.03125
2017-08-08,29.0625
2017-08-09,33.125
2017-08-10,38.28125
2017-08-11,36.40625
2017-08-14,32.326084
2017-08-16,31.069527
2017-08-17,31.171875
2017-08-18,30.78125
2017-08-21,34.375
2017-08-22,32.1875
2017-08-23,27.96875
2017-08-24,24.40172
2017-08-28,28.75
2017-08-29,39.140816
2017-08-30,35.0
2017-08-31,28.515625
2017-09-01,27.96875
2017-09-04,29.84375
2017-09-05,29.53125
2017-09-06,28.90625
2017-09-07,29.0625
2017-09-08,27.728352
2017-09-11,29.140034
2017-09-12,26.328125
2017-09-13,25.78125
2017-09-14,25.883104
2017-09-15,26.14485
2017-09-18,27.34375
2017-09-19,27.03125
2017-09-20,29.6875
2017-09-21,28.75
2017-09-22,29.53125
2017-09-25,38.75
2017-09-26,33.125
2017-09-27,41.875
2017-09-28,30.859375
2017-09-29,31.09375
2017-10-03,31.40625
2017-10-04,30.078125
2017-10-05,30.9375
2017-10-06,30.9375
2017-10-09,35.390625
2017-10-10,36.5625
2017-10-11,39.21875
2017-10-12,42.1875
2017-10-13,45.46875
2017-10-16,38.4375
2017-10-17,33.671875
2017-10-18,33.4375
2017-10-23,39.84375
2017-10-24,44.0625
2017-10-25,45.0
2017-10-26,32.16293
2017-10-27,32.109375
2017-10-30,33.203125
2017-10-31,33.828125
2017-11-01,34.6875
2017-11-02,33.828125
2017-11-03,34.609375
2017-11-06,36.71875
2017-11-07,38.515625
2017-11-08,36.09375
2017-11-09,36.328125
2017-11-10,37.109375
2017-11-13,38.984375
2017-11-14,36.171875
2017-11-15,34.81337
2017-11-16,35.0
2017-11-17,33.046875
2017-11-20,34.61705
2017-11-21,37.267536
2017-11-22,35.9375
2017-11-23,35.46875
2017-11-24,34.375
2017-11-27,44.375
2017-11-28,50.0
2017-11-29,40.625
2017-11-30,28.828125
2017-12-01,31.09375
2017-12-04,32.8125
2017-12-05,32.96875
2017-12-06,36.171875
2017-12-07,33.046875
2017-12-08,34.375
2017-12-11,35.859375
2017-12-12,36.5625
2017-12-13,38.75
2017-12-14,42.421875
2017-12-15,37.03125
2017-12-18,32.8125
2017-12-19,31.925636
2017-12-20,32.5
2017-12-21,31.09375
2017-12-22,28.90625
2017-12-26,38.75
2017-12-27,44.375
2017-12-28,31.328125
2017-12-29,33.359375
2018-01-01,35.78125
2018-01-02,38.203125
2018-01-03,35.46875
2018-01-04,35.9375
2018-01-05,38.359375
2018-01-08,43.75
2018-01-09,44.950897
2018-01-10,47.03125
2018-01-11,48.205704
2018-01-12,46.171875
2018-01-15,51.71875
2018-01-16,40.78125
2018-01-17,37.8125
2018-01-18,43.282455
2018-01-19,39.84375
2018-01-22,45.0
2018-01-23,49.375
2018-01-24,56.875
2018-01-25,38.75
2018-01-29,41.640625
2018-01-30,41.09375
2018-01-31,41.09375
2018-02-01,38.75
2018-02-02,42.890625
2018-02-05,43.828125
2018-02-06,45.078125
2018-02-07,45.0
2018-02-08,42.1875
2018-02-09,41.40625
2018-02-12,41.40625
2018-02-14,37.832806
2018-02-15,35.3125
2018-02-16,33.59393
2018-02-19,42.1875
2018-02-20,45.625
2018-02-21,42.337864
2018-02-22,31.71875
2018-02-23,32.1875
2018-02-26,31.484375
2018-02-27,33.046875
2018-02-28,32.5
2018-03-01,33.28125
2018-03-05,33.90625
2018-03-06,35.625
2018-03-07,40.15625
2018-03-08,37.421875
2018-03-09,35.546875
2018-03-12,37.890625
2018-03-13,35.92169
2018-03-14,36.875
2018-03-15,34.84375
2018-03-16,33.90625
2018-03-19,37.34375
2018-03-20,36.25
2018-03-21,33.90625
2018-03-22,30.78125
2018-03-23,31.5625
2018-03-26,35.9375
2018-03-27,41.25
2018-03-28,36.171875
2018-04-02,38.125
2018-04-03,37.34375
2018-04-04,37.5
2018-04-05,36.015625
2018-04-06,37.96875
2018-04-09,43.125
2018-04-10,45.859375
2018-04-11,41.71875
2018-04-12,40.3125
2018-04-13,39.025177
2018-04-16,39.371284
2018-04-17,36.875
2018-04-18,35.0
2018-04-19,30.9375
2018-04-20,28.125
2018-04-23,30.625
2018-04-24,31.25
2018-04-25,33.125
2018-04-26,35.078125
2018-04-27,38.262287
2018-04-30,41.40625
2018-05-02,42.8125
2018-05-03,43.419964
2018-05-04,42.94497
2018-05-07,46.40625
2018-05-08,50.78125
2018-05-09,52.187263
2018-05-10,43.671875
2018-05-11,37.5
2018-05-14,35.9375
2018-05-15,33.75
2018-05-16,36.18902
2018-05-17,35.15625
2018-05-18,33.4375
2018-05-21,36.5625
2018-05-22,34.84375
2018-05-23,33.4375
2018-05-24,30.9375
2018-05-25,28.125
2018-05-28,32.5
2018-05-29,37.5
2018-05-30,32.5
2018-05-31,34.0625
2018-06-01,36.25
2018-06-04,36.71875
2018-06-05,34.84375
2018-06-06,33.28125
2018-06-07,37.265625
2018-06-08,36.71875
2018-06-11,35.234375
2018-06-12,33.59375
2018-06-13,37.125214
2018-06-14,35.0
2018-06-15,33.4375
2018-06-18,34.0625
2018-06-19,35.78125
2018-06-20,30.9375
2018-06-21,32.96875
2018-06-22,25.3125
2018-06-25,34.0625
2018-06-26,35.3125
2018-06-27,35.0
2018-06-28,40.3125
2018-06-29,38.125
2018-07-02,40.625
2018-07-03,41.40625
2018-07-04,39.53125
2018-07-05,39.6875
2018-07-06,44.21875
2018-07-09,46.5625
2018-07-10,48.28125
2018-07-11,50.78125
2018-07-12,58.4375
2018-07-13,61.40625
2018-07-16,78.59375
2018-07-17,64.6875
2018-07-18,51.09375
2018-07-19,48.4375
2018-07-20,45.3125
2018-07-23,46.25
2018-07-24,50.89302
2018-07-25,40.625
2018-07-26,35.859375
2018-07-27,37.652306
2018-07-30,37.578125
2018-07-31,37.65625
2018-08-01,36.953125
2018-08-02,35.46875
2018-08-03,36.953125
2018-08-06,36.640625
2018-08-07,35.078125
2018-08-08,35.78125
2018-08-09,37.5
2018-08-10,36.640625
2018-08-13,38.90625
2018-08-14,36.647686
2018-08-16,38.432064
2018-08-17,38.125
2018-08-20,45.857227
2018-08-21,42.11154
2018-08-23,41.875
2018-08-24,36.875
2018-08-27,44.375
2018-08-28,54.375
2018-08-29,65.625
2018-08-30,41.484375
2018-08-31,38.125
2018-09-03,38.031063
2018-09-04,39.0625
2018-09-05,37.131325
2018-09-06,35.998302
2018-09-07,34.877193
2018-09-10,39.375
2018-09-11,37.65625
2018-09-12,35.78125
2018-09-14,36.71875
2018-09-17,35.625
2018-09-18,37.96875
2018-09-19,35.46875
2018-09-21,57.03125
2018-09-24,54.767857
2018-09-25,56.25
2018-09-26,56.25
2018-09-27,50.78125
2018-09-28,51.640625
2018-10-01,53.4375
2018-10-03,57.03125
2018-10-04,59.21875
2018-10-05,62.96875
2018-10-08,63.90625
2018-10-09,65.9375
2018-10-10,64.0625
2018-10-11,70.46875
2018-10-12,70.46875
2018-10-15,78.4375
2018-10-16,54.375
2018-10-17,44.6875
2018-10-19,42.96875
2018-10-22,47.8125
2018-10-23,52.5
2018-10-24,50.625
2018-10-25,37.65625
2018-10-26,37.8125
2018-10-29,38.90625
2018-10-30,38.671875
2018-10-31,39.453125
2018-11-01,37.65625
2018-11-02,37.734375
2018-11-05,43.4375
2018-11-06,38.59375
2018-11-09,34.84375
2018-11-12,36.1411
2018-11-13,38.125
2018-11-14,38.75
2018-11-15,40.3125
2018-11-16,38.28125
2018-11-19,42.5
2018-11-20,39.0625
2018-11-21,39.53125
2018-11-22,38.125
2018-11-26,46.25
2018-11-27,50.0
2018-11-28,47.5
2018-11-29,39.375
2018-11-30,41.25
2018-12-03,44.0625
2018-12-04,42.03125
2018-12-05,42.421875
2018-12-06,43.125
2018-12-07,44.53125
2018-12-10,46.09375
2018-12-11,40.0
2018-12-12,38.75
2018-12-13,37.8125
2018-12-14,39.878685
2018-12-17,41.875
2018-12-18,39.375
2018-12-19,39.64865
2018-12-20,36.875
2018-12-21,35.46875
2018-12-24,35.0
2018-12-26,43.75
2018-12-27,38.193462
2018-12-28,38.125
2018-12-31,39.0625
2019-01-01,40.859375
2019-01-02,41.40625
2019-01-03,42.65625
2019-01-04,41.88191
2019-01-07,44.375
2019-01-08,44.6875
2019-01-09,46.71875
2019-01-10,44.921875
2019-01-11,43.28125
2019-01-14,45.3125
2019-01-15,44.6875
2019-01-16,45.15625
2019-01-17,33.4375
2019-01-18,31.015625
2019-01-21,35.15625
2019-01-22,33.4375
2019-01-23,34.375
2019-01-24,33.125
2019-01-25,35.15625
2019-01-28,41.875
2019-01-29,40.625
2019-01-30,38.125
2019-01-31,39.375
2019-02-01,37.65625
2019-02-04,37.5
2019-02-05,35.46875
2019-02-06,35.860077
2019-02-07,35.184483
2019-02-08,34.375
2019-02-11,36.015625
2019-02-12,34.771515
2019-02-13,37.8125
2019-02-14,37.96875
2019-02-15,37.5
2019-02-18,43.125
2019-02-19,37.96875
2019-02-20,37.1875
2019-02-21,31.875
2019-02-22,29.375
2019-02-25,36.5625
2019-02-26,45.0
2019-02-27,41.25
2019-02-28,34.140625
2019-03-01,31.484375
2019-03-05,33.671875
2019-03-06,35.3125
2019-03-07,34.87609
2019-03-08,35.46875
2019-03-11,33.125
2019-03-12,35.625
2019-03-13,36.015625
2019-03-14,37.5
