date,iv_atm
2017-07-04,27.070312
2017-07-05,25.117188
2017-07-06,23.671875
2017-07-07,24.492188
2017-07-10,24.453125
2017-07-11,25.3125
2017-07-12,28.046875
2017-07-13,26.367188
2017-07-14,29.296875
2017-07-17,29.179688
2017-07-18,29.84375
2017-07-19,28.476562
2017-07-20,25.976562
2017-07-21,25.585938
2017-07-24,27.1875
2017-07-25,28.515625
2017-07-27,24.726562
2017-07-28,25.917969
2017-07-31,28.105469
2017-08-01,25.957031
2017-08-02,26.113281
2017-08-03,28.105469
2017-08-04,26.523438
2017-08-07,28.515625
2017-08-08,30.625
2017-08-09,32.48047
2017-08-10,34.648438
2017-08-11,29.713839
2017-08-14,29.609375
2017-08-16,27.011719
2017-08-17,28.125
2017-08-18,28.007812
2017-08-21,29.414062
2017-08-22,29.570312
2017-08-23,24.53125
2017-08-24,21.171875
2017-08-28,23.867188
2017-08-29,28.515625
2017-08-30,27.265625
2017-08-31,23.279406
2017-09-01,26.035156
2017-09-04,26.26613
2017-09-05,25.577585
2017-09-06,25.625
2017-09-07,25.351562
2017-09-08,26.87545
2017-09-11,31.640625
2017-09-12,30.425615
2017-09-13,29.606089
2017-09-14,28.261719
2017-09-15,28.046875
2017-09-18,28.828125
2017-09-19,30.234375
2017-09-20,32.109375
2017-09-21,30.234375
2017-09-22,28.267504
2017-09-25,34.84375
2017-09-26,39.0625
2017-09-27,42.8125
2017-09-28,25.976562
2017-09-29,33.066406
2017-10-03,33.45703
2017-10-04,31.347656
2017-10-05,30.761719
2017-10-06,29.238281
2017-10-09,31.015625
2017-10-10,30.79364
2017-10-11,31.489023
2017-10-12,31.210938
2017-10-13,30.0
2017-10-16,30.6409
2017-10-17,32.226562
2017-10-18,29.765625
2017-10-23,39.453125
2017-10-24,30.619852
2017-10-25,41.953125
2017-10-26,29.492188
2017-10-27,30.371094
2017-10-30,30.976562
2017-10-31,31.191406
2017-11-01,30.800781
2017-11-02,31.171875
2017-11-03,31.582031
2017-11-06,32.851562
2017-11-07,34.746094
2017-11-08,34.160156
2017-11-09,32.929688
2017-11-10,32.34375
2017-11-13,35.3125
2017-11-14,34.648438
2017-11-15,31.09375
2017-11-16,31.328125
2017-11-17,30.839844
2017-11-20,33.789062
2017-11-21,30.039062
2017-11-22,32.374966
2017-11-23,29.648438
2017-11-24,28.945312
2017-11-27,38.828125
2017-11-28,35.46875
2017-11-29,29.84375
2017-11-30,27.871094
2017-12-01,29.804688
2017-12-04,29.21875
2017-12-05,28.671875
2017-12-06,29.53125
2017-12-07,31.425781
2017-12-08,31.308594
2017-12-11,31.660156
2017-12-12,33.476562
2017-12-13,35.214844
2017-12-14,34.609375
2017-12-15,35.371094
2017-12-18,34.821667
2017-12-19,33.535156
2017-12-20,31.914062
2017-12-21,31.796875
2017-12-22,29.21875
2017-12-26,41.875
2017-12-27,35.625
2017-12-28,29.345703
2017-12-29,28.964844
2018-01-01,29.121094
2018-01-02,30.351562
2018-01-03,29.570312
2018-01-04,30.546875
2018-01-05,29.550781
2018-01-08,33.476562
2018-01-09,33.691406
2018-01-10,34.35547
2018-01-11,34.316406
2018-01-12,32.558594
2018-01-15,33.359375
2018-01-16,32.070312
2018-01-17,29.6875
2018-01-18,30.078125
2018-01-19,24.257812
2018-01-22,29.793287
2018-01-23,33.4375
2018-01-24,67.34375
2018-01-25,32.8125
2018-01-29,36.27989
2018-01-30,33.41797
2018-01-31,33.691406
2018-02-01,33.378906
2018-02-02,35.058594
2018-02-05,35.46875
2018-02-06,38.90625
2018-02-07,41.015625
2018-02-08,37.98828
2018-02-09,37.16797
2018-02-12,40.46875
2018-02-14,33.671875
2018-02-15,27.734375
2018-02-16,24.804688
2018-02-19,26.796875
2018-02-20,28.046875
2018-02-21,31.25
2018-02-22,24.902344
2018-02-23,24.726562
2018-02-26,24.277344
2018-02-27,25.9375
2018-02-28,25.46875
2018-03-01,24.414062
2018-03-05,26.015625
2018-03-06,26.328125
2018-03-07,26.230469
2018-03-08,25.886694
2018-03-09,25.634933
2018-03-12,25.195312
2018-03-13,24.550781
2018-03-14,26.757812
2018-03-15,25.332031
2018-03-16,26.25
2018-03-19,30.585938
2018-03-20,30.429688
