date,iv_atm
2017-07-04,24.6875
2017-07-05,25.15625
2017-07-06,24.179688
2017-07-07,22.949219
2017-07-10,26.71875
2017-07-11,26.503906
2017-07-12,26.660156
2017-07-13,26.132812
2017-07-14,25.371094
2017-07-17,24.941406
2017-07-18,29.550781
2017-07-19,33.88672
2017-07-20,31.621094
2017-07-21,26.261671
2017-07-24,35.132328
2017-07-25,39.921875
2017-07-27,33.671875
2017-07-28,33.339844
2017-07-31,33.26172
2017-08-01,33.378906
2017-08-02,31.894531
2017-08-03,26.534899
2017-08-04,31.523438
2017-08-07,31.191406
2017-08-08,31.074911
2017-08-09,36.708984
2017-08-10,39.84375
2017-08-11,37.578125
2017-08-14,33.691406
2017-08-16,37.346783
2017-08-17,34.023438
2017-08-18,33.164062
2017-08-21,34.257812
2017-08-22,34.23828
2017-08-23,35.898438
2017-08-24,36.347656
2017-08-28,57.929688
2017-08-29,48.828125
2017-08-30,49.625164
2017-08-31,33.26172
2017-09-01,33.339844
2017-09-04,36.23047
2017-09-05,37.402344
2017-09-06,39.960938
2017-09-07,37.01172
2017-09-08,38.222656
2017-09-11,38.085938
2017-09-12,34.492188
2017-09-13,40.898438
2017-09-14,35.039062
2017-09-15,34.70703
2017-09-18,37.714844
2017-09-19,38.28125
2017-09-20,37.552692
2017-09-21,34.765625
2017-09-22,39.179688
2017-09-25,43.90625
2017-09-26,45.17013
2017-09-27,52.8125
2017-09-28,39.58008
2017-09-29,35.98633
2017-10-03,37.539062
2017-10-04,34.386765
2017-10-05,37.890625
2017-10-06,37.070312
2017-10-09,39.414062
2017-10-10,37.460938
2017-10-11,38.708813
2017-10-12,36.367188
2017-10-13,33.554688
2017-10-16,40.95703
2017-10-17,38.203125
2017-10-18,32.83203
2017-10-23,34.960938
2017-10-24,34.296875
2017-10-25,35.234375
2017-10-26,31.914062
2017-10-27,50.851044
2017-10-30,36.80664
2017-10-31,38.10547
2017-11-01,41.49414
2017-11-02,44.960938
2017-11-03,36.083984
2017-11-06,36.5625
2017-11-07,35.546875
2017-11-08,36.367188
2017-11-09,33.607903
2017-11-10,30.615234
2017-11-13,34.325066
2017-11-14,32.05078
2017-11-15,33.88672
2017-11-16,32.441406
2017-11-17,30.058594
2017-11-20,35.429688
2017-11-21,35.390625
2017-11-22,33.10547
2017-11-23,34.562378
2017-11-24,29.804688
2017-11-27,35.898438
2017-11-28,45.390625
2017-11-29,46.71875
2017-11-30,32.20703
2017-12-01,36.299152
2017-12-04,36.054688
2017-12-05,36.22472
2017-12-06,39.75701
2017-12-07,38.274784
2017-12-08,36.07422
2017-12-11,33.984375
2017-12-12,36.015625
2017-12-13,33.710938
2017-12-14,37.929688
2017-12-15,37.79297
2017-12-18,34.53125
2017-12-19,30.84407
2017-12-20,30.698269
2017-12-21,27.148438
2017-12-22,27.265625
2017-12-26,36.601562
2017-12-27,32.5
2017-12-28,27.734375
2017-12-29,29.331072
2018-01-01,29.238281
2018-01-02,30.634766
2018-01-03,26.875
2018-01-04,29.824219
2018-01-05,29.140625
2018-01-08,31.796875
2018-01-09,32.089844
2018-01-10,35.273438
2018-01-11,32.871094
2018-01-12,30.078125
2018-01-15,30.878906
2018-01-16,31.660156
2018-01-17,27.182444
2018-01-18,28.740782
2018-01-19,17.929688
2018-01-22,20.078125
2018-01-23,32.890625
2018-01-24,46.40625
2018-01-25,36.015625
2018-01-29,38.242188
2018-01-30,34.30664
2018-01-31,34.570312
2018-02-01,107.01172
2018-02-02,36.835938
2018-02-05,35.15625
2018-02-06,25.644531
2018-02-07,41.22074
2018-02-08,46.503906
2018-02-09,53.046875
2018-02-12,48.984375
2018-02-14,49.023438
2018-02-15,34.6875
2018-02-16,35.117188
2018-02-19,47.734375
2018-02-20,44.960938
2018-02-21,45.9375
2018-02-22,28.333025
2018-02-23,26.425781
2018-02-26,25.742188
2018-02-27,24.863281
2018-02-28,26.09375
2018-03-01,25.136719
2018-03-05,26.425781
2018-03-06,26.445312
2018-03-07,26.5625
2018-03-08,26.054688
2018-03-09,27.929688
2018-03-12,26.25
2018-03-13,25.78125
2018-03-14,21.640625
2018-03-15,28.90625
2018-03-16,24.804688
2018-03-19,28.125
2018-03-20,28.554688
2018-03-21,28.007812
2018-03-22,23.554688
2018-03-23,23.487389
2018-03-26,29.882812
2018-03-27,32.421875
2018-03-28,34.658203
2018-04-02,47.041016
2018-04-03,49.023438
2018-04-04,27.734375
2018-04-05,25.234375
2018-04-06,26.523438
2018-04-09,26.71875
2018-04-10,26.640625
2018-04-11,27.1875
2018-04-12,28.75
2018-04-13,29.726562
2018-04-16,29.59953
2018-04-17,30.484058
2018-04-18,26.679688
2018-04-19,23.652344
2018-04-20,15.859375
2018-04-23,22.265625
2018-04-24,42.773438
2018-04-25,34.140625
2018-04-26,24.46289
2018-04-27,26.933594
2018-04-30,27.832832
2018-05-02,29.375
2018-05-03,35.76172
2018-05-04,32.177734
2018-05-07,34.35547
2018-05-08,34.433594
2018-05-09,36.141567
2018-05-10,39.66797
2018-05-11,35.234375
2018-05-14,38.867188
2018-05-15,38.027344
2018-05-16,34.628906
2018-05-17,32.382812
2018-05-18,35.351562
2018-05-21,36.796875
2018-05-22,44.140625
2018-05-23,36.38477
2018-05-24,43.671875
2018-05-25,44.492188
2018-05-28,62.890625
2018-05-29,87.03125
2018-05-30,47.65625
2018-05-31,34.66797
2018-06-01,31.464844
2018-06-04,30.273438
2018-06-05,33.378906
2018-06-06,30.46875
2018-06-07,27.792969
2018-06-08,29.667969
2018-06-11,29.179688
2018-06-12,34.742516
2018-06-13,32.851562
2018-06-14,37.089844
2018-06-15,37.1875
2018-06-18,35.0
2018-06-19,43.320312
2018-06-20,39.257812
2018-06-21,37.734375
2018-06-22,36.015625
2018-06-25,35.46875
2018-06-26,37.96875
2018-06-27,42.34375
2018-06-28,34.339363
2018-06-29,30.947266
2018-07-02,32.32384
2018-07-03,32.373047
2018-07-04,31.464844
2018-07-05,31.132812
2018-07-06,33.4375
2018-07-09,35.273438
2018-07-10,35.664062
2018-07-11,35.253906
2018-07-12,35.878906
2018-07-13,34.70703
2018-07-16,36.09375
2018-07-17,30.687176
2018-07-18,29.589844
2018-07-19,28.085938
2018-07-20,25.429688
2018-07-23,28.554688
2018-07-24,36.71875
2018-07-25,31.829285
2018-07-26,38.26172
2018-07-27,31.297342
2018-07-30,32.773438
2018-07-31,32.16797
2018-08-01,33.85742
2018-08-02,31.757812
2018-08-03,34.95117
2018-08-06,35.898438
2018-08-07,31.26929
2018-08-08,38.30078
2018-08-09,35.820312
2018-08-10,34.003906
2018-08-13,31.894531
2018-08-14,24.77001
2018-08-16,30.019531
2018-08-17,33.10547
2018-08-20,32.128906
2018-08-21,30.527344
2018-08-23,36.757812
2018-08-24,38.242188
2018-08-27,44.453125
2018-08-28,52.617188
2018-08-29,50.546875
2018-08-30,32.94922
2018-08-31,34.628906
2018-09-03,35.01953
2018-09-04,35.097656
2018-09-05,37.929688
2018-09-06,37.304688
2018-09-07,37.03125
2018-09-10,45.976562
2018-09-11,41.27815
2018-09-12,38.14715
2018-09-14,39.311836
2018-09-17,38.476562
2018-09-18,40.793316
2018-09-19,38.203125
2018-09-21,30.390625
2018-09-24,46.445312
2018-09-25,45.976562
2018-09-26,52.8125
2018-09-27,38.88672
2018-09-28,30.331133
2018-10-01,39.433594
2018-10-03,36.875
2018-10-04,47.285156
2018-10-05,116.03516
2018-10-08,41.445312
2018-10-09,44.121094
2018-10-10,51.89453
2018-10-11,42.285156
2018-10-12,39.98047
2018-10-15,47.40468
2018-10-16,39.003906
2018-10-17,35.859375
2018-10-19,30.458223
2018-10-22,33.671875
2018-10-23,36.25
2018-10-24,44.765625
2018-10-25,31.933594
2018-10-26,35.283203
2018-10-29,39.560547
2018-10-30,34.46289
2018-10-31,53.935547
2018-11-01,35.390625
2018-11-02,27.773573
2018-11-05,40.351562
2018-11-06,39.335938
2018-11-09,37.539062
2018-11-12,37.109375
2018-11-13,36.296165
2018-11-14,32.32422
2018-11-15,31.113281
2018-11-16,33.125
2018-11-19,34.04297
2018-11-20,33.535156
2018-11-21,31.171875
2018-11-22,26.24747
2018-11-26,24.6875
2018-11-27,27.304688
2018-11-28,27.578125
2018-11-29,29.765625
2018-11-30,31.904297
2018-12-03,47.03125
2018-12-04,43.33008
2018-12-05,42.382812
2018-12-06,42.333984
2018-12-07,39.628906
2018-12-10,40.976562
2018-12-11,34.6875
2018-12-12,32.16797
2018-12-13,29.785156
2018-12-14,30.351562
2018-12-17,35.273438
2018-12-18,33.554688
2018-12-19,31.582031
2018-12-20,29.765625
2018-12-21,31.012924
2018-12-24,27.851562
2018-12-26,30.3125
2018-12-27,27.548828
2018-12-28,27.988281
2018-12-31,29.160156
2019-01-01,28.105469
2019-01-02,27.826096
2019-01-03,30.097656
2019-01-04,27.714844
2019-01-07,28.943459
2019-01-08,28.242188
2019-01-09,25.722656
2019-01-10,32.32422
2019-01-11,27.802734
2019-01-14,25.859375
2019-01-15,25.3125
2019-01-16,24.511719
2019-01-17,25.683594
2019-01-18,27.578125
2019-01-21,25.289974
2019-01-22,24.335938
2019-01-23,23.471806
2019-01-24,22.714844
2019-01-25,20.761719
2019-01-28,31.171875
2019-01-29,25.0
2019-01-30,27.5
2019-01-31,33.496094
2019-02-01,36.20117
2019-02-04,29.453125
2019-02-05,34.296875
2019-02-06,32.617188
2019-02-07,33.373547
2019-02-08,39.492188
2019-02-11,36.649822
2019-02-12,37.63672
2019-02-13,38.007812
2019-02-14,33.359375
2019-02-15,44.384335
2019-02-18,40.039062
2019-02-19,30.078125
2019-02-20,28.242188
2019-02-21,25.546875
2019-02-22,27.382812
2019-02-25,28.688673
2019-02-26,32.1875
2019-02-27,44.0625
