date,iv_atm
2020-03-27,0.0390625
2020-03-30,1.25
2020-03-31,1.25
2020-04-01,0.3125
2020-04-03,1.25
2020-04-07,72.578125
2020-04-08,0.625
2020-04-09,1.25
2020-04-13,1.25
2020-04-15,1.25
2020-04-16,82.36328
2020-04-17,106.67969
2020-04-20,0.3125
2020-04-21,0.625
2020-04-22,0.625
2020-04-23,2.5
2020-04-24,2.5
2020-04-27,0.3125
2020-04-28,5.0
2020-04-29,2.5
2020-04-30,0.625
2020-05-04,69.50195
2020-05-05,1.25
2020-05-06,0.625
2020-05-07,60.439453
2020-05-08,61.09375
2020-05-11,56.5625
2020-05-12,64.55078
2020-05-13,84.04297
2020-05-14,72.48047
2020-05-15,47.226562
2020-05-18,94.69321
2020-05-19,70.078125
2020-05-20,70.52734
2020-05-21,45.371094
2020-05-22,50.117188
2020-05-26,83.203125
2020-05-27,44.21875
2020-05-28,59.91211
2020-05-29,57.83203
2020-06-01,56.601562
2020-06-02,0.625
2020-06-03,63.271484
2020-06-04,56.07422
2020-06-05,56.35742
2020-06-08,56.259766
2020-06-09,61.85547
2020-06-10,67.4707
2020-06-11,65.33332
2020-06-12,52.109375
2020-06-15,65.33203
2020-06-16,69.33436
2020-06-17,57.03125
2020-06-18,54.0625
2020-06-19,52.929688
2020-06-22,56.953125
2020-06-23,69.30015
2020-06-24,83.71094
2020-06-25,1.25
2020-06-26,17.646484
2020-06-29,14.208984
2020-06-30,33.45703
2020-07-01,51.98242
2020-07-02,19.414062
2020-07-03,43.79883
2020-07-06,47.96875
2020-07-07,52.089844
2020-07-08,54.93164
2020-07-09,0.625
2020-07-10,49.13086
2020-07-13,52.10696
2020-07-14,59.208984
2020-07-15,60.17578
2020-07-16,52.851562
2020-07-17,46.35742
2020-07-20,25.917969
2020-07-21,48.88672
2020-07-22,20.292969
2020-07-23,22.070312
2020-07-24,45.390625
2020-07-27,78.90625
2020-07-28,48.007812
2020-07-29,65.546875
2020-07-30,54.51172
2020-07-31,59.941406
2020-08-03,1.25
2020-08-04,54.82422
2020-08-05,44.492188
2020-08-06,45.507812
2020-08-07,24.902344
2020-08-10,44.89258
2020-08-11,45.898438
2020-08-12,19.13086
2020-08-13,28.447266
2020-08-14,47.753906
2020-08-17,51.992188
2020-08-18,52.48047
2020-08-19,52.03125
2020-08-20,60.48828
2020-08-21,52.851562
2020-08-24,53.242188
2020-08-25,65.97656
2020-08-26,41.90961
2020-08-27,50.927734
2020-08-28,50.38086
2020-08-31,57.089844
2020-09-01,50.585938
2020-09-02,44.628906
2020-09-03,47.783203
2020-09-04,47.70508
2020-09-07,51.796875
2020-09-08,53.007587
2020-09-09,52.894882
2020-09-10,49.78131
2020-09-11,51.71875
2020-09-14,50.371094
2020-09-15,47.089844
2020-09-16,47.441406
2020-09-17,44.604927
2020-09-18,48.75
2020-09-21,79.53125
2020-09-22,64.6875
2020-09-23,47.070312
2020-09-24,21.035053
2020-09-25,47.421875
2020-09-28,36.390938
2020-09-29,34.746094
2020-09-30,33.603516
2020-10-01,29.003906
2020-10-05,41.808258
2020-10-06,47.939453
2020-10-07,39.316406
2020-10-08,37.54883
2020-10-09,43.320312
2020-10-12,45.302734
2020-10-13,40.01953
2020-10-14,47.79297
2020-10-15,48.476562
2020-10-16,41.992188
2020-10-19,41.523438
2020-10-20,39.86328
2020-10-21,47.597656
2020-10-22,43.339844
2020-10-23,43.476562
2020-10-26,48.710938
2020-10-27,46.796875
2020-10-28,52.03125
2020-10-29,43.867188
2020-10-30,46.835938
2020-11-02,44.121094
2020-11-03,53.398438
2020-11-04,49.990234
2020-11-05,50.996094
2020-11-06,46.191406
2020-11-09,46.63086
2020-11-10,45.773888
2020-11-11,47.773438
2020-11-12,50.058594
2020-11-13,47.148438
2020-11-14,49.0625
2020-11-17,46.865234
2020-11-18,51.992188
2020-11-19,48.554688
2020-11-20,46.933594
2020-11-23,57.48047
2020-11-24,66.171875
2020-11-25,73.71094
2020-11-26,44.575195
2020-11-27,47.0831
2020-12-01,46.694336
2020-12-02,46.933594
2020-12-03,48.305664
2020-12-04,42.529297
2020-12-07,50.99121
2020-12-08,47.46582
2020-12-09,47.9541
2020-12-10,48.632812
2020-12-11,45.654297
2020-12-14,46.757812
2020-12-15,47.13867
2020-12-16,46.435547
2020-12-17,45.73242
2020-12-18,43.671875
2020-12-21,53.896484
2020-12-22,45.41992
2020-12-23,48.372543
2020-12-24,46.435547
2020-12-28,52.96875
2020-12-29,47.734375
2020-12-30,46.328125
2020-12-31,46.499023
2021-01-01,45.86914
2021-01-04,48.945312
2021-01-05,47.036133
2021-01-06,58.583984
2021-01-07,53.188477
2021-01-08,52.933094
2021-01-11,52.20703
2021-01-12,52.70786
2021-01-13,73.47656
2021-01-14,68.14453
2021-01-15,67.00195
2021-01-18,61.972656
2021-01-19,60.44922
2021-01-20,52.13867
2021-01-21,61.69922
2021-01-22,47.94922
2021-01-25,53.710938
2021-01-27,55.742188
2021-01-28,51.98242
2021-01-29,0.625
2021-02-01,79.29199
2021-02-02,50.498047
2021-02-03,57.88086
2021-02-04,54.84375
2021-02-05,53.30078
2021-02-08,53.28125
2021-02-09,46.396484
2021-02-10,48.75
2021-02-11,50.55664
2021-02-12,54.335938
2021-02-15,49.59961
2021-02-16,63.83789
2021-02-17,48.92578
2021-02-18,41.728516
2021-02-19,38.183594
2021-02-22,67.9634
2021-02-23,59.19922
2021-02-24,58.632812
2021-02-25,52.749023
2021-02-26,0.625
2021-03-01,44.84375
2021-03-02,49.291153
2021-03-03,52.890625
2021-03-04,54.228516
2021-03-05,45.4834
2021-03-08,55.15625
2021-03-09,62.054638
2021-03-10,44.057617
2021-03-12,38.77636
2021-03-15,40.596775
2021-03-16,38.95508
2021-03-17,40.195312
2021-03-18,45.742188
2021-03-19,72.61719
2021-03-22,57.460938
2021-03-23,54.0714
2021-03-24,48.964844
2021-03-25,42.136395
2021-03-26,42.057053
2021-03-30,42.23633
2021-03-31,39.926758
2021-04-01,34.570312
2021-04-05,39.04297
2021-04-06,41.035156
2021-04-07,43.535156
2021-04-08,65.32715
2021-04-09,43.271484
2021-04-12,50.429688
2021-04-13,41.748047
2021-04-15,41.748047
2021-04-16,42.597656
2021-04-19,42.382812
2021-04-20,53.535156
2021-04-22,69.7168
2021-04-23,46.11328
2021-04-26,40.33203
2021-04-27,49.882812
2021-04-28,48.789062
2021-04-29,66.48926
2021-04-30,52.72518
2021-05-03,44.19922
2021-05-04,45.40039
2021-05-05,47.09961
2021-05-06,41.63086
2021-05-07,42.460938
2021-05-10,44.628906
2021-05-11,45.742188
2021-05-12,53.583984
2021-05-14,41.058857
2021-05-17,41.64844
2021-05-18,43.701923
2021-05-19,44.492188
2021-05-20,41.42578
2021-05-21,36.367188
2021-05-24,39.414062
2021-05-25,30.546875
2021-05-26,30.078125
2021-05-27,46.73828
2021-05-28,47.810715
2021-05-31,45.57129
2021-06-01,40.810547
2021-06-02,42.441406
2021-06-03,42.700195
2021-06-04,41.94336
2021-06-07,44.89258
2021-06-08,44.091797
2021-06-09,46.38672
2021-06-10,50.25879
2021-06-11,46.19629
2021-06-14,51.708984
2021-06-15,53.945312
2021-06-16,56.16217
2021-06-17,53.394592
2021-06-18,44.303368
2021-06-21,55.476128
2021-06-22,40.788734
2021-06-23,31.637884
2021-06-24,36.867382
2021-06-25,31.120466
2021-06-28,33.75833
2021-06-29,32.066902
2021-06-30,32.664627
2021-07-01,32.248505
2021-07-02,31.439283
2021-07-05,34.367058
2021-07-06,34.08031
2021-07-07,34.277573
2021-07-08,33.714893
2021-07-09,54.86292
2021-07-12,37.321392
2021-07-13,35.787937
2021-07-14,32.432648
2021-07-15,36.907818
2021-07-16,30.866228
2021-07-19,33.454643
2021-07-20,28.160187
2021-07-22,33.91652
2021-07-23,29.366892
2021-07-26,37.523827
2021-07-27,35.125977
2021-07-28,39.40302
2021-07-29,52.23251
2021-07-30,51.2769
2021-08-02,43.486267
2021-08-03,37.0673
2021-08-04,36.07669
2021-08-05,34.392982
2021-08-06,33.340687
2021-08-09,34.079227
2021-08-10,34.408894
2021-08-11,35.53619
2021-08-12,34.55639
2021-08-13,29.665531
2021-08-16,31.785593
2021-08-17,30.824177
2021-08-18,32.874783
2021-08-20,56.01636
2021-08-23,53.542946
2021-08-24,42.614094
2021-08-25,34.39124
2021-08-26,33.449142
2021-08-27,33.12996
2021-08-30,32.954895
2021-08-31,32.650402
2021-09-01,36.601192
2021-09-02,36.639748
2021-09-03,37.464405
2021-09-06,37.83087
2021-09-07,49.750744
2021-09-08,49.17168
2021-09-09,38.31422
2021-09-13,38.790016
2021-09-14,40.15659
2021-09-15,38.85901
2021-09-16,38.96109
2021-09-17,37.13143
2021-09-20,54.67052
2021-09-21,52.645977
2021-09-22,56.957157
2021-09-23,75.17417
2021-09-24,70.48867
2021-09-27,73.30571
2021-09-28,68.003075
2021-09-29,63.51294
2021-09-30,67.06366
2021-10-01,54.821793
2021-10-04,60.775276
2021-10-05,54.217724
2021-10-06,52.06451
2021-10-07,54.90669
2021-10-08,60.992058
2021-10-11,66.927345
2021-10-12,63.836666
2021-10-13,61.41075
2021-10-14,62.65987
2021-10-18,66.267975
2021-10-19,53.909206
2021-10-20,58.41844
2021-10-21,69.26097
2021-10-22,61.276733
2021-10-25,62.37356
2021-10-26,54.01321
2021-10-27,54.05883
2021-10-28,54.780975
2021-10-29,54.544888
2021-11-01,49.7682
2021-11-02,48.039154
2021-11-03,45.784397
2021-11-04,44.365242
2021-11-08,47.7522
2021-11-09,49.322556
2021-11-10,50.549225
2021-11-11,49.688057
2021-11-12,46.16919
2021-11-15,54.96975
2021-11-16,53.851597
2021-11-17,43.45245
2021-11-18,55.882984
2021-11-22,52.862297
2021-11-23,40.37735
2021-11-24,52.386196
2021-11-25,53.158764
2021-11-26,44.540176
2021-11-29,54.27399
2021-11-30,52.73171
2021-12-01,52.62738
2021-12-02,53.408333
2021-12-03,46.903103
2021-12-06,52.019657
2021-12-07,49.95231
2021-12-08,56.013973
2021-12-09,55.964344
2021-12-10,42.357067
2021-12-13,46.021576
2021-12-14,38.58666
2021-12-15,46.740208
2021-12-16,43.93944
2021-12-17,44.880295
2021-12-20,53.44583
2021-12-21,40.985954
2021-12-22,37.831177
2021-12-23,35.491695
2021-12-24,35.949944
2021-12-27,39.97098
2021-12-28,55.86816
2021-12-29,56.447556
2021-12-30,46.697926
2021-12-31,42.741722
2022-01-03,44.399796
2022-01-04,43.847984
2022-01-05,43.637142
2022-01-06,43.80857
2022-01-07,44.36927
2022-01-10,46.37766
2022-01-11,46.385235
2022-01-12,45.077625
2022-01-13,47.164555
2022-01-14,44.606915
2022-01-17,48.382355
2022-01-18,47.59114
2022-01-19,46.630966
2022-01-20,45.890118
2022-01-21,38.759636
2022-01-24,56.582413
2022-01-25,42.275284
2022-01-27,59.97056
2022-01-28,60.09352
2022-01-31,55.193165
2022-02-01,51.990566
2022-02-02,46.255474
2022-02-03,48.82725
2022-02-04,56.949535
2022-02-07,55.718803
2022-02-08,51.30389
2022-02-09,50.064503
2022-02-10,49.66657
2022-02-11,49.71403
2022-02-14,56.087017
2022-02-15,45.931038
2022-02-16,48.49695
2022-02-17,45.239147
2022-02-18,42.023666
2022-02-21,44.615673
2022-02-22,48.508244
2022-02-23,41.4572
2022-02-24,57.375393
2022-02-25,52.89089
2022-02-28,52.318336
2022-03-02,53.975876
2022-03-03,50.19163
2022-03-04,53.55347
2022-03-07,59.77023
2022-03-08,53.964836
2022-03-09,47.228073
2022-03-10,48.158733
2022-03-11,47.452854
2022-03-14,51.116913
2022-03-15,53.7758
2022-03-16,47.31912
2022-03-17,46.499023
2022-03-21,50.33995
2022-03-22,49.834377
2022-03-23,51.515266
2022-03-24,49.967434
2022-03-25,48.09027
2022-03-28,54.866276
2022-03-29,51.551414
2022-03-30,34.032074
2022-03-31,48.987465
2022-04-01,42.45675
2022-04-04,43.269444
2022-04-05,44.11537
2022-04-06,44.542763
2022-04-07,47.7286
2022-04-08,45.73301
2022-04-11,47.790413
2022-04-12,44.132233
2022-04-13,39.034714
2022-04-18,41.95244
2022-04-19,54.37373
2022-04-20,36.952885
2022-04-21,37.036324
2022-04-22,32.588577
2022-04-25,53.99528
2022-04-26,39.53276
2022-04-27,41.830093
2022-04-28,42.962177
2022-04-29,42.280766
2022-05-02,42.58031
2022-05-04,44.278175
2022-05-05,40.854885
2022-05-06,39.889618
2022-05-09,42.21247
2022-05-10,43.967712
2022-05-11,43.767006
2022-05-12,45.220383
2022-05-13,42.61013
2022-05-16,41.264393
2022-05-17,39.89509
2022-05-18,43.240665
2022-05-19,47.180626
2022-05-20,39.479847
2022-05-23,49.771908
2022-05-24,51.31497
2022-05-25,51.712337
2022-05-26,46.1348
2022-05-27,43.17856
2022-05-30,54.945946
2022-05-31,40.308346
2022-06-01,42.191486
2022-06-02,39.559532
2022-06-03,41.546844
2022-06-06,43.366726
2022-06-07,48.623493
2022-06-08,44.220573
2022-06-09,40.443806
2022-06-10,42.63147
2022-06-13,47.223763
2022-06-14,47.33725
2022-06-15,45.636646
2022-06-16,49.213226
2022-06-17,45.80962
2022-06-20,49.037674
2022-06-21,42.22997
2022-06-22,46.566666
2022-06-23,42.790565
2022-06-24,37.5205
2022-06-27,37.80414
2022-06-28,33.57031
2022-06-29,37.647545
2022-06-30,45.710106
2022-07-01,42.17853
2022-07-04,42.416832
2022-07-05,40.960335
2022-07-06,39.01394
2022-07-07,37.838898
2022-07-08,37.44351
2022-07-11,37.82893
2022-07-12,39.625595
2022-07-13,40.771084
2022-07-14,41.87422
2022-07-15,36.552837
2022-07-18,35.17549
2022-07-19,35.426723
2022-07-20,32.291977
2022-07-21,33.97277
2022-07-22,33.433693
2022-07-25,28.80234
2022-07-26,33.836983
2022-07-27,30.920902
2022-07-28,53.625633
2022-07-29,40.55238
2022-08-01,43.863823
2022-08-02,43.99503
2022-08-03,42.547215
2022-08-04,41.705914
2022-08-05,41.27102
2022-08-08,43.3451
2022-08-10,42.762314
2022-08-11,42.374657
2022-08-12,40.508896
2022-08-16,45.53224
2022-08-17,47.044144
2022-08-18,45.649765
2022-08-19,45.95143
2022-08-22,57.860157
2022-08-23,45.857285
2022-08-24,42.22376
2022-08-25,38.78536
2022-08-26,37.30094
2022-08-29,38.627586
2022-08-30,39.243313
2022-09-01,40.09927
2022-09-02,39.39825
2022-09-05,39.47751
2022-09-06,52.36207
2022-09-07,41.52104
2022-09-08,52.915253
2022-09-09,41.27607
2022-09-12,46.96839
2022-09-13,47.145893
2022-09-14,49.585136
2022-09-15,52.35524
2022-09-16,63.911064
2022-09-19,57.740288
2022-09-20,55.165752
2022-09-21,53.861214
2022-09-22,44.963165
2022-09-23,43.323875
2022-09-26,50.515274
2022-09-27,49.458942
2022-09-28,54.76817
2022-09-29,56.63901
2022-09-30,49.289204
2022-10-03,50.99387
2022-10-04,46.347466
2022-10-06,46.98985
2022-10-07,45.42174
2022-10-10,51.80569
2022-10-11,50.17482
2022-10-12,46.057358
2022-10-13,51.868454
2022-10-14,44.4009
2022-10-17,43.860733
2022-10-18,39.881493
2022-10-19,40.682026
2022-10-20,36.44414
2022-10-21,30.648163
2022-10-24,33.975372
2022-10-25,24.562302
2022-10-27,40.08199
2022-10-28,36.280876
2022-10-31,38.101704
2022-11-01,35.758026
2022-11-02,37.158924
2022-11-03,37.267544
2022-11-04,36.610928
2022-11-07,39.48118
2022-11-09,42.8546
2022-11-10,38.952908
2022-11-11,35.301838
2022-11-14,38.17178
2022-11-15,37.232788
2022-11-16,37.561367
2022-11-17,36.85986
2022-11-18,29.598484
2022-11-21,29.936108
2022-11-22,29.859625
2022-11-23,27.964142
2022-11-24,29.278229
2022-11-25,29.035532
2022-11-28,30.395582
2022-11-29,31.869963
2022-11-30,33.650925
2022-12-01,33.290764
2022-12-02,34.181133
2022-12-05,34.299362
2022-12-06,34.059036
2022-12-07,32.6721
2022-12-08,33.482895
