date,iv_atm
2017-07-04,32.56302
2017-07-05,33.515625
2017-07-06,30.61042
2017-07-07,23.681856
2017-07-10,33.984375
2017-07-11,38.125
2017-07-12,41.171875
2017-07-13,31.484375
2017-07-14,33.125
2017-07-17,32.65625
2017-07-18,38.828125
2017-07-19,44.375
2017-07-20,37.8125
2017-07-21,35.0
2017-07-24,37.96875
2017-07-25,42.5
2017-07-27,36.914062
2017-07-28,33.984375
2017-07-31,30.78125
2017-08-01,33.90625
2017-08-02,30.15625
2017-08-03,33.28125
2017-08-04,31.796875
2017-08-07,33.515625
2017-08-08,37.96875
2017-08-09,44.988346
2017-08-10,48.28125
2017-08-11,71.40625
2017-08-14,106.015625
2017-08-16,73.671875
2017-08-17,45.078125
2017-08-18,44.921875
2017-08-21,45.78125
2017-08-22,40.75585
2017-08-23,32.03125
2017-08-24,30.46875
2017-08-28,53.29004
2017-08-29,44.484688
2017-08-30,71.25
2017-08-31,46.5625
2017-09-01,45.078125
2017-09-04,43.46934
2017-09-05,41.953125
2017-09-06,44.453125
2017-09-07,41.381935
2017-09-08,41.71875
2017-09-11,43.125
2017-09-12,42.471706
2017-09-13,34.375
2017-09-14,42.421875
2017-09-15,40.078125
2017-09-18,51.906803
2017-09-19,55.15625
2017-09-20,41.40625
2017-09-21,39.836872
2017-09-22,35.0
2017-09-25,72.1875
2017-09-26,83.4375
2017-09-27,79.375
2017-09-28,55.078125
2017-09-29,46.640625
2017-10-03,46.5625
2017-10-04,49.453125
2017-10-05,42.5
2017-10-06,43.59375
2017-10-09,42.03125
2017-10-10,40.625
2017-10-11,44.692776
2017-10-12,40.859375
2017-10-13,37.8125
2017-10-16,43.4375
2017-10-17,37.5
2017-10-18,38.125
2017-10-23,54.6875
2017-10-24,63.44788
2017-10-25,42.5
2017-10-26,52.37108
2017-10-27,40.273438
2017-10-30,41.796875
2017-10-31,45.546875
2017-11-01,44.453125
2017-11-02,47.5
2017-11-03,41.5625
2017-11-06,44.453125
2017-11-07,45.234375
2017-11-08,70.46875
2017-11-09,40.37195
2017-11-10,42.8125
2017-11-13,42.34375
2017-11-14,44.140625
2017-11-15,43.90625
2017-11-16,45.3125
2017-11-17,50.0
2017-11-20,57.803596
2017-11-21,48.984375
2017-11-22,35.9375
2017-11-23,38.24768
2017-11-24,32.34375
2017-11-27,43.125
2017-11-28,39.375
2017-11-29,59.0625
2017-11-30,47.34375
2017-12-01,53.242188
2017-12-04,44.21875
2017-12-05,45.234375
2017-12-06,42.71602
2017-12-07,44.453125
2017-12-08,41.171875
2017-12-11,45.905132
2017-12-12,45.15625
2017-12-13,43.046875
2017-12-14,45.15625
2017-12-15,44.53125
2017-12-18,44.53125
2017-12-19,40.859375
2017-12-20,39.175285
2017-12-21,40.0
2017-12-22,37.96875
2017-12-26,52.1875
2017-12-27,61.25
2017-12-28,46.171875
2017-12-29,40.234375
2018-01-01,40.234375
2018-01-02,40.9375
2018-01-03,39.140625
2018-01-04,48.671875
2018-01-05,39.765625
2018-01-08,42.578125
2018-01-09,42.1875
2018-01-10,39.742905
2018-01-11,48.828125
2018-01-12,46.307774
2018-01-15,48.55931
2018-01-16,43.75
