date,iv_atm
2021-02-26,0.625
2021-03-01,66.85661
2021-03-02,63.867188
2021-03-03,57.421875
2021-03-04,57.265625
2021-03-05,63.339844
2021-03-08,62.148438
2021-03-09,58.652344
2021-03-10,53.183594
2021-03-12,57.539062
2021-03-15,1.25
2021-03-16,73.08594
2021-03-17,61.679688
2021-03-18,58.964844
2021-03-19,36.132812
2021-03-22,44.6875
2021-03-23,82.265625
2021-03-24,49.765625
2021-03-25,0.625
2021-03-26,0.625
2021-03-30,0.3125
2021-03-31,41.621094
2021-04-01,0.625
2021-04-05,40.371094
2021-04-06,44.101562
2021-04-07,38.75
2021-04-08,40.410156
2021-04-09,0.625
2021-04-12,41.464844
2021-04-13,55.585938
2021-04-15,49.66797
2021-04-16,45.17578
2021-04-19,45.898438
2021-04-20,47.1875
2021-04-22,52.8125
2021-04-23,47.226562
2021-04-26,86.953125
2021-04-27,40.820312
2021-04-28,43.59375
2021-04-29,0.3125
2021-04-30,0.625
2021-05-03,1.25
2021-05-04,49.84375
2021-05-05,44.53125
2021-05-06,46.25
2021-05-07,43.103634
2021-05-10,48.710938
2021-05-11,49.785156
2021-05-12,0.3125
2021-05-14,45.91797
2021-05-17,52.32422
2021-05-18,39.941406
2021-05-19,51.445312
2021-05-20,48.476562
2021-05-21,46.875
2021-05-24,41.132812
2021-05-25,55.15625
2021-05-26,34.6875
2021-05-27,46.953125
2021-05-28,1.25
2021-05-31,0.009765625
2021-06-01,44.257812
2021-06-02,38.92578
2021-06-03,34.53626
2021-06-04,31.328125
2021-06-07,38.320312
2021-06-08,36.271492
2021-06-09,41.132812
2021-06-10,38.815422
2021-06-11,41.640625
2021-06-14,45.625
2021-06-15,51.914062
2021-06-16,46.06759
2021-06-17,49.66246
2021-06-18,42.061554
2021-06-21,50.215767
2021-06-22,38.6418
2021-06-23,38.37485
2021-06-24,42.26929
2021-06-25,34.240543
2021-06-28,38.7705
2021-06-29,38.93563
2021-06-30,37.360283
2021-07-01,35.823593
2021-07-02,34.40413
2021-07-05,35.24474
2021-07-06,35.083527
2021-07-07,34.424416
2021-07-08,38.6906
2021-07-09,37.251587
2021-07-12,45.148327
2021-07-13,38.149445
2021-07-14,36.439873
2021-07-15,36.84765
2021-07-16,35.35976
2021-07-19,37.47548
2021-07-20,37.924076
2021-07-22,34.259266
2021-07-23,29.580994
2021-07-26,28.278034
2021-07-27,36.080734
2021-07-28,33.853832
2021-07-29,38.186886
2021-07-30,42.2467
2021-08-02,41.558178
2021-08-03,41.987938
2021-08-04,40.82687
2021-08-05,40.61936
2021-08-06,37.83547
2021-08-09,39.17535
2021-08-10,37.96503
2021-08-11,38.317905
2021-08-12,36.8538
2021-08-13,36.597107
2021-08-16,39.103565
2021-08-17,37.69139
2021-08-18,38.617855
2021-08-20,39.158184
2021-08-23,39.87691
2021-08-24,42.252884
2021-08-25,34.1005
2021-08-26,35.39062
2021-08-27,42.691917
2021-08-30,35.45168
2021-08-31,34.79608
2021-09-01,38.27501
2021-09-02,39.016636
2021-09-03,38.878086
2021-09-06,43.574215
2021-09-07,43.2724
2021-09-08,42.82754
2021-09-09,41.647263
2021-09-13,44.935635
2021-09-14,42.718422
2021-09-15,46.207764
2021-09-16,46.91501
2021-09-17,47.841404
2021-09-20,43.81324
2021-09-21,40.994553
2021-09-22,44.355637
2021-09-23,49.884163
2021-09-24,41.536106
2021-09-27,39.265366
2021-09-28,49.94083
2021-09-29,63.99895
2021-09-30,52.932423
2021-10-01,51.249214
2021-10-04,49.368202
2021-10-05,50.369595
2021-10-06,49.870777
2021-10-07,48.12779
2021-10-08,47.433258
2021-10-11,48.250633
2021-10-12,47.62644
2021-10-13,44.564938
2021-10-14,49.863815
2021-10-18,61.336124
2021-10-19,62.827534
2021-10-20,62.572086
2021-10-21,56.12501
2021-10-22,42.61824
2021-10-25,45.754322
2021-10-26,43.48201
2021-10-27,37.54769
2021-10-28,42.725647
2021-10-29,35.280544
2021-11-01,36.538998
2021-11-02,33.18106
2021-11-03,33.91338
2021-11-04,33.729103
2021-11-08,35.709225
2021-11-09,40.380886
2021-11-10,38.37824
2021-11-11,38.57788
2021-11-12,36.597374
2021-11-15,38.595253
2021-11-16,31.162418
2021-11-17,33.156082
2021-11-18,20.152157
2021-11-22,34.40014
2021-11-23,34.610878
2021-11-24,28.372963
2021-11-25,26.01261
2021-11-26,33.310642
2021-11-29,32.484444
2021-11-30,33.319016
2021-12-01,35.996307
2021-12-02,36.929848
2021-12-03,37.269093
2021-12-06,39.06656
2021-12-07,36.54556
2021-12-08,35.93256
2021-12-09,41.035957
2021-12-10,35.68002
2021-12-13,36.876667
2021-12-14,36.17466
2021-12-15,39.820744
2021-12-16,37.753822
2021-12-17,36.479553
2021-12-20,42.792965
2021-12-21,35.4805
2021-12-22,33.20387
2021-12-23,35.43636
2021-12-24,31.64169
2021-12-27,32.424915
2021-12-28,36.12827
2021-12-29,40.924515
2021-12-30,33.221622
2021-12-31,30.887781
2022-01-03,32.557747
2022-01-04,29.349031
2022-01-05,31.357925
2022-01-06,31.078806
2022-01-07,31.755915
2022-01-10,35.067585
2022-01-11,41.824738
2022-01-12,32.96463
2022-01-13,32.992985
2022-01-14,33.48707
2022-01-17,35.749966
2022-01-18,32.897305
2022-01-19,38.589115
2022-01-20,31.565775
2022-01-21,35.342884
2022-01-24,35.668217
2022-01-25,29.15781
2022-01-27,40.362305
2022-01-28,37.252277
2022-01-31,38.840477
2022-02-01,37.07503
2022-02-02,39.587337
2022-02-03,41.762318
2022-02-04,42.205975
2022-02-07,42.801632
2022-02-08,47.519806
2022-02-09,39.850185
2022-02-10,37.64287
2022-02-11,37.093094
2022-02-14,44.55159
2022-02-15,38.50607
2022-02-16,38.07436
2022-02-17,38.320824
2022-02-18,34.871273
2022-02-21,38.97356
2022-02-22,44.457645
2022-02-23,53.84611
2022-02-24,39.948944
2022-02-25,37.45463
2022-02-28,41.765564
2022-03-02,42.612278
2022-03-03,43.371662
2022-03-04,54.99676
2022-03-07,57.06356
2022-03-08,58.326683
2022-03-09,54.215904
2022-03-10,59.87832
2022-03-11,54.414955
2022-03-14,46.159416
2022-03-15,56.49036
2022-03-16,55.002552
2022-03-17,48.499367
2022-03-21,54.729595
2022-03-22,52.06622
2022-03-23,50.600456
2022-03-24,49.473118
2022-03-25,42.388474
2022-03-28,43.56472
2022-03-29,42.50802
2022-03-30,49.915638
2022-03-31,52.935047
2022-04-01,45.5346
2022-04-04,43.54521
2022-04-05,43.95737
2022-04-06,46.913765
2022-04-07,47.19034
2022-04-08,45.27899
2022-04-11,45.156525
2022-04-12,43.47545
2022-04-13,40.83796
2022-04-18,45.41298
2022-04-19,43.83954
2022-04-20,42.326008
2022-04-21,41.74112
2022-04-22,40.167824
2022-04-25,47.029037
2022-04-26,29.73148
2022-04-27,38.57201
2022-04-28,42.96026
2022-04-29,42.75739
2022-05-02,39.989193
2022-05-04,40.498016
2022-05-05,42.88467
2022-05-06,38.72119
2022-05-09,40.53485
2022-05-10,44.582157
2022-05-11,42.87123
2022-05-12,44.729736
2022-05-13,39.70714
2022-05-16,42.718796
2022-05-17,40.270084
2022-05-18,38.294273
2022-05-19,38.34912
2022-05-20,35.929398
2022-05-23,42.046387
2022-05-24,37.76025
2022-05-25,25.16951
2022-05-26,43.49038
2022-05-27,42.306225
2022-05-30,34.19072
2022-05-31,36.871357
2022-06-01,33.292244
2022-06-02,35.588108
2022-06-03,35.461212
2022-06-06,34.882786
2022-06-07,38.561466
2022-06-08,41.60772
2022-06-09,38.94504
2022-06-10,41.16655
2022-06-13,45.53417
2022-06-14,42.53174
2022-06-15,44.570362
2022-06-16,44.468117
2022-06-17,45.433098
2022-06-20,44.79605
2022-06-21,44.09365
2022-06-22,42.97243
2022-06-23,41.508816
2022-06-24,40.58433
2022-06-27,40.360016
2022-06-28,39.844883
2022-06-29,35.34851
2022-06-30,41.69989
2022-07-01,39.724754
2022-07-04,41.493034
2022-07-05,41.350296
2022-07-06,40.297764
2022-07-07,40.695583
2022-07-08,40.880768
2022-07-11,41.170418
2022-07-12,41.29409
2022-07-13,40.354427
2022-07-14,40.14208
2022-07-15,38.50122
2022-07-18,40.399014
2022-07-19,43.168278
2022-07-20,42.12725
2022-07-21,39.3885
2022-07-22,41.818848
2022-07-25,50.668304
2022-07-26,44.37526
2022-07-27,36.865383
2022-07-28,42.360043
2022-07-29,40.98991
2022-08-01,43.657543
2022-08-02,44.97352
2022-08-03,45.39831
2022-08-04,42.049942
2022-08-05,43.626575
2022-08-08,42.84057
2022-08-10,41.660725
2022-08-11,41.604374
2022-08-12,39.60662
