date,iv_atm
2017-07-04,28.398438
2017-07-05,29.941406
2017-07-06,29.082031
2017-07-07,28.515625
2017-07-10,30.839844
2017-07-11,31.777344
2017-07-12,31.386719
2017-07-13,34.296875
2017-07-14,31.601562
2017-07-17,39.222664
2017-07-18,43.789062
2017-07-19,32.485287
2017-07-20,30.3125
2017-07-21,26.953125
2017-07-24,29.6875
2017-07-25,28.90625
2017-07-27,27.333984
2017-07-28,26.582031
2017-07-31,28.398438
2017-08-01,30.351562
2017-08-02,30.117188
2017-08-03,29.863281
2017-08-04,29.570312
2017-08-07,29.296875
2017-08-08,30.253906
2017-08-09,31.386719
2017-08-10,40.253906
2017-08-11,39.628906
2017-08-14,33.789062
2017-08-16,38.085938
2017-08-17,32.48047
2017-08-18,30.605469
2017-08-21,33.671875
2017-08-22,33.164062
2017-08-23,26.230469
2017-08-24,25.976562
2017-08-28,32.03125
2017-08-29,37.45816
2017-08-30,32.265625
2017-08-31,29.296875
2017-09-01,28.925781
2017-09-04,33.945312
2017-09-05,32.910156
2017-09-06,32.402344
2017-09-07,32.382812
2017-09-08,31.835938
2017-09-11,35.64453
2017-09-12,33.320312
2017-09-13,34.003906
2017-09-14,33.73047
2017-09-15,32.05078
2017-09-18,33.632812
2017-09-19,33.710938
2017-09-20,33.71327
2017-09-21,35.273438
2017-09-22,34.960938
2017-09-25,38.945312
2017-09-26,37.578125
2017-09-27,40.0
2017-09-28,35.683594
2017-09-29,32.558594
2017-10-03,31.992188
2017-10-04,30.917969
2017-10-05,30.625
2017-10-06,31.367188
2017-10-09,32.03125
2017-10-10,33.496094
2017-10-11,34.39453
2017-10-12,32.890625
2017-10-13,32.265625
2017-10-16,35.625
2017-10-17,34.21875
2017-10-18,35.117188
2017-10-23,38.515625
2017-10-24,42.929688
2017-10-25,43.4375
2017-10-26,31.808136
2017-10-27,31.830057
2017-10-30,30.84961
2017-10-31,32.48047
2017-11-01,31.777344
2017-11-02,33.92578
2017-11-03,33.25796
2017-11-06,35.507812
2017-11-07,37.910156
2017-11-08,40.15625
2017-11-09,40.286335
2017-11-10,37.929688
2017-11-13,32.910156
2017-11-14,34.277344
2017-11-15,32.773438
2017-11-16,31.972656
2017-11-17,31.71875
2017-11-20,34.921875
2017-11-21,34.570312
2017-11-22,33.704674
2017-11-23,38.671875
2017-11-24,32.539062
2017-11-27,37.109375
2017-11-28,33.496666
2017-11-29,26.796875
2017-11-30,29.6875
2017-12-01,29.355469
2017-12-04,28.203125
2017-12-05,29.238281
2017-12-06,30.683594
2017-12-07,29.765625
2017-12-08,29.375
2017-12-11,29.980469
2017-12-12,32.597656
2017-12-13,34.84375
2017-12-14,32.597656
2017-12-15,32.94922
2017-12-18,32.394115
2017-12-19,31.464844
2017-12-20,25.839844
2017-12-21,33.789062
2017-12-22,31.210938
2017-12-26,38.203125
2017-12-27,30.3125
2017-12-28,28.789062
2017-12-29,31.992188
2018-01-01,33.425327
2018-01-02,33.45703
2018-01-03,33.213554
2018-01-04,32.421875
2018-01-05,32.906696
2018-01-08,34.316406
2018-01-09,35.9375
2018-01-10,36.660156
2018-01-11,36.464844
2018-01-12,38.476562
2018-01-15,39.648438
2018-01-16,41.933594
2018-01-17,39.921875
2018-01-18,41.09375
2018-01-19,36.982132
2018-01-22,44.140625
2018-01-23,38.262016
2018-01-24,43.75
2018-01-25,32.088238
2018-01-29,33.92578
2018-01-30,34.39453
2018-01-31,36.914062
2018-02-01,33.476562
2018-02-02,36.54297
2018-02-05,41.816406
2018-02-06,42.05078
2018-02-07,46.308594
2018-02-08,37.558594
2018-02-09,36.933594
2018-02-12,35.234375
2018-02-14,33.021935
2018-02-15,32.16797
2018-02-16,30.898438
2018-02-19,39.0625
2018-02-20,36.328125
2018-02-21,33.590023
2018-02-22,28.125
2018-02-23,28.882685
2018-02-26,27.792969
2018-02-27,28.320312
2018-02-28,26.894531
2018-03-01,27.148438
2018-03-05,29.550781
2018-03-06,29.257812
2018-03-07,31.210938
2018-03-08,30.644531
2018-03-09,29.433594
2018-03-12,29.746094
2018-03-13,29.121094
2018-03-14,29.0625
2018-03-15,28.046875
2018-03-16,29.726562
2018-03-19,34.138966
2018-03-20,32.5
2018-03-21,31.002357
2018-03-22,26.054688
2018-03-23,27.8125
2018-03-26,28.75
2018-03-27,31.25
2018-03-28,26.757812
2018-04-02,29.628906
2018-04-03,30.058594
2018-04-04,31.210938
2018-04-05,28.59375
2018-04-06,29.414062
2018-04-09,29.414062
