date,iv_atm
2017-07-04,27.519531
2017-07-05,26.816406
2017-07-06,28.398438
2017-07-07,29.121094
2017-07-10,28.066406
2017-07-11,28.203125
2017-07-12,30.493437
2017-07-13,56.40625
2017-07-14,59.17902
2017-07-17,55.0
2017-07-18,53.515625
2017-07-19,66.015625
2017-07-20,43.14631
2017-07-21,39.921875
2017-07-24,49.375
2017-07-25,32.03125
2017-07-27,29.667969
2017-07-28,31.796875
2017-07-31,33.14453
2017-08-01,39.412113
2017-08-02,39.62598
2017-08-03,39.0625
2017-08-04,34.98047
2017-08-07,41.953125
2017-08-08,41.328125
2017-08-09,44.370323
2017-08-10,29.394531
2017-08-11,53.378906
2017-08-14,47.500046
2017-08-16,47.304688
2017-08-17,46.71875
2017-08-18,46.757812
2017-08-21,50.703125
2017-08-22,43.4375
2017-08-23,36.132812
2017-08-24,31.132812
2017-08-28,42.226562
2017-08-29,43.007812
2017-08-30,37.421146
2017-08-31,34.023438
2017-09-01,37.421875
2017-09-04,37.153713
2017-09-05,35.585938
2017-09-06,34.609375
2017-09-07,34.51172
2017-09-08,34.746094
2017-09-11,37.070312
2017-09-12,33.75
2017-09-13,53.066406
2017-09-14,42.871094
2017-09-15,47.01172
2017-09-18,45.3125
2017-09-19,41.71875
2017-09-20,40.703125
2017-09-21,39.726562
2017-09-22,41.914062
2017-09-25,50.546875
2017-09-26,52.5
2017-09-27,51.875
2017-09-28,36.25
2017-09-29,34.882812
2017-10-03,36.445312
2017-10-04,34.257812
2017-10-05,34.765625
2017-10-06,33.222656
2017-10-09,36.835938
2017-10-10,36.445312
2017-10-11,38.30078
2017-10-12,34.746094
2017-10-13,33.359375
2017-10-16,35.15625
2017-10-17,31.210938
2017-10-18,33.085938
2017-10-23,41.757812
2017-10-24,38.75
2017-10-25,47.1875
2017-10-26,40.80078
2017-10-27,39.08203
2017-10-30,40.01953
2017-10-31,39.86491
2017-11-01,43.03103
2017-11-02,42.98828
2017-11-03,42.070312
2017-11-06,46.26953
2017-11-07,48.10215
2017-11-08,47.257904
2017-11-09,43.903454
2017-11-10,41.054688
2017-11-13,41.71875
2017-11-14,41.445312
2017-11-15,41.015625
2017-11-16,40.546875
2017-11-17,41.328125
2017-11-20,43.242188
2017-11-21,42.734375
2017-11-22,41.445312
2017-11-23,38.75
2017-11-24,35.507812
2017-11-27,40.703125
2017-11-28,34.921875
2017-11-29,40.01926
2017-11-30,35.195312
2017-12-01,35.13672
2017-12-04,34.335938
2017-12-05,34.648438
2017-12-06,33.828125
2017-12-07,33.164062
2017-12-08,32.377563
2017-12-11,31.796875
2017-12-12,35.585938
2017-12-13,34.648438
2017-12-14,35.214844
2017-12-15,31.972656
2017-12-18,29.438889
2017-12-19,29.023438
2017-12-20,28.920143
2017-12-21,29.21875
2017-12-22,25.351562
2017-12-26,37.1875
2017-12-27,44.0625
2017-12-28,28.613281
2017-12-29,30.527344
2018-01-01,31.464844
2018-01-02,34.570312
2018-01-03,32.734375
2018-01-04,43.203125
2018-01-05,39.53125
2018-01-08,41.11328
2018-01-09,40.703125
2018-01-10,40.664062
2018-01-11,40.429688
2018-01-12,38.90625
2018-01-15,38.203125
2018-01-16,36.25
2018-01-17,37.109375
2018-01-18,36.835938
2018-01-19,40.507812
2018-01-22,56.445312
2018-01-23,49.008522
2018-01-24,50.625
2018-01-25,37.34375
2018-01-29,40.3125
2018-01-30,39.84375
2018-01-31,41.054688
2018-02-01,38.320312
2018-02-02,42.8125
2018-02-05,46.152344
2018-02-06,45.195312
2018-02-07,44.785156
2018-02-08,43.4375
2018-02-09,41.5625
2018-02-12,38.125
2018-02-14,34.257812
2018-02-15,33.046875
2018-02-16,30.690002
2018-02-19,35.75552
2018-02-20,31.5625
2018-02-21,44.21875
2018-02-22,29.257812
2018-02-23,27.65625
2018-02-26,26.757812
2018-02-27,28.671875
2018-02-28,27.148438
2018-03-01,27.382812
2018-03-05,29.921875
2018-03-06,29.980469
2018-03-07,30.429688
2018-03-08,28.863907
2018-03-09,28.789062
2018-03-12,27.792969
2018-03-13,26.523438
2018-03-14,26.210938
2018-03-15,26.640625
2018-03-16,27.265625
2018-03-19,31.914062
2018-03-20,30.664062
2018-03-21,32.460938
