date,iv_atm
2017-07-04,19.614258
2017-07-05,20.234375
2017-07-06,20.53711
2017-07-07,21.054688
2017-07-10,24.404297
2017-07-11,24.853516
2017-07-12,26.894531
2017-07-13,26.816406
2017-07-14,25.605469
2017-07-17,29.471188
2017-07-18,31.113281
2017-07-19,22.88086
2017-07-20,21.425781
2017-07-21,20.058594
2017-07-24,24.492188
2017-07-25,24.082031
2017-07-27,19.121094
2017-07-28,17.226562
2017-07-31,17.402344
2017-08-01,17.480469
2017-08-02,18.300781
2017-08-03,17.246094
2017-08-04,16.582031
2017-08-07,16.723633
2017-08-08,18.466797
2017-08-09,17.8557
2017-08-10,18.876953
2017-08-11,19.511719
2017-08-14,19.778978
2017-08-16,18.99414
2017-08-17,19.042969
2017-08-18,19.208984
2017-08-21,21.16211
2017-08-22,19.824219
2017-08-23,19.794922
2017-08-24,15.878906
2017-08-28,22.285156
2017-08-29,24.971521
2017-08-30,23.90625
2017-08-31,18.388672
2017-09-01,18.046875
2017-09-04,19.140625
2017-09-05,18.564453
2017-09-06,18.544922
2017-09-07,18.676758
2017-09-08,17.626953
2017-09-11,17.441406
2017-09-12,18.427734
2017-09-13,17.34375
2017-09-14,16.992188
2017-09-15,15.683594
2017-09-18,19.257812
2017-09-19,18.242188
2017-09-20,16.346823
2017-09-21,15.527344
2017-09-22,17.597656
2017-09-25,24.101562
2017-09-26,26.152344
2017-09-27,31.835938
2017-09-28,19.604492
2017-09-29,20.498047
2017-10-03,20.53711
2017-10-04,19.990234
2017-10-05,21.094994
2017-10-06,20.34566
2017-10-09,19.921875
2017-10-10,20.957031
2017-10-11,20.986328
2017-10-12,21.708984
2017-10-13,21.512888
2017-10-16,21.933594
2017-10-17,21.445312
2017-10-18,20.830078
2017-10-23,34.414062
2017-10-24,43.242188
2017-10-25,68.55469
2017-10-26,19.726562
2017-10-27,19.56543
2017-10-30,19.858398
2017-10-31,19.033203
2017-11-01,19.379883
2017-11-02,17.670898
2017-11-03,17.90039
2017-11-06,18.686523
2017-11-07,19.555664
2017-11-08,21.71875
2017-11-09,25.71289
2017-11-10,23.364258
2017-11-13,22.65625
2017-11-14,21.288336
2017-11-15,20.322266
2017-11-16,21.00586
2017-11-17,21.035156
2017-11-20,22.070312
2017-11-21,21.328125
2017-11-22,21.855469
2017-11-23,20.800781
2017-11-24,17.96875
2017-11-27,22.558594
2017-11-28,23.90625
2017-11-29,21.09375
2017-11-30,18.291016
2017-12-01,18.388672
2017-12-04,18.83789
2017-12-05,17.790289
2017-12-06,18.515625
2017-12-07,17.807617
2017-12-08,18.847656
2017-12-11,19.199219
2017-12-12,18.544922
2017-12-13,19.941406
2017-12-14,19.670633
2017-12-15,18.925781
2017-12-18,18.583984
2017-12-19,18.19336
2017-12-20,17.578125
2017-12-21,17.25586
2017-12-22,14.316406
2017-12-26,19.960938
2017-12-27,21.757812
2017-12-28,16.918945
2017-12-29,18.066406
2018-01-01,20.385742
2018-01-02,19.863281
2018-01-03,19.570312
2018-01-04,20.0
2018-01-05,19.873047
2018-01-08,24.34082
2018-01-09,23.447266
2018-01-10,24.91211
2018-01-11,24.169922
2018-01-12,25.097656
2018-01-15,27.919922
2018-01-16,26.982422
2018-01-17,27.753906
2018-01-18,22.138672
2018-01-19,18.710938
2018-01-22,22.325752
2018-01-23,23.59375
2018-01-24,26.132812
2018-01-25,21.86481
2018-01-29,23.47168
2018-01-30,22.358398
2018-01-31,22.8125
2018-02-01,18.564453
2018-02-02,20.854492
2018-02-05,19.902344
2018-02-06,23.432617
2018-02-07,22.1875
2018-02-08,19.501953
2018-02-09,20.126953
2018-02-12,19.960938
2018-02-14,18.085938
2018-02-15,18.19336
2018-02-16,16.777344
2018-02-19,19.804688
2018-02-20,23.416315
2018-02-21,18.671875
2018-02-22,16.142578
2018-02-23,15.8984375
2018-02-26,15.732422
2018-02-27,15.8984375
2018-02-28,16.455078
2018-03-01,15.946665
2018-03-05,17.324219
2018-03-06,17.685547
2018-03-07,16.80664
2018-03-08,16.18536
2018-03-09,16.083984
2018-03-12,16.142578
2018-03-13,15.9765625
2018-03-14,15.546875
2018-03-15,16.542969
2018-03-16,17.294922
2018-03-19,19.277344
2018-03-20,17.58789
