date,iv_atm
2017-07-04,29.960938
2017-07-05,29.335938
2017-07-06,27.958984
2017-07-07,29.189453
2017-07-10,29.453125
2017-07-11,27.773438
2017-07-12,27.538834
2017-07-13,26.36085
2017-07-14,24.51043
2017-07-17,25.561554
2017-07-18,28.83789
2017-07-19,27.72461
2017-07-20,28.43275
2017-07-21,28.632812
2017-07-24,39.53125
2017-07-25,37.578125
2017-07-27,23.274225
2017-07-28,24.49707
2017-07-31,25.478516
2017-08-01,26.386719
2017-08-02,26.518555
2017-08-03,26.481733
2017-08-04,24.6875
2017-08-07,25.292969
2017-08-08,27.236328
2017-08-09,27.148438
2017-08-10,30.830078
2017-08-11,31.523438
2017-08-14,28.789062
2017-08-16,28.730469
2017-08-17,29.433594
2017-08-18,28.19336
2017-08-21,28.789062
2017-08-22,27.392578
2017-08-23,26.530083
2017-08-24,26.386719
2017-08-28,31.953125
2017-08-29,39.179688
2017-08-30,43.59375
2017-08-31,29.581945
2017-09-01,27.936214
2017-09-04,32.563694
2017-09-05,31.610445
2017-09-06,31.777344
2017-09-07,31.177835
2017-09-08,30.751953
2017-09-11,29.46289
2017-09-12,28.754883
2017-09-13,27.705078
2017-09-14,27.011719
2017-09-15,25.78125
2017-09-18,30.351562
2017-09-19,30.771484
2017-09-20,31.054688
2017-09-21,28.955078
2017-09-22,29.638672
2017-09-25,44.902344
2017-09-26,36.85547
2017-09-27,41.183426
2017-09-28,32.402344
2017-09-29,31.47461
2017-10-03,30.19043
2017-10-04,29.571043
2017-10-05,29.46533
2017-10-06,28.110352
2017-10-09,30.234375
2017-10-10,28.99414
2017-10-11,31.435547
2017-10-12,28.867188
2017-10-13,30.234375
2017-10-16,31.611328
2017-10-17,31.425781
2017-10-18,29.921875
2017-10-23,56.07422
2017-10-24,39.53125
2017-10-25,36.26953
2017-10-26,30.25879
2017-10-27,29.433594
2017-10-30,29.760742
2017-10-31,30.03418
2017-11-01,30.478516
2017-11-02,30.830078
2017-11-03,30.703772
2017-11-06,33.07617
2017-11-07,33.76541
2017-11-08,30.839844
2017-11-09,32.096737
2017-11-10,33.340187
2017-11-13,34.365234
2017-11-14,36.25
2017-11-15,34.75586
2017-11-16,32.91992
2017-11-17,31.796875
2017-11-20,32.65625
2017-11-21,35.76172
2017-11-22,33.476562
2017-11-23,32.402344
2017-11-24,32.743587
2017-11-27,40.158764
2017-11-28,33.398438
2017-11-29,32.109375
2017-11-30,32.4681
2017-12-01,33.524967
2017-12-04,31.635742
2017-12-05,30.018566
2017-12-06,31.044922
2017-12-07,27.890625
2017-12-08,28.115234
2017-12-11,30.019531
2017-12-12,30.546875
2017-12-13,31.542969
2017-12-14,33.271484
2017-12-15,29.423828
2017-12-18,26.201172
2017-12-19,25.742188
2017-12-20,27.414473
2017-12-21,26.289062
2017-12-22,29.648438
2017-12-26,32.20703
2017-12-27,32.96875
2017-12-28,26.96289
2017-12-29,27.421864
2018-01-01,29.13426
2018-01-02,30.898438
2018-01-03,30.53711
2018-01-04,30.410156
2018-01-05,28.652344
2018-01-08,33.85254
2018-01-09,32.65625
2018-01-10,34.414062
2018-01-11,35.126953
2018-01-12,34.833984
2018-01-15,37.45117
2018-01-16,35.10742
2018-01-17,34.648438
2018-01-18,38.68164
2018-01-19,34.98047
2018-01-22,51.914062
2018-01-23,64.10156
2018-01-24,44.04297
2018-01-25,33.71582
2018-01-29,35.585938
2018-01-30,33.364258
2018-01-31,33.789062
2018-02-01,30.576172
2018-02-02,36.45508
2018-02-05,39.365234
2018-02-06,41.757812
2018-02-07,37.25586
2018-02-08,35.976154
2018-02-09,37.1875
2018-02-12,33.19336
2018-02-14,33.339844
2018-02-15,31.152344
2018-02-16,31.826172
2018-02-19,41.289062
2018-02-20,40.9375
2018-02-21,38.4375
2018-02-22,28.225784
2018-02-23,26.923828
2018-02-26,24.482422
2018-02-27,24.331055
2018-02-28,25.138052
2018-03-01,27.013176
2018-03-05,27.675781
2018-03-06,29.033203
2018-03-07,31.728516
2018-03-08,30.36621
2018-03-09,31.392529
2018-03-12,30.019531
2018-03-13,27.783203
2018-03-14,28.642578
2018-03-15,27.841797
2018-03-16,28.486328
2018-03-19,35.117188
2018-03-20,31.757812
2018-03-21,30.751442
2018-03-22,30.234375
2018-03-23,29.296875
2018-03-26,34.97332
2018-03-27,49.0625
2018-03-28,24.59961
2018-04-02,29.472656
2018-04-03,29.48442
2018-04-04,29.707031
2018-04-05,27.27539
2018-04-06,28.386644
2018-04-09,31.865234
2018-04-10,32.060547
2018-04-11,31.992188
2018-04-12,31.18164
2018-04-13,32.001953
2018-04-16,34.32617
2018-04-17,33.398438
2018-04-18,31.953125
2018-04-19,31.044922
2018-04-20,38.554688
2018-04-23,34.55078
2018-04-24,31.972656
2018-04-25,29.609375
2018-04-26,26.123047
2018-04-27,26.679688
