date,iv_atm
2017-07-04,25.351562
2017-07-05,23.710938
2017-07-06,22.34375
2017-07-07,22.8125
2017-07-10,24.609375
2017-07-11,24.609375
2017-07-12,24.53125
2017-07-13,25.234375
2017-07-14,23.671875
2017-07-17,26.03552
2017-07-18,24.875137
2017-07-19,26.5625
2017-07-20,25.0
2017-07-21,22.062866
2017-07-24,30.225677
2017-07-25,35.3125
2017-07-27,30.703125
2017-07-28,24.782042
2017-07-31,25.3125
2017-08-01,25.078125
2017-08-02,23.671875
2017-08-03,24.21875
2017-08-04,23.320312
2017-08-07,23.28125
2017-08-08,24.980469
2017-08-09,25.507812
2017-08-10,25.703125
2017-08-11,27.5
2017-08-14,26.679688
2017-08-16,24.414062
2017-08-17,24.53125
2017-08-18,25.0
2017-08-21,26.08708
2017-08-22,23.554688
2017-08-23,22.421875
2017-08-24,19.765625
2017-08-28,22.56288
2017-08-29,31.589571
2017-08-30,22.683945
2017-08-31,23.320312
2017-09-01,22.597656
2017-09-04,23.964844
2017-09-05,23.496094
2017-09-06,23.164062
2017-09-07,24.296875
2017-09-08,23.320312
2017-09-11,22.472818
2017-09-12,22.1875
2017-09-13,21.982122
2017-09-14,22.348728
2017-09-15,23.291197
2017-09-18,24.84375
2017-09-19,23.945312
2017-09-20,26.40625
2017-09-21,24.296875
2017-09-22,25.234375
2017-09-25,30.625
2017-09-26,31.640625
2017-09-27,38.4375
2017-09-28,23.925781
2017-09-29,23.476562
2017-10-03,23.28125
2017-10-04,22.617188
2017-10-05,24.0625
2017-10-06,22.148438
2017-10-09,23.322054
2017-10-10,23.203125
2017-10-11,24.765625
2017-10-12,23.871552
2017-10-13,21.796875
2017-10-16,23.710938
2017-10-17,24.21875
2017-10-18,25.859375
2017-10-23,34.21875
2017-10-24,35.625
2017-10-25,87.09582
2017-10-26,38.320312
2017-10-27,38.398438
2017-10-30,29.76419
2017-10-31,29.179688
2017-11-01,29.765625
2017-11-02,28.652344
2017-11-03,28.085938
2017-11-06,29.465256
2017-11-07,30.664062
2017-11-08,31.054688
2017-11-09,29.257812
2017-11-10,28.945312
2017-11-13,30.953331
2017-11-14,28.90625
2017-11-15,30.351562
2017-11-16,29.726562
2017-11-17,30.625
2017-11-20,33.164062
2017-11-21,30.273438
