date,iv_atm
2020-10-30,38.706055
2020-11-02,27.90039
2020-11-03,42.51465
2020-11-04,33.359375
2020-11-05,48.583984
2020-11-06,26.083984
2020-11-09,0.078125
2020-11-10,42.67578
2020-11-11,43.532337
2020-11-12,42.822266
2020-11-13,30.664062
2020-11-14,31.914062
2020-11-17,0.625
2020-11-18,28.108185
2020-11-19,64.48242
2020-11-20,33.59375
2020-11-23,46.11328
2020-11-24,39.375
2020-11-25,40.742188
2020-11-26,0.625
2020-11-27,0.625
2020-12-01,0.01953125
2020-12-02,0.078125
2020-12-03,0.625
2020-12-04,34.55078
2020-12-07,31.640625
2020-12-08,55.08789
2020-12-09,39.375
2020-12-10,38.027344
2020-12-11,37.661133
2020-12-14,39.335938
2020-12-15,32.70508
2020-12-16,46.49414
2020-12-17,38.828125
2020-12-18,38.05664
2020-12-21,41.464844
2020-12-22,61.65039
2020-12-23,45.078125
2020-12-24,31.132812
2020-12-28,21.757812
2020-12-29,41.777344
2020-12-30,48.828125
2020-12-31,36.381836
2021-01-01,0.625
2021-01-04,28.745117
2021-01-05,0.3125
2021-01-06,32.0459
2021-01-07,0.15625
2021-01-08,29.819336
2021-01-11,35.742188
2021-01-12,1.25
2021-01-13,46.152344
2021-01-14,0.3125
2021-01-15,46.328125
2021-01-18,0.625
2021-01-19,50.878906
2021-01-20,45.634766
2021-01-21,0.625
2021-01-22,68.75
2021-01-25,59.55078
2021-01-27,2.5
2021-01-28,37.905273
2021-01-29,0.625
2021-02-01,46.640625
2021-02-02,34.868164
2021-02-03,29.833984
2021-02-04,0.0048828125
2021-02-05,35.10742
2021-02-08,0.3125
2021-02-09,39.82422
2021-02-10,33.929375
2021-02-11,32.402344
2021-02-12,39.189453
2021-02-15,35.029297
2021-02-16,35.839844
2021-02-17,40.9375
2021-02-18,39.902344
2021-02-19,38.867188
2021-02-22,34.157337
2021-02-23,40.507812
2021-02-24,45.203644
2021-02-25,35.507812
2021-02-26,0.625
2021-03-01,0.3125
2021-03-02,0.625
2021-03-03,37.783203
2021-03-04,37.822266
2021-03-05,36.5625
2021-03-08,0.078125
2021-03-09,37.314453
2021-03-10,37.36328
2021-03-12,33.97461
2021-03-15,45.070072
2021-03-16,37.931324
2021-03-17,30.585938
2021-03-18,35.615234
2021-03-19,36.308594
2021-03-22,38.88672
2021-03-23,21.757812
2021-03-24,37.773438
2021-03-25,0.15625
2021-03-26,26.948242
2021-03-30,0.625
2021-03-31,0.625
2021-04-01,0.3125
2021-04-05,0.0390625
2021-04-06,0.625
2021-04-07,0.0048828125
2021-04-08,0.3125
2021-04-09,0.625
2021-04-12,0.625
2021-04-13,0.625
2021-04-15,38.85742
2021-04-16,0.625
2021-04-19,41.35742
2021-04-20,31.748047
2021-04-22,40.722656
2021-04-23,35.33203
2021-04-26,39.64252
2021-04-27,38.867188
2021-04-28,35.730003
2021-04-29,0.625
2021-04-30,0.3125
2021-05-03,0.3125
2021-05-04,0.625
2021-05-05,0.078125
2021-05-06,0.01953125
