date,iv_atm
2017-07-04,36.796875
2017-07-05,36.25
2017-07-06,36.953125
2017-07-07,36.298355
2017-07-10,39.140625
2017-07-11,37.7165
2017-07-12,38.001434
2017-07-13,40.546875
2017-07-14,41.25
2017-07-17,43.223606
2017-07-18,46.5625
2017-07-19,58.59375
2017-07-20,58.59375
2017-07-21,41.875
2017-07-24,62.8125
2017-07-25,75.5671
2017-07-27,47.03125
2017-07-28,43.42007
2017-07-31,44.53125
2017-08-01,43.75
2017-08-02,41.725864
2017-08-03,41.171875
2017-08-04,40.625
2017-08-07,41.5625
2017-08-08,45.68376
2017-08-09,44.53125
2017-08-10,47.8125
2017-08-11,45.390625
2017-08-14,43.90625
2017-08-16,39.375
2017-08-17,41.71875
2017-08-18,42.773464
2017-08-21,43.312187
2017-08-22,37.03125
2017-08-23,37.8125
2017-08-24,33.125
2017-08-28,42.5
2017-08-29,55.3125
2017-08-30,46.25
2017-08-31,37.578125
2017-09-01,39.53125
2017-09-04,38.125
2017-09-05,41.171875
2017-09-06,38.4375
2017-09-07,39.548473
2017-09-08,39.53125
2017-09-11,40.50212
2017-09-12,38.125
2017-09-13,37.34375
2017-09-14,36.5625
2017-09-15,36.532837
2017-09-18,39.0625
2017-09-19,39.0625
2017-09-20,41.875
2017-09-21,39.375
2017-09-22,31.875
2017-09-25,49.375
2017-09-26,52.5
2017-09-27,51.84061
2017-09-28,39.609375
2017-09-29,38.046875
2017-10-03,38.90625
2017-10-04,37.890625
2017-10-05,36.815895
2017-10-06,36.09375
2017-10-09,39.133244
2017-10-10,46.09375
2017-10-11,42.1875
2017-10-12,38.125
2017-10-13,36.25
2017-10-16,38.125
2017-10-17,52.03125
2017-10-18,56.62625
2017-10-23,73.125
2017-10-24,73.75
2017-10-25,69.42174
2017-10-26,47.65625
2017-10-27,47.65625
2017-10-30,47.578125
2017-10-31,48.10158
2017-11-01,51.328125
2017-11-02,54.6875
2017-11-03,51.640625
2017-11-06,53.496384
2017-11-07,56.484375
2017-11-08,58.828125
2017-11-09,54.984303
2017-11-10,55.3125
2017-11-13,59.53125
2017-11-14,57.1875
2017-11-15,49.21875
2017-11-16,47.65625
2017-11-17,46.71875
2017-11-20,57.34375
2017-11-21,58.4375
2017-11-22,56.40625
2017-11-23,53.436535
2017-11-24,51.09375
2017-11-27,55.625
2017-11-28,48.75
2017-11-29,51.76419
2017-11-30,37.65625
2017-12-01,40.0
2017-12-04,40.0
2017-12-05,39.6875
2017-12-06,42.34375
2017-12-07,40.9375
2017-12-08,38.203125
2017-12-11,42.5
2017-12-12,42.34375
2017-12-13,44.296875
2017-12-14,41.40625
2017-12-15,40.9375
2017-12-18,35.84778
2017-12-19,40.3125
2017-12-20,42.34375
2017-12-21,46.57602
2017-12-22,42.03125
2017-12-26,58.75
2017-12-27,61.25
2017-12-28,42.330517
2017-12-29,46.09375
