date,iv_atm
2017-07-04,31.875
2017-07-05,36.875
2017-07-06,38.59375
2017-07-07,41.5625
2017-07-10,42.1875
2017-07-11,37.8125
2017-07-12,38.75
2017-07-13,36.904476
2017-07-14,32.34375
2017-07-17,33.4375
2017-07-18,38.4375
2017-07-19,35.625
2017-07-20,38.125
2017-07-21,32.666866
2017-07-24,44.14996
2017-07-25,46.875
2017-07-27,27.5
2017-07-28,31.25
2017-07-31,31.875
2017-08-01,30.46875
2017-08-02,27.96875
2017-08-03,26.40625
2017-08-04,27.1875
2017-08-07,29.21875
2017-08-08,29.21875
2017-08-09,30.9375
2017-08-10,31.875
2017-08-11,36.875
2017-08-14,35.0
2017-08-16,34.375
2017-08-17,33.340584
2017-08-18,30.625
2017-08-21,31.25
2017-08-22,29.6875
2017-08-23,24.6875
2017-08-24,21.5625
2017-08-28,32.8125
2017-08-29,41.25
2017-08-30,35.625
2017-08-31,28.4375
2017-09-01,29.6875
2017-09-04,33.59375
2017-09-05,31.71875
2017-09-06,31.09375
2017-09-07,33.4375
2017-09-08,31.875
2017-09-11,31.25
2017-09-12,29.84375
2017-09-13,32.822403
2017-09-14,38.59375
2017-09-15,39.375
2017-09-18,41.25
2017-09-19,40.3125
2017-09-20,38.4375
2017-09-21,38.4375
2017-09-22,35.0
2017-09-25,41.875
2017-09-26,43.125
2017-09-27,53.75
2017-09-28,35.12421
2017-09-29,32.96875
2017-10-03,32.65625
2017-10-04,30.625
2017-10-05,30.78125
2017-10-06,28.125
2017-10-09,35.9375
2017-10-10,36.25
2017-10-11,36.71875
2017-10-12,35.3125
2017-10-13,37.1875
2017-10-16,34.6875
2017-10-17,32.65625
2017-10-18,30.9375
2017-10-23,40.0
2017-10-24,40.625
2017-10-25,46.875
2017-10-26,41.796875
2017-10-27,42.65625
2017-10-30,43.90625
2017-10-31,38.59375
2017-11-01,40.0
2017-11-02,40.428883
2017-11-03,36.858814
2017-11-06,35.15625
2017-11-07,36.875
2017-11-08,32.5
2017-11-09,35.625
2017-11-10,35.46875
2017-11-13,38.75
2017-11-14,38.28125
2017-11-15,37.1875
2017-11-16,34.289547
2017-11-17,34.540928
2017-11-20,39.375
2017-11-21,33.75
2017-11-22,32.1875
2017-11-23,32.5
2017-11-24,31.875
2017-11-27,47.5
2017-11-28,45.0
2017-11-29,43.75
2017-11-30,32.65625
2017-12-01,31.09375
2017-12-04,32.65625
2017-12-05,32.96875
2017-12-06,35.15625
2017-12-07,32.34375
2017-12-08,30.78125
2017-12-11,32.5
