date,iv_atm
2020-12-18,43.828125
2020-12-21,56.445312
2020-12-22,51.328125
2020-12-23,47.578125
2020-12-24,50.859375
2020-12-28,57.890625
2020-12-29,55.3125
2020-12-30,46.71875
2020-12-31,51.835938
2021-01-01,50.390625
2021-01-04,49.648438
2021-01-05,52.539062
2021-01-06,55.390625
2021-01-07,53.984375
2021-01-08,54.882812
2021-01-11,58.90625
2021-01-12,60.15625
2021-01-13,61.523438
2021-01-14,62.695312
2021-01-15,65.97656
2021-01-18,61.09375
2021-01-19,62.421875
2021-01-20,55.507812
2021-01-21,48.203125
2021-01-22,43.203125
2021-01-25,48.4375
2021-01-27,68.75
2021-01-28,61.289062
2021-01-29,1.25
2021-02-01,56.210938
2021-02-02,56.132812
2021-02-03,56.484375
2021-02-04,0.3125
2021-02-05,55.820312
2021-02-08,57.734375
2021-02-09,0.15625
2021-02-10,53.867188
2021-02-11,49.6875
2021-02-12,43.984375
2021-02-15,58.59375
2021-02-16,64.453125
2021-02-17,58.828125
2021-02-18,56.40625
2021-02-19,41.5625
2021-02-22,47.288765
2021-02-23,47.96875
2021-02-24,92.98211
2021-02-25,55.273438
2021-02-26,55.664062
2021-03-01,0.625
2021-03-02,52.851562
2021-03-03,54.101562
2021-03-04,49.414062
2021-03-05,53.398438
2021-03-08,49.023438
2021-03-09,50.3125
2021-03-10,54.101562
2021-03-12,48.515625
2021-03-15,33.90625
2021-03-16,47.539062
2021-03-17,44.453125
2021-03-18,46.171875
2021-03-19,29.296875
2021-03-22,43.4375
2021-03-23,32.8125
2021-03-24,34.0625
2021-03-25,0.15625
2021-03-26,41.484375
2021-03-30,50.703125
2021-03-31,41.601562
2021-04-01,0.01953125
2021-04-05,0.625
2021-04-06,0.625
2021-04-07,0.625
2021-04-08,47.382812
2021-04-09,0.625
2021-04-12,56.40625
2021-04-13,59.84375
2021-04-15,54.414062
2021-04-16,1.25
2021-04-19,100.859375
2021-04-20,53.75
2021-04-22,96.796875
2021-04-23,47.5
2021-04-26,44.296875
2021-04-27,110.37462
2021-04-28,20.625
2021-04-29,69.41025
2021-04-30,44.296875
2021-05-03,46.953125
