date,iv_atm
2021-08-27,41.542614
2021-08-30,40.947075
2021-08-31,42.684063
2021-09-01,42.18719
2021-09-02,46.998207
2021-09-03,42.181705
2021-09-06,46.145954
2021-09-07,46.18448
2021-09-08,41.64717
2021-09-09,41.131084
2021-09-13,56.118755
2021-09-14,42.955994
2021-09-15,59.19176
2021-09-16,55.229366
2021-09-17,53.014717
2021-09-20,43.064434
2021-09-21,40.61518
2021-09-22,40.14886
2021-09-23,43.24058
2021-09-24,49.32509
2021-09-27,41.69264
2021-09-28,40.13197
2021-09-29,43.511795
2021-09-30,42.190716
2021-10-01,39.87982
2021-10-04,42.795822
2021-10-05,40.505863
2021-10-06,43.584644
2021-10-07,43.485752
2021-10-08,42.96636
2021-10-11,39.33724
2021-10-12,42.107258
2021-10-13,43.85474
2021-10-14,43.941162
2021-10-18,43.164024
2021-10-19,41.026432
2021-10-20,75.6027
2021-10-21,49.12928
2021-10-22,45.624527
2021-10-25,42.621784
2021-10-26,35.052956
2021-10-27,32.306442
2021-10-28,53.16769
2021-10-29,33.152733
2021-11-01,34.592056
2021-11-02,55.04419
2021-11-03,31.169657
2021-11-04,30.234724
2021-11-08,62.70766
2021-11-09,27.501436
2021-11-10,27.76669
2021-11-11,28.637554
2021-11-12,26.360174
2021-11-15,57.07684
2021-11-16,57.811333
2021-11-17,59.87181
2021-11-18,60.73082
2021-11-22,34.975063
2021-11-23,46.63558
2021-11-24,46.31192
2021-11-25,32.68407
2021-11-26,40.76728
2021-11-29,30.895515
2021-11-30,43.51853
2021-12-01,32.98287
2021-12-02,37.883415
2021-12-03,40.806797
2021-12-06,41.821404
2021-12-07,43.08769
2021-12-08,40.499195
2021-12-09,38.10469
2021-12-10,36.925922
2021-12-13,38.43199
2021-12-14,39.972206
2021-12-15,34.74614
2021-12-16,32.542988
2021-12-17,32.905636
2021-12-20,35.014122
2021-12-21,37.054928
2021-12-22,36.618526
2021-12-23,36.040833
2021-12-24,38.015873
2021-12-27,38.208492
2021-12-28,44.978477
2021-12-29,34.504063
2021-12-30,40.913403
2021-12-31,38.8108
2022-01-03,39.15443
2022-01-04,38.597702
2022-01-05,36.704453
2022-01-06,37.84708
2022-01-07,41.91454
2022-01-10,36.95109
2022-01-11,39.86903
2022-01-12,45.60878
2022-01-13,37.90617
2022-01-14,37.76613
2022-01-17,36.31963
2022-01-18,43.977566
2022-01-19,39.266464
2022-01-20,46.88736
2022-01-21,30.835728
2022-01-24,36.38938
2022-01-25,37.86781
2022-01-27,38.8848
2022-01-28,37.348274
2022-01-31,36.3206
2022-02-01,38.715122
2022-02-02,37.312187
2022-02-03,38.21646
2022-02-04,37.288494
2022-02-07,37.404613
2022-02-08,36.358063
2022-02-09,37.600048
2022-02-10,40.526833
2022-02-11,37.394524
2022-02-14,38.03897
2022-02-15,38.634357
2022-02-16,36.81038
2022-02-17,38.412136
2022-02-18,32.855526
2022-02-21,34.706394
2022-02-22,36.568
2022-02-23,34.497135
2022-02-24,44.666565
2022-02-25,36.22894
2022-02-28,41.91498
2022-03-02,35.442562
2022-03-03,39.838024
2022-03-04,38.349052
2022-03-07,34.47677
2022-03-08,31.521452
2022-03-09,37.229927
2022-03-10,33.802185
2022-03-11,37.69838
2022-03-14,40.478573
2022-03-15,47.424553
2022-03-16,45.4767
2022-03-17,36.908577
2022-03-21,34.80488
2022-03-22,40.440495
2022-03-23,39.74788
2022-03-24,39.609634
2022-03-25,33.985893
2022-03-28,47.153294
2022-03-29,49.602493
2022-03-30,21.76655
2022-03-31,43.678394
2022-04-01,35.56024
2022-04-04,38.698975
2022-04-05,37.547302
2022-04-06,36.365993
2022-04-07,37.32256
2022-04-08,38.251846
2022-04-11,42.049606
2022-04-12,36.54299
2022-04-13,37.50157
2022-04-18,35.96037
2022-04-19,35.617634
2022-04-20,35.20533
2022-04-21,38.914883
2022-04-22,25.353342
2022-04-25,37.400402
2022-04-26,15.29282
2022-04-27,36.127235
2022-04-28,34.883926
2022-04-29,41.947712
2022-05-02,33.535057
2022-05-04,46.395435
2022-05-05,31.774847
2022-05-06,42.44142
2022-05-09,44.145004
2022-05-10,33.466347
2022-05-11,37.781254
2022-05-12,31.25046
2022-05-13,44.450657
2022-05-16,33.637012
2022-05-17,36.642467
2022-05-18,32.80612
2022-05-19,32.31917
2022-05-20,37.148304
2022-05-23,32.42564
2022-05-24,83.20748
2022-05-25,37.10358
2022-05-26,37.446377
2022-05-27,36.263187
2022-05-30,40.97307
2022-05-31,40.252487
2022-06-01,39.27679
2022-06-02,41.02228
2022-06-03,40.116302
2022-06-06,38.953075
2022-06-07,34.68756
2022-06-08,35.07145
2022-06-09,39.10091
2022-06-10,36.58535
2022-06-13,38.934147
2022-06-14,36.124844
2022-06-15,36.034195
2022-06-16,36.560364
2022-06-17,34.472427
2022-06-20,39.47571
2022-06-21,33.470295
2022-06-22,33.2181
2022-06-23,32.41882
2022-06-24,31.997206
2022-06-27,32.488758
2022-06-28,24.103922
2022-06-29,42.127632
2022-06-30,35.513077
2022-07-01,34.274338
2022-07-04,36.561646
2022-07-05,36.958088
2022-07-06,30.375105
2022-07-07,32.19858
2022-07-08,35.556377
2022-07-11,31.95748
2022-07-12,42.983925
2022-07-13,30.846533
2022-07-14,30.179178
2022-07-15,27.94904
2022-07-18,31.17846
2022-07-19,37.320076
2022-07-20,41.767056
2022-07-21,30.054783
2022-07-22,31.74272
2022-07-25,32.52394
2022-07-26,35.07267
2022-07-27,32.03864
2022-07-28,30.921421
2022-07-29,29.939205
2022-08-01,35.07168
2022-08-02,34.20464
2022-08-03,35.325275
2022-08-04,40.469395
2022-08-05,33.290417
2022-08-08,33.988354
2022-08-10,27.99059
2022-08-11,35.652573
2022-08-12,39.581085
2022-08-16,43.669086
2022-08-17,43.18109
2022-08-18,41.38416
2022-08-19,26.263231
2022-08-22,56.378834
2022-08-23,35.29848
2022-08-24,44.95324
2022-08-25,41.10253
2022-08-26,31.854326
2022-08-29,31.57849
2022-08-30,30.645514
2022-09-01,31.110586
2022-09-02,30.003685
2022-09-05,37.04066
2022-09-06,32.9435
2022-09-07,34.256363
2022-09-08,34.27485
2022-09-09,35.215668
2022-09-12,33.57104
2022-09-13,38.380043
2022-09-14,37.376324
2022-09-15,35.04103
2022-09-16,36.120377
2022-09-19,45.029575
2022-09-20,39.45417
2022-09-21,34.362026
2022-09-22,43.113358
2022-09-23,34.078125
2022-09-26,36.011623
2022-09-27,40.56908
2022-09-28,37.896626
2022-09-29,34.06963
2022-09-30,36.01951
2022-10-03,41.29753
2022-10-04,38.5947
2022-10-06,34.405
2022-10-07,33.662674
2022-10-10,33.866978
2022-10-11,37.076233
2022-10-12,34.600624
2022-10-13,36.701836
2022-10-14,34.42819
2022-10-17,36.07895
2022-10-18,28.810238
2022-10-19,32.463627
2022-10-20,32.42592
2022-10-21,32.936287
2022-10-24,36.277637
2022-10-25,30.126444
2022-10-27,38.73014
2022-10-28,38.172077
2022-10-31,35.06527
2022-11-01,33.768932
2022-11-02,34.364937
2022-11-03,34.25965
2022-11-04,34.957535
2022-11-07,35.09127
2022-11-09,31.834242
2022-11-10,41.73773
2022-11-11,39.796238
2022-11-14,35.922462
2022-11-15,39.29333
2022-11-16,39.299713
2022-11-17,35.453438
2022-11-18,30.849562
2022-11-21,32.57907
2022-11-22,24.027546
2022-11-23,28.528788
2022-11-24,24.170338
2022-11-25,24.13432
2022-11-28,32.978374
2022-11-29,27.724503
2022-11-30,27.47691
2022-12-01,27.71541
2022-12-02,27.70907
2022-12-05,27.591654
2022-12-06,32.835655
2022-12-07,27.341358
2022-12-08,26.53844
2022-12-09,34.004845
2022-12-12,29.690834
2022-12-13,31.469696
2022-12-14,31.465824
2022-12-15,28.063927
2022-12-16,27.412493
2022-12-19,27.872746
2022-12-20,32.849434
2022-12-21,38.238388
2022-12-22,33.898224
2022-12-23,35.83607
2022-12-26,35.215393
2022-12-27,36.84031
2022-12-28,41.325024
2022-12-29,30.899998
2022-12-30,29.605467
2023-01-02,32.383904
2023-01-03,27.260979
2023-01-04,28.517193
2023-01-05,28.350956
2023-01-06,30.236784
2023-01-09,27.831333
2023-01-10,31.616669
2023-01-11,26.986147
2023-01-12,34.443356
2023-01-13,30.978495
2023-01-16,30.970448
2023-01-17,26.317852
2023-01-18,26.094769
2023-01-19,29.966766
2023-01-20,33.57993
2023-01-23,34.734314
2023-01-24,41.175762
2023-01-25,24.982891
2023-01-27,29.398352
2023-01-30,26.496246
2023-01-31,35.406986
2023-02-01,28.64686
2023-02-02,33.75132
2023-02-03,33.40188
2023-02-06,31.495577
2023-02-07,29.054167
2023-02-08,35.84427
2023-02-09,26.92323
2023-02-10,25.95442
2023-02-13,39.442932
2023-02-14,35.126945
2023-02-15,32.81453
2023-02-16,29.615223
2023-02-17,33.148983
2023-02-20,26.0643
2023-02-21,34.468258
2023-02-22,37.029705
2023-02-23,30.840326
2023-02-24,32.799698
2023-02-27,29.756691
2023-02-28,29.718048
2023-03-01,29.47622
2023-03-02,24.366356
2023-03-03,26.372593
2023-03-06,27.865253
2023-03-08,29.24241
2023-03-09,27.404058
