date,iv_atm
2017-07-04,23.886719
2017-07-05,22.96875
2017-07-06,22.363281
2017-07-07,21.484375
2017-07-10,22.890625
2017-07-11,23.242188
2017-07-12,23.320312
2017-07-13,24.277344
2017-07-14,24.140625
2017-07-17,33.007812
2017-07-18,44.921875
2017-07-19,35.46875
2017-07-20,32.8125
2017-07-21,27.890625
2017-07-24,39.53125
2017-07-25,40.245472
2017-07-27,27.34375
2017-07-28,24.414062
2017-07-31,23.925781
2017-08-01,23.984375
2017-08-02,22.382812
2017-08-03,21.5625
2017-08-04,22.539062
2017-08-07,22.96875
2017-08-08,22.734375
2017-08-09,23.476562
2017-08-10,24.160156
2017-08-11,25.78125
2017-08-14,24.103918
2017-08-16,22.226562
2017-08-17,21.953125
2017-08-18,22.695312
2017-08-21,23.4375
2017-08-22,22.34375
2017-08-23,20.364073
2017-08-24,17.5
2017-08-28,22.8125
2017-08-29,26.875
2017-08-30,24.0625
2017-08-31,21.445312
2017-09-01,20.234375
2017-09-04,21.328125
2017-09-05,20.692953
2017-09-06,22.1875
2017-09-07,23.125
2017-09-08,22.03125
2017-09-11,19.765625
2017-09-12,19.765625
2017-09-13,20.820312
2017-09-14,20.078125
2017-09-15,20.650877
2017-09-18,22.890625
2017-09-19,22.773438
2017-09-20,21.953125
2017-09-21,21.484375
2017-09-22,23.75
2017-09-25,31.640625
2017-09-26,37.8125
2017-09-27,32.1875
2017-09-28,24.414062
2017-09-29,23.398438
2017-10-03,21.945406
2017-10-04,21.299717
2017-10-05,20.464369
2017-10-06,24.140625
2017-10-09,20.859375
2017-10-10,20.859375
2017-10-11,20.368374
2017-10-12,19.765625
2017-10-13,19.492188
2017-10-16,18.476562
2017-10-17,18.259672
2017-10-18,16.835938
2017-10-23,23.984375
2017-10-24,27.65625
2017-10-25,32.65625
2017-10-26,25.204123
2017-10-27,24.179688
2017-10-30,20.742188
2017-10-31,21.328125
2017-11-01,20.742188
2017-11-02,20.585938
2017-11-03,20.483744
2017-11-06,24.726562
2017-11-07,26.09375
2017-11-08,25.117188
2017-11-09,26.835938
2017-11-10,24.492188
2017-11-13,23.046875
2017-11-14,22.109375
2017-11-15,22.278425
2017-11-16,20.78125
2017-11-17,20.625
2017-11-20,22.421875
2017-11-21,21.796875
2017-11-22,21.992188
2017-11-23,22.03125
2017-11-24,22.96875
2017-11-27,27.34375
2017-11-28,26.40625
2017-11-29,24.0625
2017-11-30,22.34375
2017-12-01,21.601562
2017-12-04,22.265625
2017-12-05,21.09375
2017-12-06,21.132812
