date,iv_atm
2017-07-04,36.679688
2017-07-05,34.882812
2017-07-06,33.203125
2017-07-07,31.640625
2017-07-10,32.265625
2017-07-11,31.367188
2017-07-12,30.234375
2017-07-13,31.71875
2017-07-14,30.068398
2017-07-17,33.125
2017-07-18,31.484375
2017-07-19,31.941643
2017-07-20,36.84367
2017-07-21,32.8125
2017-07-24,44.53125
2017-07-25,36.25
2017-07-27,37.607937
2017-07-28,37.56138
2017-07-31,40.15625
2017-08-01,36.16994
2017-08-02,32.226562
2017-08-03,32.03125
2017-08-04,29.921875
2017-08-07,28.476562
2017-08-08,30.273438
2017-08-09,31.132812
2017-08-10,34.53125
2017-08-11,38.398438
2017-08-14,34.296875
2017-08-16,32.382812
2017-08-17,32.8125
2017-08-18,30.783628
2017-08-21,34.296875
2017-08-22,32.695312
2017-08-23,28.75
2017-08-24,27.421875
2017-08-28,35.625
2017-08-29,45.0
2017-08-30,51.743347
2017-08-31,35.117188
2017-09-01,32.45173
2017-09-04,36.87436
2017-09-05,33.710938
2017-09-06,35.117188
2017-09-07,33.828125
2017-09-08,34.101562
2017-09-11,33.28125
2017-09-12,33.945312
2017-09-13,35.859375
2017-09-14,32.8125
2017-09-15,34.21875
2017-09-18,37.1875
2017-09-19,36.875
2017-09-20,32.890625
2017-09-21,32.77825
2017-09-22,37.03125
2017-09-25,43.828125
2017-09-26,37.1875
2017-09-27,56.5625
2017-09-28,32.74152
2017-09-29,32.851562
2017-10-03,32.539062
2017-10-04,31.71875
2017-10-05,30.429688
2017-10-06,29.84375
2017-10-09,30.273438
2017-10-10,30.117188
2017-10-11,33.203125
2017-10-12,32.695312
2017-10-13,33.90625
2017-10-16,34.296875
2017-10-17,35.15625
2017-10-18,35.234375
2017-10-23,38.828125
2017-10-24,43.671875
2017-10-25,51.5625
2017-10-26,35.273438
2017-10-27,37.34375
2017-10-30,39.921875
2017-10-31,35.78125
2017-11-01,33.007812
2017-11-02,32.695312
2017-11-03,32.304688
2017-11-06,33.632812
2017-11-07,35.976562
2017-11-08,35.86247
2017-11-09,35.46875
2017-11-10,32.773438
2017-11-13,36.171875
2017-11-14,32.929688
2017-11-15,37.34375
2017-11-16,31.640625
2017-11-17,30.585938
2017-11-20,35.117188
2017-11-21,34.492188
2017-11-22,33.09199
2017-11-23,34.140625
2017-11-24,35.703125
2017-11-27,35.9375
2017-11-28,41.53677
2017-11-29,41.71875
2017-11-30,34.19168
2017-12-01,33.90625
2017-12-04,32.8125
2017-12-05,33.77819
2017-12-06,32.851562
2017-12-07,28.320312
2017-12-08,30.039062
2017-12-11,33.125
2017-12-12,32.539062
2017-12-13,39.0625
2017-12-14,39.921875
2017-12-15,33.671875
2017-12-18,29.704687
2017-12-19,28.085938
2017-12-20,25.703125
2017-12-21,23.59375
2017-12-22,22.109375
2017-12-26,37.890625
2017-12-27,29.393845
2017-12-28,31.294455
2017-12-29,31.40625
2018-01-01,31.015625
2018-01-02,33.072643
2018-01-03,33.869747
2018-01-04,35.78125
2018-01-05,35.703125
2018-01-08,40.703125
2018-01-09,40.14209
2018-01-10,41.373173
2018-01-11,37.109375
2018-01-12,34.296875
2018-01-15,34.0625
