date,iv_atm
2017-07-04,20.976562
2017-07-05,20.22461
2017-07-06,20.472996
2017-07-07,20.722656
2017-07-10,20.703125
2017-07-11,21.077961
2017-07-12,21.142578
2017-07-13,21.015625
2017-07-14,23.027344
2017-07-17,27.832031
2017-07-18,28.027344
2017-07-19,30.820312
2017-07-20,22.675781
2017-07-21,20.097656
2017-07-24,26.269337
2017-07-25,26.679688
2017-07-27,18.34961
2017-07-28,19.199219
2017-07-31,20.966797
2017-08-01,20.322266
2017-08-02,18.99414
2017-08-03,17.230755
2017-08-04,15.390625
2017-08-07,16.054688
2017-08-08,16.992188
2017-08-09,17.851562
2017-08-10,17.56836
2017-08-11,19.042969
2017-08-14,19.013672
2017-08-16,18.486328
2017-08-17,17.558594
2017-08-18,17.705078
2017-08-21,19.0625
2017-08-22,17.167969
2017-08-23,16.601562
2017-08-24,15.78125
2017-08-28,20.703125
2017-08-29,21.445312
2017-08-30,19.765625
2017-08-31,17.851562
2017-09-01,17.449158
2017-09-04,17.806583
2017-09-05,17.43164
2017-09-06,19.033203
2017-09-07,17.734375
2017-09-08,17.539062
2017-09-11,19.355469
2017-09-12,17.451172
2017-09-13,17.509766
2017-09-14,18.19336
2017-09-15,17.861328
2017-09-18,16.621094
2017-09-19,18.398438
2017-09-20,19.453125
2017-09-21,18.535156
2017-09-22,18.671875
2017-09-25,24.335938
2017-09-26,23.325953
2017-09-27,24.648438
2017-09-28,21.396484
2017-09-29,20.447145
2017-10-03,20.98842
2017-10-04,21.31836
2017-10-05,20.605469
2017-10-06,20.335312
2017-10-09,21.317945
2017-10-10,22.363281
2017-10-11,21.55797
2017-10-12,21.113281
2017-10-13,22.58789
2017-10-16,27.080078
2017-10-17,26.210938
2017-10-18,28.066406
2017-10-23,39.101562
2017-10-24,50.820312
2017-10-25,62.109375
2017-10-26,27.314453
2017-10-27,22.8125
2017-10-30,22.919922
2017-10-31,22.441406
2017-11-01,21.835938
2017-11-02,21.484375
2017-11-03,21.00586
2017-11-06,23.242188
2017-11-07,24.199219
2017-11-08,22.890625
2017-11-09,22.646484
2017-11-10,21.65039
2017-11-13,22.79027
2017-11-14,20.185547
2017-11-15,21.357422
2017-11-16,21.462345
2017-11-17,21.40625
2017-11-20,21.054688
2017-11-21,20.009766
2017-11-22,21.152344
2017-11-23,20.175781
2017-11-24,19.589167
2017-11-27,27.773438
2017-11-28,27.773438
2017-11-29,25.36522
2017-11-30,19.84078
2017-12-01,20.24414
2017-12-04,20.22461
2017-12-05,20.22461
2017-12-06,19.480951
2017-12-07,19.345703
2017-12-08,18.476562
2017-12-11,19.199219
2017-12-12,20.117188
2017-12-13,21.699219
2017-12-14,22.25586
2017-12-15,20.351562
2017-12-18,18.632812
2017-12-19,17.871094
2017-12-20,18.17145
2017-12-21,18.496094
2017-12-22,16.40625
2017-12-26,19.95319
2017-12-27,23.199444
2017-12-28,18.720703
2017-12-29,18.503078
2018-01-01,18.466797
2018-01-02,19.263407
2018-01-03,19.257812
2018-01-04,19.179688
2018-01-05,20.005222
2018-01-08,22.001953
2018-01-09,23.203125
2018-01-10,22.27539
2018-01-11,23.320312
2018-01-12,22.773438
2018-01-15,26.367188
2018-01-16,28.271484
2018-01-17,26.699219
2018-01-18,26.40625
2018-01-19,24.042969
2018-01-22,26.835938
2018-01-23,28.613281
2018-01-24,33.125
2018-01-25,22.050781
2018-01-29,24.375
2018-01-30,22.226562
2018-01-31,24.394531
2018-02-01,21.738281
2018-02-02,20.9715
2018-02-05,22.147215
2018-02-06,27.265625
2018-02-07,25.837524
2018-02-08,22.939453
2018-02-09,25.611078
2018-02-12,24.091797
2018-02-14,22.050781
2018-02-15,22.421875
2018-02-16,21.171875
2018-02-19,30.546875
2018-02-20,30.800781
2018-02-21,31.098005
2018-02-22,18.896484
2018-02-23,17.998047
2018-02-26,19.033203
2018-02-27,17.998047
2018-02-28,17.750324
2018-03-01,18.144531
2018-03-05,20.166016
2018-03-06,19.960276
2018-03-07,20.375223
2018-03-08,20.859375
2018-03-09,19.384766
2018-03-12,20.86914
2018-03-13,21.875
2018-03-14,19.93164
2018-03-15,20.273438
2018-03-16,19.746094
2018-03-19,21.660156
2018-03-20,21.78609
2018-03-21,19.863281
2018-03-22,17.050781
2018-03-23,18.164062
2018-03-26,25.820312
2018-03-27,23.59375
2018-03-28,20.253906
2018-04-02,21.953125
2018-04-03,21.689453
2018-04-04,21.5625
2018-04-05,22.021484
2018-04-06,19.529598
2018-04-09,19.160156
2018-04-10,19.882812
2018-04-11,19.404297
2018-04-12,19.59961
2018-04-13,19.609375
2018-04-16,20.478516
2018-04-17,19.726562
2018-04-18,20.019531
2018-04-19,18.789062
2018-04-20,18.417969
2018-04-23,21.171875
2018-04-24,20.683594
2018-04-25,24.375
2018-04-26,20.654297
2018-04-27,23.857422
2018-04-30,21.31836
2018-05-02,21.347656
2018-05-03,20.214844
2018-05-04,19.951172
2018-05-07,19.970703
2018-05-08,20.253906
2018-05-09,20.19043
2018-05-10,20.0
2018-05-11,18.701172
2018-05-14,20.170177
2018-05-15,19.546173
2018-05-16,20.390625
2018-05-17,19.042969
2018-05-18,19.482422
2018-05-21,20.898438
2018-05-22,21.191406
2018-05-23,20.449219
2018-05-24,18.533401
2018-05-25,18.729364
2018-05-28,24.238281
2018-05-29,24.667969
2018-05-30,30.46875
2018-05-31,21.953125
2018-06-01,21.40625
2018-06-04,21.738281
2018-06-05,21.103516
2018-06-06,19.30664
2018-06-07,19.716797
2018-06-08,19.169922
2018-06-11,20.25879
2018-06-12,20.06836
2018-06-13,19.833984
2018-06-14,22.314453
2018-06-15,20.488281
2018-06-18,22.089844
2018-06-19,20.69336
2018-06-20,20.019531
2018-06-21,19.902344
2018-06-22,18.925781
2018-06-25,23.945312
2018-06-26,26.015625
2018-06-27,29.375
2018-06-28,23.256836
2018-06-29,22.751532
2018-07-02,24.326172
2018-07-03,23.87207
2018-07-04,23.378906
2018-07-05,23.027344
2018-07-06,22.988281
2018-07-09,24.61914
2018-07-10,24.59961
2018-07-11,24.49707
2018-07-12,23.81836
2018-07-13,24.882812
2018-07-16,28.310547
2018-07-17,30.605469
2018-07-18,34.033203
2018-07-19,28.510656
2018-07-20,25.19245
2018-07-23,24.941406
2018-07-24,30.722868
2018-07-25,36.57549
2018-07-26,21.16211
2018-07-27,20.039062
2018-07-30,19.32129
2018-07-31,20.356445
2018-08-01,20.927734
2018-08-02,21.347656
2018-08-03,20.673828
2018-08-06,20.976562
2018-08-07,21.118164
2018-08-08,21.542969
2018-08-09,22.519531
2018-08-10,20.742188
2018-08-13,22.539062
2018-08-14,22.158203
2018-08-16,24.941406
2018-08-17,20.82422
2018-08-20,22.089844
2018-08-21,20.107422
2018-08-23,19.043385
2018-08-24,17.822266
2018-08-27,23.242188
2018-08-28,24.960938
2018-08-29,27.65625
2018-08-30,20.668945
2018-08-31,20.615234
2018-09-03,21.201172
2018-09-04,21.308594
2018-09-05,21.323242
2018-09-06,20.644531
2018-09-07,20.507484
2018-09-10,22.58789
2018-09-11,22.293913
2018-09-12,20.595703
2018-09-14,19.482422
2018-09-17,22.773438
2018-09-18,20.15625
2018-09-19,18.492123
2018-09-21,33.73047
2018-09-24,38.515625
2018-09-25,38.61328
2018-09-26,44.023438
2018-09-27,27.109375
2018-09-28,28.747173
2018-10-01,37.441406
2018-10-03,38.437744
2018-10-04,37.812523
2018-10-05,36.208042
2018-10-08,39.32617
2018-10-09,36.884766
2018-10-10,35.38086
2018-10-11,36.914062
2018-10-12,34.19922
2018-10-15,36.191406
2018-10-16,33.115234
2018-10-17,30.849424
2018-10-19,34.257812
2018-10-22,49.84375
2018-10-23,55.507812
2018-10-24,42.695312
2018-10-25,25.351562
2018-10-26,26.464844
2018-10-29,27.470703
2018-10-30,28.855984
2018-10-31,27.861328
2018-11-01,29.423828
2018-11-02,28.125
2018-11-05,28.603516
2018-11-06,27.90039
2018-11-09,26.259766
2018-11-12,26.96289
2018-11-13,25.917969
2018-11-14,32.60742
2018-11-15,28.007812
2018-11-16,26.796875
2018-11-19,28.36914
2018-11-20,26.240234
2018-11-21,24.468767
2018-11-22,24.072266
2018-11-26,27.5
2018-11-27,28.867188
2018-11-28,38.007812
2018-11-29,26.044922
2018-11-30,26.142578
2018-12-03,27.792969
2018-12-04,28.710938
2018-12-05,28.769802
2018-12-06,31.513672
2018-12-07,43.26172
2018-12-10,49.384766
2018-12-11,40.71289
2018-12-12,40.36133
2018-12-13,38.864716
2018-12-14,37.734375
2018-12-17,40.507812
2018-12-18,35.84961
2018-12-19,35.078125
2018-12-20,31.679688
2018-12-21,31.738281
2018-12-24,30.820312
2018-12-26,37.539062
2018-12-27,32.182617
2018-12-28,32.90039
2018-12-31,35.40039
2019-01-01,32.226562
2019-01-02,32.055664
2019-01-03,31.044922
2019-01-04,29.984253
2019-01-07,29.845482
2019-01-08,30.106102
2019-01-09,29.277344
2019-01-10,30.22461
2019-01-11,30.195312
2019-01-14,31.16211
2019-01-15,30.117188
2019-01-16,31.845703
2019-01-17,27.763672
2019-01-18,26.796875
2019-01-21,30.820312
2019-01-22,33.17383
2019-01-23,32.1875
2019-01-24,29.228516
2019-01-25,31.569464
2019-01-28,36.308594
2019-01-29,37.851562
2019-01-30,39.882812
2019-01-31,23.417969
2019-02-01,21.953125
2019-02-04,22.41211
2019-02-05,22.797852
2019-02-06,22.636719
2019-02-07,21.445312
2019-02-08,22.861328
2019-02-11,24.541016
2019-02-12,23.310547
2019-02-13,23.085938
2019-02-14,21.113281
2019-02-15,22.96875
2019-02-18,25.566406
2019-02-19,25.38086
2019-02-20,21.63086
2019-02-21,21.435547
2019-02-22,27.937544
2019-02-25,27.832031
2019-02-26,30.351562
2019-02-27,32.460938
2019-02-28,25.478516
2019-03-01,23.21289
2019-03-05,22.314453
2019-03-06,21.835938
2019-03-07,22.319336
2019-03-08,22.128906
2019-03-11,23.828125
2019-03-12,23.75
2019-03-13,21.865234
2019-03-14,22.001953
2019-03-15,26.660156
2019-03-18,28.701172
2019-03-19,27.578125
2019-03-20,25.683594
2019-03-22,21.894531
2019-03-25,22.871094
2019-03-26,25.273438
2019-03-27,31.445312
2019-03-28,27.506193
2019-03-29,26.660156
2019-04-01,31.12793
2019-04-02,28.22759
2019-04-03,28.422852
2019-04-04,27.773438
2019-04-05,26.572266
2019-04-08,28.173828
2019-04-09,26.738281
2019-04-10,27.558594
2019-04-11,25.800781
2019-04-12,24.902344
2019-04-15,26.152344
2019-04-16,22.58789
2019-04-18,21.669922
2019-04-22,28.164062
2019-04-23,25.0
2019-04-24,29.185442
2019-04-25,27.070312
2019-04-26,26.416016
2019-04-30,28.66211
2019-05-02,28.334793
2019-05-03,29.936523
2019-05-06,33.83789
2019-05-07,34.8291
2019-05-08,33.979492
2019-05-09,33.41797
2019-05-10,34.16992
2019-05-13,36.708984
2019-05-14,37.5589
2019-05-15,39.072266
2019-05-16,38.21289
2019-05-17,36.529526
2019-05-20,38.583984
2019-05-21,38.808594
2019-05-22,43.795868
2019-05-23,26.074219
2019-05-24,22.734375
2019-05-27,28.183594
2019-05-28,26.972656
2019-05-29,27.246094
2019-05-30,22.58095
2019-05-31,22.64478
2019-06-03,21.870117
2019-06-04,20.71289
2019-06-06,21.137695
2019-06-07,21.235352
2019-06-10,21.875
2019-06-11,21.298828
2019-06-12,20.615234
2019-06-13,19.189453
2019-06-14,19.589844
2019-06-17,20.681318
2019-06-18,20.878906
2019-06-19,21.728313
2019-06-20,20.957031
2019-06-21,19.511719
2019-06-24,26.40625
2019-06-25,24.414062
2019-06-26,25.181885
2019-06-27,20.361328
2019-06-28,19.838867
2019-07-01,20.385742
2019-07-02,20.981445
2019-07-03,19.79004
2019-07-04,20.126953
2019-07-05,18.90625
2019-07-08,22.851562
2019-07-09,23.305664
2019-07-10,23.310547
2019-07-11,22.373047
2019-07-12,21.71875
2019-07-15,22.998047
2019-07-16,23.68164
2019-07-17,27.714844
2019-07-18,28.251953
2019-07-19,28.066406
2019-07-22,56.757812
2019-07-23,30.703125
2019-07-24,30.039062
2019-07-25,22.01478
2019-07-26,21.181808
2019-07-29,22.226562
2019-07-30,22.402344
2019-07-31,23.168945
2019-08-01,23.155704
2019-08-02,23.81836
2019-08-05,28.076172
2019-08-06,25.526478
2019-08-07,25.265202
2019-08-08,23.862305
2019-08-09,21.879883
2019-08-13,25.078125
2019-08-14,24.746094
2019-08-16,24.990234
2019-08-19,25.78125
2019-08-20,25.957031
2019-08-21,25.996094
2019-08-22,27.158203
2019-08-23,30.430964
2019-08-26,33.41797
2019-08-27,33.808594
2019-08-28,29.296875
2019-08-29,26.44043
2019-08-30,29.370117
2019-09-03,29.492188
2019-09-04,27.685547
2019-09-05,27.24121
2019-09-06,24.316406
2019-09-09,22.714844
2019-09-11,20.996094
2019-09-12,20.927734
2019-09-13,19.229122
2019-09-16,22.158203
2019-09-17,23.222656
2019-09-18,22.783203
2019-09-19,22.519531
2019-09-20,26.582031
2019-09-23,55.507812
2019-09-24,37.96875
2019-09-25,38.984375
2019-09-26,27.646484
2019-09-27,26.044922
2019-09-30,27.177734
2019-10-01,27.72461
2019-10-03,28.69629
2019-10-04,29.458008
2019-10-07,30.073242
2019-10-09,28.984375
2019-10-10,28.33496
2019-10-11,29.59961
2019-10-14,30.15625
2019-10-15,30.644531
2019-10-16,27.666016
2019-10-17,27.958984
2019-10-18,29.16504
2019-10-22,29.30664
2019-10-23,27.216797
2019-10-24,25.673828
2019-10-25,23.59375
2019-10-29,34.179688
2019-10-30,26.054688
2019-10-31,27.578125
2019-11-01,24.44336
2019-11-04,26.689453
2019-11-05,25.99121
2019-11-06,24.702148
2019-11-07,24.296875
2019-11-08,24.594727
2019-11-11,26.017483
2019-11-13,25.922852
2019-11-14,24.189453
2019-11-15,23.271484
2019-11-18,23.510742
2019-11-19,22.868284
2019-11-20,25.38086
2019-11-21,24.082031
2019-11-22,21.074219
2019-11-25,24.238281
2019-11-26,28.457031
2019-11-27,19.335938
2019-11-28,23.24153
2019-11-29,21.65039
2019-12-02,21.889648
2019-12-03,23.925781
2019-12-04,23.833008
2019-12-05,21.552734
2019-12-06,23.251953
2019-12-09,23.730469
2019-12-10,23.076172
2019-12-11,23.07129
2019-12-12,23.164062
2019-12-13,23.05664
2019-12-16,25.722656
2019-12-17,24.804688
2019-12-18,23.798828
2019-12-19,21.154018
2019-12-20,21.240234
2019-12-23,19.921875
2019-12-24,16.152344
2019-12-26,20.581055
2019-12-27,19.331055
2019-12-30,21.137695
2019-12-31,21.279297
2020-01-01,23.112919
2020-01-02,22.84668
2020-01-03,23.925781
2020-01-06,25.3125
2020-01-07,25.211794
2020-01-08,26.293945
2020-01-09,25.390625
2020-01-10,22.617188
2020-01-13,23.696419
2020-01-14,22.96875
2020-01-15,23.007812
2020-01-16,22.871094
2020-01-17,24.189453
2020-01-20,29.033203
2020-01-21,22.558594
2020-01-22,21.94336
2020-01-23,18.242188
2020-01-24,18.769531
2020-01-27,20.957031
2020-01-28,22.460938
2020-01-29,16.914062
2020-01-30,22.783203
2020-01-31,26.186523
2020-02-01,21.210938
2020-02-03,22.695312
2020-02-04,22.319336
2020-02-05,21.445312
2020-02-06,22.39746
2020-02-07,21.410889
2020-02-10,22.46582
2020-02-11,20.214844
2020-02-12,21.31836
2020-02-13,20.859375
2020-02-14,20.644531
2020-02-17,22.58789
2020-02-18,24.384766
2020-02-19,22.138672
2020-02-20,19.833984
2020-02-24,26.894531
2020-02-25,22.65625
2020-02-26,21.484375
2020-02-27,22.231445
2020-02-28,27.368164
2020-03-02,29.121094
2020-03-03,26.445312
2020-03-04,26.264648
2020-03-05,27.347574
2020-03-06,32.158203
2020-03-09,41.333008
2020-03-11,40.0
2020-03-12,55.78125
2020-03-13,67.75391
2020-03-16,95.234375
2020-03-17,103.71791
2020-03-18,1.25
2020-03-19,105.625
2020-03-20,87.88086
2020-03-23,142.8125
2020-03-24,128.32031
2020-03-25,77.96875
2020-03-26,81.97754
2020-03-27,78.637695
2020-03-30,147.93457
2020-03-31,75.81055
2020-04-01,75.76172
2020-04-03,78.00781
2020-04-07,65.110085
2020-04-08,65.0293
2020-04-09,68.57422
2020-04-13,69.765625
2020-04-15,77.666016
2020-04-16,76.484375
2020-04-17,66.93359
2020-04-20,72.24609
2020-04-21,76.71875
2020-04-22,69.4043
