date,iv_atm
2017-07-04,24.667969
2017-07-05,23.691406
2017-07-06,23.789062
2017-07-07,25.0
2017-07-10,25.859375
2017-07-11,26.757812
2017-07-12,28.766163
2017-07-13,27.480469
2017-07-14,25.976562
2017-07-17,27.949219
2017-07-18,28.183594
2017-07-19,25.214844
2017-07-20,25.029629
2017-07-21,23.984375
2017-07-24,28.554688
2017-07-25,30.585938
2017-07-27,29.0625
2017-07-28,25.585938
2017-07-31,26.582031
2017-08-01,26.569302
2017-08-02,25.107388
2017-08-03,24.93164
2017-08-04,24.615974
2017-08-07,23.789062
2017-08-08,24.199219
2017-08-09,25.014923
2017-08-10,28.535156
2017-08-11,31.523438
2017-08-14,29.257812
2017-08-16,29.511719
2017-08-17,27.480469
2017-08-18,28.398438
2017-08-21,27.695312
2017-08-22,25.252327
2017-08-23,22.943478
2017-08-24,20.3125
2017-08-28,25.820312
2017-08-29,30.0
2017-08-30,30.15625
2017-08-31,26.198597
2017-09-01,24.776093
2017-09-04,27.999006
2017-09-05,28.046875
2017-09-06,28.144531
2017-09-07,28.417969
2017-09-08,27.001953
2017-09-11,26.679688
2017-09-12,24.433594
2017-09-13,25.195312
2017-09-14,24.6875
2017-09-15,25.371094
2017-09-18,25.371094
2017-09-19,26.5625
2017-09-20,26.191406
2017-09-21,24.609375
2017-09-22,27.5
2017-09-25,34.609375
2017-09-26,32.460938
2017-09-27,37.03125
2017-09-28,28.457031
2017-09-29,25.84961
2017-10-03,26.425781
2017-10-04,25.78125
2017-10-05,26.796875
2017-10-06,25.625
2017-10-09,26.914062
2017-10-10,26.40625
2017-10-11,27.34375
2017-10-12,27.109375
2017-10-13,26.582031
2017-10-16,27.617188
2017-10-17,25.173147
2017-10-18,24.140625
2017-10-23,30.820312
2017-10-24,36.40625
2017-10-25,46.40625
2017-10-26,31.289062
2017-10-27,30.878906
2017-10-30,30.664062
2017-10-31,27.324219
2017-11-01,27.96624
2017-11-02,27.918457
2017-11-03,26.7313
2017-11-06,28.19336
2017-11-07,29.121094
2017-11-08,30.482018
2017-11-09,29.453125
2017-11-10,28.515625
2017-11-13,30.703125
2017-11-14,31.328125
2017-11-15,29.335938
2017-11-16,30.15625
2017-11-17,30.625
2017-11-20,32.460938
2017-11-21,31.113281
2017-11-22,30.625
2017-11-23,28.867188
2017-11-24,29.023438
2017-11-27,33.242188
2017-11-28,35.078125
2017-11-29,35.9375
2017-11-30,28.496094
2017-12-01,27.441406
2017-12-04,28.759766
2017-12-05,26.835938
2017-12-06,28.652344
2017-12-07,28.222656
2017-12-08,26.796875
2017-12-11,28.789062
2017-12-12,29.960938
2017-12-13,33.632812
2017-12-14,33.007812
2017-12-15,29.882812
2017-12-18,27.265625
2017-12-19,26.5625
2017-12-20,24.956123
2017-12-21,24.609375
2017-12-22,22.695312
2017-12-26,28.984375
2017-12-27,31.796875
2017-12-28,25.24414
2017-12-29,25.605469
2018-01-01,27.5
2018-01-02,28.945312
2018-01-03,27.65625
2018-01-04,28.027344
2018-01-05,27.382812
2018-01-08,30.703125
2018-01-09,32.753906
2018-01-10,34.472656
2018-01-11,32.63672
2018-01-12,32.246094
2018-01-15,32.421875
2018-01-16,29.804688
2018-01-17,27.460938
2018-01-18,27.480469
2018-01-19,26.445312
2018-01-22,33.90625
2018-01-23,39.765625
2018-01-24,50.234375
2018-01-25,32.153698
2018-01-29,32.99276
2018-01-30,30.972137
2018-01-31,32.890625
2018-02-01,28.183594
