date,iv_atm
2017-07-04,21.992188
2017-07-05,63.59375
2017-07-06,22.382812
2017-07-07,18.007812
2017-07-10,21.640625
2017-07-11,22.421875
2017-07-12,21.40625
2017-07-13,22.304688
2017-07-14,26.40625
2017-07-17,29.882812
2017-07-18,28.320312
2017-07-19,45.859375
2017-07-20,30.15625
2017-07-21,50.820312
2017-07-24,73.28125
2017-07-25,20.859375
2017-07-27,21.40625
2017-07-28,33.90625
2017-07-31,68.63281
2017-08-01,25.957926
2017-08-02,25.46875
2017-08-03,22.226562
2017-08-04,25.859375
2017-08-07,19.707031
2017-08-08,21.5625
2017-08-09,22.421875
2017-08-10,26.445312
2017-08-11,25.898438
2017-08-14,7.265625
2017-08-16,23.242188
2017-08-17,25.585938
2017-08-18,27.070312
2017-08-21,80.15625
2017-08-22,11.796875
2017-08-23,34.570312
2017-08-24,15.859375
2017-08-28,24.500607
2017-08-29,29.21875
2017-08-30,35.0
2017-08-31,31.171875
2017-09-01,30.664062
2017-09-04,31.640625
2017-09-05,32.5
2017-09-06,21.640625
2017-09-07,20.976562
2017-09-08,57.851562
2017-09-11,22.8125
2017-09-12,26.757812
2017-09-13,28.710938
2017-09-14,28.925781
2017-09-15,22.851562
2017-09-18,31.71875
2017-09-19,30.078125
2017-09-20,27.986336
2017-09-21,29.84375
2017-09-22,22.421875
2017-09-25,30.0
2017-09-26,27.96875
2017-09-27,35.9375
2017-09-28,25.644531
2017-09-29,15.703125
2017-10-03,25.703125
2017-10-04,24.042969
2017-10-05,20.761719
2017-10-06,21.757812
2017-10-09,21.5625
2017-10-10,25.429688
2017-10-11,31.054688
2017-10-12,30.46875
2017-10-13,25.546875
2017-10-16,26.601562
2017-10-17,41.09375
2017-10-18,25.15625
2017-10-23,33.515625
2017-10-24,39.6875
2017-10-25,52.96875
2017-10-26,42.148438
2017-10-27,45.3125
2017-10-30,46.210938
2017-10-31,34.628906
2017-11-01,26.679688
2017-11-02,25.917969
2017-11-03,23.515625
2017-11-06,21.992188
2017-11-07,25.234375
2017-11-08,22.382812
2017-11-09,30.214556
2017-11-10,28.554688
2017-11-13,27.851562
2017-11-14,20.622025
2017-11-15,28.984375
2017-11-16,42.617188
2017-11-17,21.953125
2017-11-20,27.578125
2017-11-21,33.085938
2017-11-22,21.5625
2017-11-23,38.515625
2017-11-24,21.640625
2017-11-27,25.390625
2017-11-28,21.40625
2017-11-29,30.625
2017-11-30,26.503906
2017-12-01,21.972656
2017-12-04,23.515625
2017-12-05,21.621094
2017-12-06,13.6328125
2017-12-07,30.46875
2017-12-08,19.609375
2017-12-11,23.515625
2017-12-12,28.515625
2017-12-13,22.773438
2017-12-14,23.359375
2017-12-15,37.070312
2017-12-18,19.0625
2017-12-19,22.34375
2017-12-20,22.226562
2017-12-21,14.0234375
2017-12-22,14.6875
2017-12-26,23.59375
2017-12-27,17.1875
2017-12-28,21.25
2017-12-29,19.804688
2018-01-01,21.835938
2018-01-02,22.304688
2018-01-03,23.945312
2018-01-04,25.429688
2018-01-05,24.804688
2018-01-08,30.585938
2018-01-09,34.888947
2018-01-10,23.515625
2018-01-11,24.0625
2018-01-12,20.664062
2018-01-15,26.171875
2018-01-16,22.03125
2018-01-17,27.421875
2018-01-18,33.984375
2018-01-19,25.78125
2018-01-22,32.265625
2018-01-23,51.875
2018-01-24,31.247053
2018-01-25,34.726562
2018-01-29,27.184046
2018-01-30,29.89693
2018-01-31,20.836494
2018-02-01,38.242188
2018-02-02,25.15625
2018-02-05,8.0078125
2018-02-06,11.71875
2018-02-07,31.835938
2018-02-08,31.40625
2018-02-09,34.921875
2018-02-12,29.609375
2018-02-14,23.28125
2018-02-15,26.25
2018-02-16,29.76779
2018-02-19,43.323082
2018-02-20,26.25
2018-02-21,29.0625
2018-02-22,63.984375
2018-02-23,20.234375
2018-02-26,23.574219
2018-02-27,20.820312
2018-02-28,20.019531
2018-03-01,20.429688
2018-03-05,20.859375
2018-03-06,25.390625
2018-03-07,26.953125
2018-03-08,82.77344
2018-03-09,20.839844
2018-03-12,23.945312
2018-03-13,26.445312
2018-03-14,24.882812
2018-03-15,21.484375
2018-03-16,23.359375
2018-03-19,24.570312
2018-03-20,30.15625
2018-03-21,83.75
2018-03-22,29.84375
2018-03-23,98.984375
2018-03-26,183.35938
2018-03-27,45.46875
2018-03-28,24.375
2018-04-02,68.22266
2018-04-03,62.265625
2018-04-04,63.515625
2018-04-05,35.64453
2018-04-06,57.402344
2018-04-09,25.585938
2018-04-10,41.328125
2018-04-11,64.6875
2018-04-12,66.05469
2018-04-13,22.54062
2018-04-16,77.03125
2018-04-17,81.09375
2018-04-18,85.11719
2018-04-19,25.703125
2018-04-20,24.21875
2018-04-23,18.125
2018-04-24,15.234375
2018-04-25,30.78125
2018-04-26,26.189524
2018-04-27,26.054688
2018-04-30,86.987785
2018-05-02,25.703125
2018-05-03,24.6875
2018-05-04,23.867188
2018-05-07,22.5
2018-05-08,25.75223
2018-05-09,21.71875
2018-05-10,23.75
2018-05-11,23.007812
2018-05-14,22.734375
2018-05-15,20.429688
2018-05-16,23.007812
