date,iv_atm
2017-07-04,17.920977
2017-07-05,17.583008
2017-07-06,17.003174
2017-07-07,16.674805
2017-07-10,17.753906
2017-07-11,17.631836
2017-07-12,17.443848
2017-07-13,17.642822
2017-07-14,17.214355
2017-07-17,17.839355
2017-07-18,18.410645
2017-07-19,18.435059
2017-07-20,17.700195
2017-07-21,17.341309
2017-07-24,24.74121
2017-07-25,29.521484
2017-07-27,18.14087
2017-07-28,17.329525
2017-07-31,17.711182
2017-08-01,17.263184
2017-08-02,17.092285
2017-08-03,16.613377
2017-08-04,16.65039
2017-08-07,16.824951
2017-08-08,17.305908
2017-08-09,18.261719
2017-08-10,18.688965
2017-08-11,21.57959
2017-08-14,18.944092
2017-08-16,18.251953
2017-08-17,18.85498
2017-08-18,18.111572
2017-08-21,18.520508
2017-08-22,17.998047
2017-08-23,15.393066
2017-08-24,15.058594
2017-08-28,21.416016
2017-08-29,21.67264
2017-08-30,20.161133
2017-08-31,18.742254
2017-09-01,17.297934
2017-09-04,18.300781
2017-09-05,18.02246
2017-09-06,17.984022
2017-09-07,17.557373
2017-09-08,17.619629
2017-09-11,17.845459
2017-09-12,17.702637
2017-09-13,17.493896
2017-09-14,16.870117
2017-09-15,16.918945
2017-09-18,17.02815
2017-09-19,16.899414
2017-09-20,16.223145
2017-09-21,15.886221
2017-09-22,19.916992
2017-09-25,21.157227
2017-09-26,23.613281
2017-09-27,26.59668
2017-09-28,20.336914
2017-09-29,19.77295
2017-10-03,19.545898
2017-10-04,18.718262
2017-10-05,18.272705
2017-10-06,18.03955
2017-10-09,18.424072
2017-10-10,18.272705
2017-10-11,19.785156
2017-10-12,17.421875
2017-10-13,17.576904
2017-10-16,19.709473
2017-10-17,19.14917
2017-10-18,19.389648
2017-10-23,25.083008
2017-10-24,28.92747
2017-10-25,31.110537
2017-10-26,20.48706
2017-10-27,18.792725
2017-10-30,18.95752
2017-10-31,18.995361
2017-11-01,18.093262
2017-11-02,17.625357
2017-11-03,17.43042
2017-11-06,17.729158
2017-11-07,18.139648
2017-11-08,18.284912
2017-11-09,18.173828
2017-11-10,17.50059
2017-11-13,17.65503
2017-11-14,17.296143
2017-11-15,17.81128
2017-11-16,17.392578
2017-11-17,17.220459
2017-11-20,17.319336
2017-11-21,16.887207
2017-11-22,16.411133
2017-11-23,15.996094
2017-11-24,16.0083
2017-11-27,19.0625
2017-11-28,21.933594
2017-11-29,22.9953
2017-11-30,18.987427
2017-12-01,18.42902
2017-12-04,18.482805
2017-12-05,17.632305
2017-12-06,17.797373
2017-12-07,17.95274
2017-12-08,18.788616
2017-12-11,19.665527
2017-12-12,20.239258
2017-12-13,20.64209
2017-12-14,22.34235
2017-12-15,20.88623
2017-12-18,17.697754
2017-12-19,23.909027
2017-12-20,25.021973
2017-12-21,21.97876
2017-12-22,21.68457
2017-12-26,29.863281
2017-12-27,25.844727
2017-12-28,20.108643
2017-12-29,20.9021
2018-01-01,20.769653
2018-01-02,21.229248
2018-01-03,22.489624
2018-01-04,23.007812
2018-01-05,22.36084
2018-01-08,23.395996
2018-01-09,23.69629
2018-01-10,24.243164
2018-01-11,25.892334
2018-01-12,24.639893
2018-01-15,28.168945
2018-01-16,27.858778
2018-01-17,27.97089
2018-01-18,28.061523
2018-01-19,27.862549
2018-01-22,38.276367
2018-01-23,47.558594
2018-01-24,63.706055
2018-01-25,36.71997
2018-01-29,25.17212
2018-01-30,25.317993
2018-01-31,24.993896
2018-02-01,22.128906
2018-02-02,25.33081
2018-02-05,27.753906
2018-02-06,30.19165
2018-02-07,30.010986
2018-02-08,27.906494
2018-02-09,28.083496
2018-02-12,24.465332
2018-02-14,24.876709
2018-02-15,22.850342
2018-02-16,23.465576
2018-02-19,118.61328
2018-02-20,22.475586
2018-02-21,23.720703
2018-02-22,20.212402
2018-02-23,19.144287
2018-02-26,38.059082
2018-02-27,18.961792
2018-02-28,18.861084
2018-03-01,18.579102
2018-03-05,20.056152
2018-03-06,44.40674
2018-03-07,20.639648
2018-03-08,19.980469
2018-03-09,19.637451
2018-03-12,19.59609
2018-03-13,19.230957
2018-03-14,19.257812
2018-03-15,18.800049
2018-03-16,20.27832
2018-03-19,20.528564
2018-03-20,20.443115
2018-03-21,19.267578
2018-03-22,19.783493
2018-03-23,20.908203
2018-03-26,22.285156
2018-03-27,24.560547
2018-03-28,20.164795
2018-04-02,20.527344
2018-04-03,21.160889
2018-04-04,20.367432
2018-04-05,20.526123
2018-04-06,18.826904
2018-04-09,19.787598
2018-04-10,19.94629
2018-04-11,18.621826
2018-04-12,19.48344
2018-04-13,17.904053
2018-04-16,19.63501
2018-04-17,20.46997
2018-04-18,20.515137
2018-04-19,18.710938
2018-04-20,18.034668
2018-04-23,24.467773
2018-04-24,27.327148
2018-04-25,26.845703
2018-04-26,21.827393
2018-04-27,20.473633
2018-04-30,19.58374
2018-05-02,19.216309
2018-05-03,19.00879
2018-05-04,19.331055
2018-05-07,19.605713
2018-05-08,19.297485
2018-05-09,19.565771
2018-05-10,20.168375
2018-05-11,19.312744
2018-05-14,20.169678
2018-05-15,18.798828
2018-05-16,17.932129
2018-05-17,17.844238
2018-05-18,82.44263
2018-05-21,18.869629
2018-05-22,18.081055
2018-05-23,17.976074
2018-05-24,17.426758
2018-05-25,16.708984
2018-05-28,21.982422
2018-05-29,24.389648
2018-05-30,23.530273
2018-05-31,21.293945
2018-06-01,19.748535
2018-06-04,20.133057
2018-06-05,19.779053
2018-06-06,19.513754
2018-06-07,18.290434
2018-06-08,18.584755
2018-06-11,18.803371
2018-06-12,19.108887
2018-06-13,19.3042
2018-06-14,18.741455
2018-06-15,18.4375
2018-06-18,18.649902
2018-06-19,19.528809
2018-06-20,18.355713
2018-06-21,18.327637
2018-06-22,17.626953
2018-06-25,19.025879
2018-06-26,23.076172
2018-06-27,23.507317
2018-06-28,19.73999
2018-06-29,19.307861
2018-07-02,19.1333
2018-07-03,18.631592
2018-07-04,19.63803
2018-07-05,19.188232
2018-07-06,18.778687
2018-07-09,19.136963
2018-07-10,18.961182
2018-07-11,18.939297
2018-07-12,20.70949
2018-07-13,21.013184
2018-07-16,24.012451
2018-07-17,24.100111
2018-07-18,25.533205
2018-07-19,26.42212
2018-07-20,26.1792
2018-07-23,38.823242
2018-07-24,39.960938
2018-07-25,52.402344
2018-07-26,20.374756
2018-07-27,19.466553
2018-07-30,19.60083
2018-07-31,19.313965
2018-08-01,19.107666
2018-08-02,19.816895
2018-08-03,19.60205
2018-08-06,19.146475
2018-08-07,19.316406
2018-08-08,20.3833
2018-08-09,20.527344
2018-08-10,21.425781
2018-08-13,22.893066
2018-08-14,21.383394
2018-08-16,21.618723
2018-08-17,22.095392
2018-08-20,22.902832
2018-08-21,22.648926
2018-08-23,23.133545
2018-08-24,22.329102
2018-08-27,25.390625
2018-08-28,26.833496
2018-08-29,28.388672
2018-08-30,20.751953
2018-08-31,20.548096
2018-09-03,21.582642
2018-09-04,22.197266
2018-09-05,21.381836
2018-09-06,21.92871
2018-09-07,23.131104
2018-09-10,25.31372
2018-09-11,23.912354
2018-09-12,21.85791
2018-09-14,20.952148
2018-09-17,22.034912
2018-09-18,22.285156
2018-09-19,21.64795
2018-09-21,31.313477
2018-09-24,45.828922
2018-09-25,40.10254
2018-09-26,41.640625
2018-09-27,33.29834
2018-09-28,37.269287
2018-10-01,35.00042
2018-10-03,38.59619
2018-10-04,38.4375
2018-10-05,41.749268
2018-10-08,45.79834
2018-10-09,45.4541
2018-10-10,40.424805
2018-10-11,43.458252
2018-10-12,37.13379
2018-10-15,41.04004
2018-10-16,38.689194
2018-10-17,39.84131
2018-10-19,42.83203
2018-10-22,50.86914
2018-10-23,55.76172
2018-10-24,60.25711
2018-10-25,33.997627
2018-10-26,31.70288
2018-10-29,30.981445
2018-10-30,32.478027
2018-10-31,34.923096
2018-11-01,32.37671
2018-11-02,28.190918
2018-11-05,29.699707
2018-11-06,28.75122
2018-11-09,26.589355
2018-11-12,30.030518
2018-11-13,28.41919
2018-11-14,28.424072
2018-11-15,27.25708
2018-11-16,27.79161
2018-11-19,29.058609
2018-11-20,27.906494
2018-11-21,25.339355
2018-11-22,23.720703
2018-11-26,28.657227
2018-11-27,28.007812
2018-11-28,28.03711
2018-11-29,26.036377
2018-11-30,27.110596
2018-12-03,26.30249
2018-12-04,26.361084
2018-12-05,27.322998
2018-12-06,32.69287
2018-12-07,30.664062
2018-12-10,33.059082
2018-12-11,28.201904
2018-12-12,25.718994
2018-12-13,23.878174
2018-12-14,24.417725
2018-12-17,24.941406
2018-12-18,24.372559
2018-12-19,22.84668
2018-12-20,22.478027
2018-12-21,27.2583
2018-12-24,27.77832
2018-12-26,30.332031
2018-12-27,24.606934
2018-12-28,24.908447
2018-12-31,25.941162
2019-01-01,25.336914
2019-01-02,26.500244
2019-01-03,27.072754
2019-01-04,25.681152
2019-01-07,25.426025
2019-01-08,24.379883
2019-01-09,23.909912
2019-01-10,24.367676
2019-01-11,24.323204
2019-01-14,24.924316
2019-01-15,25.38086
2019-01-16,26.149902
2019-01-17,26.176592
2019-01-18,26.16211
2019-01-21,32.922398
2019-01-22,36.809082
2019-01-23,38.002254
2019-01-24,36.154785
2019-01-25,45.34912
2019-01-28,45.996094
2019-01-29,37.768555
2019-01-30,35.126953
2019-01-31,30.517578
2019-02-01,27.279053
2019-02-04,27.520752
2019-02-05,26.694336
2019-02-06,25.831299
2019-02-07,24.248047
2019-02-08,24.49585
2019-02-11,25.020752
2019-02-12,25.432129
2019-02-13,27.23631
2019-02-14,25.78125
2019-02-15,28.805489
2019-02-18,32.296303
2019-02-19,31.486816
2019-02-20,26.33545
2019-02-21,26.92627
2019-02-22,24.819336
2019-02-25,29.785156
2019-02-26,33.50586
2019-02-27,40.458984
2019-02-28,29.163818
2019-03-01,25.14038
2019-03-05,24.331055
2019-03-06,25.133057
2019-03-07,24.779053
2019-03-08,24.82788
2019-03-11,24.006348
2019-03-12,24.13086
2019-03-13,24.958496
2019-03-14,26.328125
2019-03-15,26.702057
2019-03-18,31.26587
2019-03-19,30.236816
2019-03-20,28.012695
2019-03-22,28.347168
2019-03-25,36.010742
2019-03-26,30.488281
2019-03-27,29.936523
2019-03-28,30.935059
2019-03-29,30.34668
2019-04-01,29.597168
2019-04-02,27.988281
2019-04-03,26.309814
2019-04-04,26.418556
2019-04-05,25.67627
2019-04-08,26.984863
2019-04-09,27.389158
2019-04-10,27.463396
2019-04-11,26.572266
2019-04-12,24.232178
2019-04-15,25.985107
2019-04-16,22.468262
2019-04-18,23.17871
2019-04-22,31.259766
2019-04-23,41.941402
2019-04-24,51.04921
2019-04-25,29.558105
2019-04-26,28.076172
2019-04-30,29.625244
2019-05-02,31.290283
2019-05-03,32.71118
2019-05-06,36.1084
2019-05-07,35.825195
2019-05-08,36.853027
2019-05-09,36.933594
2019-05-10,36.411133
2019-05-13,40.88623
2019-05-14,40.17334
2019-05-15,44.329834
2019-05-16,44.79004
2019-05-17,44.831543
2019-05-20,40.112305
2019-05-21,50.5542
2019-05-22,54.855957
2019-05-23,33.554688
2019-05-24,26.481934
2019-05-27,34.851074
2019-05-28,36.469727
2019-05-29,34.09668
2019-05-30,26.983643
2019-05-31,28.509521
2019-06-03,25.439453
2019-06-04,25.06836
2019-06-06,25.725098
2019-06-07,24.794056
2019-06-10,25.177002
2019-06-11,24.545898
2019-06-12,24.803467
2019-06-13,24.5351
2019-06-14,23.671875
2019-06-17,24.643555
2019-06-18,27.016602
2019-06-19,30.112305
2019-06-20,25.225868
2019-06-21,34.67041
2019-06-24,34.648438
2019-06-25,28.984375
2019-06-26,29.482422
2019-06-27,28.808594
2019-06-28,28.581543
2019-07-01,29.189453
2019-07-02,27.940674
2019-07-03,27.908936
2019-07-04,27.907715
2019-07-05,27.702637
2019-07-08,32.785645
2019-07-09,33.913574
2019-07-10,31.316645
2019-07-11,28.674316
2019-07-12,27.485352
2019-07-15,25.957031
2019-07-16,24.808237
2019-07-17,25.050318
2019-07-18,29.036694
2019-07-19,27.089844
2019-07-22,31.293945
2019-07-23,32.109375
2019-07-24,29.638672
2019-07-25,31.958008
2019-07-26,28.353271
2019-07-29,28.979492
2019-07-30,28.596191
2019-07-31,30.113525
2019-08-01,28.464355
2019-08-02,28.66476
2019-08-05,31.776123
2019-08-06,28.73291
2019-08-07,29.071045
2019-08-08,28.4375
2019-08-09,30.25746
2019-08-13,33.66137
2019-08-14,34.335938
2019-08-16,33.776855
2019-08-19,36.992153
2019-08-20,36.09865
2019-08-21,36.9458
2019-08-22,35.17334
2019-08-23,37.182617
2019-08-26,42.260742
2019-08-27,39.492188
2019-08-28,37.492973
2019-08-29,32.927246
2019-08-30,30.773926
2019-09-03,34.04541
2019-09-04,36.782227
2019-09-05,32.79663
2019-09-06,31.950684
