date,iv_atm
2017-07-04,24.941406
2017-07-05,23.59375
2017-07-06,24.990234
2017-07-07,22.216797
2017-07-10,28.984375
2017-07-11,21.31836
2017-07-12,32.90039
2017-07-13,33.007812
2017-07-14,30.751953
2017-07-17,33.183594
2017-07-18,28.886719
2017-07-19,30.683594
2017-07-20,33.320312
2017-07-21,23.90625
2017-07-24,24.902344
2017-07-25,55.703125
2017-07-27,48.046875
2017-07-28,32.382812
2017-07-31,28.678171
2017-08-01,23.330078
2017-08-02,27.607422
2017-08-03,37.714844
2017-08-04,26.777344
2017-08-07,27.72461
2017-08-08,25.703125
2017-08-09,30.048828
2017-08-10,46.02539
2017-08-11,45.371094
2017-08-14,17.958984
2017-08-16,28.007812
2017-08-17,22.558594
2017-08-18,32.63672
2017-08-21,35.683594
2017-08-22,144.92188
2017-08-23,26.71875
2017-08-24,71.99219
2017-08-28,23.90625
2017-08-29,35.46875
2017-08-30,23.828125
2017-08-31,33.79883
2017-09-01,26.884766
2017-09-04,37.929688
2017-09-05,27.021484
2017-09-06,27.695312
2017-09-07,25.9375
2017-09-08,26.113281
2017-09-11,30.957031
2017-09-12,27.25586
2017-09-13,78.7793
2017-09-14,23.840034
2017-09-15,22.441406
2017-09-18,31.914062
2017-09-19,31.151056
2017-09-20,27.695312
2017-09-21,29.511719
2017-09-22,37.94922
2017-09-25,37.539062
2017-09-26,47.382812
2017-09-27,30.742188
2017-09-28,25.947266
2017-09-29,37.851562
2017-10-03,49.121094
2017-10-04,48.90625
2017-10-05,28.251953
2017-10-06,25.634766
2017-10-09,32.441406
2017-10-10,36.98242
2017-10-11,18.701172
2017-10-12,30.966797
2017-10-13,37.753906
2017-10-16,35.3125
2017-10-17,33.90625
2017-10-18,20.839844
2017-10-23,38.515625
2017-10-24,37.539062
2017-10-25,26.796875
2017-10-26,24.335938
2017-10-27,23.759766
2017-10-30,20.46875
2017-10-31,23.925781
2017-11-01,27.080078
2017-11-02,22.558594
2017-11-03,24.101562
2017-11-06,26.484375
2017-11-07,32.98828
2017-11-08,17.490234
2017-11-09,18.222656
2017-11-10,26.289062
2017-11-13,34.853516
2017-11-14,38.808594
2017-11-15,33.134766
2017-11-16,26.315742
2017-11-17,28.061064
2017-11-20,34.335938
2017-11-21,23.847656
2017-11-22,30.898438
2017-11-23,34.960938
2017-11-24,24.824219
2017-11-27,30.273438
2017-11-28,30.625
2017-11-29,44.21875
2017-11-30,24.580078
2017-12-01,21.90554
2017-12-04,124.56055
2017-12-05,32.773438
2017-12-06,32.36328
2017-12-07,27.734375
2017-12-08,24.707031
2017-12-11,26.445312
2017-12-12,24.316406
2017-12-13,28.804707
2017-12-14,28.853209
2017-12-15,20.898438
2017-12-18,27.988281
2017-12-19,27.402344
2017-12-20,29.609375
2017-12-21,20.644531
2017-12-22,20.351562
2017-12-26,35.898438
2017-12-27,32.96875
2017-12-28,25.605469
2017-12-29,29.677734
2018-01-01,25.566406
2018-01-02,30.839844
2018-01-03,29.960938
2018-01-04,26.660156
2018-01-05,29.882812
2018-01-08,29.257812
2018-01-09,30.673828
2018-01-10,29.501953
2018-01-11,33.125
2018-01-12,31.015625
2018-01-15,37.8125
2018-01-16,38.75
2018-01-17,38.7211
2018-01-18,38.320312
2018-01-19,31.503906
2018-01-22,35.976562
2018-01-23,42.539062
2018-01-24,50.585938
2018-01-25,27.539062
2018-01-29,33.583984
2018-01-30,40.13672
2018-01-31,40.429688
2018-02-01,38.97461
2018-02-02,39.86328
2018-02-05,43.75
2018-02-06,57.248413
2018-02-07,51.289062
2018-02-08,42.03125
2018-02-09,42.402344
2018-02-12,39.492188
2018-02-14,42.695312
2018-02-15,20.996094
2018-02-16,17.714844
2018-02-19,51.679688
2018-02-20,38.945312
2018-02-21,65.546875
2018-02-22,24.277344
2018-02-23,24.433594
2018-02-26,26.367188
2018-02-27,27.576109
2018-02-28,30.546875
2018-03-01,25.462421
2018-03-05,25.9375
2018-03-06,28.125
2018-03-07,33.671875
2018-03-08,34.0625
2018-03-09,33.867188
2018-03-12,35.04883
2018-03-13,31.328125
2018-03-14,25.273438
2018-03-15,37.35019
2018-03-16,34.89258
2018-03-19,41.015625
2018-03-20,41.015625
2018-03-21,38.222656
2018-03-22,38.76953
2018-03-23,52.070312
2018-03-26,55.664062
2018-03-27,58.710938
2018-03-28,45.859375
2018-04-02,38.476562
2018-04-03,39.404297
2018-04-04,35.76172
2018-04-05,37.460938
2018-04-06,35.585938
2018-04-09,35.146484
