date,iv_atm
2017-07-04,27.988281
2017-07-05,32.617188
2017-07-06,34.35547
2017-07-07,30.117188
2017-07-10,33.359375
2017-07-11,27.988281
2017-07-12,28.964844
2017-07-13,32.1875
2017-07-14,33.57422
2017-07-17,42.265625
2017-07-18,34.882812
2017-07-19,30.014305
2017-07-20,23.613281
2017-07-21,26.113281
2017-07-24,33.046875
2017-07-25,36.640625
2017-07-27,65.99609
2017-07-28,33.427734
2017-07-31,43.45703
2017-08-01,32.67578
2017-08-02,36.523438
2017-08-03,34.492188
2017-08-04,33.183594
2017-08-07,36.416016
2017-08-08,28.90625
2017-08-09,56.933594
2017-08-10,29.179688
2017-08-11,43.203125
2017-08-14,34.43669
2017-08-16,32.871094
2017-08-17,29.375
2017-08-18,31.40625
2017-08-21,32.460938
2017-08-22,29.101562
2017-08-23,27.443962
2017-08-24,20.195312
2017-08-28,25.117188
2017-08-29,20.976562
2017-08-30,35.802937
2017-08-31,28.847656
2017-09-01,28.59375
2017-09-04,26.796875
2017-09-05,25.878906
2017-09-06,32.96313
2017-09-07,19.184103
2017-09-08,29.589844
2017-09-11,31.484375
2017-09-12,33.164062
2017-09-13,30.957031
2017-09-14,39.414062
2017-09-15,33.222656
2017-09-18,40.44922
2017-09-19,36.679688
2017-09-20,36.914062
2017-09-21,29.453125
2017-09-22,36.640625
2017-09-25,32.148438
2017-09-26,30.390625
2017-09-27,41.25
2017-09-28,46.015625
2017-09-29,27.207031
2017-10-03,28.066406
2017-10-04,27.480469
2017-10-05,25.791016
2017-10-06,24.746094
2017-10-09,26.09375
2017-10-10,26.347656
2017-10-11,17.635256
2017-10-12,21.639626
2017-10-13,28.046875
2017-10-16,27.460938
2017-10-17,24.65853
2017-10-18,30.917969
2017-10-23,23.710938
2017-10-24,35.664062
2017-10-25,47.96875
2017-10-26,30.644531
2017-10-27,30.527344
2017-10-30,27.285156
2017-10-31,26.074219
2017-11-01,30.78125
2017-11-02,27.54455
2017-11-03,28.203125
2017-11-06,28.603516
2017-11-07,25.136719
2017-11-08,101.83594
2017-11-09,38.359375
2017-11-10,31.972656
2017-11-13,30.175781
2017-11-14,27.441406
2017-11-15,22.421875
2017-11-16,126.5625
2017-11-17,31.699219
2017-11-20,32.67843
2017-11-21,28.671875
2017-11-22,34.53125
2017-11-23,39.39453
2017-11-24,33.90625
2017-11-27,35.9375
2017-11-28,174.21875
2017-11-29,34.453125
2017-11-30,30.703125
2017-12-01,34.733574
2017-12-04,28.476562
2017-12-05,28.828125
2017-12-06,23.007812
2017-12-07,33.652344
2017-12-08,24.296875
2017-12-11,28.554688
2017-12-12,33.359375
2017-12-13,31.328125
2017-12-14,32.51953
2017-12-15,25.624489
2017-12-18,28.15116
2017-12-19,25.703125
2017-12-20,28.398438
2017-12-21,110.70724
2017-12-22,20.410156
2017-12-26,60.859375
2017-12-27,59.140625
2017-12-28,30.810547
2017-12-29,22.65625
2018-01-01,24.707031
2018-01-02,33.427734
2018-01-03,34.785156
2018-01-04,26.855469
2018-01-05,28.291016
2018-01-08,29.082031
2018-01-09,26.835938
2018-01-10,28.085938
2018-01-11,29.765625
2018-01-12,26.171875
2018-01-15,63.359375
2018-01-16,17.753906
2018-01-17,42.8125
2018-01-18,31.289062
2018-01-19,167.8125
2018-01-22,248.4375
2018-01-23,35.507812
2018-01-24,67.8125
2018-01-25,35.566406
2018-01-29,94.609375
2018-01-30,29.355469
2018-01-31,32.96875
2018-02-01,48.828125
2018-02-02,36.289062
2018-02-05,29.160156
2018-02-06,114.140625
2018-02-07,80.99609
2018-02-08,42.05078
2018-02-09,40.371094
2018-02-12,54.726562
2018-02-14,56.640625
2018-02-15,33.007812
2018-02-16,35.50476
2018-02-19,54.21875
2018-02-20,69.140625
2018-02-21,93.59375
2018-02-22,33.36914
2018-02-23,27.988281
2018-02-26,36.052994
2018-02-27,28.59375
2018-02-28,25.800781
2018-03-01,27.890625
2018-03-05,9.1015625
2018-03-06,29.296875
2018-03-07,5.9765625
2018-03-08,8.222656
2018-03-09,35.117188
2018-03-12,20.800781
2018-03-13,23.144531
2018-03-14,84.31641
2018-03-15,25.332031
2018-03-16,504.34824
2018-03-19,47.773438
2018-03-20,42.578125
2018-03-21,45.625
2018-03-22,37.265625
2018-03-23,46.135895
2018-03-26,55.546875
2018-03-27,59.84375
2018-03-28,25.605469
2018-04-02,36.73828
2018-04-03,27.460938
2018-04-04,28.476562
2018-04-05,35.859375
2018-04-06,27.683784
2018-04-09,31.953125
2018-04-10,31.914062
2018-04-11,29.316406
2018-04-12,31.796875
2018-04-13,35.664062
2018-04-16,426.54297
2018-04-17,12.34375
2018-04-18,39.296875
2018-04-19,39.538692
2018-04-20,43.515625
2018-04-23,71.71875
2018-04-24,62.734375
2018-04-25,48.90625
2018-04-26,25.449219
2018-04-27,26.972656
2018-04-30,35.17578
2018-05-02,31.113281
2018-05-03,38.378906
2018-05-04,26.757812
2018-05-07,40.351562
2018-05-08,39.658905
2018-05-09,43.55676
2018-05-10,36.816406
2018-05-11,39.804688
2018-05-14,43.378906
2018-05-15,33.378906
2018-05-16,39.921875
2018-05-17,28.105469
2018-05-18,29.375
2018-05-21,37.51953
2018-05-22,33.984375
2018-05-23,44.257812
2018-05-24,40.429688
2018-05-25,53.59375
2018-05-28,69.84375
2018-05-29,61.289062
2018-05-30,30.0
2018-05-31,92.67578
2018-06-01,25.917969
2018-06-04,28.769531
2018-06-05,75.19531
2018-06-06,31.640625
2018-06-07,35.898438
2018-06-08,47.617188
2018-06-11,29.433594
2018-06-12,36.07422
2018-06-13,49.55078
2018-06-14,56.347656
