date,iv_atm
2017-07-04,25.722656
2017-07-05,20.24414
2017-07-06,19.082031
2017-07-07,95.06836
2017-07-10,21.18164
2017-07-11,24.726562
2017-07-12,29.21875
2017-07-13,32.285156
2017-07-14,31.826172
2017-07-17,35.742188
2017-07-18,139.6875
2017-07-19,148.10547
2017-07-20,31.289062
2017-07-21,32.851562
2017-07-24,46.835938
2017-07-25,53.398438
2017-07-27,23.544922
2017-07-28,22.768555
2017-07-31,35.208473
2017-08-01,34.444893
2017-08-02,28.876953
2017-08-03,21.533203
2017-08-04,28.847656
2017-08-07,32.070312
2017-08-08,39.990234
2017-08-09,35.302734
2017-08-10,14.6875
2017-08-11,65.10742
2017-08-14,30.888672
2017-08-16,38.085938
2017-08-17,39.51172
2017-08-18,41.621094
2017-08-21,49.404297
2017-08-22,23.876953
2017-08-23,54.04297
2017-08-24,12.688512
2017-08-28,24.121094
2017-08-29,31.132812
2017-08-30,34.296875
2017-08-31,26.80664
2017-09-01,23.97461
2017-09-04,26.279297
2017-09-05,27.363281
2017-09-06,31.49414
2017-09-07,26.523438
2017-09-08,28.789062
2017-09-11,29.238281
2017-09-12,26.71875
2017-09-13,16.572266
2017-09-14,18.867188
2017-09-15,31.953125
2017-09-18,36.210938
2017-09-19,43.125
2017-09-20,40.80078
2017-09-21,32.539062
2017-09-22,36.280125
2017-09-25,15.78125
2017-09-26,65.44488
2017-09-27,35.820312
2017-09-28,28.242188
2017-09-29,25.610352
2017-10-03,87.44141
2017-10-04,29.208984
2017-10-05,31.328125
2017-10-06,27.236328
2017-10-09,28.779297
2017-10-10,25.15625
2017-10-11,161.5625
2017-10-12,201.94336
2017-10-13,193.97461
2017-10-16,221.07422
2017-10-17,232.39258
2017-10-18,291.25
2017-10-23,46.15025
2017-10-24,22.467676
2017-10-25,14.3359375
2017-10-26,29.614258
2017-10-27,124.0332
2017-10-30,131.17188
2017-10-31,32.197266
2017-11-01,154.05273
2017-11-02,156.33789
2017-11-03,160.91797
2017-11-06,181.44531
2017-11-07,34.11621
2017-11-08,28.320312
2017-11-09,30.263672
2017-11-10,26.689453
2017-11-13,27.480469
2017-11-14,119.49219
2017-11-15,122.92969
2017-11-16,24.863281
2017-11-17,30.429688
2017-11-20,37.01172
2017-11-21,36.054688
2017-11-22,29.684496
2017-11-23,25.46875
2017-11-24,21.117702
2017-11-27,22.890625
2017-11-28,36.289062
2017-11-29,96.171875
2017-11-30,53.867188
2017-12-01,61.328125
2017-12-04,33.115234
2017-12-05,26.591797
2017-12-06,30.585938
2017-12-07,28.671875
2017-12-08,27.56836
2017-12-11,28.798828
2017-12-12,24.248047
2017-12-13,28.300781
2017-12-14,27.919922
2017-12-15,27.314453
2017-12-18,19.638672
2017-12-19,29.932978
2017-12-20,21.953125
2017-12-21,30.531256
2017-12-22,30.269274
2017-12-26,32.929688
2017-12-27,40.78125
2017-12-28,113.34473
2017-12-29,25.67871
2018-01-01,29.53125
2018-01-02,27.670898
2018-01-03,28.359375
2018-01-04,26.689453
2018-01-05,29.267578
2018-01-08,31.96289
2018-01-09,29.726562
2018-01-10,43.222656
2018-01-11,45.908203
2018-01-12,29.6875
2018-01-15,32.470703
2018-01-16,29.824219
2018-01-17,29.609375
2018-01-18,32.94922
2018-01-19,26.992188
2018-01-22,40.46875
2018-01-23,30.585938
2018-01-24,37.773438
2018-01-25,28.076172
2018-01-29,31.894531
2018-01-30,30.859375
2018-01-31,34.11133
2018-02-01,30.205078
2018-02-02,207.5586
2018-02-05,11.25
2018-02-06,34.35547
2018-02-07,64.140625
2018-02-08,68.87695
2018-02-09,26.47461
2018-02-12,49.785156
2018-02-14,27.8125
2018-02-15,21.601562
2018-02-16,57.5
2018-02-19,19.882812
2018-02-20,43.242188
2018-02-21,24.257812
2018-02-22,26.425781
2018-02-23,22.548828
2018-02-26,21.669922
2018-02-27,23.603516
2018-02-28,32.764626
2018-03-01,28.359375
2018-03-05,26.416016
2018-03-06,24.326172
2018-03-07,30.22461
2018-03-08,31.152344
2018-03-09,33.52539
2018-03-12,31.074219
2018-03-13,29.716797
2018-03-14,30.84961
2018-03-15,20.742188
2018-03-16,39.6875
2018-03-19,31.542969
2018-03-20,30.94648
2018-03-21,35.343773
2018-03-22,13.90625
2018-03-23,31.054688
2018-03-26,57.03125
2018-03-27,27.65625
2018-03-28,14.0625
2018-04-02,25.703125
2018-04-03,22.890625
2018-04-04,30.615234
2018-04-05,24.013672
2018-04-06,33.378906
2018-04-09,29.882812
2018-04-10,30.175781
2018-04-11,31.621094
2018-04-12,26.044922
2018-04-13,22.734375
2018-04-16,22.626953
2018-04-17,25.039062
2018-04-18,22.871094
2018-04-19,19.003906
2018-04-20,16.425781
2018-04-23,23.575342
2018-04-24,22.421875
2018-04-25,21.25
2018-04-26,21.63086
2018-04-27,20.06836
2018-04-30,20.952776
2018-05-02,23.03711
2018-05-03,22.529297
2018-05-04,27.080078
2018-05-07,23.515625
2018-05-08,22.43164
2018-05-09,21.738281
2018-05-10,21.721508
2018-05-11,26.31985
2018-05-14,30.722656
2018-05-15,24.980469
2018-05-16,30.3125
2018-05-17,31.035156
2018-05-18,29.648438
2018-05-21,42.8125
2018-05-22,37.16797
2018-05-23,28.164062
2018-05-24,26.640625
2018-05-25,31.992188
2018-05-28,35.891483
2018-05-29,31.679688
2018-05-30,32.109375
2018-05-31,22.480469
2018-06-01,11.699219
2018-06-04,33.603516
2018-06-05,12.392578
2018-06-06,25.341797
2018-06-07,36.210938
2018-06-08,32.41211
2018-06-11,34.804688
2018-06-12,32.314453
2018-06-13,30.234375
2018-06-14,31.40625
2018-06-15,28.222656
2018-06-18,29.296875
2018-06-19,31.875
2018-06-20,31.464844
2018-06-21,29.082031
2018-06-22,19.707031
2018-06-25,16.328125
2018-06-26,29.179688
2018-06-27,27.617188
2018-06-28,22.872648
2018-06-29,27.832031
2018-07-02,31.445312
2018-07-03,24.921875
2018-07-04,28.066406
2018-07-05,31.31836
2018-07-06,29.902344
2018-07-09,29.404297
2018-07-10,29.179688
2018-07-11,32.32422
2018-07-12,30.978878
2018-07-13,24.414062
2018-07-16,34.960938
2018-07-17,30.332031
2018-07-18,31.425781
2018-07-19,37.753906
2018-07-20,40.351562
2018-07-23,28.632812
2018-07-24,48.828125
2018-07-25,18.398438
2018-07-26,32.39258
2018-07-27,31.865234
2018-07-30,37.74414
2018-07-31,28.779297
