date,iv_atm
2017-07-04,30.761719
2017-07-05,36.464844
2017-07-06,52.460938
2017-07-07,31.015625
2017-07-10,34.296875
2017-07-11,35.29297
2017-07-12,202.14844
2017-07-13,47.032883
2017-07-14,46.621094
2017-07-17,55.617203
2017-07-18,55.15625
2017-07-19,44.53125
2017-07-20,36.367188
2017-07-21,25.806778
2017-07-24,31.71875
2017-07-25,60.390625
2017-07-27,40.76172
2017-07-28,39.101562
2017-07-31,34.48223
2017-08-01,43.26172
2017-08-02,49.101562
2017-08-03,36.367188
2017-08-04,30.46875
2017-08-07,43.465282
2017-08-08,41.81499
2017-08-09,41.914062
2017-08-10,51.305393
2017-08-11,46.777344
2017-08-14,45.13672
2017-08-16,43.75
2017-08-17,45.117188
2017-08-18,43.632812
2017-08-21,44.414062
2017-08-22,36.015625
2017-08-23,43.75
2017-08-24,28.007812
2017-08-28,87.578125
2017-08-29,44.21875
2017-08-30,33.828125
2017-08-31,43.59375
2017-09-01,39.07534
2017-09-04,43.92578
2017-09-05,41.367188
2017-09-06,44.739254
2017-09-07,42.778282
2017-09-08,44.296875
2017-09-11,43.712353
2017-09-12,44.589844
2017-09-13,44.19922
2017-09-14,41.992188
2017-09-15,40.13672
2017-09-18,44.921875
2017-09-19,45.9375
2017-09-20,49.804688
2017-09-21,49.53125
2017-09-22,42.03125
2017-09-25,47.5
2017-09-26,37.96875
2017-09-27,52.34375
2017-09-28,37.382812
2017-09-29,39.15727
2017-10-03,36.679688
2017-10-04,38.359375
2017-10-05,34.648438
2017-10-06,34.257812
2017-10-09,34.472656
2017-10-10,36.328125
2017-10-11,38.242188
2017-10-12,38.183594
2017-10-13,39.492188
2017-10-16,41.875
2017-10-17,40.039062
2017-10-18,35.625
2017-10-23,41.015625
2017-10-24,60.3125
2017-10-25,62.1875
2017-10-26,37.382812
2017-10-27,33.867188
2017-10-30,39.21875
2017-10-31,39.21875
2017-11-01,42.48047
2017-11-02,42.421875
2017-11-03,43.378906
2017-11-06,50.976562
2017-11-07,54.04297
2017-11-08,50.76172
2017-11-09,42.597656
2017-11-10,43.242664
2017-11-13,40.898438
2017-11-14,44.492188
2017-11-15,47.578125
2017-11-16,42.148438
2017-11-17,40.60547
2017-11-20,44.96036
2017-11-21,42.109375
2017-11-22,55.742188
2017-11-23,32.382812
2017-11-24,43.359375
2017-11-27,48.4375
2017-11-28,42.1875
2017-11-29,38.4375
2017-11-30,37.910156
2017-12-01,31.640625
2017-12-04,35.078125
2017-12-05,43.454388
2017-12-06,45.214844
2017-12-07,41.816406
2017-12-08,30.859375
2017-12-11,30.761719
2017-12-12,39.023438
2017-12-13,44.39453
2017-12-14,44.375
2017-12-15,39.140625
2017-12-18,37.109375
2017-12-19,34.335938
2017-12-20,34.84375
2017-12-21,42.487804
2017-12-22,24.296875
2017-12-26,33.515625
2017-12-27,47.5
2017-12-28,34.66797
2017-12-29,36.210938
2018-01-01,31.308594
2018-01-02,40.64453
2018-01-03,40.410156
2018-01-04,41.25
2018-01-05,41.308594
2018-01-08,43.867188
2018-01-09,46.015625
2018-01-10,39.960938
2018-01-11,35.742188
2018-01-12,36.992188
2018-01-15,41.171875
2018-01-16,40.859375
2018-01-17,30.898438
2018-01-18,55.859375
2018-01-19,22.8125
2018-01-22,39.72556
2018-01-23,31.692587
2018-01-24,51.875
2018-01-25,44.433594
2018-01-29,40.44922
2018-01-30,61.484375
2018-01-31,41.09375
2018-02-01,79.02344
2018-02-02,43.789062
2018-02-05,21.328125
2018-02-06,43.90625
2018-02-07,50.566406
2018-02-08,49.375
2018-02-09,43.59375
2018-02-12,46.679688
2018-02-14,49.414062
2018-02-15,43.046875
2018-02-16,63.984375
2018-02-19,54.140625
2018-02-20,47.0966
2018-02-21,122.8125
2018-02-22,40.012836
2018-02-23,53.90625
2018-02-26,56.835938
2018-02-27,59.375
2018-02-28,60.703125
2018-03-01,35.214844
2018-03-05,39.960938
2018-03-06,30.585938
2018-03-07,36.484375
2018-03-08,39.53125
2018-03-09,40.527344
2018-03-12,46.40625
2018-03-13,37.36328
2018-03-14,38.28125
2018-03-15,38.4375
2018-03-16,41.679688
2018-03-19,45.15625
2018-03-20,33.4375
2018-03-21,39.0625
2018-03-22,37.96875
2018-03-23,42.148438
2018-03-26,94.53125
2018-03-27,40.3125
2018-03-28,34.921875
2018-04-02,35.195312
2018-04-03,36.07422
2018-04-04,33.222656
2018-04-05,69.02344
2018-04-06,37.03125
2018-04-09,36.660156
2018-04-10,39.433594
2018-04-11,37.597656
2018-04-12,34.19922
2018-04-13,31.445312
2018-04-16,41.816406
2018-04-17,38.125
2018-04-18,32.109375
2018-04-19,31.796875
2018-04-20,31.015625
2018-04-23,34.609375
2018-04-24,51.77461
2018-04-25,50.95874
2018-04-26,38.90625
2018-04-27,34.92065
2018-04-30,30.488281
2018-05-02,36.85547
2018-05-03,47.851562
2018-05-04,33.76953
2018-05-07,30.195312
2018-05-08,40.46875
2018-05-09,31.40625
2018-05-10,41.015625
2018-05-11,36.367188
2018-05-14,37.36328
2018-05-15,53.242188
2018-05-16,47.890625
2018-05-17,38.398438
2018-05-18,35.78125
2018-05-21,44.765625
2018-05-22,48.554688
2018-05-23,40.351562
2018-05-24,39.296875
2018-05-25,35.703125
2018-05-28,29.0625
2018-05-29,53.59375
2018-05-30,77.03125
2018-05-31,55.996094
2018-06-01,39.746094
2018-06-04,41.679688
2018-06-05,53.73047
2018-06-06,42.94922
2018-06-07,37.5
2018-06-08,56.604553
2018-06-11,37.148438
2018-06-12,39.570312
2018-06-13,41.035156
2018-06-14,38.945312
2018-06-15,34.0625
2018-06-18,45.351562
2018-06-19,38.456024
2018-06-20,38.242188
2018-06-21,35.625
2018-06-22,21.047272
2018-06-25,10.46875
2018-06-26,78.90625
2018-06-27,71.640625
2018-06-28,40.859375
2018-06-29,16.953125
2018-07-02,37.695312
2018-07-03,50.61152
2018-07-04,36.171875
