date,iv_atm
2017-07-04,39.609375
2017-07-05,41.25
2017-07-06,30.0
2017-07-07,24.53125
2017-07-10,29.84375
2017-07-11,28.125
2017-07-12,28.75
2017-07-13,132.03125
2017-07-14,44.6875
2017-07-17,47.1875
2017-07-18,45.78125
2017-07-19,46.25
2017-07-20,51.71875
2017-07-21,62.8125
2017-07-24,45.36643
2017-07-25,38.125
2017-07-27,34.6875
2017-07-28,32.265625
2017-07-31,30.0
2017-08-01,39.375
2017-08-02,34.0625
2017-08-03,35.0
2017-08-04,36.91873
2017-08-07,40.625
2017-08-08,45.625
2017-08-09,50.78125
2017-08-10,47.03125
2017-08-11,21.5625
2017-08-14,56.09375
2017-08-16,39.84375
2017-08-17,37.34375
2017-08-18,42.1875
2017-08-21,41.25
2017-08-22,40.625
2017-08-23,41.875
2017-08-24,27.8125
2017-08-28,45.625
2017-08-29,37.5
2017-08-30,51.732292
2017-08-31,42.734375
2017-09-01,36.875
2017-09-04,35.049328
2017-09-05,37.65625
2017-09-06,35.46875
2017-09-07,43.90625
2017-09-08,43.4375
2017-09-11,41.5625
2017-09-12,42.578125
2017-09-13,44.375
2017-09-14,43.122932
2017-09-15,43.125
2017-09-18,59.6875
2017-09-19,46.25
2017-09-20,41.5625
2017-09-21,42.34375
2017-09-22,52.5
2017-09-25,39.6875
2017-09-26,44.0625
2017-09-27,46.25
2017-09-28,44.53125
2017-09-29,40.625
2017-10-03,43.125
2017-10-04,41.25
2017-10-05,38.984375
2017-10-06,40.3125
2017-10-09,40.435078
2017-10-10,39.53125
2017-10-11,41.25
2017-10-12,41.975235
2017-10-13,37.8125
2017-10-16,43.125
2017-10-17,39.6875
2017-10-18,32.5
2017-10-23,38.138992
2017-10-24,35.0
2017-10-25,74.375
2017-10-26,39.697853
2017-10-27,43.847836
2017-10-30,43.59375
2017-10-31,44.765625
2017-11-01,43.308865
2017-11-02,44.140625
2017-11-03,46.656807
2017-11-06,47.34375
2017-11-07,45.78125
2017-11-08,51.375664
2017-11-09,48.359375
2017-11-10,50.81798
2017-11-13,49.53125
2017-11-14,45.0
2017-11-15,48.59375
2017-11-16,48.4375
2017-11-17,40.990467
2017-11-20,48.4375
2017-11-21,53.4375
2017-11-22,49.84375
2017-11-23,53.28125
2017-11-24,44.375
2017-11-27,61.875
2017-11-28,67.8125
2017-11-29,48.75
2017-11-30,42.890625
2017-12-01,43.828125
2017-12-04,40.625
2017-12-05,41.171875
2017-12-06,41.25
2017-12-07,45.859375
2017-12-08,44.84375
2017-12-11,42.34375
2017-12-12,46.875
2017-12-13,52.03125
2017-12-14,48.75
2017-12-15,44.375
2017-12-18,44.375
2017-12-19,43.90625
2017-12-20,41.5625
2017-12-21,38.75
2017-12-22,32.1875
2017-12-26,45.9375
2017-12-27,56.875
2017-12-28,42.34375
2017-12-29,42.5
2018-01-01,42.1875
2018-01-02,41.5625
2018-01-03,40.3125
2018-01-04,44.609375
2018-01-05,43.4375
2018-01-08,50.15625
2018-01-09,46.875
2018-01-10,42.96875
2018-01-11,43.4375
2018-01-12,43.90625
2018-01-15,45.625
2018-01-16,54.53125
2018-01-17,47.5
2018-01-18,51.5625
2018-01-19,50.625
2018-01-22,52.8125
2018-01-23,61.875
2018-01-24,70.0
2018-01-25,45.078125
2018-01-29,44.84375
2018-01-30,40.3125
2018-01-31,44.6875
2018-02-01,42.34375
2018-02-02,49.375
2018-02-05,55.625
2018-02-06,55.0
2018-02-07,54.84375
2018-02-08,56.40625
2018-02-09,60.9375
2018-02-12,51.32758
2018-02-14,44.375
2018-02-15,42.1875
2018-02-16,46.25
2018-02-19,53.125
2018-02-20,56.45395
2018-02-21,70.611755
2018-02-22,38.671875
2018-02-23,37.34375
2018-02-26,37.498775
2018-02-27,37.65625
2018-02-28,44.84375
2018-03-01,39.6875
2018-03-05,43.4375
2018-03-06,43.4375
2018-03-07,42.96875
2018-03-08,40.625
2018-03-09,47.1875
2018-03-12,38.4375
2018-03-13,42.96875
2018-03-14,38.90625
2018-03-15,36.25
2018-03-16,40.3125
2018-03-19,47.5
2018-03-20,38.4375
2018-03-21,37.8125
2018-03-22,46.25
2018-03-23,44.375
2018-03-26,55.0
2018-03-27,48.820713
2018-03-28,35.230606
2018-04-02,37.34375
2018-04-03,45.0
2018-04-04,40.46875
2018-04-05,36.5625
2018-04-06,36.875
2018-04-09,46.5625
2018-04-10,47.5
2018-04-11,41.034767
2018-04-12,45.0
2018-04-13,44.61139
2018-04-16,46.943554
2018-04-17,46.875
2018-04-18,42.8125
2018-04-19,52.8125
2018-04-20,48.59375
2018-04-23,47.1875
2018-04-24,48.75
2018-04-25,36.875
2018-04-26,40.78125
2018-04-27,40.0
2018-04-30,40.46875
2018-05-02,40.9375
2018-05-03,40.390625
2018-05-04,42.65625
2018-05-07,41.71875
2018-05-08,43.515625
2018-05-09,44.53125
2018-05-10,41.25
2018-05-11,40.328243
2018-05-14,43.75
2018-05-15,42.8125
2018-05-16,42.1875
2018-05-17,39.364838
2018-05-18,46.5625
2018-05-21,45.78125
2018-05-22,43.90625
2018-05-23,55.625
2018-05-24,56.875
2018-05-25,55.9375
2018-05-28,55.9375
2018-05-29,51.25
2018-05-30,53.75
2018-05-31,41.71875
2018-06-01,44.84375
2018-06-04,43.75
