date,iv_atm
2020-02-28,57.114258
2020-03-02,73.07129
2020-03-03,53.6454
2020-03-04,52.939114
2020-03-05,56.236053
2020-03-06,54.528423
2020-03-09,58.483887
2020-03-11,65.15093
2020-03-12,65.26367
2020-03-13,75.493164
2020-03-16,0.3125
2020-03-17,28.017578
2020-03-18,1.25
2020-03-19,2.5
2020-03-20,2.5
2020-03-23,5.0
2020-03-24,0.625
2020-03-25,1.25
2020-03-26,0.009765625
2020-03-27,0.3125
2020-03-30,0.3125
2020-03-31,0.01953125
2020-04-01,81.08887
2020-04-03,86.23535
2020-04-07,0.625
2020-04-08,1.25
2020-04-09,1.25
2020-04-13,1.25
2020-04-15,0.078125
2020-04-16,0.625
2020-04-17,0.078125
2020-04-20,1.25
2020-04-21,118.21289
2020-04-22,1.25
2020-04-23,113.42285
2020-04-24,150.80078
2020-04-27,112.109375
2020-04-28,57.5
2020-04-29,133.125
2020-04-30,85.15137
2020-05-04,0.625
2020-05-05,0.3125
2020-05-06,0.625
2020-05-07,85.180664
2020-05-08,0.625
2020-05-11,52.729492
2020-05-12,71.49902
2020-05-13,93.17383
2020-05-14,48.45703
2020-05-15,101.743164
2020-05-18,1.25
2020-05-19,0.625
2020-05-20,68.34961
2020-05-21,0.078125
2020-05-22,46.23047
2020-05-26,60.76172
2020-05-27,5.0
2020-05-28,51.87256
2020-05-29,0.625
2020-06-01,43.24707
2020-06-02,49.16748
2020-06-03,47.338867
2020-06-04,29.326172
2020-06-05,50.776367
2020-06-08,68.9209
2020-06-09,31.914062
2020-06-10,67.72461
2020-06-11,1.25
2020-06-12,1.25
2020-06-15,66.76758
2020-06-16,59.2041
2020-06-17,58.046875
2020-06-18,11.6015625
2020-06-19,1.5527344
2020-06-22,84.0625
2020-06-23,0.625
2020-06-24,33.26172
2020-06-25,0.625
2020-06-26,22.578125
2020-06-29,24.384766
2020-06-30,21.601562
2020-07-01,23.059082
2020-07-02,0.625
2020-07-03,0.625
2020-07-06,0.625
2020-07-07,45.715332
2020-07-08,15.3835
2020-07-09,1.25
2020-07-10,0.3125
2020-07-13,0.15625
2020-07-14,0.078125
2020-07-15,0.3125
2020-07-16,47.32422
2020-07-17,35.385742
2020-07-20,0.0024414062
2020-07-21,17.167969
2020-07-22,41.66992
2020-07-23,39.28711
2020-07-24,38.286133
2020-07-27,2.5
2020-07-28,22.617188
2020-07-29,0.625
2020-07-30,20.620117
2020-07-31,0.3125
2020-08-03,0.625
2020-08-04,0.3125
2020-08-05,0.625
2020-08-06,0.0024414062
2020-08-07,0.625
2020-08-10,0.15625
2020-08-11,45.700684
2020-08-12,42.404785
2020-08-13,46.049805
2020-08-14,22.563477
2020-08-17,37.35552
2020-08-18,44.5166
2020-08-19,47.45117
2020-08-20,42.98828
2020-08-21,23.579336
