date,iv_atm
2017-07-04,28.442383
2017-07-05,32.314453
2017-07-06,31.542969
2017-07-07,33.245586
2017-07-10,34.033203
2017-07-11,31.601746
2017-07-12,32.89486
2017-07-13,30.751953
2017-07-14,30.463867
2017-07-17,33.496094
2017-07-18,31.635742
2017-07-19,29.658203
2017-07-20,29.94926
2017-07-21,39.487305
2017-07-24,38.23242
2017-07-25,29.082031
2017-07-27,22.573242
2017-07-28,31.47461
2017-07-31,35.43701
2017-08-01,29.042969
2017-08-02,27.313772
2017-08-03,24.77295
2017-08-04,27.595215
2017-08-07,27.248535
2017-08-08,27.062988
2017-08-09,62.734375
2017-08-10,42.026367
2017-08-11,41.73828
2017-08-14,32.280273
2017-08-16,33.813477
2017-08-17,33.686523
2017-08-18,29.667969
2017-08-21,34.89258
2017-08-22,34.257812
2017-08-23,28.671875
2017-08-24,28.632812
2017-08-28,27.695312
2017-08-29,18.867188
2017-08-30,101.52344
2017-08-31,29.257812
2017-09-01,27.341309
2017-09-04,19.384766
2017-09-05,28.579102
2017-09-06,31.020508
2017-09-07,27.569017
2017-09-08,22.509766
2017-09-11,29.765625
2017-09-12,28.676758
2017-09-13,28.027344
2017-09-14,27.91504
2017-09-15,28.266602
2017-09-18,29.614258
2017-09-19,29.238281
2017-09-20,24.921875
2017-09-21,26.956327
2017-09-22,20.078125
2017-09-25,42.753906
2017-09-26,25.15625
2017-09-27,45.039062
2017-09-28,28.710938
2017-09-29,32.993164
2017-10-03,30.073242
2017-10-04,28.592121
2017-10-05,29.517563
2017-10-06,29.814453
2017-10-09,30.229265
2017-10-10,28.007812
2017-10-11,28.041992
2017-10-12,26.381836
2017-10-13,28.061523
2017-10-16,24.77347
2017-10-17,23.764648
2017-10-18,26.45996
2017-10-23,29.30664
2017-10-24,28.417969
2017-10-25,296.3064
2017-10-26,27.548828
2017-10-27,30.014648
2017-10-30,29.682617
2017-10-31,57.304688
2017-11-01,35.96924
2017-11-02,29.404297
2017-11-03,30.646973
2017-11-06,38.320312
2017-11-07,30.981445
2017-11-08,25.410156
2017-11-09,26.333008
2017-11-10,22.69043
2017-11-13,23.85254
2017-11-14,28.442383
2017-11-15,28.051758
2017-11-16,27.158203
2017-11-17,29.335938
2017-11-20,23.422852
2017-11-21,25.002115
2017-11-22,23.183594
2017-11-23,21.16211
2017-11-24,45.634766
2017-11-27,64.62891
2017-11-28,27.41211
2017-11-29,33.183594
2017-11-30,28.208008
2017-12-01,29.780273
2017-12-04,29.79004
2017-12-05,29.501953
2017-12-06,27.8125
2017-12-07,26.108398
2017-12-08,28.15317
2017-12-11,33.793945
2017-12-12,31.171875
