date,iv_atm
2017-07-04,24.0625
2017-07-05,25.898438
2017-07-06,22.421875
2017-07-07,22.304688
2017-07-10,23.984375
2017-07-11,26.09375
2017-07-12,26.875
2017-07-13,25.195312
2017-07-14,26.015625
2017-07-17,33.36739
2017-07-18,34.453125
2017-07-19,32.96875
2017-07-20,33.203125
2017-07-21,33.75
2017-07-24,38.75
2017-07-25,27.500984
2017-07-27,27.617188
2017-07-28,30.507812
2017-07-31,40.390625
2017-08-01,32.929688
2017-08-02,27.578125
2017-08-03,31.523438
2017-08-04,31.09375
2017-08-07,33.085938
2017-08-08,36.5625
2017-08-09,38.007812
2017-08-10,56.25
2017-08-11,34.6875
2017-08-14,31.640625
2017-08-16,33.90625
2017-08-17,40.585938
2017-08-18,36.875
2017-08-21,37.734375
2017-08-22,35.546875
2017-08-23,25.976562
2017-08-24,27.1875
2017-08-28,30.257713
2017-08-29,38.90625
2017-08-30,36.5625
2017-08-31,29.375
2017-09-01,31.015625
2017-09-04,32.109375
2017-09-05,29.6875
2017-09-06,26.835938
2017-09-07,27.929688
2017-09-08,28.710938
2017-09-11,35.78125
2017-09-12,34.414062
2017-09-13,34.765625
2017-09-14,33.58958
2017-09-15,32.60077
2017-09-18,39.6875
2017-09-19,41.630135
2017-09-20,35.77131
2017-09-21,31.796875
2017-09-22,28.203125
2017-09-25,36.25
2017-09-26,31.5625
2017-09-27,36.5625
2017-09-28,32.304688
2017-09-29,34.492188
2017-10-03,36.171875
2017-10-04,32.34375
2017-10-05,33.359375
2017-10-06,30.429688
2017-10-09,34.375
2017-10-10,29.804688
2017-10-11,33.125
2017-10-12,34.296875
2017-10-13,32.578125
2017-10-16,33.389553
2017-10-17,30.234375
2017-10-18,30.559605
2017-10-23,34.84375
2017-10-24,34.5379
2017-10-25,45.625
2017-10-26,34.882812
2017-10-27,34.179688
2017-10-30,34.492188
2017-10-31,32.96875
2017-11-01,30.540833
2017-11-02,38.242188
2017-11-03,39.53125
2017-11-06,42.96875
2017-11-07,43.41797
2017-11-08,42.03125
2017-11-09,37.18654
2017-11-10,32.265625
2017-11-13,44.6875
2017-11-14,35.273438
2017-11-15,30.546875
2017-11-16,32.734375
2017-11-17,31.914062
2017-11-20,34.609375
2017-11-21,30.390783
2017-11-22,27.8125
2017-11-23,29.296875
2017-11-24,28.125
2017-11-27,36.640625
2017-11-28,49.53125
2017-11-29,42.03125
2017-11-30,33.515625
2017-12-01,29.296875
2017-12-04,31.25
2017-12-05,29.609375
2017-12-06,30.46875
2017-12-07,30.234375
2017-12-08,30.117188
2017-12-11,30.039062
2017-12-12,28.90625
2017-12-13,32.539062
2017-12-14,32.539062
2017-12-15,30.039062
2017-12-18,30.580994
2017-12-19,27.734375
2017-12-20,27.929688
2017-12-21,24.940687
2017-12-22,25.12262
2017-12-26,33.59375
2017-12-27,26.875
2017-12-28,25.15625
2017-12-29,26.835938
2018-01-01,25.390625
2018-01-02,27.5
2018-01-03,27.34375
2018-01-04,26.953125
2018-01-05,26.992188
2018-01-08,26.796875
2018-01-09,28.789062
2018-01-10,30.0
2018-01-11,28.359375
2018-01-12,23.828125
2018-01-15,24.375
2018-01-16,29.609375
2018-01-17,31.5625
2018-01-18,29.765625
2018-01-19,29.0625
2018-01-22,42.8125
2018-01-23,27.5
2018-01-24,41.25
2018-01-25,34.609375
2018-01-29,36.71875
2018-01-30,36.25
2018-01-31,34.726562
2018-02-01,33.4375
2018-02-02,36.484375
2018-02-05,48.75
2018-02-06,41.601562
2018-02-07,50.078125
2018-02-08,37.421875
2018-02-09,31.835938
2018-02-12,31.40625
2018-02-14,31.484375
2018-02-15,27.890625
2018-02-16,24.470112
2018-02-19,36.640625
2018-02-20,32.03125
2018-02-21,40.15625
2018-02-22,27.148438
2018-02-23,24.960938
2018-02-26,26.015625
2018-02-27,25.507812
2018-02-28,25.742188
2018-03-01,25.117188
2018-03-05,26.835938
2018-03-06,27.617188
2018-03-07,28.710938
2018-03-08,28.359375
2018-03-09,27.929688
2018-03-12,28.320312
2018-03-13,23.476562
2018-03-14,25.961098
2018-03-15,26.914062
2018-03-16,26.71875
2018-03-19,27.65625
2018-03-20,29.84375
2018-03-21,29.765625
2018-03-22,30.0
2018-03-23,24.765625
2018-03-26,36.40625
2018-03-27,53.125
2018-03-28,30.15625
2018-04-02,26.796875
2018-04-03,27.773438
2018-04-04,28.046875
2018-04-05,26.679688
2018-04-06,25.234375
2018-04-09,25.9375
2018-04-10,28.75
2018-04-11,27.578125
2018-04-12,28.08751
2018-04-13,26.992188
2018-04-16,29.21875
2018-04-17,29.6875
2018-04-18,31.71875
2018-04-19,30.390625
2018-04-20,25.46875
2018-04-23,32.96875
2018-04-24,34.53125
2018-04-25,35.46875
2018-04-26,27.5
2018-04-27,26.914062
2018-04-30,27.890625
2018-05-02,25.664062
2018-05-03,30.078125
2018-05-04,30.15625
2018-05-07,30.625
2018-05-08,31.601562
2018-05-09,30.3125
2018-05-10,32.304688
2018-05-11,30.820312
2018-05-14,33.59375
2018-05-15,33.359375
2018-05-16,34.609375
2018-05-17,35.390625
2018-05-18,38.203125
2018-05-21,47.109375
2018-05-22,38.046875
2018-05-23,39.765625
2018-05-24,45.859375
2018-05-25,36.875
2018-05-28,43.081856
2018-05-29,54.21875
2018-05-30,55.0
2018-05-31,33.125
2018-06-01,30.195312
2018-06-04,29.53125
2018-06-05,33.242188
2018-06-06,29.609375
2018-06-07,28.90625
2018-06-08,37.109375
2018-06-11,33.085938
2018-06-12,33.046875
2018-06-13,31.523438
2018-06-14,31.607729
2018-06-15,32.8125
2018-06-18,40.3125
2018-06-19,45.46875
2018-06-20,29.375
2018-06-21,28.203125
2018-06-22,23.75
2018-06-25,35.0
2018-06-26,32.564045
2018-06-27,39.6875
2018-06-28,30.664062
2018-06-29,31.367188
2018-07-02,35.859375
2018-07-03,31.5625
2018-07-04,32.34375
2018-07-05,31.25
2018-07-06,31.835938
2018-07-09,31.992188
2018-07-10,32.1875
2018-07-11,31.5625
2018-07-12,33.59375
2018-07-13,35.1185
2018-07-16,39.609375
2018-07-17,39.765625
2018-07-18,44.16067
2018-07-19,43.4375
2018-07-20,41.171875
2018-07-23,55.0
2018-07-24,50.15625
2018-07-25,64.21875
2018-07-26,32.695312
2018-07-27,30.46875
2018-07-30,29.609375
2018-07-31,29.53125
2018-08-01,27.34375
2018-08-02,29.257812
2018-08-03,28.554688
2018-08-06,30.820312
2018-08-07,27.890625
2018-08-08,29.101562
2018-08-09,28.867188
2018-08-10,27.734375
2018-08-13,30.08192
2018-08-14,30.9375
2018-08-16,30.742188
2018-08-17,30.195312
2018-08-20,33.5299
2018-08-21,34.0293
2018-08-23,32.65625
2018-08-24,34.21875
2018-08-27,40.625
2018-08-28,39.53125
2018-08-29,39.0625
2018-08-30,34.840286
2018-08-31,28.359375
2018-09-03,29.257812
2018-09-04,29.570312
2018-09-05,29.257812
2018-09-06,29.179688
2018-09-07,28.671875
2018-09-10,29.6875
2018-09-11,30.390625
2018-09-12,28.213207
2018-09-14,25.3125
2018-09-17,28.984375
2018-09-18,32.1875
2018-09-19,23.59375
2018-09-21,37.265625
2018-09-24,48.90625
2018-09-25,44.0625
2018-09-26,133.4375
2018-09-27,35.976562
2018-09-28,39.18067
2018-10-01,45.625
2018-10-03,40.78125
2018-10-04,44.37859
2018-10-05,51.328125
2018-10-08,46.5625
2018-10-09,45.390625
2018-10-10,46.796875
2018-10-11,43.984375
2018-10-12,44.6875
2018-10-15,44.257812
2018-10-16,32.994186
2018-10-17,38.90625
2018-10-19,41.796875
2018-10-22,49.84375
2018-10-23,47.1875
2018-10-24,51.25
2018-10-25,36.328125
2018-10-26,35.050358
2018-10-29,38.671875
2018-10-30,35.390625
2018-10-31,34.921875
2018-11-01,34.492188
2018-11-02,32.617188
2018-11-05,30.507812
2018-11-06,31.171875
2018-11-09,29.84375
2018-11-12,31.328125
2018-11-13,29.82185
2018-11-14,27.460938
2018-11-15,27.5
2018-11-16,26.25
2018-11-19,29.609375
2018-11-20,28.4375
2018-11-21,28.359375
2018-11-22,24.765625
2018-11-26,37.1875
2018-11-27,42.96875
2018-11-28,33.4375
2018-11-29,27.8125
2018-11-30,27.578125
2018-12-03,29.375
2018-12-04,29.0625
2018-12-05,29.257812
2018-12-06,29.804688
2018-12-07,28.085938
2018-12-10,32.34375
2018-12-11,28.59375
2018-12-12,27.695312
2018-12-13,29.296875
2018-12-14,27.421875
2018-12-17,26.953125
2018-12-18,28.59375
2018-12-19,26.640625
2018-12-20,26.357512
2018-12-21,23.4375
2018-12-24,31.71875
2018-12-26,42.190895
2018-12-27,28.007812
2018-12-28,26.09375
2018-12-31,25.46875
2019-01-01,25.3125
2019-01-02,26.914062
2019-01-03,26.09375
2019-01-04,25.406708
2019-01-07,29.179688
2019-01-08,27.65625
2019-01-09,29.179688
2019-01-10,30.15625
2019-01-11,25.71581
2019-01-14,25.78125
2019-01-15,25.0
2019-01-16,23.789062
2019-01-17,23.632812
2019-01-18,27.539062
2019-01-21,29.609375
2019-01-22,28.671875
2019-01-23,30.15625
2019-01-24,29.140625
2019-01-25,31.71875
2019-01-28,36.25
2019-01-29,37.5
2019-01-30,48.90625
2019-01-31,27.65625
2019-02-01,24.0625
2019-02-04,29.765625
2019-02-05,26.25
2019-02-06,26.289062
2019-02-07,24.140625
2019-02-08,24.101562
2019-02-11,25.664062
2019-02-12,22.65625
2019-02-13,25.46875
2019-02-14,24.492188
2019-02-15,27.03125
2019-02-18,28.75
2019-02-19,28.203125
2019-02-20,32.734375
2019-02-21,28.203125
2019-02-22,32.265625
2019-02-25,32.8125
2019-02-26,34.6875
2019-02-27,44.99035
2019-02-28,23.4375
2019-03-01,24.492188
2019-03-05,23.828125
2019-03-06,25.0
2019-03-07,24.6875
2019-03-08,24.882812
2019-03-11,27.382812
2019-03-12,26.408133
2019-03-13,27.460938
2019-03-14,29.453125
2019-03-15,26.992188
2019-03-18,28.671875
2019-03-19,31.328125
2019-03-20,27.109375
2019-03-22,22.109375
2019-03-25,33.75
2019-03-26,43.75
2019-03-27,41.875
2019-03-28,28.007812
2019-03-29,30.644531
2019-04-01,32.695312
2019-04-02,32.304688
2019-04-03,32.421875
2019-04-04,31.054688
2019-04-05,32.109375
2019-04-08,31.25
2019-04-09,32.265625
2019-04-10,29.296968
2019-04-11,26.640625
2019-04-12,28.4375
2019-04-15,29.5978
2019-04-16,28.867188
2019-04-18,27.34375
2019-04-22,34.765625
2019-04-23,27.8125
2019-04-24,37.34375
2019-04-25,25.898438
2019-04-26,25.0
2019-04-30,25.351562
2019-05-02,28.242188
2019-05-03,33.125
2019-05-06,35.9375
2019-05-07,36.054688
2019-05-08,37.578125
2019-05-09,35.9375
2019-05-10,34.609375
2019-05-13,38.007812
2019-05-14,41.992188
2019-05-15,45.46875
2019-05-16,38.710938
2019-05-17,37.890625
2019-05-20,39.233593
2019-05-21,39.140625
2019-05-22,42.734375
2019-05-23,34.375
2019-05-24,28.828125
2019-05-27,32.65625
2019-05-28,31.40625
2019-05-29,32.8125
2019-05-30,25.351562
2019-05-31,24.257812
2019-06-03,22.8125
2019-06-04,24.21875
2019-06-06,25.936993
2019-06-07,22.96875
2019-06-10,24.6875
2019-06-11,24.335938
2019-06-12,24.765625
2019-06-13,24.84375
2019-06-14,24.492188
2019-06-17,24.21875
2019-06-18,22.8125
2019-06-19,25.0
2019-06-20,24.070082
2019-06-21,23.214437
2019-06-24,32.8125
2019-06-25,36.5625
2019-06-26,30.9375
2019-06-27,25.195312
2019-06-28,22.226562
2019-07-01,23.085938
2019-07-02,24.375
2019-07-03,23.984375
2019-07-04,24.21875
2019-07-05,24.140625
2019-07-08,25.423084
2019-07-09,26.09375
2019-07-10,26.476309
2019-07-11,26.91013
2019-07-12,26.171875
2019-07-15,26.328125
2019-07-16,27.112158
2019-07-17,29.53125
2019-07-18,28.828125
2019-07-19,26.40625
2019-07-22,24.21875
2019-07-23,24.0625
2019-07-24,30.15625
2019-07-25,31.98685
2019-07-26,27.304688
2019-07-29,28.4375
2019-07-30,32.83109
2019-07-31,28.710938
2019-08-01,29.726562
2019-08-02,29.921875
2019-08-05,32.734375
2019-08-06,30.976562
2019-08-07,31.015625
2019-08-08,27.5
2019-08-09,25.429688
2019-08-13,24.765625
2019-08-14,25.0
2019-08-16,26.835938
2019-08-19,32.8125
2019-08-20,28.359375
2019-08-21,26.875
2019-08-22,32.070312
2019-08-23,31.09375
2019-08-26,28.59375
2019-08-27,52.5
2019-08-28,51.25
2019-08-29,28.59375
2019-08-30,27.109375
2019-09-03,28.398438
2019-09-04,27.773438
2019-09-05,26.953125
2019-09-06,26.171875
2019-09-09,26.328125
2019-09-11,27.65625
2019-09-12,26.484375
2019-09-13,24.882812
2019-09-16,27.697392
2019-09-17,30.15625
2019-09-18,31.484375
2019-09-19,39.375
2019-09-20,33.046875
2019-09-23,82.265625
2019-09-24,67.30359
2019-09-25,54.02781
2019-09-26,37.929688
2019-09-27,36.132812
2019-09-30,31.835938
2019-10-01,32.5696
2019-10-03,33.712738
2019-10-04,28.828125
2019-10-07,28.828125
2019-10-09,28.515625
2019-10-10,28.59375
2019-10-11,30.664062
2019-10-14,29.648438
2019-10-15,31.484375
2019-10-16,29.296875
2019-10-17,30.078125
2019-10-18,30.625
2019-10-22,48.828125
2019-10-23,43.320312
2019-10-24,44.960938
2019-10-25,40.351562
2019-10-29,81.09375
2019-10-30,21.875
2019-10-31,34.023438
2019-11-01,32.65625
2019-11-04,34.804688
2019-11-05,32.541862
2019-11-06,32.090546
2019-11-07,31.328125
2019-11-08,31.875
2019-11-11,31.40625
2019-11-13,33.28125
2019-11-14,30.351562
2019-11-15,28.828125
2019-11-18,32.539062
2019-11-19,28.867188
2019-11-20,36.328125
2019-11-21,33.828125
2019-11-22,34.921875
2019-11-25,29.765625
2019-11-26,25.15625
2019-11-27,31.40625
2019-11-28,27.890625
2019-11-29,24.6875
2019-12-02,25.078125
2019-12-03,22.460938
2019-12-04,28.007812
2019-12-05,28.75
2019-12-06,27.5
2019-12-09,26.210938
2019-12-10,26.328125
2019-12-11,27.1875
2019-12-12,28.476562
2019-12-13,26.679688
2019-12-16,30.039062
2019-12-17,27.578125
2019-12-18,27.5
2019-12-19,26.484375
2019-12-20,24.49866
2019-12-23,27.047907
2019-12-24,12.96875
2019-12-26,24.492188
2019-12-27,22.949219
2019-12-30,21.328125
2019-12-31,21.484375
2020-01-01,21.40625
2020-01-02,23.027344
2020-01-03,24.921875
2020-01-06,25.078125
2020-01-07,24.648438
2020-01-08,23.046875
2020-01-09,21.796875
2020-01-10,22.851562
2020-01-13,24.179688
2020-01-14,25.546875
2020-01-15,26.601562
2020-01-16,25.546875
2020-01-17,27.5
2020-01-20,31.132812
2020-01-21,27.474436
2020-01-22,25.9375
2020-01-23,26.875
2020-01-24,22.385494
2020-01-27,34.453125
2020-01-28,34.467
2020-01-29,36.452984
2020-01-30,31.699411
2020-01-31,30.3125
2020-02-01,29.355469
2020-02-03,29.726562
2020-02-04,28.476562
2020-02-05,28.75
2020-02-06,28.359375
2020-02-07,27.109375
2020-02-10,29.21875
2020-02-11,30.078125
2020-02-12,30.234375
2020-02-13,26.601562
2020-02-14,27.310999
2020-02-17,29.193327
2020-02-18,26.71875
2020-02-19,27.578125
2020-02-20,24.296875
2020-02-24,42.734375
2020-02-25,29.069523
2020-02-26,25.78125
2020-02-27,29.726562
2020-02-28,34.257812
2020-03-02,34.140625
2020-03-03,48.789062
2020-03-04,39.601364
2020-03-05,39.3992
2020-03-06,36.796875
2020-03-09,47.03125
2020-03-11,1.25
2020-03-12,75.11719
2020-03-13,73.59375
2020-03-16,70.703125
2020-03-17,74.375
2020-03-18,97.578125
2020-03-19,1.25
2020-03-20,108.046875
2020-03-23,266.42407
2020-03-24,5.0
2020-03-25,5.0
2020-03-26,0.3125
2020-03-27,0.3125
2020-03-30,0.078125
2020-03-31,1.25
2020-04-01,40.859375
2020-04-03,54.726562
2020-04-07,50.3125
2020-04-08,43.28125
2020-04-09,52.617188
2020-04-13,52.51071
2020-04-15,41.328125
2020-04-16,52.34375
2020-04-17,89.84375
2020-04-20,53.90625
