date,iv_atm
2017-07-04,32.890625
2017-07-05,31.953125
2017-07-06,29.6875
2017-07-07,30.625
2017-07-10,32.1875
2017-07-11,33.671875
2017-07-12,32.5
2017-07-13,33.28125
2017-07-14,34.296875
2017-07-17,34.296875
2017-07-18,36.324974
2017-07-19,34.86696
2017-07-20,35.15625
2017-07-21,32.34375
2017-07-24,48.242252
2017-07-25,36.71875
2017-07-27,31.590868
2017-07-28,32.734375
2017-07-31,34.0625
2017-08-01,35.78125
2017-08-02,38.4375
2017-08-03,38.28125
2017-08-04,38.359375
2017-08-07,40.9375
2017-08-08,41.796875
2017-08-09,45.46875
2017-08-10,43.5513
2017-08-11,43.87736
2017-08-14,36.09375
2017-08-16,40.3125
2017-08-17,37.96875
2017-08-18,36.40625
2017-08-21,38.59375
2017-08-22,37.6986
2017-08-23,33.4375
2017-08-24,28.59375
2017-08-28,34.0625
2017-08-29,37.1875
2017-08-30,41.25
2017-08-31,33.75
2017-09-01,31.953125
2017-09-04,34.140625
2017-09-05,33.4375
2017-09-06,35.433723
2017-09-07,34.765625
2017-09-08,34.140625
2017-09-11,33.4375
2017-09-12,35.234375
2017-09-13,31.328125
2017-09-14,31.976135
2017-09-15,32.734375
2017-09-18,33.984375
2017-09-19,36.71875
2017-09-20,36.5625
2017-09-21,36.09375
2017-09-22,39.375
2017-09-25,55.547768
2017-09-26,44.484688
2017-09-27,50.625
2017-09-28,35.390625
2017-09-29,33.59375
2017-10-03,33.046875
2017-10-04,32.65625
2017-10-05,32.109375
2017-10-06,30.0
2017-10-09,33.125
2017-10-10,32.03125
2017-10-11,32.96875
2017-10-12,33.28125
2017-10-13,31.014193
2017-10-16,40.15625
2017-10-17,36.5625
2017-10-18,31.71875
2017-10-23,39.0625
2017-10-24,40.3125
2017-10-25,67.5
2017-10-26,42.5
2017-10-27,41.71875
2017-10-30,40.664062
2017-10-31,44.21875
2017-11-01,46.523438
2017-11-02,48.4375
2017-11-03,37.578125
2017-11-06,38.90625
2017-11-07,34.140625
2017-11-08,36.09375
2017-11-09,34.375
2017-11-10,34.296875
2017-11-13,36.09375
2017-11-14,32.96875
2017-11-15,35.3125
2017-11-16,36.640625
2017-11-17,36.640625
2017-11-20,43.59375
2017-11-21,41.875
2017-11-22,38.90625
2017-11-23,39.527214
2017-11-24,43.125
2017-11-27,51.40625
2017-11-28,42.8125
2017-11-29,37.5
2017-11-30,32.734375
2017-12-01,33.828125
2017-12-04,33.75
2017-12-05,33.984375
2017-12-06,36.796875
2017-12-07,35.3125
2017-12-08,31.953125
2017-12-11,34.453125
2017-12-12,37.421875
2017-12-13,35.3125
2017-12-14,36.09375
2017-12-15,35.526573
2017-12-18,33.125
2017-12-19,33.28125
2017-12-20,32.65625
2017-12-21,32.03125
2017-12-22,26.25
2017-12-26,35.0
2017-12-27,37.5
2017-12-28,29.375
2017-12-29,31.875
2018-01-01,32.34375
2018-01-02,32.8125
2018-01-03,30.9375
2018-01-04,31.09375
2018-01-05,29.53125
2018-01-08,32.890625
2018-01-09,32.03125
2018-01-10,31.875
2018-01-11,30.546875
2018-01-12,33.203125
2018-01-15,33.28125
2018-01-16,31.40625
2018-01-17,29.84375
2018-01-18,33.125
2018-01-19,26.5625
2018-01-22,31.71875
2018-01-23,37.5
2018-01-24,60.9375
2018-01-25,39.6875
2018-01-29,41.159855
2018-01-30,39.54893
2018-01-31,41.757458
2018-02-01,39.453125
2018-02-02,43.158077
2018-02-05,45.239094
2018-02-06,50.625
2018-02-07,44.53125
2018-02-08,39.21875
2018-02-09,42.34375
2018-02-12,41.40625
2018-02-14,32.34375
2018-02-15,30.78125
2018-02-16,31.875
2018-02-19,40.625
2018-02-20,46.68216
2018-02-21,40.0
2018-02-22,31.25
2018-02-23,29.453125
2018-02-26,28.984375
2018-02-27,28.828125
2018-02-28,28.59375
2018-03-01,30.703125
2018-03-05,31.71875
2018-03-06,32.734375
2018-03-07,36.640625
2018-03-08,40.3125
2018-03-09,37.03125
2018-03-12,42.5
2018-03-13,38.75
2018-03-14,45.15625
2018-03-15,43.28125
2018-03-16,41.875
2018-03-19,49.21875
2018-03-20,45.0
2018-03-21,41.71875
2018-03-22,42.5
2018-03-23,39.6875
2018-03-26,47.320244
2018-03-27,50.731003
2018-03-28,37.1875
2018-04-02,37.1875
2018-04-03,36.09375
2018-04-04,36.875
2018-04-05,33.68297
2018-04-06,32.8125
2018-04-09,33.90625
2018-04-10,32.5
2018-04-11,33.848495
2018-04-12,32.34375
2018-04-13,30.9375
2018-04-16,29.375
2018-04-17,30.625
2018-04-18,30.322304
2018-04-19,29.0625
2018-04-20,27.1875
2018-04-23,31.25
2018-04-24,31.875
2018-04-25,32.36691
2018-04-26,32.421875
2018-04-27,32.1875
2018-04-30,28.921183
2018-05-02,32.265625
2018-05-03,32.96875
2018-05-04,33.75
2018-05-07,34.609375
2018-05-08,34.140625
2018-05-09,36.40625
2018-05-10,35.9375
2018-05-11,34.84375
2018-05-14,37.8125
2018-05-15,37.03125
2018-05-16,37.96875
2018-05-17,38.4375
2018-05-18,42.84244
2018-05-21,52.1875
2018-05-22,51.5625
2018-05-23,57.96875
2018-05-24,69.89897
2018-05-25,46.875
2018-05-28,54.0625
2018-05-29,41.5625
2018-05-30,53.763405
2018-05-31,38.984375
2018-06-01,42.1875
2018-06-04,42.1875
2018-06-05,41.640625
2018-06-06,36.40625
2018-06-07,34.375
2018-06-08,34.0625
2018-06-11,37.03125
2018-06-12,34.21875
2018-06-13,35.85048
2018-06-14,33.75
2018-06-15,32.65625
2018-06-18,34.375
2018-06-19,32.5
2018-06-20,34.53125
2018-06-21,33.4375
2018-06-22,23.125
2018-06-25,32.5
2018-06-26,31.5625
2018-06-27,72.5
2018-06-28,44.84375
2018-06-29,37.1875
2018-07-02,37.65625
2018-07-03,35.9375
2018-07-04,39.375
2018-07-05,35.697044
2018-07-06,35.46875
2018-07-09,34.870407
2018-07-10,35.15625
2018-07-11,36.09375
2018-07-12,37.65625
2018-07-13,45.3125
2018-07-16,42.5
2018-07-17,38.125
2018-07-18,41.875
2018-07-19,45.625
2018-07-20,41.875
2018-07-23,54.0625
2018-07-24,49.0625
2018-07-25,51.25
2018-07-26,40.78125
2018-07-27,38.515625
2018-07-30,41.40625
2018-07-31,38.75
2018-08-01,40.78125
2018-08-02,41.09375
2018-08-03,41.71875
2018-08-06,40.625
2018-08-07,43.203125
2018-08-08,44.375
2018-08-09,41.5625
2018-08-10,41.40625
2018-08-13,44.21875
2018-08-14,40.46875
2018-08-16,42.34375
2018-08-17,38.19759
2018-08-20,44.0625
2018-08-21,41.25
2018-08-23,40.3125
2018-08-24,40.9375
2018-08-27,54.6875
2018-08-28,50.0
2018-08-29,50.625
2018-08-30,39.921875
2018-08-31,43.4375
2018-09-03,43.125
2018-09-04,46.71875
2018-09-05,46.40625
2018-09-06,47.1875
2018-09-07,48.75
2018-09-10,60.15189
2018-09-11,55.625
2018-09-12,45.46875
2018-09-14,46.875
2018-09-17,49.0625
2018-09-18,45.99137
2018-09-19,38.4375
2018-09-21,52.03125
2018-09-24,68.4375
2018-09-25,60.625
2018-09-26,53.75
2018-09-27,44.296875
2018-09-28,50.78125
2018-10-01,46.875
2018-10-03,49.84375
2018-10-04,55.546875
2018-10-05,52.578125
2018-10-08,53.28125
2018-10-09,54.375
2018-10-10,53.75
2018-10-11,57.96875
2018-10-12,52.1875
2018-10-15,50.15625
2018-10-16,39.21875
2018-10-17,43.90625
2018-10-19,42.5
2018-10-22,50.0
2018-10-23,48.125
2018-10-24,50.0
2018-10-25,44.6875
2018-10-26,45.625
2018-10-29,47.578125
2018-10-30,47.406277
2018-10-31,46.09375
2018-11-01,44.84375
2018-11-02,44.970646
2018-11-05,39.375
2018-11-06,37.1875
2018-11-09,35.859375
2018-11-12,38.75
2018-11-13,40.546875
2018-11-14,38.59375
2018-11-15,38.671875
2018-11-16,39.53125
2018-11-19,40.625
2018-11-20,39.84375
2018-11-21,35.78125
2018-11-22,34.84375
2018-11-26,44.0625
2018-11-27,42.1875
2018-11-28,72.5
2018-11-29,52.890625
2018-11-30,54.296875
2018-12-03,49.807648
2018-12-04,48.18785
2018-12-05,49.236877
2018-12-06,53.28125
2018-12-07,58.167282
2018-12-10,58.17038
2018-12-11,50.625
2018-12-12,53.59375
2018-12-13,52.65625
2018-12-14,49.6875
2018-12-17,53.28125
2018-12-18,48.12177
2018-12-19,44.21875
2018-12-20,41.5625
2018-12-21,40.3125
2018-12-24,35.738514
2018-12-26,45.625
2018-12-27,36.5625
2018-12-28,35.859375
2018-12-31,37.056763
2019-01-01,36.328125
2019-01-02,35.46875
2019-01-03,35.3125
2019-01-04,34.140625
2019-01-07,36.25
2019-01-08,33.515625
2019-01-09,35.0
2019-01-10,34.21875
2019-01-11,33.28125
2019-01-14,31.71875
2019-01-15,31.056488
2019-01-16,31.71875
2019-01-17,33.4375
2019-01-18,35.9375
2019-01-21,38.90625
2019-01-22,44.21875
2019-01-23,42.96875
2019-01-24,37.65625
2019-01-25,46.158295
2019-01-28,64.375
2019-01-29,70.3125
2019-01-30,68.281006
2019-01-31,37.96875
2019-02-01,38.4375
2019-02-04,42.265625
2019-02-05,46.789616
2019-02-06,45.9375
2019-02-07,42.109375
2019-02-08,45.625
2019-02-11,45.703125
2019-02-12,42.34375
2019-02-13,40.625
2019-02-14,45.78125
2019-02-15,43.59375
2019-02-18,45.625
2019-02-19,44.6875
2019-02-20,42.1875
2019-02-21,41.74226
2019-02-22,39.0625
2019-02-25,45.9375
2019-02-26,40.423073
2019-02-27,46.5625
2019-02-28,33.59375
2019-03-01,32.421875
2019-03-05,31.71875
2019-03-06,34.609375
2019-03-07,33.59375
2019-03-08,34.296875
2019-03-11,33.125
2019-03-12,38.28125
2019-03-13,37.1875
2019-03-14,37.5
2019-03-15,38.75
2019-03-18,38.90625
2019-03-19,41.25
2019-03-20,38.47041
2019-03-22,36.40625
2019-03-25,52.34375
2019-03-26,55.3125
2019-03-27,54.54389
2019-03-28,37.890625
2019-03-29,39.70144
2019-04-01,42.96875
2019-04-02,42.421875
2019-04-03,41.71875
2019-04-04,38.515625
2019-04-05,38.671875
2019-04-08,39.0625
2019-04-09,35.625
2019-04-10,36.09375
2019-04-11,37.109375
2019-04-12,33.90625
2019-04-15,37.734375
2019-04-16,34.296875
2019-04-18,33.75
2019-04-22,37.65625
2019-04-23,37.5
2019-04-24,41.25
2019-04-25,36.5625
2019-04-26,35.625
2019-04-30,37.448406
2019-05-02,38.989754
2019-05-03,45.0
2019-05-06,48.59375
2019-05-07,60.0
2019-05-08,48.30536
2019-05-09,47.1875
2019-05-10,47.53321
2019-05-13,57.96875
2019-05-14,48.28125
2019-05-15,55.9375
2019-05-16,53.984375
2019-05-17,54.84375
2019-05-20,61.71875
2019-05-21,62.5326
2019-05-22,69.22909
2019-05-23,48.75
2019-05-24,40.3125
2019-05-27,57.5
2019-05-28,73.75
2019-05-29,46.5625
2019-05-30,37.875237
2019-05-31,36.015625
2019-06-03,37.1875
2019-06-04,33.528854
2019-06-06,35.703125
2019-06-07,35.78125
2019-06-10,34.921875
2019-06-11,34.375
2019-06-12,34.375
2019-06-13,33.59375
2019-06-14,34.453125
2019-06-17,36.40625
2019-06-18,35.9375
2019-06-19,36.40625
2019-06-20,33.75
2019-06-21,37.65625
2019-06-24,32.03125
2019-06-25,36.25
2019-06-26,39.375
2019-06-27,30.3125
2019-06-28,33.28125
2019-07-01,33.875393
2019-07-02,32.109375
2019-07-03,30.234375
2019-07-04,30.078125
2019-07-05,29.0625
2019-07-08,35.078125
2019-07-09,39.71212
2019-07-10,37.96875
2019-07-11,34.84375
2019-07-12,37.265625
2019-07-15,44.0625
2019-07-16,37.1875
2019-07-17,40.0
2019-07-18,38.480534
2019-07-19,36.629486
2019-07-22,34.21875
2019-07-23,38.4375
2019-07-24,33.04084
2019-07-25,33.798508
2019-07-26,36.461586
2019-07-29,36.5625
2019-07-30,43.416557
2019-07-31,40.859375
2019-08-01,44.765625
2019-08-02,41.953125
2019-08-05,44.281364
2019-08-06,42.749413
2019-08-07,44.375
2019-08-08,40.234375
2019-08-09,43.3711
2019-08-13,54.84375
2019-08-14,43.125
2019-08-16,39.609375
2019-08-19,46.09375
2019-08-20,44.375
2019-08-21,49.6875
2019-08-22,51.5625
2019-08-23,53.4375
2019-08-26,47.5
2019-08-27,53.4375
2019-08-28,50.625
2019-08-29,40.078125
2019-08-30,37.96875
2019-09-03,41.5625
2019-09-04,38.90625
2019-09-05,40.46875
2019-09-06,38.515625
2019-09-09,36.71875
2019-09-11,37.890625
2019-09-12,35.9375
2019-09-13,37.8125
2019-09-16,43.28125
2019-09-17,49.375
2019-09-18,44.375
