date,iv_atm
2017-07-04,108.02734
2017-07-05,118.59375
2017-07-06,25.478516
2017-07-07,24.384766
2017-07-10,24.082031
2017-07-11,21.542969
2017-07-12,23.613281
2017-07-13,26.582031
2017-07-14,22.96875
2017-07-17,27.089844
2017-07-18,24.902344
2017-07-19,29.589844
2017-07-20,32.070312
2017-07-21,29.589844
2017-07-24,74.677475
2017-07-25,43.36525
2017-07-27,26.71875
2017-07-28,28.886719
2017-07-31,18.154297
2017-08-01,23.50586
2017-08-02,17.802734
2017-08-03,20.117188
2017-08-04,23.99414
2017-08-07,17.783203
2017-08-08,18.4375
2017-08-09,18.867188
2017-08-10,22.5
2017-08-11,25.234375
2017-08-14,19.53125
2017-08-16,31.621094
2017-08-17,20.527344
2017-08-18,18.632812
2017-08-21,18.984375
2017-08-22,22.5
2017-08-23,19.550781
2017-08-24,22.695312
2017-08-28,39.375
2017-08-29,23.412836
2017-08-30,34.804688
2017-08-31,71.46627
2017-09-01,22.324219
2017-09-04,20.800781
2017-09-05,25.169498
2017-09-06,24.013672
2017-09-07,26.386719
2017-09-08,22.266006
2017-09-11,23.984375
2017-09-12,27.509766
2017-09-13,29.638672
2017-09-14,28.652344
2017-09-15,22.226562
2017-09-18,35.996094
2017-09-19,30.234375
2017-09-20,24.72064
2017-09-21,26.035156
2017-09-22,121.796875
2017-09-25,159.25781
2017-09-26,197.34375
2017-09-27,377.10938
2017-09-28,42.333485
2017-09-29,21.556406
2017-10-03,35.26367
2017-10-04,23.759766
2017-10-05,22.480469
2017-10-06,23.027344
2017-10-09,24.550781
2017-10-10,22.050781
2017-10-11,31.103516
2017-10-12,22.333984
2017-10-13,43.007812
2017-10-16,51.289062
2017-10-17,20.683594
2017-10-18,21.473164
2017-10-23,29.53125
2017-10-24,36.289062
2017-10-25,33.203125
2017-10-26,20.69336
2017-10-27,15.205078
2017-10-30,23.68164
2017-10-31,30.585938
2017-11-01,91.36719
2017-11-02,25.40039
2017-11-03,13.218106
2017-11-06,31.269531
2017-11-07,32.714844
2017-11-08,39.697266
2017-11-09,27.871094
2017-11-10,22.177734
2017-11-13,39.257812
2017-11-14,22.441406
2017-11-15,22.128906
2017-11-16,18.544922
2017-11-17,23.242188
2017-11-20,24.59961
2017-11-21,20.292969
2017-11-22,23.847656
2017-11-23,30.0
2017-11-24,31.40625
2017-11-27,25.976562
2017-11-28,40.959953
2017-11-29,209.375
2017-11-30,78.36988
2017-12-01,23.710938
2017-12-04,25.121168
2017-12-05,32.109375
2017-12-06,33.554688
2017-12-07,27.089844
2017-12-08,27.763672
2017-12-11,29.902344
2017-12-12,141.83594
2017-12-13,35.80078
2017-12-14,39.23828
2017-12-15,32.132614
2017-12-18,65.653015
2017-12-19,70.06605
2017-12-20,27.96875
2017-12-21,36.660156
2017-12-22,36.07422
2017-12-26,47.30878
2017-12-27,31.171875
2017-12-28,24.46289
2017-12-29,22.363281
2018-01-01,20.890882
2018-01-02,22.810635
2018-01-03,23.339844
2018-01-04,22.246094
2018-01-05,22.421875
2018-01-08,24.465124
2018-01-09,25.989311
2018-01-10,25.136719
2018-01-11,28.007812
2018-01-12,23.007812
2018-01-15,23.105469
2018-01-16,23.007812
2018-01-17,24.589844
2018-01-18,25.332031
2018-01-19,22.167969
2018-01-22,36.132812
2018-01-23,42.304688
2018-01-24,46.40625
2018-01-25,22.8125
2018-01-29,25.439453
2018-01-30,24.935244
2018-01-31,23.550682
2018-02-01,21.640625
2018-02-02,24.023438
2018-02-05,22.58789
2018-02-06,31.5625
