date,iv_atm
2017-07-04,38.203125
2017-07-05,35.859375
2017-07-06,38.153744
2017-07-07,37.421875
2017-07-10,48.59375
2017-07-11,43.984375
2017-07-12,42.96875
2017-07-13,43.435757
2017-07-14,42.5
2017-07-17,45.78125
2017-07-18,45.3125
2017-07-19,43.125
2017-07-20,42.8125
2017-07-21,40.390625
2017-07-24,50.78125
2017-07-25,43.4375
2017-07-27,42.65625
2017-07-28,43.320312
2017-07-31,48.508232
2017-08-01,49.620594
2017-08-02,40.78125
2017-08-03,38.671875
2017-08-04,37.65625
2017-08-07,38.984375
2017-08-08,39.375
2017-08-09,41.953125
2017-08-10,46.40625
2017-08-11,52.34375
2017-08-14,46.484375
2017-08-16,44.84375
2017-08-17,43.203125
2017-08-18,43.75
2017-08-21,43.75
2017-08-22,42.1875
2017-08-23,44.375
2017-08-24,38.125
2017-08-28,44.375
2017-08-29,63.836613
2017-08-30,48.436207
2017-08-31,38.476562
2017-09-01,36.5625
2017-09-04,39.140625
2017-09-05,36.5625
2017-09-06,37.421875
2017-09-07,37.1875
2017-09-08,35.546875
2017-09-11,36.328125
2017-09-12,34.296875
2017-09-13,32.734375
2017-09-14,33.125
2017-09-15,34.375
2017-09-18,33.90625
2017-09-19,35.3125
2017-09-20,34.609375
2017-09-21,35.9375
2017-09-22,35.46875
2017-09-25,45.9375
2017-09-26,43.75
2017-09-27,49.355396
2017-09-28,37.851562
2017-09-29,37.65625
2017-10-03,37.466545
2017-10-04,35.625
2017-10-05,34.140625
2017-10-06,32.734375
2017-10-09,34.453125
2017-10-10,32.5
2017-10-11,37.734375
2017-10-12,35.3125
2017-10-13,33.90625
2017-10-16,35.9375
2017-10-17,32.890625
2017-10-18,35.9375
2017-10-23,46.40625
2017-10-24,71.832245
2017-10-25,172.65625
2017-10-26,68.75
2017-10-27,67.578125
2017-10-30,70.390625
2017-10-31,65.46875
2017-11-01,66.796875
2017-11-02,64.0625
2017-11-03,55.703125
2017-11-06,57.8125
2017-11-07,58.945312
2017-11-08,57.5
2017-11-09,55.9375
2017-11-10,52.96875
2017-11-13,54.257812
2017-11-14,51.328125
2017-11-15,49.609375
2017-11-16,61.09375
2017-11-17,53.242188
2017-11-20,52.96875
2017-11-21,53.125
2017-11-22,53.125
2017-11-23,51.09375
2017-11-24,49.0625
2017-11-27,52.1875
2017-11-28,55.3125
2017-11-29,47.5
2017-11-30,43.59375
2017-12-01,43.75
2017-12-04,44.257812
2017-12-05,42.929688
2017-12-06,42.929688
2017-12-07,41.71875
2017-12-08,41.835938
2017-12-11,44.0625
2017-12-12,44.921875
2017-12-13,49.296875
2017-12-14,47.65625
2017-12-15,43.359375
2017-12-18,45.444324
2017-12-19,42.8125
2017-12-20,42.1875
2017-12-21,38.4375
2017-12-22,33.671875
2017-12-26,47.3942
2017-12-27,50.625
2017-12-28,40.9375
2017-12-29,40.15625
2018-01-01,39.765625
2018-01-02,40.664062
2018-01-03,41.796875
2018-01-04,45.625
2018-01-05,40.234375
2018-01-08,41.328125
2018-01-09,41.171875
2018-01-10,40.46875
2018-01-11,42.109375
2018-01-12,39.12259
2018-01-15,44.64141
2018-01-16,42.69413
2018-01-17,43.90625
2018-01-18,42.03125
2018-01-19,41.09375
2018-01-22,47.34375
2018-01-23,65.9375
2018-01-24,159.84375
2018-01-25,60.039062
2018-01-29,57.8125
2018-01-30,53.671875
2018-01-31,53.203125
2018-02-01,50.0
2018-02-02,53.515625
2018-02-05,58.984375
2018-02-06,59.21875
2018-02-07,56.25
2018-02-08,50.3125
2018-02-09,52.787834
2018-02-12,47.8125
2018-02-14,70.78125
2018-02-15,97.5
2018-02-16,83.28125
2018-02-19,105.3125
2018-02-20,111.0169
2018-02-21,91.875
2018-02-22,63.59375
2018-02-23,61.5625
2018-02-26,62.578125
2018-02-27,69.609375
2018-02-28,68.359375
2018-03-01,65.703125
2018-03-05,68.59375
2018-03-06,65.078125
2018-03-07,64.53125
2018-03-08,62.96875
2018-03-09,63.28125
2018-03-12,65.15625
2018-03-13,64.6386
2018-03-14,69.921875
2018-03-15,67.65625
2018-03-16,65.125626
2018-03-19,66.71875
2018-03-20,63.967422
2018-03-21,60.3125
2018-03-22,52.1875
2018-03-23,54.6875
2018-03-26,80.3125
2018-03-27,75.3125
2018-03-28,56.219654
2018-04-02,55.078125
2018-04-03,53.896328
2018-04-04,54.140625
2018-04-05,53.125
2018-04-06,54.04709
2018-04-09,52.96875
2018-04-10,49.45168
2018-04-11,48.046875
2018-04-12,45.625
2018-04-13,43.75
2018-04-16,43.51181
2018-04-17,41.25
2018-04-18,39.375
2018-04-19,35.46875
2018-04-20,36.5625
2018-04-23,42.1875
2018-04-24,43.125
2018-04-25,53.75
2018-04-26,43.984375
2018-04-27,43.203125
2018-04-30,44.53125
2018-05-02,46.824047
2018-05-03,47.65625
2018-05-04,47.1875
2018-05-07,50.078125
2018-05-08,54.453125
2018-05-09,53.59375
2018-05-10,56.200756
2018-05-11,56.681984
2018-05-14,60.78125
2018-05-15,63.90625
2018-05-16,60.15625
2018-05-17,57.03125
2018-05-18,53.75
2018-05-21,56.71875
2018-05-22,55.9375
2018-05-23,51.875
2018-05-24,47.698147
2018-05-25,44.0625
2018-05-28,58.75
2018-05-29,53.4375
2018-05-30,56.302692
2018-05-31,53.4375
2018-06-01,51.875
2018-06-04,54.21875
2018-06-05,54.53125
2018-06-06,49.296875
2018-06-07,49.84375
2018-06-08,52.65625
2018-06-11,50.46875
2018-06-12,48.90625
2018-06-13,47.65625
2018-06-14,44.413788
2018-06-15,43.28125
2018-06-18,44.84375
2018-06-19,46.5625
2018-06-20,44.84375
2018-06-21,40.0
2018-06-22,39.0625
2018-06-25,46.875
2018-06-26,43.75
2018-06-27,71.25
2018-06-28,58.4375
2018-06-29,50.78125
2018-07-02,53.4375
2018-07-03,50.0
2018-07-04,51.5625
2018-07-05,52.03125
2018-07-06,50.625
2018-07-09,52.1875
2018-07-10,49.53125
2018-07-11,50.9375
2018-07-12,52.34375
2018-07-13,49.426674
2018-07-16,62.5
2018-07-17,67.34375
2018-07-18,65.46875
2018-07-19,59.514145
2018-07-20,55.46875
2018-07-23,73.75
2018-07-24,61.25
2018-07-25,73.75
2018-07-26,55.78125
2018-07-27,52.8125
2018-07-30,56.796875
2018-07-31,54.84375
2018-08-01,59.53125
2018-08-02,56.71875
2018-08-03,60.78125
2018-08-06,62.8125
2018-08-07,52.65625
2018-08-08,43.59375
2018-08-09,42.421875
2018-08-10,40.78125
2018-08-13,40.625
2018-08-14,38.55709
2018-08-16,52.96875
2018-08-17,45.022568
2018-08-20,47.8125
2018-08-21,45.3125
2018-08-23,43.660473
2018-08-24,42.5
2018-08-27,44.943993
2018-08-28,47.5
2018-08-29,43.75
2018-08-30,46.40625
2018-08-31,50.84111
2018-09-03,50.78125
2018-09-04,51.5625
2018-09-05,50.78125
2018-09-06,45.78125
2018-09-07,46.09375
2018-09-10,48.4375
2018-09-11,52.421875
2018-09-12,51.875
2018-09-14,48.75
2018-09-17,50.3125
2018-09-18,51.86821
2018-09-19,41.875
2018-09-21,76.29759
2018-09-24,83.75
2018-09-25,105.625
2018-09-26,88.48006
2018-09-27,44.0625
2018-09-28,77.8125
2018-10-01,72.98954
2018-10-03,70.08197
2018-10-04,70.82523
2018-10-05,75.78125
2018-10-08,79.0625
2018-10-09,73.59375
2018-10-10,67.1875
2018-10-11,70.3125
2018-10-12,63.125
2018-10-15,67.5
2018-10-16,57.65625
2018-10-17,58.4375
2018-10-19,61.875
2018-10-22,73.75
2018-10-23,63.82151
2018-10-24,58.125
2018-10-25,55.46875
2018-10-26,58.093
2018-10-29,58.90625
2018-10-30,59.6875
2018-10-31,58.75
2018-11-01,58.106716
2018-11-02,54.53125
2018-11-05,52.8125
2018-11-06,46.71875
2018-11-09,45.15625
