date,iv_atm
2023-05-12,37.16045
2023-05-15,43.137432
2023-05-16,33.228176
2023-05-17,33.588825
2023-05-18,30.90311
2023-05-19,24.804155
2023-05-22,28.366714
2023-05-23,27.920355
2023-05-24,23.220814
2023-05-25,27.921968
2023-05-26,26.68341
2023-05-29,26.250515
2023-05-30,25.386066
2023-05-31,25.793865
2023-06-01,24.386477
2023-06-02,26.034712
2023-06-05,27.354473
2023-06-06,27.561447
2023-06-07,27.113808
2023-06-08,28.461163
2023-06-09,28.696169
2023-06-12,31.533758
2023-06-13,32.417053
2023-06-14,33.57322
2023-06-15,37.349995
2023-06-16,38.16279
2023-06-19,38.26639
2023-06-20,32.658123
2023-06-21,32.214046
2023-06-22,28.60047
2023-06-23,24.059872
2023-06-26,23.843222
2023-06-27,13.072263
2023-06-28,32.62728
2023-06-30,29.590921
2023-07-03,30.905539
2023-07-04,31.306679
2023-07-05,31.77471
2023-07-06,32.709034
2023-07-07,33.964535
2023-07-10,34.12073
2023-07-11,35.31161
2023-07-12,36.628944
2023-07-13,32.6004
2023-07-14,34.528877
2023-07-17,36.926414
2023-07-18,34.941895
2023-07-19,35.72022
2023-07-20,37.653805
2023-07-21,33.97517
2023-07-24,33.23751
2023-07-25,35.810825
2023-07-26,30.84304
2023-07-27,33.69003
2023-07-28,33.023537
2023-07-31,34.23587
2023-08-01,31.820555
2023-08-02,30.901217
2023-08-03,29.744469
2023-08-04,27.867353
2023-08-07,30.576803
2023-08-08,32.004627
2023-08-09,31.422972
2023-08-10,34.000137
2023-08-11,32.494755
2023-08-14,33.85018
2023-08-16,32.391136
2023-08-17,30.739492
2023-08-18,31.355085
2023-08-21,31.765268
2023-08-22,28.534151
2023-08-23,28.162636
2023-08-24,30.266695
2023-08-25,26.189878
2023-08-28,28.922165
2023-08-29,26.271461
2023-08-30,27.619984
2023-08-31,29.941547
2023-09-01,31.461958
2023-09-04,32.813328
2023-09-05,33.182274
2023-09-06,34.004993
2023-09-07,34.063095
2023-09-08,35.963314
2023-09-11,34.99496
2023-09-12,33.753067
2023-09-13,32.589985
2023-09-14,31.94883
2023-09-15,29.319263
2023-09-18,30.674252
2023-09-20,30.033108
2023-09-21,24.493402
2023-09-22,19.549665
2023-09-25,21.296873
2023-09-26,26.946453
2023-09-27,27.370079
2023-09-28,26.674917
2023-09-29,24.374073
2023-10-03,24.875866
