date,iv_atm
2017-07-04,21.621094
2017-07-05,50.429688
2017-07-06,55.517113
2017-07-07,56.34291
2017-07-10,63.524075
2017-07-11,31.894531
2017-07-12,32.910156
2017-07-13,63.476562
2017-07-14,66.5625
2017-07-17,32.617188
2017-07-18,37.1875
2017-07-19,42.109375
2017-07-20,141.875
2017-07-21,152.34375
2017-07-24,219.53125
2017-07-25,103.62218
2017-07-27,31.201172
2017-07-28,80.44922
2017-07-31,41.953125
2017-08-01,46.71875
2017-08-02,54.570312
2017-08-03,29.93164
2017-08-04,31.210938
2017-08-07,30.722656
2017-08-08,52.714844
2017-08-09,98.26172
2017-08-10,34.04297
2017-08-11,31.152344
2017-08-14,109.98047
2017-08-16,24.570312
2017-08-17,27.285156
2017-08-18,67.265625
2017-08-21,35.664062
2017-08-22,29.472656
2017-08-23,35.117188
2017-08-24,38.046875
2017-08-28,263.67188
2017-08-29,85.234375
2017-08-30,48.046875
2017-08-31,52.421055
2017-09-01,31.210938
2017-09-04,25.419922
2017-09-05,28.779297
2017-09-06,25.566406
2017-09-07,36.503906
2017-09-08,30.478516
2017-09-11,42.65625
2017-09-12,35.13672
2017-09-13,31.445312
2017-09-14,36.16211
2017-09-15,35.46875
2017-09-18,41.757812
2017-09-19,27.050781
2017-09-20,54.570312
2017-09-21,7.8320312
2017-09-22,33.066406
2017-09-25,49.726562
2017-09-26,53.273167
2017-09-27,74.0625
2017-09-28,48.99883
2017-09-29,30.234375
2017-10-03,30.742188
2017-10-04,31.972656
2017-10-05,33.564453
2017-10-06,30.53711
2017-10-09,26.738281
2017-10-10,38.222656
2017-10-11,45.117188
2017-10-12,45.507812
2017-10-13,23.554688
2017-10-16,19.0625
2017-10-17,17.304688
2017-10-18,16.308594
2017-10-23,38.867188
2017-10-24,26.875
2017-10-25,14.453125
2017-10-26,26.777344
2017-10-27,24.707031
2017-10-30,22.041016
2017-10-31,28.242188
2017-11-01,27.597656
2017-11-02,30.566406
2017-11-03,22.402344
2017-11-06,26.894531
2017-11-07,25.722656
2017-11-08,24.93164
2017-11-09,28.154297
2017-11-10,23.574219
2017-11-13,28.310547
2017-11-14,26.484375
2017-11-15,32.91992
2017-11-16,30.039062
2017-11-17,30.263672
2017-11-20,10.642931
2017-11-21,30.78125
2017-11-22,26.269531
2017-11-23,25.097656
2017-11-24,26.835938
2017-11-27,24.453125
2017-11-28,27.382812
2017-11-29,43.90625
2017-11-30,57.16797
2017-12-01,44.414062
2017-12-04,48.652344
2017-12-05,51.38672
2017-12-06,52.753906
2017-12-07,21.533203
2017-12-08,22.207031
2017-12-11,62.128906
2017-12-12,61.85547
2017-12-13,14.628906
2017-12-14,18.261719
2017-12-15,24.941406
2017-12-18,27.03125
2017-12-19,21.777344
2017-12-20,16.171875
2017-12-21,57.109375
2017-12-22,249.19922
2017-12-26,72.30469
2017-12-27,50.546875
2017-12-28,27.773438
2017-12-29,51.171875
2018-01-01,69.39453
2018-01-02,21.113281
2018-01-03,24.521484
2018-01-04,60.234375
2018-01-05,35.3125
2018-01-08,42.382812
2018-01-09,68.71094
2018-01-10,83.84766
2018-01-11,32.65625
2018-01-12,74.853516
2018-01-15,105.56641
2018-01-16,111.44531
2018-01-17,95.82031
2018-01-18,123.55469
2018-01-19,43.987083
2018-01-22,64.41642
2018-01-23,235.03906
2018-01-24,45.234375
2018-01-25,15.8984375
2018-01-29,36.054688
2018-01-30,113.34961
2018-01-31,39.785156
2018-02-01,24.453125
2018-02-02,54.257812
2018-02-05,66.07422
2018-02-06,183.39844
2018-02-07,73.30078
2018-02-08,74.23828
2018-02-09,53.26172
2018-02-12,29.746094
2018-02-14,84.86328
2018-02-15,34.0625
2018-02-16,111.93359
2018-02-19,83.96803
2018-02-20,171.32812
2018-02-21,723.4375
2018-02-22,47.60742
2018-02-23,51.69922
2018-02-26,60.595703
2018-02-27,66.640625
2018-02-28,20.976562
2018-03-01,65.53711
2018-03-05,179.14062
2018-03-06,71.26953
2018-03-07,67.14844
2018-03-08,188.78906
2018-03-09,196.86523
2018-03-12,44.21875
2018-03-13,206.46484
2018-03-14,26.796875
2018-03-15,106.15234
2018-03-16,54.23828
2018-03-19,36.09375
2018-03-20,38.808594
2018-03-21,128.4375
2018-03-22,27.756018
2018-03-23,45.703125
2018-03-26,66.640625
2018-03-27,183.28125
2018-03-28,110.20508
2018-04-02,102.48047
2018-04-03,30.429688
2018-04-04,28.574219
2018-04-05,62.910156
2018-04-06,59.833984
2018-04-09,83.603516
2018-04-10,31.015625
2018-04-11,71.29883
2018-04-12,99.921875
2018-04-13,61.914112
2018-04-16,130.07812
2018-04-17,133.75
2018-04-18,80.65125
2018-04-19,153.16406
2018-04-20,22.089844
2018-04-23,96.484375
2018-04-24,357.89062
2018-04-25,207.49847
2018-04-26,24.042969
2018-04-27,23.388672
2018-04-30,20.69336
2018-05-02,123.41797
2018-05-03,117.353516
2018-05-04,34.189453
2018-05-07,41.26953
2018-05-08,36.992188
2018-05-09,43.847656
2018-05-10,136.24023
2018-05-11,36.914062
2018-05-14,48.378906
2018-05-15,183.38867
2018-05-16,31.552734
2018-05-17,30.830078
2018-05-18,28.75
2018-05-21,28.691406
2018-05-22,59.0625
2018-05-23,55.585938
2018-05-24,40.820312
2018-05-25,73.86719
2018-05-28,66.52344
2018-05-29,77.07031
2018-05-30,516.40625
2018-05-31,27.910156
2018-06-01,22.832031
2018-06-04,36.45508
2018-06-05,31.777344
2018-06-06,35.48828
2018-06-07,25.146484
2018-06-08,23.828125
2018-06-11,26.796875
