date,iv_atm
2017-07-04,30.625
2017-07-05,29.42824
2017-07-06,28.710938
2017-07-07,27.03125
2017-07-10,28.4375
2017-07-11,27.65625
2017-07-12,27.578125
2017-07-13,28.125
2017-07-14,26.796875
2017-07-17,26.796875
2017-07-18,27.1875
2017-07-19,28.507885
2017-07-20,27.8125
2017-07-21,27.1875
2017-07-24,31.875
2017-07-25,31.09375
2017-07-27,30.15625
2017-07-28,29.765625
2017-07-31,31.484375
2017-08-01,31.601562
2017-08-02,32.148438
2017-08-03,32.890625
2017-08-04,33.203125
2017-08-07,34.726562
2017-08-08,36.914062
2017-08-09,39.296875
2017-08-10,43.320312
2017-08-11,40.390625
2017-08-14,33.4375
2017-08-16,34.6875
2017-08-17,35.625
2017-08-18,35.78125
2017-08-21,39.765625
2017-08-22,45.078125
2017-08-23,37.73618
2017-08-24,30.116032
2017-08-28,37.8125
2017-08-29,43.75
2017-08-30,46.5625
2017-08-31,31.011852
2017-09-01,29.804688
2017-09-04,33.4375
2017-09-05,32.929688
2017-09-06,33.687996
2017-09-07,33.515625
2017-09-08,31.217857
2017-09-11,33.4375
2017-09-12,33.75
2017-09-13,30.3125
2017-09-14,31.09375
2017-09-15,33.75
2017-09-18,37.34375
2017-09-19,36.640625
2017-09-20,37.34375
2017-09-21,35.625
2017-09-22,37.34375
2017-09-25,56.09375
2017-09-26,55.9375
2017-09-27,60.3125
2017-09-28,36.367188
2017-09-29,33.125
2017-10-03,33.203125
2017-10-04,31.95556
2017-10-05,33.28125
2017-10-06,30.703125
2017-10-09,34.375
2017-10-10,31.71875
2017-10-11,35.078125
2017-10-12,33.828125
2017-10-13,32.1875
2017-10-16,38.90625
2017-10-17,36.953125
2017-10-18,32.578125
2017-10-23,34.375
2017-10-24,38.749825
2017-10-25,57.1875
2017-10-26,37.65625
2017-10-27,37.8125
2017-10-30,37.421875
2017-10-31,40.039062
2017-11-01,42.03125
2017-11-02,42.773438
2017-11-03,41.5625
2017-11-06,38.515625
2017-11-07,36.984394
2017-11-08,34.375
2017-11-09,32.5
2017-11-10,32.1875
2017-11-13,31.71875
2017-11-14,32.96875
2017-11-15,32.5
2017-11-16,35.46875
2017-11-17,32.578125
2017-11-20,37.1875
2017-11-21,39.53125
2017-11-22,32.19163
2017-11-23,31.09375
2017-11-24,30.46875
2017-11-27,35.625
2017-11-28,38.125
2017-11-29,38.125
2017-11-30,30.390625
2017-12-01,30.627872
2017-12-04,30.546875
2017-12-05,30.78125
2017-12-06,31.40625
2017-12-07,30.703125
2017-12-08,30.234375
2017-12-11,30.9375
2017-12-12,34.6875
2017-12-13,35.546875
2017-12-14,34.296875
2017-12-15,31.796875
2017-12-18,28.75
2017-12-19,29.296875
2017-12-20,28.28125
2017-12-21,31.875
2017-12-22,21.09375
2017-12-26,40.625
2017-12-27,28.125
2017-12-28,27.8125
2017-12-29,27.109375
2018-01-01,30.859375
2018-01-02,30.078125
2018-01-03,28.984375
2018-01-04,29.6875
2018-01-05,27.265625
2018-01-08,28.203125
2018-01-09,28.867188
2018-01-10,27.578125
2018-01-11,28.671875
2018-01-12,25.15625
2018-01-15,26.875
2018-01-16,32.8125
2018-01-17,32.421875
2018-01-18,34.53125
2018-01-19,32.96875
2018-01-22,39.0625
2018-01-23,47.8125
2018-01-24,54.6875
2018-01-25,37.8125
2018-01-29,40.117188
2018-01-30,38.99983
2018-01-31,41.40625
2018-02-01,36.953125
2018-02-02,43.90625
