date,iv_atm
2021-10-29,47.298466
2021-11-01,42.145424
2021-11-02,41.727253
2021-11-03,39.34371
2021-11-04,39.90098
2021-11-08,34.704845
2021-11-09,36.891113
2021-11-10,36.231926
2021-11-11,35.4318
2021-11-12,30.681461
2021-11-15,28.724447
2021-11-16,28.085371
2021-11-17,22.64343
2021-11-18,27.45174
2021-11-22,33.59298
2021-11-23,30.904167
2021-11-24,24.487713
2021-11-25,24.545835
2021-11-26,28.063887
2021-11-29,34.44092
2021-11-30,29.06501
2021-12-01,29.241165
2021-12-02,29.084114
2021-12-03,28.65731
2021-12-06,27.291782
2021-12-07,27.468458
2021-12-08,24.337006
2021-12-09,31.371428
2021-12-10,33.4069
2021-12-13,33.886368
2021-12-14,33.401054
2021-12-15,34.26969
2021-12-16,33.758484
2021-12-17,31.019175
2021-12-20,35.928974
2021-12-21,28.877155
2021-12-22,27.205017
2021-12-23,25.105377
2021-12-24,25.804098
2021-12-27,27.838987
2021-12-28,31.9412
2021-12-29,31.071907
2021-12-30,29.775991
2021-12-31,39.20592
2022-01-03,28.35831
2022-01-04,28.679047
2022-01-05,30.52218
2022-01-06,29.067358
2022-01-07,29.27847
2022-01-10,32.212166
2022-01-11,31.986889
2022-01-12,31.405224
2022-01-13,29.94645
2022-01-14,30.993616
2022-01-17,32.586597
2022-01-18,32.588367
2022-01-19,29.717295
2022-01-20,28.347784
2022-01-21,27.309795
2022-01-24,69.0042
2022-01-25,22.543789
2022-01-27,35.645466
2022-01-28,30.681803
2022-01-31,30.572927
2022-02-01,28.051025
2022-02-02,27.206861
2022-02-03,29.97659
2022-02-04,30.962969
2022-02-07,33.38756
2022-02-08,32.13952
2022-02-09,32.410557
2022-02-10,22.974337
2022-02-11,28.83926
2022-02-14,32.813766
2022-02-15,27.625565
2022-02-16,29.869837
2022-02-17,35.751476
2022-02-18,24.298742
2022-02-21,39.248695
2022-02-22,33.27278
2022-02-23,34.71246
2022-02-24,34.10012
2022-02-25,29.15557
2022-02-28,29.485334
2022-03-02,37.04073
2022-03-03,39.3745
2022-03-04,41.865414
2022-03-07,48.471706
2022-03-08,42.806282
2022-03-09,34.003178
2022-03-10,32.368073
2022-03-11,33.46641
2022-03-14,35.303436
2022-03-15,35.023975
2022-03-16,27.79833
2022-03-17,25.131758
2022-03-21,30.606802
2022-03-22,32.737415
2022-03-23,34.967625
2022-03-24,34.699234
2022-03-25,26.92862
2022-03-28,46.79579
2022-03-29,39.683483
2022-03-30,38.255623
2022-03-31,35.599102
2022-04-01,32.584633
2022-04-04,34.31618
2022-04-05,36.559055
2022-04-06,35.626835
2022-04-07,34.60429
2022-04-08,34.366703
2022-04-11,32.39376
2022-04-12,30.79613
2022-04-13,27.941809
2022-04-18,28.051964
2022-04-19,34.96688
2022-04-20,28.76577
2022-04-21,30.944757
2022-04-22,31.767906
2022-04-25,26.006224
2022-04-26,26.0149
2022-04-27,33.21532
2022-04-28,32.27172
2022-04-29,35.161438
2022-05-02,30.228525
2022-05-04,40.615986
2022-05-05,33.1139
2022-05-06,32.245636
2022-05-09,30.124252
2022-05-10,28.665094
2022-05-11,29.534492
2022-05-12,33.19199
2022-05-13,41.11015
2022-05-16,36.507504
2022-05-17,36.857582
2022-05-18,36.0493
2022-05-19,41.280014
2022-05-20,24.900555
2022-05-23,28.915758
2022-05-24,37.88741
2022-05-25,27.933989
2022-05-26,33.287994
2022-05-27,32.51705
2022-05-30,31.00066
2022-05-31,28.267338
2022-06-01,31.918764
2022-06-02,33.051506
2022-06-03,31.022253
2022-06-06,31.984964
2022-06-07,34.140812
2022-06-08,33.313663
2022-06-09,31.970097
2022-06-10,32.46338
2022-06-13,35.822327
2022-06-14,38.157883
2022-06-15,38.278103
2022-06-16,41.32271
2022-06-17,41.524673
2022-06-20,47.00972
2022-06-21,39.663906
2022-06-22,34.629944
2022-06-23,30.479118
2022-06-24,29.847662
2022-06-27,45.412277
2022-06-28,41.88245
2022-06-29,39.255894
