date,iv_atm
2017-07-04,24.658203
2017-07-05,45.585938
2017-07-06,23.085938
2017-07-07,20.444336
2017-07-10,22.109375
2017-07-11,21.396484
2017-07-12,19.169922
2017-07-13,21.269531
2017-07-14,17.039244
2017-07-17,21.601562
2017-07-18,24.078068
2017-07-19,22.038017
2017-07-20,27.555578
2017-07-21,29.355469
2017-07-24,31.367188
2017-07-25,29.960938
2017-07-27,21.766972
2017-07-28,27.138672
2017-07-31,26.391602
2017-08-01,23.99414
2017-08-02,22.460938
2017-08-03,21.049805
2017-08-04,20.058594
2017-08-07,21.30371
2017-08-08,32.148438
2017-08-09,23.598633
2017-08-10,12.675781
2017-08-11,11.318359
2017-08-14,31.49414
2017-08-16,28.691406
2017-08-17,27.65625
2017-08-18,22.617188
2017-08-21,14.189453
2017-08-22,14.133941
2017-08-23,20.742188
2017-08-24,31.865234
2017-08-28,31.386719
2017-08-29,34.921875
2017-08-30,26.40625
2017-08-31,26.469727
2017-09-01,23.710938
2017-09-04,38.789062
2017-09-05,24.902344
2017-09-06,38.64258
2017-09-07,29.316406
2017-09-08,26.660156
2017-09-11,26.914062
2017-09-12,71.99219
2017-09-13,26.064453
2017-09-14,29.648438
2017-09-15,31.064453
2017-09-18,30.839844
2017-09-19,30.986328
2017-09-20,30.195312
2017-09-21,30.84961
2017-09-22,27.617188
2017-09-25,34.86328
2017-09-26,34.179688
2017-09-27,8.5546875
2017-09-28,33.66211
2017-09-29,28.105938
2017-10-03,33.99414
2017-10-04,30.507812
2017-10-05,30.742188
2017-10-06,31.103516
2017-10-09,30.009766
2017-10-10,65.41016
2017-10-11,27.861328
2017-10-12,27.978516
2017-10-13,20.800781
2017-10-16,28.21289
2017-10-17,24.765625
2017-10-18,26.777344
2017-10-23,31.445312
2017-10-24,49.570312
2017-10-25,110.19531
2017-10-26,43.066406
2017-10-27,29.023438
2017-10-30,28.320312
2017-10-31,40.878906
2017-11-01,31.894531
2017-11-02,28.364258
2017-11-03,23.745117
2017-11-06,32.239307
2017-11-07,29.057617
2017-11-08,35.22461
2017-11-09,28.99414
2017-11-10,29.902344
2017-11-13,27.626953
2017-11-14,28.769531
2017-11-15,28.417969
2017-11-16,36.015625
2017-11-17,33.75
2017-11-20,38.085938
2017-11-21,41.552734
2017-11-22,42.246094
2017-11-23,39.960938
2017-11-24,33.00959
2017-11-27,41.25
2017-11-28,38.4375
2017-11-29,35.117188
2017-11-30,23.198242
2017-12-01,105.390625
2017-12-04,22.324219
2017-12-05,25.419922
2017-12-06,30.830078
2017-12-07,22.58789
2017-12-08,31.259766
2017-12-11,26.826172
2017-12-12,26.201172
2017-12-13,29.77539
2017-12-14,31.611328
2017-12-15,49.404297
