date,iv_atm
2021-08-27,38.77665
2021-08-30,37.94739
2021-08-31,39.224163
2021-09-01,38.60838
2021-09-02,38.46322
2021-09-03,37.624523
2021-09-06,39.04594
2021-09-07,38.669243
2021-09-08,37.904617
2021-09-09,45.589306
2021-09-13,39.748512
2021-09-14,52.052628
2021-09-15,55.48254
2021-09-16,50.04384
2021-09-17,48.85164
2021-09-20,52.884624
2021-09-21,51.56938
2021-09-22,57.220196
2021-09-23,49.052254
2021-09-24,35.72035
2021-09-27,48.085335
2021-09-28,55.25008
2021-09-29,44.111416
2021-09-30,46.199947
2021-10-01,51.976555
2021-10-04,48.574158
2021-10-05,37.82477
2021-10-06,43.16205
2021-10-07,43.627113
2021-10-08,45.638306
2021-10-11,38.7523
2021-10-12,36.14206
2021-10-13,48.937866
2021-10-14,38.018616
2021-10-18,37.72794
2021-10-19,40.455914
2021-10-20,82.42766
2021-10-21,35.995537
2021-10-22,38.42769
2021-10-25,40.910583
2021-10-26,41.09648
2021-10-27,26.98745
2021-10-28,36.26703
2021-10-29,37.280853
2021-11-01,36.79829
2021-11-02,38.40827
2021-11-03,33.084232
2021-11-04,31.802584
2021-11-08,36.0409
2021-11-09,37.129986
2021-11-10,39.626583
2021-11-11,34.999916
2021-11-12,36.420963
2021-11-15,39.20995
2021-11-16,33.982685
2021-11-17,33.598915
2021-11-18,22.524189
2021-11-22,43.547565
2021-11-23,45.058792
2021-11-24,31.936657
2021-11-25,25.184418
2021-11-26,37.75642
2021-11-29,37.204487
2021-11-30,32.360092
2021-12-01,38.1417
2021-12-02,37.949238
2021-12-03,34.9462
2021-12-06,36.58346
2021-12-07,33.074104
2021-12-08,33.859512
2021-12-09,33.121475
2021-12-10,37.599854
2021-12-13,42.5938
2021-12-14,48.23839
2021-12-15,39.06106
2021-12-16,39.210262
2021-12-17,38.416916
2021-12-20,39.9839
2021-12-21,39.59891
2021-12-22,30.186386
2021-12-23,36.670345
2021-12-24,40.41724
2021-12-27,36.392876
2021-12-28,46.25177
2021-12-29,57.738056
2021-12-30,39.417118
2021-12-31,38.509476
2022-01-03,38.47787
2022-01-04,38.95576
2022-01-05,38.67493
2022-01-06,42.451027
2022-01-07,43.447376
2022-01-10,42.599148
2022-01-11,38.692097
2022-01-12,41.7073
2022-01-13,42.91866
2022-01-14,42.653675
2022-01-17,46.423332
2022-01-18,35.963833
2022-01-19,54.76564
2022-01-20,44.664577
2022-01-21,34.6845
2022-01-24,72.849785
2022-01-25,37.80399
2022-01-27,37.397877
2022-01-28,38.79317
2022-01-31,37.36699
2022-02-01,36.514786
2022-02-02,34.608074
2022-02-03,37.33035
2022-02-04,36.374462
2022-02-07,33.931576
2022-02-08,34.872925
2022-02-09,33.1369
2022-02-10,33.331978
2022-02-11,33.864956
2022-02-14,38.57959
2022-02-15,27.063982
2022-02-16,37.816845
2022-02-17,30.24373
2022-02-18,34.257294
2022-02-21,34.56476
2022-02-22,41.48728
2022-02-23,45.01481
2022-02-24,39.912186
2022-02-25,37.225235
2022-02-28,37.805267
2022-03-02,45.567513
2022-03-03,38.23032
2022-03-04,37.695656
2022-03-07,37.680584
2022-03-08,37.50519
2022-03-09,36.61534
2022-03-10,36.3403
2022-03-11,36.942837
2022-03-14,36.027813
2022-03-15,30.111006
2022-03-16,38.829105
2022-03-17,36.7779
2022-03-21,38.23628
2022-03-22,40.10878
2022-03-23,46.533783
2022-03-24,39.31445
2022-03-25,39.9715
2022-03-28,31.004194
2022-03-29,38.801136
2022-03-30,54.804993
2022-03-31,38.2183
2022-04-01,38.003166
2022-04-04,43.208378
2022-04-05,40.494854
2022-04-06,37.41146
2022-04-07,38.10742
2022-04-08,38.692593
2022-04-11,43.92409
2022-04-12,41.909298
2022-04-13,37.9523
2022-04-18,40.135944
2022-04-19,45.91567
2022-04-20,33.735912
2022-04-21,39.61952
2022-04-22,32.66819
2022-04-25,43.47205
2022-04-26,58.592407
2022-04-27,46.6107
2022-04-28,37.16109
2022-04-29,35.821236
2022-05-02,38.413345
2022-05-04,38.573364
2022-05-05,37.141144
2022-05-06,36.84373
2022-05-09,37.313618
2022-05-10,38.529236
2022-05-11,37.106766
2022-05-12,38.844604
2022-05-13,36.240284
2022-05-16,37.654716
2022-05-17,38.392876
2022-05-18,38.9904
2022-05-19,37.766624
2022-05-20,35.86538
2022-05-23,33.93399
2022-05-24,41.416077
2022-05-25,31.399214
2022-05-26,40.042862
2022-05-27,33.88591
2022-05-30,41.89513
2022-05-31,37.15459
2022-06-01,38.434647
2022-06-02,35.034584
2022-06-03,42.588825
2022-06-06,36.64862
2022-06-07,38.71153
2022-06-08,39.520676
2022-06-09,40.579052
2022-06-10,39.341164
2022-06-13,42.099392
2022-06-14,39.83122
2022-06-15,37.972576
2022-06-16,34.677727
2022-06-17,39.24221
2022-06-20,36.67116
2022-06-21,33.4611
2022-06-22,32.84605
2022-06-23,33.099453
2022-06-24,36.694515
2022-06-27,37.226776
2022-06-28,32.629463
2022-06-29,36.461063
2022-06-30,39.0621
2022-07-01,36.52735
2022-07-04,38.098732
2022-07-05,36.435455
2022-07-06,36.378418
2022-07-07,38.376637
2022-07-08,38.20368
2022-07-11,35.10074
2022-07-12,39.056847
2022-07-13,38.61341
2022-07-14,41.043613
2022-07-15,37.27005
2022-07-18,35.953804
2022-07-19,35.377037
2022-07-20,38.022774
2022-07-21,34.826874
2022-07-22,31.41914
2022-07-25,32.080746
2022-07-26,36.143616
2022-07-27,43.430878
2022-07-28,37.875328
2022-07-29,36.35717
2022-08-01,36.380882
2022-08-02,34.012085
2022-08-03,39.600155
2022-08-04,37.33452
2022-08-05,39.146935
2022-08-08,39.47452
2022-08-10,38.149677
2022-08-11,37.101833
2022-08-12,34.12646
2022-08-16,32.822727
2022-08-17,38.26634
2022-08-18,39.55587
2022-08-19,34.008614
2022-08-22,42.923756
2022-08-23,29.06189
2022-08-24,33.08528
2022-08-25,29.509151
2022-08-26,33.23308
2022-08-29,35.66597
2022-08-30,35.248295
2022-09-01,35.18262
2022-09-02,43.14521
2022-09-05,31.101606
2022-09-06,37.401268
2022-09-07,33.959217
2022-09-08,33.406746
2022-09-09,36.596462
2022-09-12,35.326965
2022-09-13,36.183044
2022-09-14,34.610035
2022-09-15,34.55917
2022-09-16,40.03375
2022-09-19,37.66159
2022-09-20,37.07547
2022-09-21,38.947323
2022-09-22,31.721432
2022-09-23,32.45807
2022-09-26,38.371178
2022-09-27,42.599216
2022-09-28,42.73394
2022-09-29,34.59205
2022-09-30,36.07104
2022-10-03,36.56064
2022-10-04,33.442543
2022-10-06,36.14676
2022-10-07,33.814304
2022-10-10,35.192135
2022-10-11,36.59935
2022-10-12,36.670006
2022-10-13,36.83217
2022-10-14,34.908203
2022-10-17,36.75431
2022-10-18,35.575798
2022-10-19,38.76515
2022-10-20,31.23237
2022-10-21,23.261847
2022-10-24,36.829052
2022-10-25,29.43221
2022-10-27,27.626257
2022-10-28,28.153883
2022-10-31,30.278608
2022-11-01,29.400139
2022-11-02,30.946762
2022-11-03,30.379955
2022-11-04,29.523333
2022-11-07,28.587818
2022-11-09,30.57163
2022-11-10,35.063053
2022-11-11,27.590637
2022-11-14,33.010277
2022-11-15,31.985407
2022-11-16,36.099434
2022-11-17,33.751225
2022-11-18,28.477062
2022-11-21,25.841936
2022-11-22,28.24168
2022-11-23,31.95474
