date,iv_atm
2017-07-04,25.141602
2017-07-05,25.986328
2017-07-06,26.845703
2017-07-07,27.304688
2017-07-10,27.514648
2017-07-11,30.795898
2017-07-12,29.550781
2017-07-13,26.99707
2017-07-14,19.277344
2017-07-17,20.302734
2017-07-18,21.323242
2017-07-19,18.99414
2017-07-20,18.549805
2017-07-21,17.803802
2017-07-24,22.304688
2017-07-25,21.816406
2017-07-27,19.018555
2017-07-28,19.370117
2017-07-31,19.863281
2017-08-01,19.868164
2017-08-02,19.936523
2017-08-03,19.211426
2017-08-04,19.204102
2017-08-07,19.316406
2017-08-08,19.46289
2017-08-09,18.898926
2017-08-10,19.378033
2017-08-11,20.620117
2017-08-14,20.654297
2017-08-16,19.848633
2017-08-17,19.61914
2017-08-18,19.511719
2017-08-21,19.853516
2017-08-22,18.75
2017-08-23,19.604492
2017-08-24,18.05664
2017-08-28,22.929688
2017-08-29,29.853516
2017-08-30,24.0625
2017-08-31,17.74414
2017-09-01,18.325195
2017-09-04,19.331055
2017-09-05,18.588867
2017-09-06,18.461914
2017-09-07,17.250977
2017-09-08,16.689453
2017-09-11,16.59668
2017-09-12,16.542969
2017-09-13,16.582031
2017-09-14,16.542969
2017-09-15,16.308594
2017-09-18,17.978516
2017-09-19,17.485352
2017-09-20,17.841797
2017-09-21,18.208008
2017-09-22,19.267578
2017-09-25,26.865234
2017-09-26,29.072266
2017-09-27,25.429688
2017-09-28,22.76123
2017-09-29,23.120117
2017-10-03,24.267578
2017-10-04,24.526367
2017-10-05,25.219727
2017-10-06,24.711914
2017-10-09,26.533203
2017-10-10,27.578125
2017-10-11,25.839844
2017-10-12,23.266602
2017-10-13,17.827148
2017-10-16,17.519531
2017-10-17,16.552734
2017-10-18,16.225586
2017-10-23,17.626953
2017-10-24,24.294378
2017-10-25,23.945312
2017-10-26,15.917969
2017-10-27,16.574707
2017-10-30,17.06543
2017-10-31,16.589355
2017-11-01,16.539827
2017-11-02,16.371353
2017-11-03,16.430664
2017-11-06,18.166637
2017-11-07,21.289062
